Z:\data\JTB-E02\BACandBLUE\,JTB-E02-189-23.D,,,,JTB-E02-189-05.D,JTB-E02-189-018.D,JTB-E02-189-19.D,JTB-E02-189-20.D,JTB-E02-189-21.D,JTB-E02-189-22.D,JTB-E02-189-24.D
Wed Dec 12 14:51:36 2018,BAC-01 REP4,,,,BAC-01 BLANK,BAC-01 CONTROL,BAC-01 EMPTY JAR,BAC-01 REP1,BAC-01 REP2,BAC-01 REP3,BAC-01 REP5
PK,RT,Library/ID,Area Pct,Qual,R.T.,R.T.,R.T.,R.T.,R.T.,R.T.,R.T.
,,,,,2.157,,,,,,
1,2.2917,"Carbon dioxide (CAS) $$ Dry ice $$ R 744 $$ Carbonic acid gas $$ Carbonic anhydride $$ Carbon oxide (CO2) $$ Carbonic acid, gas $$ CO2 $$ Anhydride carbonique $$ Carbonice $$ Kohlendioxyd $$ Kohlensaure $$ UN 1013 $$ UN 1845 $$ UN 2187",0.1546,4,2.29,2.292,2.273,2.292,2.286,2.292,2.285
2,2.4328,"Benzeneethanamine, .alpha.-methyl-, (.+-.)- (CAS) $$ .ALPHA.-METHYLPHENETHYLAMINE $$ Amphetamine $$ Finam $$ Adipan $$ Isomyn $$ Fenamin $$ Actedron $$ Percomon $$ Isoamyne $$ Mecodrin $$ Allodene $$ Oktedrin $$ Benzebar $$ Sympamin $$ Benzolone $$ Anorex",0.0213,59,2.435,2.439,2.413,,2.412,2.435,2.506
,,,,,,,,,,2.475,
3,2.5089,"R-(-)-Cyclohexylethylamine $$ Cyclohexanemethanamine, .alpha.-methyl-, (R)- $$ (R)-(-)-1-Cyclohexylethylamine",0.0142,50,2.573,2.509,,2.504,2.504,2.512,2.564
4,2.57,Cyclobutanol (CAS) $$ Cyclobutyl hydroxide,0.0134,50,,2.569,,2.568,2.565,,2.624
5,2.6284,"2-Butanamine (CAS) $$ sec-Butylamine $$ 2-AB $$ Tutane $$ Butafume $$ 2-Butylamine $$ 2-Aminobutane $$ 1-Methylpropylamine $$ 1-Methylpropanamine $$ Secondary butylamine $$ Propylamine, 1-methyl- $$ Sec-C4H9NH2 $$ sec-Butanamine $$ Deccotane $$ Frucote $$",0.0477,56,2.628,2.628,2.618,2.627,2.623,2.63,2.798
6,2.8016,"Methane, thiobis- (CAS) $$ 2-Thiapropane $$ DMS $$ Methylthiomethane $$ Methyl sulfide $$ Dimethyl sulfide $$ Methyl monosulfide $$ Dimethyl thioether $$ Dimethyl monosulfide $$ 2-THIAPROPANE(DIMETHYL SULFIDE) $$ DIMETHYLSULFIDE $$ (METHYLTHIO)METHANE $$",1.2539,94,,2.801,,2.801,2.797,2.805,3.007
