[contents]
count=2
Name=,X:\data\JTB-E02\BACandBLUE\JTB-E02-199-11.D
1=,PBM Apex
2=,INT TIC: JTB-E02-199-11.D\data.ms
[PBM Apex]
Time=,Wed Apr 03 17:07:42 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.2903, 0.3633,"Carbon dioxide",    81,"000124-38-9", 4
2=,  2,  2.4178, 0.0888,"Butanoic acid, 3-amino-",  4631,"000541-48-0",59
3=,  3,  2.5766, 0.0756,"Methanethiol",   114,"000074-93-1",80
4=,  4,  2.6244, 0.3024,"dl-Alanine",  2180,"000302-72-7",39
5=,  5,  2.7993, 1.0448,"Dimethyl sulfide",   337,"000075-18-3",91
6=,  6,  2.9678, 0.0344,"Ethanethiol",   334,"000075-08-1",58
7=,  7,  3.0176, 0.1213,"Ethanethiol",   333,"000075-08-1",30
8=,  8,  3.1207, 1.9368,"Acetone",   216,"000067-64-1",64
9=,  9,  3.2066, 0.8770,"Acetic acid, methyl ester",   828,"000079-20-9",42
10=, 10,  3.3228, 5.3417,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",83
11=, 11,  3.5865, 0.3202,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",62
12=, 12,  3.6923, 6.7965,"CH3C(O)CH2CH2OH",  2044,"000590-90-9",78
13=, 13,  3.8283, 2.4175,"2-Butanone",   658,"000078-93-3",40
14=, 14,  3.9783, 1.6556,"Butanal, 2-methyl-",  1768,"000096-17-3",87
15=, 15,  4.0264, 8.2400,"Butanal, 3-methyl-",  1762,"000590-86-3",90
16=, 16,  4.2515, 6.1307,"Ethanol",    95,"000064-17-5",78
17=, 17,  4.3747, 0.9857,"Carbazic acid, 3-(1-propylbutylidene)-, ethyl ester", 64740,"014702-39-7",56
18=, 18,  4.6546, 0.7050,"2-Furanol, tetrahydro-2-methyl-",  4404,"007326-46-7",59
19=, 19,  4.8188, 0.2182,"Propanoic acid, 2-oxo-",  1974,"000127-17-3",43
