[contents]
count=2
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-199-15.D
1=,INT TIC: JTB-E02-199-15.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-199-15.D\data.ms]
Time=,Fri Apr 05 10:06:55 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.288,   18,  25,  39,"PV  ",1109083, 23193431,  1.89,  0.303
2=,  2,  2.420,   39,  41,  49,"VV  ",  79157,  3310381,  0.27,  0.043
3=,  3,  2.504,   49,  51,  56,"VV  ",  60516,  1746934,  0.14,  0.023
4=,  4,  2.571,   56,  60,  63,"VV  ", 348626,  6381315,  0.52,  0.083
5=,  5,  2.625,   63,  66,  83,"VV  ", 329648, 11633028,  0.95,  0.152
6=,  6,  2.799,   83,  88, 110,"VV  ",4435739,102970945,  8.39,  1.343
7=,  7,  3.019,  110, 115, 119,"VV 4", 241416,  6770063,  0.55,  0.088
8=,  8,  3.122,  119, 127, 135,"VV 2",5402200,137430111, 11.20,  1.793
9=,  9,  3.207,  135, 138, 147,"VV  ",2498336, 74209495,  6.05,  0.968
10=, 10,  3.324,  147, 152, 170,"VV  ",6472446,202286337, 16.49,  2.639
11=, 11,  3.482,  170, 172, 188,"VV 7", 506933, 33977115,  2.77,  0.443
12=, 12,  3.694,  188, 198, 211,"VV  ",24143780,665608524, 54.25,  8.684
13=, 13,  3.830,  211, 215, 226,"VV  ",5470154,203137083, 16.56,  2.650
14=, 14,  3.980,  226, 233, 236,"VV 2",4179372,118954559,  9.69,  1.552
15=, 15,  4.028,  236, 239, 253,"VV  ",7993127,224262796, 18.28,  2.926
16=, 16,  4.184,  253, 258, 261,"VV 4", 761528, 26506062,  2.16,  0.346
17=, 17,  4.251,  261, 266, 279,"VV  ",17554937,500667231, 40.80,  6.532
18=, 18,  4.377,  279, 282, 302,"VV 6",1251322, 75712349,  6.17,  0.988
19=, 19,  4.563,  302, 305, 311,"VV  ", 460563, 17953067,  1.46,  0.234
20=, 20,  4.657,  311, 316, 331,"VV  ",1284274, 57164675,  4.66,  0.746
21=, 21,  4.821,  331, 337, 350,"VV 2", 669164, 39212705,  3.20,  0.512
22=, 22,  4.983,  350, 356, 362,"VV  ",1492922, 51306242,  4.18,  0.669
23=, 23,  5.055,  362, 365, 377,"VV 3", 871653, 43178023,  3.52,  0.563
24=, 24,  5.184,  377, 381, 384,"VV 2", 743175, 20042005,  1.63,  0.261
25=, 25,  5.224,  384, 386, 398,"VV 2", 752294, 32735871,  2.67,  0.427
26=, 26,  5.356,  398, 402, 405,"VV  ", 386701, 12186812,  0.99,  0.159
27=, 27,  5.413,  405, 409, 414,"VV 3", 495171, 16046359,  1.31,  0.209
28=, 28,  5.471,  414, 417, 423,"VV  ", 405897, 14445466,  1.18,  0.188
29=, 29,  5.591,  423, 431, 442,"VV 2",1365101, 50216606,  4.09,  0.655
30=, 30,  5.713,  442, 446, 459,"VV 4", 365387, 20048620,  1.63,  0.262
