Peak_ID,Library/ID,PA10BB02R04,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04
Peak_003,Carbon dioxide,23193431,18117639.00,21329562.00,39315000.00,31239924.00,23529929.00,31864660.00,26355071.00,22282942.00,25700224.00,29040235.00,24033439.00,29860604.00,40583078.00,41387215.00,25638220.00,28352111.00,30524848.00,22612111.00,29715440,29322365.00,23920061.00,36157252.00
Peak_009,Methanethiol,6381315,4035352.00,4227579.00,13029530.00,8937949.00,2851197.00,6512006.00,4074338.00,3698398.00,1148166.00,3622726.00,2764329.00,2152340.00,17440568.00,14386228.00,11198196.00,2735451.00,2590274.00,3453806.00,5124679,4693244.00,4423784.00,6385033.00
Peak_010,Acetaldehyde,11633028,10828695.00,6201100.00,19997631.00,14257794.00,6314260.00,8101076.00,9515588.00,4873976.00,3918147.00,5699092.00,7484822.00,2807617.00,16549933.00,18191337.00,15822699.00,30445873.00,20911012.00,26122389.00,22292374,23289037.00,18994790.00,28710214.00
Peak_012,Dimethyl sulfide,102970945,81972604.00,95839013.00,90963097.00,86679922.00,19972150.00,42555404.00,39487059.00,24819592.00,8718838.00,19145747.00,18578090.00,11889691.00,86779365.00,71570320.00,73799066.00,16512022.00,14153392.00,15089785.00,31907493,28971179.00,31560572.00,31290615.00
Peak_015,Octane,0,6282588.00,4556179.00,6535171.00,6402219.00,1236920.00,4429054.00,6045157.00,4383601.00,0.00,2557216.00,2738997.00,1525417.00,5097110.00,0.00,3680165.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_016,Propanol,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_017,Acetone,137430111,124980575.00,133489838.00,135287521.00,132944069.00,146113604.00,130214203.00,151926962.00,147867437.00,148019888.00,137211508.00,174600726.00,146732169.00,143024945.00,131011734.00,141681055.00,168015213.00,178893427.00,151543488.00,156921437,140590779.00,160912144.00,152717805.00
Peak_018,"Acetic acid, methyl ester",74209495,67058470.00,71088050.00,70832283.00,69176258.00,54814539.00,64694004.00,63603540.00,62062279.00,49580874.00,56785178.00,62818798.00,53154798.00,75341612.00,66729175.00,66115821.00,53924987.00,51890155.00,43585160.00,55452349,51623272.00,56986938.00,60473546.00
Peak_019,"Cyclotrisiloxane, hexamethyl-",202286337,269039364.00,196686907.00,266296786.00,302523666.00,213302561.00,211994036.00,250606945.00,182686535.00,166472205.00,217639194.00,191234765.00,137768855.00,314520417.00,208834744.00,178955701.00,203653347.00,145372278.00,116924478.00,188234324,216703841.00,158431558.00,253605559.00
Peak_022,Butanal,0,0.00,0.00,0.00,0.00,0.00,17890981.00,24183816.00,16259911.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,132671247.00,0.00
Peak_024,Ethyl acetate,665608524,554090099.00,660355650.00,591390967.00,585417964.00,408971503.00,490118718.00,451211646.00,460133389.00,287330595.00,349317190.00,392235360.00,334380611.00,547473582.00,524435070.00,549404724.00,192392176.00,284949499.00,173154709.00,328792132,307348977.00,0.00,305661967.00
Peak_026,2-Butanone,203137083,189761380.00,199809899.00,192092665.00,192195705.00,143691165.00,166894564.00,170278618.00,171148941.00,125136918.00,143559085.00,165883622.00,139714273.00,184447172.00,171294921.00,162704975.00,111581738.00,119035288.00,99546708.00,135136108,125617108.00,0.00,139968002.00
