[contents]
count=1
Name=,C:\MassHunter\GCMS\1\data\20191125_ALKANES\JTB-E18-40-10.D
1=,PBM Apex
[PBM Apex]
Time=,Mon Nov 25 16:57:04 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.2600, 0.0975,"Carbon dioxide (CAS) $$ Dry ice $$ R 744 $$ Carbonic acid gas $$ Carbonic anhydride $$ Carbon oxide (CO2) $$ Carbonic acid, gas $$ CO2 $$ Anhydride carbonique $$ Carbonice $$ Kohlendioxyd $$ Kohlensaure $$ UN 1013 $$ UN 1845 $$ UN 2187",   179,"000124-38-9", 4
2=,  2,  2.3149,14.1932,"2-Buten-1-ol (CAS) $$ 2-Butenol $$ 2-Butenyl alcohol $$ Crotyl alcohol $$ Crotonyl alcohol $$ 2-Butene-1-ol $$ CH3CH=CHCH2OH $$ Propenylcarbinol $$ Crotyl alcohol,c&t $$ 3-Methylallyl alcohol $$ Krotylalkohol",  1382,"006117-91-5",47
3=,  3,  2.4021,26.3704,"2(3H)-Furanone, dihydro- (CAS) $$ Butyrolactone $$ 6480 $$ .gamma.-Butyrolactone $$ .gamma.-BL $$ 4-Butanolide $$ 1,4-Butanolide $$ 4-Butyrolactone $$ Butyryl lactone $$ Butyric acid lactone $$ 4-Deoxytetronic acid $$ Tetrahydro-2-furanone $$ Dihydro-2(3H",  3210,"000096-48-0",53
4=,  4,  2.5389, 3.0715,"Cyclopentane, methyl- (CAS) $$ Methylcyclopentane $$ UN 2298",  2975,"000096-37-7",74
5=,  5,  2.5983,39.9038,"HEPTANE",  7098,"000000-00-0",53
6=,  6,  2.8725, 3.7520,"Cyclohexane, methyl- (CAS) $$ Methylcyclohexane $$ Sextone B $$ Hexahydrotoluene $$ Cyclohexylmethane $$ Toluene hexahydride $$ 1-Methylcyclohexane $$ Hexahydroxytoluene $$ Metylocykloheksan $$ Toluene, hexahydro- $$ UN 2296",  6093,"000108-87-2",90
7=,  7,  2.9205, 5.9479,"Heptane (CAS) $$ n-Heptane $$ Skellysolve C $$ Heptyl hydride $$ Dipropylmethane $$ n-C7H16 $$ Eptani $$ Heptan $$ Heptanen $$ Gettysolve-C $$ UN 1206",  7051,"000142-82-5",64
8=,  8,  3.2946, 4.9729,"Heptane (CAS) $$ n-Heptane $$ Skellysolve C $$ Heptyl hydride $$ Dipropylmethane $$ n-C7H16 $$ Eptani $$ Heptan $$ Heptanen $$ Gettysolve-C $$ UN 1206",  7056,"000142-82-5",62
9=,  9,  4.9420, 0.5640,"Cyclotetrasiloxane, octamethyl- (CAS) $$ 1,1,3,3,5,5,7,7-OCTAMETHYL-CYCLOOCTASILOXANE $$ OCTAMETHYL-(CYCLIC TETRAMER) CYCLOTETRASILOXANE $$ Octamethylcyclotetrasiloxane $$ NUC Silicone VS 7207 $$ Octamethyl-cyclotetrasiloxane $$ Oktamethylcyklotetrasiloxa",174364,"000556-67-2",53
10=, 10,  5.0463, 0.1636,"Heptane (CAS) $$ n-Heptane $$ Skellysolve C $$ Heptyl hydride $$ Dipropylmethane $$ n-C7H16 $$ Eptani $$ Heptan $$ Heptanen $$ Gettysolve-C $$ UN 1206",  7050,"000142-82-5",60
