,,,,JTB-E02-192-12,JTB-E02-192-06,,JTB-E02-192-13,,JTB-E02-192-14,,JTB-E02-192-15,,JTB-E02-192-16,,JTB-E02-192-17,,JTB-E02-192-18
,,,,2H_CTRL01,BAC-01 BLANK,,2H_CTRL02,,2H_CTRL03,,2H_REP01,,2H_REP02,,2H_REP03,,2H_REP04
Header=,Qual,Library/ID,RT,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,,,
1=,4,"Carbon dioxide (CAS) $$ Dry ice $$ R 744 $$ Carbonic acid gas $$ Carbonic anhydride $$ Carbon oxide (CO2) $$ Carbonic acid, gas $$ CO2 $$ Anhydride carbonique $$ Carbonice $$ Kohlendioxyd $$ Kohlensaure $$ UN 1013 $$ UN 1845 $$ UN 2187",2.2834,47636186,2.287,82368626,2.284,61870420,2.279,51188762,2.281,39234111,2.289,38226836,,,
2=,50,Cyclobutanol (CAS) $$ Cyclobutyl hydroxide,2.5005,3600186,2.434,26617991,2.5,4662479,2.495,3078626,2.502,3579858,2.502,3590181,,,
3=,45,Pentanal (CAS) $$ n-Pentanal $$ n-Valeraldehyde $$ Valeral $$ Valeraldehyde $$ Valeric aldehyde $$ Valerianic aldehyde $$ Valerylaldehyde yde $$ Valeric acid aldehyde $$ 1-pentanal $$ Valeryl aldehyde $$ n-C4H9CHO $$ Amyl aldehyde $$ Butyl formal $$ UN 20,2.5557,2737005,2.571,8104959,2.563,2693075,2.615,9610941,2.557,2037318,2.557,2447161,,,
4=,9,"2-Propanamine (CAS) $$ Isopropylamine $$ 2-Propylamine $$ 2-Aminopropane $$ sec-Propylamine $$ 1-Methylethylamine $$ Monoisopropylamine $$ ISO-PROPYL AMINE $$ N-iso-propylamine $$ Iso-C3H7NH2 $$ MIPA $$ Propylamine mono $$ Isopropilamina $$ Propane, 2-ami",2.6185,9865619,2.627,9126077,2.621,12845037,2.788,178750298,2.616,14416340,2.623,13724546,,,
5=,94,DMS $$ DIMETHYL SULFIDE $$ METHYL SULFIDE,2.7914,318614927,3.125,3074668,2.793,204272946,3.007,5612653,2.79,190702011,2.795,202438805,,,
6=,70,"Methane, thiobis- (CAS) $$ 2-Thiapropane $$ DMS $$ Methylthiomethane $$ Methyl sulfide $$ Dimethyl sulfide $$ Methyl monosulfide $$ Dimethyl thioether $$ Dimethyl monosulfide $$ 2-THIAPROPANE(DIMETHYL SULFIDE) $$ DIMETHYLSULFIDE $$ (METHYLTHIO)METHANE $$",3.0036,9123306,3.325,1383935406,3.012,7092587,3.113,72804993,3.003,6665169,3.003,7138536,,,
7=,72,2-Propanone (CAS) $$ Acetone $$ propan-2-one $$ Propanone $$ Methyl ketone $$ Dimethyl ketone $$ Pyroacetic ether $$ .beta.-Ketopropane $$ Dimethylformaldehyde $$ ACETONE (2-PROPANONE) $$ (CH3)2CO $$ Allylic alcohol $$ Dimethylketal $$ Ketone propane $$ K,3.1157,88494308,3.827,28048040,3.118,85833465,3.198,204434713,3.112,102177510,3.119,92205839,,,
8=,9,"Acetic acid, methyl ester (CAS) $$ Methyl acetate $$ Devoton $$ Tereton $$ Acetic acid methyl ester $$ Methyl ester of acetic acid $$ methyl  acetate $$ CH3COOCH3 $$ Methyl ethanoate $$ Acetate de methyle $$ Methyl acetic ester $$ Methylacetaat $$ Methyla",3.2013,257303195,3.922,22583126,3.204,235863802,3.316,338202645,3.2,217099606,3.206,232619333,,,
9=,83,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",3.3186,257666502,4.021,21176744,3.321,373321868,3.473,36973179,3.318,287437473,3.323,258870062,,,
10=,83,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-",3.4394,18646930,4.166,15593720,3.48,42289099,3.542,29815157,3.476,36323325,3.436,17178847,,,
