[contents],,,,,,,,,,,,,,,,
count=2,,,,,,,,,,,,,,,,
Name=,Z:\data\JTB-E02\BACandBLUE\20181120_SPME PREP BLANKS\JTB-E02-181-10.D,,,,,,,,,,,,,,,
1=,INT TIC: JTB-E02-181-10.D\data.ms,,,,,,,,,,,,,,,
2=,PBM Apex,,,,,,,,,,,,,,,
[INT TIC: JTB-E02-181-10.D\data.ms],,,,,,,,,,,,,,,,
Time=,Sun Dec 02 14:18:12 2018,,,,,,,,,,,,,,,
Header=,Peak,R.T.,RT,Area Pct,Library/ID,,,,First,Max,Last,PK  TY,Height,Area,Pct Max,Pct Total
1=,1,2.437,2.4372,0.0479,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,41,43,54,PV 9,11804,257301,0.47,0.048
2=,2,2.544,2.5437,0.0542,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,54,56,60,PV 4,16977,291149,0.53,0.054
3=,3,2.591,2.5913,0.1198,15-Crown-5,,,,60,62,77,PV 8,14400,643913,1.16,0.12
4=,4,2.802,2.802,10.2908,"C 2.7 D 4.1    Acetaldehyde (CAS) $$ Ethanal $$ Acetaldeyde $$ Ethyl aldehyde $$ Acetic aldehyde $$ CH3CHO $$ Acetaldehyd $$ Aldehyde acetique $$ Aldeide acetica $$ NCI-C56326 $$ Octowy aldehyd $$ Acetylaldehyde $$ Rcra waste number U001 $$ UN 1089	
5=,  5,  3.0484, 0.2916,15-Crown-5""",,,,80,88,117,PV  ,2372222,55307479,100,10.291
5=,5,3.048,,,,,,,117,118,125,VV 7,44605,1566956,2.83,0.292
6=,6,3.113,3.1126,0.13,"2-Methylaminomethyl-1,3-dioxolane",,,,125,126,128,VV 2,46567,698587,1.26,0.13
7=,7,3.333,3.3331,0.1124,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,152,153,158,VV 5,27174,603874,1.09,0.112
8=,8,3.382,3.382,0.15,"1-Propanamine, N1-methyl-2-methoxy",,,,158,159,165,VV 6,25814,806105,1.46,0.15
9=,9,3.456,3.4557,0.1175,2-Deoxy-D-galactose,,,,165,168,171,VV 4,28348,631516,1.14,0.118
10=,10,3.569,3.5687,0.0623,"Ethanol, 2-[2-(2-ethoxyethoxy)ethoxy]-",,,,181,182,184,VV 2,26062,335063,0.61,0.062
11=,11,3.658,3.6583,0.1457,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,190,193,198,VV 6,26197,783308,1.42,0.146
12=,12,3.709,3.7095,0.1398,15-Crown-5,,,,198,200,205,VV 6,27423,751158,1.36,0.14
13=,13,3.766,3.7664,0.1231,12-Crown-4,,,,205,207,214,VV 7,27431,661631,1.2,0.123
14=,14,3.95,3.9502,0.0126,15-Crown-5,,,,225,229,231,PV 4,7429,67796,0.12,0.013
15=,15,4.013,4.013,4.4987,"Cyclotrisiloxane, hexamethyl-",,,,231,237,259,VV  ,410176,24178269,43.72,4.499
16=,16,4.204,4.2038,0.9051,"Cyclotrisiloxane, hexamethyl-",,,,259,261,272,VV 7,96034,4864333,8.8,0.905
17=,17,4.307,4.3074,0.6029,"Tetrasiloxane, decamethyl-",,,,272,273,281,VV 8,88140,3240465,5.86,0.603
18=,18,4.386,4.3864,0.3763,"Tetrasiloxane, decamethyl-",,,,281,283,289,VV 5,62609,2022203,3.66,0.376
19=,19,4.452,4.4518,0.3191,"Tetrasiloxane, decamethyl-",,,,289,291,295,VV 5,58936,1715247,3.1,0.319
20=,20,4.526,4.5255,0.3098,"Tetrasiloxane, decamethyl-",,,,295,300,302,VV 4,57861,1665010,3.01,0.31
21=,21,4.592,4.5921,0.1884,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",,,,306,308,310,VV 2,62588,1012770,1.83,0.188
22=,22,4.639,4.6391,0.4411,"Benzo[h]quinoline, 2,4-dimethyl-",,,,310,314,320,VV 8,57797,2370847,4.29,0.441
23=,23,4.716,4.7157,0.2425,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",,,,320,324,326,VV 4,47489,1303297,2.36,0.242
24=,24,4.781,4.7806,0.3649,"2-quinoxalinamine, 3-chloro-N-ethyl-",,,,330,332,356,VV 4,47884,1961004,3.55,0.365
25=,25,5.053,5.0526,0.2112,15-Crown-5,,,,361,365,376,VV 4,36136,1135113,2.05,0.211
26=,26,5.207,5.207,0.0755,"Propenamide, 3-(2-hydroxyphenyl)-N,N-dimethyl-",,,,380,384,391,VV 7,15138,405991,0.73,0.076
27=,27,5.285,5.2851,0.0191,Tetraethylene glycol diethyl ether,,,,391,394,395,PV 2,9232,102657,0.19,0.019
28=,28,5.313,5.3131,0.0254,12-Crown-4,,,,395,397,399,VV 2,9505,136724,0.25,0.025
29=,29,5.344,5.3444,0.0322,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,399,401,405,VV 3,11286,173249,0.31,0.032
30=,30,5.41,5.4099,0.0546,12-Crown-4,,,,405,409,416,VV 10,10897,293502,0.53,0.055
31=,31,5.485,5.4851,0.0462,15-Crown-5,,,,416,418,426,VV 9,9704,248313,0.45,0.046
32=,32,5.561,5.5606,0.0195,15-Crown-5,,,,426,428,429,PV 2,14445,104620,0.19,0.019
33=,33,5.595,5.5952,0.0639,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,429,432,438,VV 7,10960,343340,0.62,0.064
34=,34,5.661,5.661,0.0273,"Propanamide, 2-hydroxy-",,,,438,440,442,VV 2,12492,146769,0.27,0.027
35=,35,5.688,5.6884,0.0289,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,442,443,445,VV 2,17877,155576,0.28,0.029
36=,36,5.716,5.7165,0.0377,15-Crown-5,,,,445,447,451,VV 5,12269,202477,0.37,0.038
37=,37,5.826,5.8258,2.4499,"Cyclotetrasiloxane, octamethyl-",,,,451,460,480,VV 4,198804,13166672,23.81,2.45
38=,38,6.004,6.0037,0.3979,"Cyclotetrasiloxane, octamethyl-",,,,480,482,487,VV 4,69867,2138280,3.87,0.398
39=,39,6.063,6.0627,0.4188,"1-(3'-hydroxy-4'-methylphenyl)-1,3,3,6-tetramethylindan-5-ol $$ 1H-Inden-5-ol, 2,3-dihydro-1-(3-hydroxy-4-methylphenyl)-1,3,3,6-tetramethyl- $$ 5-Indanol, 1-(3-hydroxy-p-tolyl)-1,3,3,6-tetramethyl-",,,,487,489,494,VV 6,70315,2250712,4.07,0.419
40=,40,6.114,6.114,0.199,"Cyclotetrasiloxane, octamethyl-",,,,494,496,498,VV 2,66986,1069454,1.93,0.199
41=,41,6.183,,,,,,,498,504,517,VV  ,1128210,27402603,49.55,5.099
42=,42,6.297,6.297,0.5074,"Pentasiloxane, dodecamethyl-",,,,517,518,530,VV 10,67218,2727254,4.93,0.507
43=,43,6.473,6.4731,0.068,"1-Propanamine, N1-methyl-2-methoxy",,,,538,540,542,VV 2,24305,365469,0.66,0.068
44=,44,6.582,6.5821,0.132,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,551,553,558,VV 6,25022,709178,1.28,0.132
45=,45,6.635,6.6349,0.0957,"PROPENE 3,3,3-D3",,,,558,560,564,VV 4,20964,514313,0.93,0.096
46=,46,6.722,6.7219,0.0978,"1,3-Dioxane, 2-methyl-",,,,568,571,576,VV 5,17185,525850,0.95,0.098
47=,47,6.786,6.7861,0.1287,o-Veratramide,,,,576,578,584,VV 7,19364,691901,1.25,0.129
48=,48,6.858,6.8576,0.058,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,584,587,589,VV 3,19943,311907,0.56,0.058
49=,49,6.957,6.9566,0.3042,"Propanamide, 2-hydroxy-",,,,589,599,609,VV 3,21763,1634887,2.96,0.304
50=,50,7.091,7.091,0.0448,"1,4,7,10,13,16,19-Heptaoxa-2-cycloheneicosanone",,,,614,616,617,VV  ,19726,240842,0.44,0.045
51=,51,7.287,7.2869,2.011,"Ethanol, 1-[2-[2-(1-methylethoxy)ethoxy]ethoxy]-",,,,617,640,649,VV  ,115223,10808023,19.54,2.011
52=,52,7.375,7.3747,0.188,"3-Hydroxy-N,N-dimethylpropanamide",,,,649,651,654,VV 3,54263,1010346,1.83,0.188
53=,53,7.41,7.4097,0.2938,"Ethanol, 2-(vinyloxy)-",,,,654,655,661,VV 6,48738,1578817,2.85,0.294
54=,54,7.487,7.4874,0.5668,"Ethanol, 2-(vinyloxy)-",,,,661,665,677,VV 6,46462,3046120,5.51,0.567
55=,55,7.601,7.6007,0.438,"3-Hydroxy-N,N-dimethylpropanamide",,,,677,679,690,VV 6,43488,2354152,4.26,0.438
56=,56,7.706,7.7058,0.1047,"Ethanol, 2-(vinyloxy)-",,,,690,692,693,VV 2,36171,562817,1.02,0.105
57=,57,7.731,7.7315,0.1565,15-Crown-5,,,,693,695,699,VV 4,34962,840960,1.52,0.156
58=,58,7.934,7.9341,0.1045,"Carbamic acid, ethyl-, methyl ester",,,,718,720,722,VV 3,33890,561666,1.02,0.105
59=,59,7.996,7.9959,0.2849,"Thiourea, trimethyl-",,,,722,727,732,VV 9,38194,1530950,2.77,0.285
60=,60,8.086,8.0859,0.1537,15-Crown-5,,,,736,738,742,VV 4,37460,826253,1.49,0.154
61=,61,8.127,8.1265,0.1025,"1,4,7,10,13,16-Hexaoxacyclooctadecane (CAS) $$ 18-Crown-6 ether $$ 18-CRONEN-6-ETHER $$ ETHYLENE OXIDE HEXAMER $$ Ethylene oxide cyclic hexamer $$ 18-Crown-6 $$ Crown ether 18-crown-6 $$ 1,4,7,10,13,16-Hexanoxacyclooctadecane",,,,742,743,746,VV 3,32500,551037,1,0.103
62=,62,8.158,8.1577,0.0839,"1,4,7,10,13,16-Hexaoxacyclooctadecane (CAS) $$ 18-Crown-6 ether $$ 18-CRONEN-6-ETHER $$ ETHYLENE OXIDE HEXAMER $$ Ethylene oxide cyclic hexamer $$ 18-Crown-6 $$ Crown ether 18-crown-6 $$ 1,4,7,10,13,16-Hexanoxacyclooctadecane",,,,746,747,749,VV 2,32030,451115,0.82,0.084
63=,63,8.199,8.1987,0.1864,"Azetidine, 3-methyl-3-phenyl-",,,,749,752,755,VV 5,35905,1001678,1.81,0.186
64=,64,8.232,8.2324,0.0797,15-Crown-5,,,,755,757,758,VV  ,32264,428252,0.77,0.08
65=,65,8.28,8.2802,0.2057,"PROPENE 3,3,3-D3",,,,758,762,766,VV 6,33535,1105692,2,0.206
66=,66,8.341,8.3407,0.2358,"1,4,7,10,13,16-Hexaoxacyclooctadecane",,,,766,770,774,VV 7,38131,1267236,2.29,0.236
