,,,JTB-E02-199-11,,,,,
RT,Library/ID,Qual,Peak,R.T.,Area,Parent,fragment 1,fragment 2
2.2903,Carbon dioxide,4,1,2.29,25219223,44,41,50.9
2.4178,"Butanoic acid, 3-amino-",59,2,2.418,6161912,,,
2.5766,Methanethiol,80,3,2.577,5247993,,,
2.6244,dl-Alanine,39,4,2.624,20992264,,,
2.7993,Dimethyl sulfide,91,5,2.799,72524437,,,
2.9678,Ethanethiol,58,6,2.968,2387119,,,
3.0176,Ethanethiol,30,7,3.018,8420658,,,
3.1207,Acetone,64,8,3.121,134438199,,,
3.2066,"Acetic acid, methyl ester",42,9,3.207,60875898,,,
3.3228,"Cyclotrisiloxane, hexamethyl-",83,10,3.323,370780735,,,
3.5865,"Cyclotrisiloxane, hexamethyl-",62,11,3.586,22227493,,,
3.6923,CH3C(O)CH2CH2OH,78,12,3.692,471759183,,,
3.8283,2-Butanone,40,13,3.828,167807272,,,
3.9783,"Butanal, 2-methyl-",87,14,3.978,114917033,,,
4.0264,"Butanal, 3-methyl-",90,15,4.026,571958684,,,
4.2515,Ethanol,78,16,4.251,425547116,,,
4.3747,"Carbazic acid, 3-(1-propylbutylidene)-, ethyl ester",56,17,4.375,68419382,,,
4.6546,"2-Furanol, tetrahydro-2-methyl-",59,18,4.655,48935246,,,
4.8188,"Propanoic acid, 2-oxo-",43,19,4.819,15143426,,,
4.8558,sec-Butyl nitrite,35,20,4.856,16364433,,,
4.9814,"Cyclotetrasiloxane, octamethyl-",80,21,4.981,119611742,,,
5.1809,"Cyclotetrasiloxane, octamethyl-",30,22,5.181,19158079,,,
5.2175,"2-Thiopheneacetic acid, decyl ester",38,23,5.218,29157801,,,
5.3527,trans-4-(2-(5-Nitro-2-furyl)vinyl)-2-quinolinamine,27,24,5.353,11840235,,,
5.4105,"Pentasiloxane, dodecamethyl-",22,25,5.411,11374975,,,
5.4722,"Perhydro-htx-2-one, 2-depentyl-, acetate ester",18,26,5.472,16406381,,,
5.5886,Methyl isovalerate,68,27,5.589,35968898,,,
5.7144,(3-Methyl-oxiran-2-yl)-methanol,22,28,5.714,19273741,,,
5.9978,Toluene,87,29,5.998,65159781,,,
6.1604,2-Pentanol,27,30,6.16,23943089,,,
6.2744,"Butanoic acid, 2-methyl-, ethyl ester",30,31,6.274,13359965,,,
6.3468,"Cyclotetrasiloxane, octamethyl-",38,32,6.347,7427833,,,
6.4125,"Furazano[3,4-b][1,2,4]-triazolo[4,3-d]pirazine, 5-(2,3-dimethylphenylamino)-",43,33,6.413,6086850,,,
6.4691,"7,7-Dimethyl-2-morpholin-4-yl-5,6,7,8-tetrahydro-thiazolo[5,4-c]azepin-4-one",27,34,6.469,9174655,,,
6.535,"Cyclotetrasiloxane, octamethyl-",38,35,6.535,4679938,,,
6.5959,"Butanoic acid, 3-methyl-, ethyl ester",87,36,6.596,28087539,,,
6.6844,"Disulfide, dimethyl",96,37,6.684,250527831,,,
6.8695,"Disulfide, dimethyl",83,38,6.869,16222850,,,
6.9917,"Acetamide, N-2-propynyl-",12,39,6.992,6898054,,,
7.076,"Disulfide, dimethyl",50,40,7.076,17267104,,,
7.1786,"2-Butenal, 2-methyl-",49,41,7.179,8773505,,,
7.2533,"1-Propanol, 2-methyl-",83,42,7.253,60468206,,,
7.5707,"Benzenesulfinothioic acid, 4-methoxy-, S-phenyl ester",64,43,7.571,155818804,,,
7.8213,"2-Pentenoic acid, methyl ester, (E)-",30,44,7.821,9116619,,,
7.8997,"1-Butanol, 3-methyl-, acetate",70,45,7.9,6796854,,,
7.9613,"Butanenitrile, 3-methyl-",43,46,7.961,16775593,,,
8.1669,"2-Pentene, 4,4-dimethyl-",41,47,8.167,5636067,,,
8.3337,p-Xylene,92,48,8.334,2795624,,,
8.5668,1-Butanol,72,49,8.567,12758425,,,
8.8083,"Cyclopentasiloxane, decamethyl-",94,50,8.808,23761023,,,
8.9735,"Cyclopentasiloxane, decamethyl-",86,51,8.974,9969615,,,
9.1326,"2-Butenoic acid, 3-methyl-, methyl ester",58,52,9.133,9669101,,,
9.4513,Tetrahydrocarvone,38,53,9.451,12031235,,,
9.5435,o-Xylene,15,54,9.543,7597280,,,
9.9667,D-Limonene,97,55,9.967,10277110,,,
10.1104,"Methanethioamide, N,N-dimethyl-",47,56,10.11,2212667,,,
10.3542,"1-Butanol, 3-methyl-, formate",72,57,10.354,453599932,,,
10.4624,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",62,58,10.462,30889177,,,
10.7109,"1(2H)-Naphthalenone, octahydro-, trans-",60,59,10.711,6003216,,,
11.0188,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, cis-",25,60,11.019,2560333,,,
11.1076,"Bicyclo[2.2.1]heptan-2-ol, 2,3,3-trimethyl-",45,61,11.108,3367331,,,
11.3581,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",96,62,11.358,110081823,,,
11.5186,Thiazole,46,63,11.519,10789049,,,
11.636,"Diaziridine,1,3,3-trimethyl-",46,64,11.636,5893934,,,
11.8712,"1H-Cyclopenta[c]furan-3(3aH)-one, 6,6a-dihydro-1-(1,3-dioxolan-2-yl)-, (3aR,1-trans,6a-cis)-",27,65,11.871,3400720,,,
12.1494,"Benzene, 1-methyl-3-(1-methylethyl)-",95,66,12.149,61784144,,,
12.4471,"Silane, triethylfluoro-",43,67,12.447,6776010,,,
12.5774,"Benzene, 2-ethyl-1,4-dimethyl-",42,68,12.577,6012549,,,
13.8534,"1,3-Cycloheptadiene",43,69,13.853,20306633,,,
14.0038,"Pyrazine, 2,6-dimethyl-",56,70,14.004,4151326,,,
14.2395,2-Chloro-4-(4-methoxyphenyl)-6-(4-nitrophenyl)pyrimidine,50,71,14.239,12705619,,,
14.3351,"Silane, methylvinyl(hept-2-yloxy)(methylvinyldodecyloxysilyloxy)-",43,72,14.335,2039432,,,
14.8545,1-Hexanol,78,73,14.854,135733913,,,
15.1198,"1,2,4-Triazol-3-amine, 5-(1,3,5-trimethyl-4-pyrazolyl)amino-",53,74,15.12,909728,,,
15.1576,"cis-2-Hexen-1-ol, trifluoroacetate",27,75,15.158,2545697,,,
15.5264,"Cyclopentene, 1-methyl-",38,76,15.526,11533327,,,
15.5522,Dimethyl trisulfide,81,77,15.552,11821125,,,
15.8107,"3-Hexen-1-ol, (E)-",94,78,15.811,7328592,,,
16.3945,"Pyrazine, 2-butyl-3,5-dimethyl-",40,79,16.395,1074224,,,
16.5037,"2-Hexen-1-ol, (Z)-",78,80,16.504,21685467,,,
16.6241,"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",18,81,16.624,1369687,,,
17.4434,"Piperidine, 1-[(2,3,4,5-tetramethylphenyl)sulfonyl]-",30,82,17.443,2827453,,,
17.6292,trans-Linalool oxide (furanoid),83,83,17.629,14026433,,,
17.6853,"Pyrazine, 3-ethyl-2,5-dimethyl-",90,84,17.685,8734894,,,
17.8819,"Ethyl 5-(furan-2-yl)-1,2-oxazole-3-carboxylate",14,85,17.882,3804531,,,
18.1154,Furfural,91,86,18.115,53066832,,,
18.501,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,53,87,18.501,8026692,,,
18.6382,"1H-Indole, 5-methyl-2-phenyl-",25,88,18.638,2619376,,,
18.8982,"Benzene, 1,2,4,5-tetramethyl-",93,89,18.898,892103,,,
19.1297,"1-Hexanol, 2-ethyl-",53,90,19.13,1866197,,,
19.3987,"Ethanone, 1-(1H-pyrazol-4-yl)-",64,91,19.399,2196391,,,
19.5435,"Pyrrolo[1,2-c][1,3,2]diazaphosphorine-4-carbonitrile, 1,5,6,7-tetrahydro-1-(methylthio)-3-(4-morpholinyl)-, 1-sulfide",27,92,19.543,8835317,,,
19.6972,"Methyl 2-oxo-1H,5H,6H,7H-cyclopenta[b]pyridine-3-carboxylate",43,93,19.697,25967655,,,
19.8227,Dill ether,94,94,19.823,5944905,,,
19.9225,Benzaldehyde,95,95,19.923,1332956266,,,
20.213,"1H-Pyrrolo[3,4-c]pyridine-1,3,4(2H,5H)-trione, 6,7-dimethyl-",49,96,20.213,90660720,,,
20.295,"1,2,5,5,6,7-Hexamethylbicyclo[4.1.0]hept-2-en-4-one",60,97,20.295,78370306,,,
20.4699,"13H-Dibenzo[a,i]carbazole",43,98,20.47,9737906,,,
20.8397,"Tricyclo[2.2.1.0(2,6)]heptane, 1,3,3-trimethyl-",50,99,20.84,16032340,,,
20.9582,"2H-1,2,3-Triazole-4-carboxylic acid, 2-(2-fluorophenyl)-",18,100,20.958,5405041,,,
21.187,"Acetic acid, trichloro-, octyl ester",64,101,21.187,7893926,,,
21.445,Dimethyl Sulfoxide,52,102,21.445,4948736,,,
21.6754,"Phosphonoacetic Acid, 3TMS derivative",50,103,21.675,6059124,,,
21.8635,"Phosphonoacetic Acid, 3TMS derivative",42,104,21.864,3731146,,,
22.3549,"Tricyclo[3.1.0.0(2,4)]hex-3-ene-3-carbonitrile",81,105,22.355,4107967,,,
22.4438,"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-, (R)-",76,106,22.444,3641346,,,
22.5379,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans-",43,107,22.538,2570601,,,
22.7305,"Pyrrolidin-2-one, N-(2,4-dimethylcyclopent-3-enoyl)-, cis-",64,108,22.731,1638988,,,
22.9445,Butyrolactone,53,109,22.945,9273552,,,
23.2779,"1-Nitro-2-acetamido-1,2-dideoxy-d-glucitol",22,110,23.278,1381513,,,
23.3883,"1,3-Benzenediol, 2,5-dimethyl-",41,111,23.388,4876464,,,
23.6229,"1,3-Cyclohexadiene-1-carboxaldehyde, 2,6,6-trimethyl-",83,112,23.623,7479617,,,
23.6879,Acetophenone,90,113,23.688,20922506,,,
23.813,"Silanediol, dimethyl-",49,114,23.813,195229000,,,
24.0675,"Silanediol, dimethyl-",49,115,24.067,8166419,,,
24.177,"Silanediol, dimethyl-",52,116,24.177,9281981,,,
24.4305,"Pyrazolo[3,4-b]pyridin-3(2H)-one, 4-trifluoromethyl-2,6-diphenyl-",47,117,24.43,6299383,,,
24.5753,"Benzaldehyde, 2-hydroxy-",76,118,24.575,14859692,,,
24.9128,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",80,119,24.913,13193320,,,
25.1686,Terpineol,91,120,25.169,71594359,,,
25.2913,"Borneol, trifluoroacetate (ester)",58,121,25.291,5861111,,,
25.4065,2-Hydroxyethyl butyl sulfide,43,122,25.406,400699,,,
25.4579,"1,2-Hydrazinedicarboxaldehyde",47,123,25.458,867756,,,
25.4953,Hexanoic acid,47,124,25.495,1147406,,,
26.4192,"Naphthalene, 1,2-dihydro-1,1,6-trimethyl-",97,125,26.419,41166703,,,
26.6226,"Butanoic acid, 3-methyl-",47,126,26.623,4848764,,,
26.7327,"Pentanoic acid, 3-methyl-",37,127,26.733,1492666,,,
26.8398,".alpha.-Aminooxy-propionic acid, ethyl ester",32,128,26.84,2962120,,,
27.0415,"Oxime-, methoxy-phenyl-_",91,129,27.041,105685639,,,
27.2004,"Oxime-, methoxy-phenyl-_",49,130,27.2,10028700,,,
27.622,"2-Hexen-4-yne, 2-methyl-",38,131,27.622,2561138,,,
28.0714,"1H-Pyrrole-2-carboxaldehyde, 5-methyl-",50,132,28.071,2103258,,,
28.2386,N-Isopropyl-3-phenylpropanamide,15,133,28.239,1120076,,,
28.394,"Arsenous acid, tris(trimethylsilyl) ester",78,134,28.394,18029864,,,
28.6775,"1,1,1,3,5,5,5-Heptamethyltrisiloxane",43,135,28.678,1384351,,,
28.8032,"Heptasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13-tetradecamethyl-",52,136,28.803,1574802,,,
29.2491,N-Methyl-1-adamantaneacetamide,66,137,29.249,2011982,,,
29.9225,Benzyl alcohol,90,138,29.922,1739266,,,
30.0403,"Cyclotetrasiloxane, octamethyl-",56,139,30.04,5460855,,,
30.1611,"Cyclotetrasiloxane, octamethyl-",53,140,30.161,123585,,,
30.8317,Phenylethyl Alcohol,38,141,30.832,1243935,,,
31.054,"Benzenecarbothioic acid, S-methyl ester",53,142,31.054,823375,,,
31.1305,Benzyl nitrile,93,143,31.131,4028211,,,
31.2392,"Phenol, 2,6-bis(1,1-dimethylethyl)-4-(1-methylpropyl)-",93,144,31.239,4245776,,,
32.0046,"N,N-Dimethyl-N'-(10-propyl-10H-acridin-9-ylidene)-benzene-1,4-diamine",25,145,32.005,7584363,,,
32.6926,"Pentasiloxane, dodecamethyl-",38,146,32.693,1485327,,,
33.1287,"Pentanenitrile, 5-phenoxy-",59,147,33.129,1991879,,,
34.5865,2-(Ethyl)oxybenzylidene acetophenone,25,148,34.587,2563904,207,43.9,73.1
34.9979,p-Cresol,91,149,34.998,5399444,107.1,77,108.2
36.3459,"Pyrazole, 3-tert-butyl-5-(4-chlorophenyl)-1-(4-nitrophenyl)-",22,150,36.346,1003658,44,207.2,73.1
37.3916,"Tetrasiloxane, decamethyl-",35,151,37.392,582274,44,207.2,73.1
