Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
Carbon dioxide,2.412,9799479,2.412,10101868,2.412,11473798,2.412,22032776,2.412,16088658,2.412,18718853,2.412,15898842,2.412,9735401,2.412,11472083,2.412,24529641,2.412,25862783,2.412,15127942,2.412,16220011,2.412,10167738
"4H-Pyran-4-one, 3,5-dihydroxy-2-methyl-",22.614,693,22.590,76560,22.590,3461285,22.590,943662,22.590,1253515,22.590,392810,22.590,3498000,22.614,12871,22.590,449418,22.590,3753364,22.590,1641319,22.590,1821229,22.590,936418,22.590,4153993
Methanethiol,2.721,2304,2.721,2249,2.721,26824,2.721,30918,2.721,57535,2.721,69956,2.721,136422,2.721,2112,2.721,9141,2.721,4960,2.721,48203,2.721,18836,2.721,109769,2.721,9344
Acetaldehyde,2.770,851652,2.770,1158749,2.769,3518138,2.770,10719412,2.769,3272306,2.769,3114293,2.769,2471198,2.770,730306,2.770,1035464,2.769,16387023,2.769,15616756,2.769,13063389,2.770,2788647,2.769,7186344
"Hexanoic acid, hexyl ester",23.142,280,,,23.126,220293,23.134,8493,23.150,1739,23.126,141,23.126,18331,23.134,1394,23.118,71,23.134,37294,23.150,7343,23.118,5759,23.150,1154,23.126,6826
Dimethyl sulfide,2.956,1593,2.956,13693,2.956,325749,2.956,411011,2.956,107967,2.956,60158,2.956,309218,2.956,5105,2.956,14466,2.956,1119570,2.956,567340,2.956,542559,2.956,89199,2.956,662047
"Butanoic acid, octyl ester",23.337,199,23.329,82,23.345,303183,23.345,6623,23.345,14596,23.337,2980,23.345,143712,23.354,336,23.362,1232,23.353,57809,23.345,6524,23.354,4422,23.362,620,23.337,18079
.+/-.-Tetrahydro-3-furanmethanol,23.451,154,23.459,76,23.427,192522,23.419,7632,23.418,7771,23.427,2861,23.427,33341,23.419,796,23.435,1342,23.418,57048,23.410,4756,23.418,1642,23.410,1363,23.426,16047
Acetone,3.290,31876,3.290,4094891,3.289,20920458,3.289,7596077,3.289,17240553,3.289,10934270,3.289,24144690,3.289,58270,3.289,5091646,3.289,8987329,3.289,2843211,3.289,8560767,3.289,14540636,3.289,13429330
