Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
Ethyl Acetate,3.891,38046,3.891,16389721,3.890,38036972,3.891,40586079,3.890,37469156,3.890,6417484,3.890,28217874,3.891,109599,3.891,13047193,3.890,39700320,3.890,39792629,3.890,40109067,3.891,21370067,3.890,41615206
Isopropyl acetate,4.012,3229,4.012,9219718,4.012,25259854,4.012,35782939,4.012,24197455,4.012,10581643,4.012,16496418,4.012,25679,4.012,13290006,4.012,44163900,4.012,45281428,4.012,42186903,4.012,19281106,4.012,43808254
Methyl propionate,4.061,46907,4.061,6569767,4.061,39439384,4.061,49061974,4.061,39313881,4.061,14437628,4.061,22091295,4.061,159115,4.061,12858664,4.061,49053585,4.061,49061974,4.061,49053585,4.061,25414371,4.061,49053585
"Propane, 2-ethoxy-",4.394,114523,4.394,7559160,4.394,6175193,4.394,6629008,4.394,7388458,4.394,7441168,4.394,9085389,4.394,83525,4.394,6867814,4.394,6777371,4.394,6792927,4.394,6620291,4.394,7730067,4.394,6705445
Ethanol,4.484,55484,4.484,1480952,4.483,20980704,4.483,34327156,4.483,16690563,4.483,1719429,4.483,8641412,4.484,96284,4.484,1747887,4.483,36334428,4.483,36704694,4.483,36276996,4.484,2658305,4.483,36486004
"Propanoic acid, 1-methylethyl ester",4.890,5969,4.890,164228,4.890,3464585,4.890,1299226,4.890,1201906,4.890,662768,4.890,1277891,4.890,12367,4.890,458777,4.890,5774846,4.890,2864167,4.890,4443610,4.890,1008286,4.889,4213163
2-Pentanone,5.133,25562,5.133,312716,5.133,11934520,5.133,8703917,5.133,5556066,5.133,863721,5.133,3341672,5.133,97851,5.133,453986,5.133,20516233,5.133,14252758,5.133,16289662,5.133,2428089,5.133,13242092
Isopropyl butyrate,6.303,30492,6.303,6974777,6.303,34743817,6.303,14837620,6.303,11738186,6.303,15750116,6.303,27031506,6.303,192600,6.303,7349189,6.303,34372140,6.303,16273088,6.303,14845743,6.303,11179120,6.303,22380019
"Pentanoic acid, 1-methylethyl ester",6.596,2599,6.596,197300,6.595,4852647,6.596,15328445,6.595,4849786,6.595,657838,6.595,1592415,6.596,8445,6.596,615640,6.595,36637573,6.595,22664019,6.595,32855459,6.596,1992346,6.595,28817942
"Propanoic acid, 2-methylpropyl ester",7.189,9764,7.189,34471,7.188,2993505,7.189,427098,7.188,889551,7.188,107761,7.188,518076,7.189,21622,7.189,57525,7.188,3441242,7.188,1011092,7.188,1874932,7.189,197224,7.188,2487502
Methyl valerate,7.294,9105,7.294,180468,7.294,971020,7.294,183971,7.294,424048,7.294,419165,7.294,606724,7.294,41585,7.294,359257,7.294,469751,7.294,185857,7.294,365911,7.294,293061,7.294,314948
"1-Propanol, 2-methyl-",7.603,22356,7.603,137851,7.603,5416527,7.603,1696515,7.603,3241968,7.603,357542,7.603,1999528,7.603,94685,7.603,167649,7.603,6514740,7.603,3485885,7.603,3934020,7.603,513024,7.603,4423639
"Butanoic acid, 1-methylpropyl ester",8.456,4904,8.456,48186,8.456,726874,8.456,393443,8.456,333738,8.456,272526,8.456,528398,8.456,20366,8.456,102966,8.456,601788,8.456,371756,8.456,406733,8.456,274796,8.456,787024
"Nonanoic acid, ethyl ester",8.586,3048,8.586,13161,8.586,257231,8.586,204745,8.586,84024,8.586,26941,8.586,73843,8.586,8084,8.586,13758,8.586,1913545,8.586,599157,8.586,686273,8.586,40134,8.586,811760
2-Butoxyethyl acetate,8.724,5289,8.724,24153,8.724,490040,8.724,196666,8.724,243026,8.724,48955,8.724,174825,8.724,7561,8.724,28987,8.724,989890,8.724,347163,8.724,1867325,8.724,67422,8.724,661254
"Pentanoic acid, 4-methyl-, methyl ester",8.805,3071,8.805,80239,8.805,456796,8.805,65196,8.805,240640,8.805,181771,8.805,300436,8.805,7775,8.805,136647,8.805,179943,8.805,68305,8.805,158603,8.805,135038,8.805,173955
1-Butanol,8.894,20390,8.894,49855,8.894,1145362,8.894,772062,8.894,305907,8.894,58884,8.894,411137,8.894,26622,8.894,32484,8.894,1630117,8.894,796483,8.894,992178,8.894,59828,8.894,650924
"Butanoic acid, butyl ester",9.252,4012,9.252,90106,9.252,28738094,9.252,1142215,9.252,6806093,9.252,430145,9.252,9278647,9.252,28623,9.252,81222,9.252,13937221,9.252,2740834,9.252,2898688,9.252,364885,9.252,8871458
"2-Butenoic acid, 1-methylethyl ester",9.536,2266,9.536,2410,9.536,3214,9.536,2326,9.536,2861,9.536,2917,9.536,3374,9.536,1135,9.536,1384,9.536,3632,9.536,3425,9.536,2879,9.536,2039,9.536,3180
"Acetic acid, heptyl ester",9.593,15449,9.593,45476,9.593,1041415,9.593,342162,9.593,451435,9.593,127068,9.593,426081,9.593,30690,9.593,71923,9.593,979149,9.593,639066,9.593,573969,9.593,173075,9.593,981239
Isobutyl isovalerate,10.121,1759,10.121,26427,10.121,3792994,10.121,186038,10.121,2256563,10.121,105856,10.121,1593275,10.121,5563,10.121,28523,10.121,3544796,10.121,523190,10.121,1596690,10.121,140694,10.121,3015107
"1-Butanol, 2-methyl-, (S)-",10.227,110027,10.227,413405,10.227,4430181,10.227,1483868,10.226,2090340,10.226,1719503,10.227,2761006,10.227,398461,10.227,708010,10.226,1418053,10.226,870201,10.227,739319,10.227,695186,10.226,905842
"Acetic acid, butyl ester",11.356,14971,11.356,242015,11.356,1386970,11.356,413764,11.356,504374,11.356,605911,11.356,1143867,11.356,24660,11.356,200234,11.356,947232,11.356,512825,11.356,493432,11.356,268869,11.356,715994
"Butanoic acid, butyl ester (1)",10.942,7639,10.941,56289,10.941,4252583,10.941,496330,10.941,364124,10.941,235805,10.941,1874711,10.941,26257,10.941,52828,10.941,1108793,10.941,346717,10.941,261327,10.941,97804,10.941,378559
"Hexanoic acid, 1-methylethyl ester",11.486,9074,11.486,617719,11.486,22915823,11.486,28367675,11.486,4720837,11.486,2344537,11.486,7175775,11.486,160544,11.486,380527,11.486,40390753,11.486,35639107,11.486,24762958,11.486,1072407,11.485,29216872
"2-Penten-1-ol, acetate, (Z)-",11.827,2761,11.827,32250,11.827,345475,11.827,405418,11.827,499218,11.827,73585,11.827,128836,11.827,5741,11.827,52972,11.827,387180,11.827,277597,11.827,262259,11.827,122815,11.827,797046
"Butanoic acid, 3-methyl-, butyl ester",11.965,1781,11.965,10508,11.965,712112,11.965,145494,11.965,179791,11.965,75005,11.965,541372,11.965,10743,11.965,14078,11.965,712977,11.965,192202,11.965,280715,11.965,74392,11.965,459789
"2-Heptanol, acetate",12.331,13267,12.331,23344,12.330,484526,12.330,138706,12.330,142886,12.330,79585,12.330,211812,12.331,27933,12.330,35507,12.330,760432,12.330,178302,12.330,163322,12.330,92533,12.330,338290
"Butanoic acid, 3-methylbutyl ester",12.469,4402,12.469,73042,12.468,8307881,12.469,918681,12.468,1391426,12.468,834785,12.469,4528712,12.469,35454,12.469,146902,12.468,7156048,12.468,2017706,12.469,2265645,12.469,594961,12.468,5298330
"Acetic acid, nonyl ester",12.794,17158,12.794,30599,12.793,2564793,12.793,972558,12.793,499543,12.793,246252,12.793,695934,12.794,145043,12.793,120481,12.793,4309501,12.793,1741642,12.793,1486596,12.793,362964,12.793,2093061
n-Butyl methacrylate,12.980,9004,12.980,16732,12.980,5011260,12.980,1230649,12.980,1050138,12.980,49102,12.980,1974338,12.980,17146,12.980,22308,12.980,7929347,12.980,1637003,12.980,4489926,12.980,68718,12.980,2996875
