Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
Ethyl Acetate,3.891,38046,3.891,16389721,3.890,38036972,3.891,40586079,3.890,37469156,3.890,6417484,3.890,28217874,3.891,109599,3.891,13047193,3.890,39700320,3.890,39792629,3.890,40109067,3.891,21370067,3.890,41615206
Isopropyl acetate,4.012,3229,4.012,9219718,4.012,25259854,4.012,35782939,4.012,24197455,4.012,10581643,4.012,16496418,4.012,25679,4.012,13290006,4.012,44163900,4.012,45281428,4.012,42186903,4.012,19281106,4.012,43808254
Methyl propionate,4.061,46907,4.061,6569767,4.061,39439384,4.061,49061974,4.061,39313881,4.061,14437628,4.061,22091295,4.061,159115,4.061,12858664,4.061,49053585,4.061,49061974,4.061,49053585,4.061,25414371,4.061,49053585
"Propane, 2-ethoxy-",4.394,114523,4.394,7559160,4.394,6175193,4.394,6629008,4.394,7388458,4.394,7441168,4.394,9085389,4.394,83525,4.394,6867814,4.394,6777371,4.394,6792927,4.394,6620291,4.394,7730067,4.394,6705445
Ethanol,4.484,55484,4.484,1480952,4.483,20980704,4.483,34327156,4.483,16690563,4.483,1719429,4.483,8641412,4.484,96284,4.484,1747887,4.483,36334428,4.483,36704694,4.483,36276996,4.484,2658305,4.483,36486004
2-Pentanone,5.133,25562,5.133,312716,5.133,11934520,5.133,8703917,5.133,5556066,5.133,863721,5.133,3341672,5.133,97851,5.133,453986,5.133,20516233,5.133,14252758,5.133,16289662,5.133,2428089,5.133,13242092
Isopropyl butyrate,6.303,30492,6.303,6974777,6.303,34743817,6.303,14837620,6.303,11738186,6.303,15750116,6.303,27031506,6.303,192600,6.303,7349189,6.303,34372140,6.303,16273088,6.303,14845743,6.303,11179120,6.303,22380019
"Pentanoic acid, 1-methylethyl ester",6.596,2599,6.596,197300,6.595,4852647,6.596,15328445,6.595,4849786,6.595,657838,6.595,1592415,6.596,8445,6.596,615640,6.595,36637573,6.595,22664019,6.595,32855459,6.596,1992346,6.595,28817942
"Butanoic acid, butyl ester",9.252,4012,9.252,90106,9.252,28738094,9.252,1142215,9.252,6806093,9.252,430145,9.252,9278647,9.252,28623,9.252,81222,9.252,13937221,9.252,2740834,9.252,2898688,9.252,364885,9.252,8871458
"Hexanoic acid, 1-methylethyl ester",11.486,9074,11.486,617719,11.486,22915823,11.486,28367675,11.486,4720837,11.486,2344537,11.486,7175775,11.486,160544,11.486,380527,11.486,40390753,11.486,35639107,11.486,24762958,11.486,1072407,11.485,29216872
"Butanoic acid, 3-methyl-, butyl ester",11.965,1781,11.965,10508,11.965,712112,11.965,145494,11.965,179791,11.965,75005,11.965,541372,11.965,10743,11.965,14078,11.965,712977,11.965,192202,11.965,280715,11.965,74392,11.965,459789
