"Path","File","Date Acquired","Sample","Misc"
"Z:\data\JTB-E02\BACandBLUE\","JTB-E02-196-07.D","20 Feb 2019  09:51    ","BAC-02 BLANK"," "
"PBM Apex"
"Fri Mar 08 12:46:04 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2808, 0.3840,"Carbon dioxide (CAS) $$ Dry ice $$ R 744 $$ Carbonic acid gas $$ Carbonic anhydride $$ Carbon oxide (CO2) $$ Carbonic acid, gas $$ CO2 $$ Anhydride carbonique $$ Carbonice $$ Kohlendioxyd $$ Kohlensaure $$ UN 1013 $$ UN 1845 $$ UN 2187",   179,"000124-38-9", 4
  2,  2.4271, 0.2884,"Hexane (CAS) $$ n-Hexane $$ Skellysolve B $$ n-C6H14 $$ Esani $$ Heksan $$ Hexanen $$ Hexyl hydride $$ Gettysolve-B $$ NCI-C60571 $$ UN 1208",  3551,"000110-54-3",60
  3,  2.5573, 0.1062,"2-Butanamine, hydrochloride (CAS) $$ sec-Butylamine hydrochloride $$ 2-AB hydrochloride $$ Tutane hydrochloride $$ Butafume hydrochloride $$ 2-Butylamine hydrochloride $$ 2-Aminobutane hydrochloride $$ 1-Methylpropylamine hydrochloride",  1596,"010049-60-2",43
  4,  2.6139, 0.1063,"2,2-dimethyl-4-methylaminobutanone $$ 2-Butanone, 3,3-dimethyl-4-(methylamino)-", 20143,"123528-99-4",59
  5,  2.8139, 0.0308,"1,2-Propanediamine, N(1)-(2-aminopropyl)- $$ Bis(2-aminopropyl)amine", 21439,"007356-00-5",38
  6,  2.8697, 0.0517,"2,2-dimethyl-4-methylaminobutanone $$ 2-Butanone, 3,3-dimethyl-4-(methylamino)-", 20143,"123528-99-4",59
  7,  3.0162, 0.0195,"METHYL ESTER OF N-VALERYL-ALANINE", 71664,"000000-00-0",64
  8,  3.1285, 0.0484,"Pentanal (CAS) $$ n-Pentanal $$ n-Valeraldehyde $$ Valeral $$ Valeraldehyde $$ Valeric aldehyde $$ Valerianic aldehyde $$ Valerylaldehyde yde $$ Valeric acid aldehyde $$ 1-pentanal $$ Valeryl aldehyde $$ n-C4H9CHO $$ Amyl aldehyde $$ Butyl formal $$ UN 20",  3280,"000110-62-3",50
  9,  3.3193,14.8906,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",106848,"000541-05-9",46
 10,  3.6712, 0.5742,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-", 92199,"035373-06-9",86
 11,  3.8354, 0.4416,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-", 92199,"035373-06-9",86
 12,  4.0202, 0.2115,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",106848,"000541-05-9",83
 13,  4.1745, 0.2634,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",106849,"000541-05-9",53
 14,  4.3846, 0.3622,"1-METHYLALLYL(CYCLOOCTATETRAENE)TITANIUM", 92376,"000000-00-0",64
 15,  4.8914, 0.0602,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-", 92199,"035373-06-9",86
 16,  4.9844,11.6238,"1-(2-trimethylsiloxy-1,1-dideuteriovinyl)-4-trimethylsiloxy-benzene $$ Silane, trimethyl[4-[1-[(trimethylsilyl)oxy]ethenyl-2,2-d2]phenoxy]-",161523,"126210-55-7",64
