[contents]
count=2
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_FFaeni_10BB_BLANK_PRO_REP\JTB-E02-200-16.D
1=,INT TIC: JTB-E02-200-16.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-200-16.D\data.ms]
Time=,Wed Aug 14 14:32:38 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.285,   17,  24,  38,"BV  ",1216210, 26389722,  3.95,  0.483
2=,  2,  2.427,   38,  42,  49,"VV 2", 179915,  5847861,  0.88,  0.107
3=,  3,  2.499,   49,  51,  56,"VV  ",  67372,  1893265,  0.28,  0.035
4=,  4,  2.570,   56,  59,  63,"VV 2", 200935,  4120869,  0.62,  0.075
5=,  5,  2.621,   63,  66,  82,"VV  ", 249041,  9682569,  1.45,  0.177
6=,  6,  2.797,   82,  87, 111,"VV  ",1306444, 39845191,  5.97,  0.730
7=,  7,  3.017,  111, 114, 118,"VV  ", 300302,  6164343,  0.92,  0.113
8=,  8,  3.119,  118, 127, 135,"VV  ",5838868,152203401, 22.79,  2.787
9=,  9,  3.204,  135, 138, 147,"VV  ",2009390, 63839809,  9.56,  1.169
10=, 10,  3.322,  147, 152, 173,"VV  ",7057168,251193832, 37.61,  4.600
11=, 11,  3.501,  173, 174, 177,"VV  ", 683753, 13254315,  1.98,  0.243
12=, 12,  3.536,  177, 178, 188,"VV 4", 640903, 24462820,  3.66,  0.448
13=, 13,  3.691,  188, 197, 210,"VV  ",17121631,451835912, 67.65,  8.275
14=, 14,  3.827,  210, 214, 225,"VV  ",4684295,170763825, 25.57,  3.127
15=, 15,  3.977,  225, 233, 235,"VV 3",3353595, 96825323, 14.50,  1.773
16=, 16,  4.025,  235, 239, 251,"VV  ",4564183,141013166, 21.11,  2.582
17=, 17,  4.164,  251, 256, 260,"VV 3",1518042, 48437972,  7.25,  0.887
18=, 18,  4.248,  260, 266, 296,"VV  ",16552833,546955559, 81.89, 10.017
19=, 19,  4.654,  311, 316, 331,"VV  ", 857181, 45217972,  6.77,  0.828
20=, 20,  4.820,  331, 336, 350,"VV  ",1101940, 49966626,  7.48,  0.915
21=, 21,  4.980,  350, 356, 363,"VV  ",2845129, 90277958, 13.52,  1.653
22=, 22,  5.049,  363, 365, 377,"VV  ", 936274, 44061309,  6.60,  0.807
23=, 23,  5.183,  377, 381, 383,"VV 3", 658936, 17090118,  2.56,  0.313
24=, 24,  5.212,  383, 385, 398,"VV 4", 645738, 33269606,  4.98,  0.609
25=, 25,  5.355,  398, 402, 407,"VV 4", 390033, 14937031,  2.24,  0.274
26=, 26,  5.408,  407, 409, 413,"VV 3", 338005,  9105148,  1.36,  0.167
27=, 27,  5.473,  413, 417, 421,"VV  ", 321000, 11629716,  1.74,  0.213
28=, 28,  5.534,  421, 424, 426,"VV 3", 277712,  6517288,  0.98,  0.119
29=, 29,  5.588,  426, 431, 441,"VV 3", 583257, 25425339,  3.81,  0.466
30=, 30,  5.709,  441, 446, 455,"VV 3", 366033, 18262755,  2.73,  0.334
31=, 31,  5.999,  475, 482, 496,"VV 2",1017221, 39606802,  5.93,  0.725
32=, 32,  6.160,  496, 501, 512,"VV 2", 559567, 23148787,  3.47,  0.424
33=, 33,  6.275,  512, 516, 520,"VV 6", 222529,  8229418,  1.23,  0.151
34=, 34,  6.353,  520, 525, 537,"VV 5", 295882, 17851671,  2.67,  0.327
35=, 35,  6.468,  537, 539, 544,"VV 5", 204274,  6728877,  1.01,  0.123
36=, 36,  6.596,  544, 555, 560,"VV 4", 410355, 19876898,  2.98,  0.364
37=, 37,  6.685,  560, 566, 598,"VV  ",2236710, 84372902, 12.63,  1.545
38=, 38,  6.993,  598, 604, 609,"VV  ", 179369,  7129483,  1.07,  0.131
39=, 39,  7.076,  609, 614, 618,"VV 7", 130338,  4463357,  0.67,  0.082
40=, 40,  7.181,  618, 627, 631,"VV  ", 235978,  9649871,  1.44,  0.177
41=, 41,  7.262,  631, 637, 652,"VV  ",2709920, 71083680, 10.64,  1.302
42=, 42,  7.565,  666, 674, 692,"VV 2",1271047, 45256869,  6.78,  0.829
43=, 43,  7.822,  699, 706, 710,"VV 8", 100413,  3727675,  0.56,  0.068
44=, 44,  7.894,  710, 715, 718,"VV 5",  96299,  3161949,  0.47,  0.058
45=, 45,  7.962,  718, 723, 735,"VV  ", 361754, 11947415,  1.79,  0.219
46=, 46,  8.165,  739, 748, 762,"VV 6",  94828,  5425773,  0.81,  0.099
47=, 47,  8.330,  762, 768, 774,"VV 4",  71572,  2502113,  0.37,  0.046
48=, 48,  8.573,  789, 798, 810,"VV  ", 720103, 19940556,  2.99,  0.365
49=, 49,  8.807,  820, 827, 843,"VV  ", 594446, 24663535,  3.69,  0.452
50=, 50,  8.968,  843, 847, 859,"VV 4", 161613,  9209548,  1.38,  0.169
51=, 51,  9.129,  859, 867, 878,"VV 4", 141660,  7824389,  1.17,  0.143
52=, 52,  9.449,  895, 906, 912,"VV 4", 123021,  5720978,  0.86,  0.105
53=, 53,  9.538,  912, 917, 929,"VV 6", 127718,  4812419,  0.72,  0.088
54=, 54,  9.970,  964, 970, 983,"VV 5", 110082,  4418289,  0.66,  0.081
55=, 55, 10.358,  994,1018,1056,"VV 2",21318517,667893508,100.00, 12.232
56=, 56, 10.686, 1056,1059,1063,"VV 5",  88596,  2751266,  0.41,  0.050
57=, 57, 10.734, 1063,1064,1073,"VV 8",  81829,  2979759,  0.45,  0.055
58=, 58, 11.355, 1129,1141,1156,"PV  ", 765779, 25250445,  3.78,  0.462
59=, 59, 11.519, 1156,1161,1171,"VV 2", 133287,  5156540,  0.77,  0.094
60=, 60, 11.642, 1171,1176,1183,"VV 3", 130435,  3320134,  0.50,  0.061
61=, 61, 12.034, 1218,1225,1231,"PV 2",  42862,  1078975,  0.16,  0.020
62=, 62, 12.145, 1231,1238,1247,"VV 2", 179359,  5412572,  0.81,  0.099
63=, 63, 12.447, 1269,1275,1286,"VV 4",  79528,  2757949,  0.41,  0.051
64=, 64, 12.589, 1286,1293,1304,"VV  ",  60007,  2110787,  0.32,  0.039
65=, 65, 13.840, 1431,1447,1460,"PV 5", 294409, 16934714,  2.54,  0.310
66=, 66, 14.005, 1460,1467,1483,"VV  ", 129595,  5823443,  0.87,  0.107
67=, 67, 14.242, 1483,1496,1517,"VV 3", 199805, 12942355,  1.94,  0.237
68=, 68, 14.446, 1517,1521,1532,"VV 4",  40282,  1457332,  0.22,  0.027
69=, 69, 14.854, 1561,1572,1604,"PV  ",5153798,160985356, 24.10,  2.948
70=, 70, 15.166, 1604,1610,1625,"VV 6",  84172,  3512484,  0.53,  0.064
71=, 71, 15.555, 1633,1658,1673,"BV 4", 110612,  5820771,  0.87,  0.107
72=, 72, 15.810, 1680,1689,1697,"BV 2", 433832, 12775799,  1.91,  0.234
73=, 73, 15.914, 1697,1702,1708,"VV 4",  71039,  2822915,  0.42,  0.052
74=, 74, 16.010, 1708,1714,1724,"VV 7",  43258,  2301707,  0.34,  0.042
75=, 75, 16.400, 1756,1762,1767,"VV  ",  50751,  1510661,  0.23,  0.028
76=, 76, 16.503, 1767,1775,1787,"VV  ",1005564, 29157650,  4.37,  0.534
77=, 77, 16.637, 1787,1791,1804,"VV 10",  43398,  1747684,  0.26,  0.032
78=, 78, 17.126, 1840,1851,1865,"PV 3",  64570,  3414790,  0.51,  0.063
79=, 79, 17.628, 1904,1913,1936,"VV 3", 802276, 35232668,  5.28,  0.645
80=, 80, 17.888, 1939,1945,1956,"VV 6",  58350,  2396010,  0.36,  0.044
81=, 81, 18.115, 1956,1973,2004,"VV  ", 895338, 39960282,  5.98,  0.732
82=, 82, 18.505, 2004,2021,2030,"VV 4", 271651, 10100303,  1.51,  0.185
83=, 83, 18.917, 2056,2072,2073,"PV 2", 159129,  5063900,  0.76,  0.093
84=, 84, 18.991, 2073,2081,2091,"VV 5", 183860, 14276347,  2.14,  0.261
85=, 85, 19.131, 2091,2098,2105,"VV 4", 215798, 12791691,  1.92,  0.234
86=, 86, 19.201, 2105,2107,2114,"VV 4", 163273,  6869976,  1.03,  0.126
87=, 87, 19.277, 2114,2116,2117,"VV  ", 137652,  1924545,  0.29,  0.035
88=, 88, 19.305, 2117,2120,2125,"VV 4", 143544,  5002124,  0.75,  0.092
89=, 89, 19.398, 2125,2131,2140,"VV  ", 186209, 10747213,  1.61,  0.197
90=, 90, 19.541, 2140,2149,2159,"VV 7", 257631, 13875507,  2.08,  0.254
91=, 91, 19.698, 2159,2168,2180,"VV  ", 574009, 27838277,  4.17,  0.510
92=, 92, 19.810, 2180,2182,2186,"VV 4", 140359,  3788218,  0.57,  0.069
93=, 93, 19.921, 2186,2195,2223,"VV  ",15847208,664806551, 99.54, 12.175
94=, 94, 20.205, 2223,2230,2236,"VV 7", 355014, 19311565,  2.89,  0.354
95=, 95, 20.306, 2236,2243,2258,"VV 5", 574357, 28964552,  4.34,  0.530
96=, 96, 20.473, 2258,2263,2276,"VV 3", 115809,  6259421,  0.94,  0.115
97=, 97, 20.839, 2296,2308,2330,"VV 4", 274412, 10283304,  1.54,  0.188
98=, 98, 21.184, 2343,2351,2363,"PV 7", 131596,  4607130,  0.69,  0.084
99=, 99, 21.448, 2373,2383,2395,"BV 7",  42495,  1505469,  0.23,  0.028
100=,100, 21.679, 2395,2412,2428,"VV 6",  77602,  4048690,  0.61,  0.074
101=,101, 21.873, 2428,2436,2453,"VV 5",  59157,  2252899,  0.34,  0.041
102=,102, 22.356, 2479,2495,2501,"PV 2", 104423,  4204832,  0.63,  0.077
103=,103, 22.440, 2501,2506,2512,"VV 6",  89647,  3253264,  0.49,  0.060
104=,104, 22.536, 2512,2517,2526,"VV 6",  71434,  4274239,  0.64,  0.078
105=,105, 22.624, 2526,2528,2532,"VV 4",  59453,  1404819,  0.21,  0.026
