[contents]
count=2
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-203-17.D
1=,INT TIC: JTB-E02-203-17.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-203-17.D\data.ms]
Time=,Fri Apr 05 11:37:05 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.285,   21,  24,  49,"PV  ",1747051, 39967721,  4.16,  0.683
2=,  2,  2.500,   49,  51,  55,"VV 5",  91356,  2508647,  0.26,  0.043
3=,  3,  2.570,   55,  59,  63,"VV  ", 817656, 14617785,  1.52,  0.250
4=,  4,  2.620,   63,  66,  82,"VV 2", 409228, 17535888,  1.83,  0.300
5=,  5,  2.796,   82,  87, 111,"VV  ",2528706, 70366295,  7.33,  1.203
6=,  6,  3.010,  111, 114, 119,"VV 3", 141869,  4477173,  0.47,  0.077
7=,  7,  3.119,  119, 127, 134,"VV 2",5315105,136212161, 14.19,  2.329
8=,  8,  3.204,  134, 138, 147,"VV  ",2229441, 70249079,  7.32,  1.201
9=,  9,  3.322,  147, 152, 178,"VV  ",6108698,239290963, 24.93,  4.091
10=, 10,  3.542,  178, 179, 188,"VV 3", 461421, 19354540,  2.02,  0.331
11=, 11,  3.691,  188, 197, 210,"VV  ",18448177,498288011, 51.91,  8.519
12=, 12,  3.827,  210, 214, 225,"VV  ",4761017,171863880, 17.90,  2.938
13=, 13,  3.977,  225, 233, 235,"VV 2",3645335,105603882, 11.00,  1.805
14=, 14,  4.025,  235, 238, 253,"VV  ",6557040,194592893, 20.27,  3.327
15=, 15,  4.248,  260, 266, 302,"VV  ",17977707,616567201, 64.23, 10.541
16=, 16,  4.653,  310, 316, 329,"VV  ",1057943, 48139141,  5.01,  0.823
17=, 17,  4.819,  329, 336, 350,"VV  ", 894344, 45882397,  4.78,  0.784
18=, 18,  4.983,  350, 357, 362,"VV  ",1666579, 59855993,  6.24,  1.023
19=, 19,  5.051,  362, 365, 376,"VV 3", 937196, 44689992,  4.66,  0.764
20=, 20,  5.179,  376, 381, 383,"VV 4", 669938, 19341977,  2.01,  0.331
21=, 21,  5.221,  383, 386, 398,"VV 4", 649424, 31147258,  3.24,  0.532
22=, 22,  5.353,  398, 402, 406,"VV 2", 405063, 13548733,  1.41,  0.232
23=, 23,  5.411,  406, 409, 413,"VV 3", 367798, 11796837,  1.23,  0.202
24=, 24,  5.470,  413, 416, 422,"VV 4", 313594, 11189881,  1.17,  0.191
25=, 25,  5.589,  426, 431, 441,"VV 3", 977311, 35354274,  3.68,  0.604
26=, 26,  5.707,  441, 446, 460,"VV  ", 357919, 21979652,  2.29,  0.376
27=, 27,  5.999,  470, 482, 495,"VV 2", 766164, 34420525,  3.59,  0.588
28=, 28,  6.160,  495, 501, 511,"VV  ", 588958, 23542666,  2.45,  0.402
29=, 29,  6.277,  511, 516, 522,"VV 6", 240154,  9860315,  1.03,  0.169
30=, 30,  6.596,  545, 555, 560,"VV  ", 770998, 25188984,  2.62,  0.431
31=, 31,  6.685,  560, 566, 599,"VV  ",9572714,290464731, 30.26,  4.966
32=, 32,  6.992,  599, 604, 609,"VV 2", 265676,  9192699,  0.96,  0.157
33=, 33,  7.073,  609, 614, 622,"VV 5", 334064, 14703223,  1.53,  0.251
34=, 34,  7.178,  622, 627, 631,"VV  ", 278047,  9807970,  1.02,  0.168
35=, 35,  7.264,  631, 637, 658,"VV  ",2805773, 80750813,  8.41,  1.381
36=, 36,  7.562,  665, 674, 699,"VV  ",4300965,145566784, 15.16,  2.489
37=, 37,  7.822,  699, 706, 710,"VV 6", 160923,  6320631,  0.66,  0.108
38=, 38,  7.894,  710, 715, 718,"VV 4", 152207,  4915793,  0.51,  0.084
