"Path","File","Date Acquired","Sample","Misc"
"Z:\data\JTB-E02\BACandBLUE\","JTB-E02-204-13.D","09 Mar 2019  11:17    ","PRO03   BAC-01"," "
"PBM Apex"
"Thu Mar 28 12:07:11 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2841, 0.5216,"Carbon dioxide",    81,"000124-38-9", 4
  2,  2.4238, 0.0583,"1-Propanamine, N,2-dimethyl-",  1957,"000625-43-4",64
  3,  2.4940, 0.0361,"Butanoic acid, 3-amino-",  4631,"000541-48-0",59
  4,  2.5694, 0.0839,"Methanethiol",   114,"000074-93-1",58
  5,  2.6189, 0.5083,"Acetaldehyde",    72,"000075-07-0",78
  6,  2.7940, 0.5564,"Dimethyl sulfide",   337,"000075-18-3",91
  7,  2.9729, 0.0920,"Ethanethiol",   333,"000075-08-1",25
  8,  3.1148, 3.0945,"Acetone",   216,"000067-64-1",72
  9,  3.2024, 1.1145,"Acetic acid, methyl ester",   829,"000079-20-9",42
 10,  3.3201, 4.5671,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
 11,  3.5842, 0.4616,"Butanal",   653,"000123-72-8",46
 12,  3.6890, 6.9604,"CH3C(O)CH2CH2OH",  2044,"000590-90-9",64
 13,  3.8253, 2.5403,"2-Butanone",   659,"000078-93-3",53
 14,  3.9756, 2.6873,"Allyl ethyl ether",  1759,"000557-31-3",72
 15,  4.0243,13.7984,"Butanal, 3-methyl-",  1767,"000590-86-3",90
 16,  4.2463,10.0994,"Ethanol",    94,"000064-17-5",86
 17,  4.6520, 0.7541,"Furan, tetrahydro-2-(methoxymethyl)-",  8361,"019354-27-9",59
 18,  4.8172, 0.2419,"2,3-Butanedione",  1677,"000431-03-8",38
 19,  4.8580, 0.2698,"1-Nitro-2-acetamido-1,2-dideoxy-d-glucitol",113759,"1000126-98-2",37
 20,  4.9789, 1.4410,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",91
 21,  5.0490, 0.6758,"Carbonic acid, dimethyl ester",  2294,"000616-38-6",38
 22,  5.1773, 0.2847,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",32
 23,  5.2196, 0.4370,"Thiophen-2-methylamine, N-(2-fluorophenyl)-", 71285,"1000310-35-2",38
 24,  5.3514, 0.2040,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",45
 25,  5.4073, 0.1674,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",38
 26,  5.4649, 0.1679,"Pentasiloxane, dodecamethyl-",229154,"000141-63-9",43
 27,  5.5900, 0.4932,"Methyl isovalerate",  8240,"000556-24-1",55
 28,  5.7063, 0.2932,"Carbonic acid, ethyl-, methyl ester",  4787,"000623-53-0",35
 29,  6.0005, 0.3257,"3-Buten-2-ol, 2-methyl-",  1814,"000115-18-4",49
 30,  6.1591, 0.3155,"2-Propanol, 1-(1-methylethoxy)-",  9029,"003944-36-3",32
 31,  6.2698, 0.1137,"N-Methoxymethyl-N-methylacetamide",  8670,"038592-02-8",35
 32,  6.3511, 0.1431,"Morphinan, 7,8-didehydro-3-methoxy-17-methyl-6-methylene-, (-)-",141076,"001816-06-4",35
 33,  6.5943, 0.2158,"Butanoic acid, 3-methyl-, ethyl ester", 13842,"000108-64-5",49
 34,  6.6832, 0.9946,"Disulfide, dimethyl",  2561,"000624-92-0",96
 35,  6.8760, 0.1468,"Hexanal",  3832,"000066-25-1",47
 36,  6.9921, 0.0855,"1-Butene, 4-cyclopropyl-",  2920,"007736-35-8",33
 37,  7.1769, 0.0887,"2-Butenal, 2-methyl-",  1433,"001115-11-3",72
 38,  7.2490, 0.9885,"1-Propanol, 2-methyl-",   864,"000078-83-1",90
