Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
Methanethiol,JTB-E02-199-06.D,2.558,322,JTB-E02-199-07.D,2.566,1068,JTB-E02-199-08.D,2.542,326,JTB-E02-199-11.D,2.575,171010,JTB-E02-199-12.D,,,JTB-E02-199-13.D,2.575,320231,JTB-E02-199-14.D,2.558,129775,JTB-E02-199-15.D,2.566,178621,JTB-E02-199-16.D,2.558,405315,JTB-E02-199-17.D,2.567,229894,JTB-E02-200-06.D,2.566,266,JTB-E02-200-07.D,2.566,2466,JTB-E02-200-08.D,2.566,1243,JTB-E02-200-11.D,2.566,61134,JTB-E02-200-12.D,2.566,119870,JTB-E02-200-13.D,2.566,45923,JTB-E02-200-14.D,2.566,73571,JTB-E02-200-15.D,2.566,149215,JTB-E02-200-16.D,2.567,85839,JTB-E02-200-17.D,2.566,70616,JTB-E02-201-06.D,2.566,1330,JTB-E02-201-07.D,2.574,1217,JTB-E02-201-08.D,2.566,86,JTB-E02-201-11.D,2.566,37931,JTB-E02-201-12.D,2.575,39089,JTB-E02-201-13.D,2.566,40427,JTB-E02-201-14.D,2.566,53876,JTB-E02-201-15.D,2.567,46965,JTB-E02-201-16.D,2.566,53164,JTB-E02-201-17.D,2.55,52516
Carbon dioxide,JTB-E02-199-06.D,2.282,5303303,JTB-E02-199-07.D,2.282,5363607,JTB-E02-199-08.D,2.274,2641687,JTB-E02-199-11.D,2.29,1892287,JTB-E02-199-12.D,,,JTB-E02-199-13.D,2.29,3359312,JTB-E02-199-14.D,2.274,1203668,JTB-E02-199-15.D,2.282,1247498,JTB-E02-199-16.D,2.274,3301983,JTB-E02-199-17.D,2.282,2511928,JTB-E02-200-06.D,2.274,4042030,JTB-E02-200-07.D,2.282,3336627,JTB-E02-200-08.D,2.282,4901922,JTB-E02-200-11.D,2.282,1737802,JTB-E02-200-12.D,2.274,2317766,JTB-E02-200-13.D,2.282,1991227,JTB-E02-200-14.D,2.282,1831478,JTB-E02-200-15.D,2.282,2466509,JTB-E02-200-16.D,2.282,2089751,JTB-E02-200-17.D,2.282,1792180,JTB-E02-201-06.D,2.282,4184440,JTB-E02-201-07.D,2.282,3964421,JTB-E02-201-08.D,2.282,3042680,JTB-E02-201-11.D,2.282,3533776,JTB-E02-201-12.D,2.282,1277572,JTB-E02-201-13.D,2.282,1493361,JTB-E02-201-14.D,2.282,2093516,JTB-E02-201-15.D,2.282,1949437,JTB-E02-201-16.D,2.282,1816555,JTB-E02-201-17.D,2.266,2284830
Acetaldehyde,JTB-E02-199-06.D,2.607,31449,JTB-E02-199-07.D,2.599,17928,JTB-E02-199-08.D,2.607,29951,JTB-E02-199-11.D,2.623,532950,JTB-E02-199-12.D,2.615,1444,JTB-E02-199-13.D,2.623,594825,JTB-E02-199-14.D,2.607,247508,JTB-E02-199-15.D,2.623,193022,JTB-E02-199-16.D,2.607,282003,JTB-E02-199-17.D,2.615,204639,JTB-E02-200-06.D,2.615,20356,JTB-E02-200-07.D,2.623,10744,JTB-E02-200-08.D,2.623,23403,JTB-E02-200-11.D,2.615,989062,JTB-E02-200-12.D,2.615,1038603,JTB-E02-200-13.D,2.615,979479,JTB-E02-200-14.D,2.623,183145,JTB-E02-200-15.D,2.623,36262,JTB-E02-200-16.D,2.615,149934,JTB-E02-200-17.D,2.623,53028,JTB-E02-201-06.D,2.623,15048,JTB-E02-201-07.D,2.623,20965,JTB-E02-201-08.D,2.623,10707,JTB-E02-201-11.D,2.615,1048658,JTB-E02-201-12.D,2.623,1063644,JTB-E02-201-13.D,2.623,1017030,JTB-E02-201-14.D,2.623,176737,JTB-E02-201-15.D,2.615,31960,JTB-E02-201-16.D,2.615,109107,JTB-E02-201-17.D,2.607,84098
Dimethyl sulfide,JTB-E02-199-06.D,2.802,308,JTB-E02-199-07.D,2.794,856,JTB-E02-199-08.D,2.81,178,JTB-E02-199-11.D,2.794,1700280,JTB-E02-199-12.D,2.81,124,JTB-E02-199-13.D,2.802,2065357,JTB-E02-199-14.D,2.778,2083391,JTB-E02-199-15.D,2.794,2691172,JTB-E02-199-16.D,2.786,2220028,JTB-E02-199-17.D,2.794,2190417,JTB-E02-200-06.D,2.794,3321,JTB-E02-200-07.D,2.802,5008,JTB-E02-200-08.D,2.802,3554,JTB-E02-200-11.D,2.794,816526,JTB-E02-200-12.D,2.786,984371,JTB-E02-200-13.D,2.794,556433,JTB-E02-200-14.D,2.794,502434,JTB-E02-200-15.D,2.794,930731,JTB-E02-200-16.D,2.794,808293,JTB-E02-200-17.D,2.794,711391,JTB-E02-201-06.D,2.802,4378,JTB-E02-201-07.D,2.794,3878,JTB-E02-201-08.D,2.81,652,JTB-E02-201-11.D,2.794,336854,JTB-E02-201-12.D,2.802,277650,JTB-E02-201-13.D,2.794,245348,JTB-E02-201-14.D,2.794,238899,JTB-E02-201-15.D,2.794,377119,JTB-E02-201-16.D,2.794,357944,JTB-E02-201-17.D,2.778,317510
Octane,JTB-E02-199-06.D,3.013,3088,JTB-E02-199-07.D,3.013,2575,JTB-E02-199-08.D,3.038,539,JTB-E02-199-11.D,3.013,74278,JTB-E02-199-12.D,,,JTB-E02-199-13.D,3.021,61440,JTB-E02-199-14.D,3.005,47021,JTB-E02-199-15.D,3.021,48635,JTB-E02-199-16.D,3.005,35924,JTB-E02-199-17.D,3.013,45373,JTB-E02-200-06.D,3.013,2231,JTB-E02-200-07.D,3.013,2102,JTB-E02-200-08.D,3.013,1181,JTB-E02-200-11.D,3.013,13894,JTB-E02-200-12.D,3.013,21160,JTB-E02-200-13.D,3.021,101166,JTB-E02-200-14.D,3.013,31561,JTB-E02-200-15.D,3.021,38873,JTB-E02-200-16.D,3.013,73977,JTB-E02-200-17.D,3.013,71539,JTB-E02-201-06.D,3.013,3990,JTB-E02-201-07.D,3.013,2240,JTB-E02-201-08.D,2.997,217,JTB-E02-201-11.D,3.013,11124,JTB-E02-201-12.D,3.021,8011,JTB-E02-201-13.D,3.021,12046,JTB-E02-201-14.D,3.013,12145,JTB-E02-201-15.D,3.013,16447,JTB-E02-201-16.D,3.013,23353,JTB-E02-201-17.D,3.005,23648
Acetone,JTB-E02-199-06.D,3.119,92268,JTB-E02-199-07.D,3.119,105221,JTB-E02-199-08.D,3.119,1191,JTB-E02-199-11.D,3.119,5693340,JTB-E02-199-12.D,3.143,1852,JTB-E02-199-13.D,3.127,6358567,JTB-E02-199-14.D,3.111,4790925,JTB-E02-199-15.D,3.119,6592300,JTB-E02-199-16.D,3.111,5677543,JTB-E02-199-17.D,3.119,6422850,JTB-E02-200-06.D,3.111,20505,JTB-E02-200-07.D,3.119,48775,JTB-E02-200-08.D,3.119,26734,JTB-E02-200-11.D,3.119,8497533,JTB-E02-200-12.D,3.111,7715847,JTB-E02-200-13.D,3.119,7910559,JTB-E02-200-14.D,3.119,7714885,JTB-E02-200-15.D,3.119,6994941,JTB-E02-200-16.D,3.119,7297014,JTB-E02-200-17.D,3.119,7621361,JTB-E02-201-06.D,3.119,22288,JTB-E02-201-07.D,3.119,39413,JTB-E02-201-08.D,3.119,3018,JTB-E02-201-11.D,3.119,8667775,JTB-E02-201-12.D,3.127,8565014,JTB-E02-201-13.D,3.119,8989245,JTB-E02-201-14.D,3.119,7930285,JTB-E02-201-15.D,3.119,7660158,JTB-E02-201-16.D,3.119,9214362,JTB-E02-201-17.D,3.102,7554658
"Acetic acid, methyl ester",JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,3.192,1203,JTB-E02-199-11.D,3.2,1074820,JTB-E02-199-12.D,3.233,53632,JTB-E02-199-13.D,3.208,797883,JTB-E02-199-14.D,3.192,1257198,JTB-E02-199-15.D,3.2,1492757,JTB-E02-199-16.D,3.192,1511188,JTB-E02-199-17.D,3.2,807513,JTB-E02-200-06.D,,,JTB-E02-200-07.D,3.216,1247,JTB-E02-200-08.D,3.208,2251,JTB-E02-200-11.D,3.208,897669,JTB-E02-200-12.D,3.2,1187097,JTB-E02-200-13.D,3.208,901129,JTB-E02-200-14.D,3.2,1118434,JTB-E02-200-15.D,3.2,1158270,JTB-E02-200-16.D,3.2,1171401,JTB-E02-200-17.D,3.2,1206224,JTB-E02-201-06.D,3.208,390,JTB-E02-201-07.D,3.184,664,JTB-E02-201-08.D,3.232,1206,JTB-E02-201-11.D,3.2,948851,JTB-E02-201-12.D,3.208,749606,JTB-E02-201-13.D,3.208,808683,JTB-E02-201-14.D,3.2,1031965,JTB-E02-201-15.D,3.2,1114122,JTB-E02-201-16.D,3.2,1219627,JTB-E02-201-17.D,3.184,1368039
"Cyclotrisiloxane, hexamethyl-",JTB-E02-199-06.D,3.33,28136081,JTB-E02-199-07.D,3.33,24273647,JTB-E02-199-08.D,3.314,104588,JTB-E02-199-11.D,3.322,13775012,JTB-E02-199-12.D,3.33,21578,JTB-E02-199-13.D,3.33,6849020,JTB-E02-199-14.D,3.306,8313397,JTB-E02-199-15.D,3.322,7894073,JTB-E02-199-16.D,3.314,8182877,JTB-E02-199-17.D,3.322,9698806,JTB-E02-200-06.D,3.314,12727396,JTB-E02-200-07.D,3.33,6407178,JTB-E02-200-08.D,3.322,5341698,JTB-E02-200-11.D,3.322,11607078,JTB-E02-200-12.D,3.314,10748116,JTB-E02-200-13.D,3.322,10290860,JTB-E02-200-14.D,3.322,8286173,JTB-E02-200-15.D,3.322,7510658,JTB-E02-200-16.D,3.322,8974507,JTB-E02-200-17.D,3.322,6845982,JTB-E02-201-06.D,3.322,8526185,JTB-E02-201-07.D,3.322,10298470,JTB-E02-201-08.D,3.33,508058,JTB-E02-201-11.D,3.322,12945037,JTB-E02-201-12.D,3.33,3067655,JTB-E02-201-13.D,3.33,6210797,JTB-E02-201-14.D,3.322,5674588,JTB-E02-201-15.D,3.322,6510833,JTB-E02-201-16.D,3.322,6625488,JTB-E02-201-17.D,3.306,4401428
Ethyl acetate,JTB-E02-199-06.D,3.696,6323,JTB-E02-199-07.D,3.695,10125,JTB-E02-199-08.D,3.679,876,JTB-E02-199-11.D,3.688,19013722,JTB-E02-199-12.D,3.696,5402198,JTB-E02-199-13.D,3.704,8931534,JTB-E02-199-14.D,3.679,21515135,JTB-E02-199-15.D,3.696,22655766,JTB-E02-199-16.D,3.688,22469678,JTB-E02-199-17.D,3.696,21148647,JTB-E02-200-06.D,3.687,24564,JTB-E02-200-07.D,3.704,28005,JTB-E02-200-08.D,3.704,11309,JTB-E02-200-11.D,3.696,6657549,JTB-E02-200-12.D,3.687,17540195,JTB-E02-200-13.D,3.696,14835117,JTB-E02-200-14.D,3.687,16839807,JTB-E02-200-15.D,3.687,18775053,JTB-E02-200-16.D,3.688,17557270,JTB-E02-200-17.D,3.687,17993489,JTB-E02-201-06.D,3.696,8287,JTB-E02-201-07.D,3.695,3659,JTB-E02-201-08.D,3.712,2370,JTB-E02-201-11.D,3.696,11815125,JTB-E02-201-12.D,3.704,11344316,JTB-E02-201-13.D,3.696,11782458,JTB-E02-201-14.D,3.687,11976907,JTB-E02-201-15.D,3.688,14200865,JTB-E02-201-16.D,3.687,15760216,JTB-E02-201-17.D,3.671,14096153
