Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,,BLANK BAC-01,BLANK BAC-01,,BLANK BAC-02,BLANK BAC-02,,BLANK BAC-03,BLANK BAC-03,,PRO01 BAC-01,PRO01 BAC-01,,PRO02 BAC-02,PRO02 BAC-02,,PRO03 BAC-03,PRO03 BAC-03,,REP01 BAC-01,REP01 BAC-01,,REP02 BAC-02,REP02 BAC-02,,REP03 BAC-03,REP03 BAC-03,,REP04 BAC-01,REP04 BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01   BAC-02,PRO01   BAC-02,,PRO02   BAC-03,PRO02   BAC-03,,PRO03   BAC-01,PRO03   BAC-01,,REP01   BAC-02,REP01   BAC-02,,REP02   BAC-03,REP02   BAC-03,,REP03   BAC-01,REP03   BAC-01,,REP01   BAC-01,REP01   BAC-01,,BLANK   BAC-01,BLANK   BAC-01,,PRO01   BAC-03,PRO01   BAC-03,,PRO02   BAC-01,PRO02   BAC-01,,PRO03   BAC-02,PRO03   BAC-02,,REP01   BAC-03,REP01   BAC-03,,REP02   BAC-01,REP02   BAC-01,,REP03   BAC-02,REP03   BAC-02,,REP04   BAC-03,REP04   BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
Methanethiol,JTB-E02-199-06.D,2.558,1978,JTB-E02-199-07.D,2.566,1068,JTB-E02-199-08.D,2.542,667,JTB-E02-199-11.D,2.575,167476,JTB-E02-199-12.D,,,JTB-E02-199-13.D,2.575,320134,JTB-E02-199-14.D,2.558,112276,JTB-E02-199-15.D,2.566,179026,JTB-E02-199-16.D,2.558,397002,JTB-E02-199-17.D,2.567,228974,JTB-E02-200-06.D,2.566,458,JTB-E02-200-07.D,2.566,2608,JTB-E02-200-08.D,2.566,1471,JTB-E02-200-11.D,2.566,61078,JTB-E02-200-12.D,2.566,119351,JTB-E02-200-13.D,2.566,71520,JTB-E02-200-14.D,2.566,74178,JTB-E02-200-15.D,2.566,149215,JTB-E02-200-16.D,2.567,85839,JTB-E02-200-17.D,2.566,70616,JTB-E02-201-06.D,2.566,1330,JTB-E02-201-07.D,2.574,739,JTB-E02-201-08.D,2.566,83,JTB-E02-201-11.D,2.566,37920,JTB-E02-201-12.D,2.575,24292,JTB-E02-201-13.D,2.566,40427,JTB-E02-201-14.D,2.566,51738,JTB-E02-201-15.D,2.567,59083,JTB-E02-201-16.D,2.566,51996,JTB-E02-201-17.D,2.550,51239,JTB-E02-203-06.D,,,JTB-E02-203-07.D,2.550,62,JTB-E02-203-08.D,2.591,467,JTB-E02-203-11.D,2.574,534950,JTB-E02-203-12.D,2.566,394418,JTB-E02-203-13.D,2.566,375832,JTB-E02-203-14.D,2.566,602957,JTB-E02-203-15.D,2.566,495427,JTB-E02-203-16.D,2.566,393940,JTB-E02-203-17.D,2.566,484934,JTB-E02-204-06.D,2.566,2549,JTB-E02-204-07.D,2.583,1592,JTB-E02-204-08.D,2.583,2349,JTB-E02-204-11.D,2.566,113121,JTB-E02-204-12.D,2.566,141160,JTB-E02-204-13.D,2.566,144507,JTB-E02-204-14.D,2.566,167944,JTB-E02-204-15.D,2.566,130668,JTB-E02-204-16.D,2.566,138628,JTB-E02-204-17.D,2.566,197429,JTB-E02-205-06.D,2.566,1140,JTB-E02-205-11.D,2.566,56088,JTB-E02-205-12.D,2.566,67481,JTB-E02-205-13.D,2.566,44378,JTB-E02-205-14.D,2.566,48064,JTB-E02-205-15.D,2.558,45419,JTB-E02-205-16.D,2.566,50678,JTB-E02-205-17.D,2.566,61523
Carbon dioxide,JTB-E02-199-06.D,2.282,5302940,JTB-E02-199-07.D,2.282,5363607,JTB-E02-199-08.D,2.274,2575301,JTB-E02-199-11.D,2.290,1892287,JTB-E02-199-12.D,,,JTB-E02-199-13.D,2.290,4548077,JTB-E02-199-14.D,2.274,1095788,JTB-E02-199-15.D,2.282,1756727,JTB-E02-199-16.D,2.274,3196963,JTB-E02-199-17.D,2.282,2511928,JTB-E02-200-06.D,2.274,4001800,JTB-E02-200-07.D,2.282,3336627,JTB-E02-200-08.D,2.282,4900740,JTB-E02-200-11.D,2.282,1735458,JTB-E02-200-12.D,2.274,2295723,JTB-E02-200-13.D,2.282,1985829,JTB-E02-200-14.D,2.282,1829345,JTB-E02-200-15.D,2.282,2466417,JTB-E02-200-16.D,2.282,2089751,JTB-E02-200-17.D,2.282,1791919,JTB-E02-201-06.D,2.282,4184440,JTB-E02-201-07.D,2.282,3961639,JTB-E02-201-08.D,2.282,3051267,JTB-E02-201-11.D,2.282,3533076,JTB-E02-201-12.D,2.282,1837682,JTB-E02-201-13.D,2.282,1930663,JTB-E02-201-14.D,2.282,2081449,JTB-E02-201-15.D,2.282,1947515,JTB-E02-201-16.D,2.282,1816489,JTB-E02-201-17.D,2.266,2034952,JTB-E02-203-06.D,2.298,1597982,JTB-E02-203-07.D,2.274,7050084,JTB-E02-203-08.D,2.282,6016313,JTB-E02-203-11.D,2.282,3459811,JTB-E02-203-12.D,2.282,3558787,JTB-E02-203-13.D,2.282,2323899,JTB-E02-203-14.D,2.282,3099309,JTB-E02-203-15.D,2.282,2904503,JTB-E02-203-16.D,2.282,1936312,JTB-E02-203-17.D,2.282,2723880,JTB-E02-204-06.D,2.282,5868871,JTB-E02-204-07.D,2.290,5006522,JTB-E02-204-08.D,2.282,3481395,JTB-E02-204-11.D,2.282,2624880,JTB-E02-204-12.D,2.282,2013141,JTB-E02-204-13.D,2.282,2567120,JTB-E02-204-14.D,2.282,2252919,JTB-E02-204-15.D,2.282,2219563,JTB-E02-204-16.D,2.282,1635325,JTB-E02-204-17.D,2.274,2514750,JTB-E02-205-06.D,2.282,5252831,JTB-E02-205-11.D,2.282,1642335,JTB-E02-205-12.D,2.274,2622436,JTB-E02-205-13.D,2.282,2495687,JTB-E02-205-14.D,2.282,1892396,JTB-E02-205-15.D,2.274,1997313,JTB-E02-205-16.D,2.282,2151373,JTB-E02-205-17.D,2.282,1680533
Acetaldehyde,JTB-E02-199-06.D,2.607,24433,JTB-E02-199-07.D,2.599,14948,JTB-E02-199-08.D,2.607,17794,JTB-E02-199-11.D,2.623,523582,JTB-E02-199-12.D,2.615,1389,JTB-E02-199-13.D,2.623,581774,JTB-E02-199-14.D,2.607,245633,JTB-E02-199-15.D,2.623,193022,JTB-E02-199-16.D,2.607,282003,JTB-E02-199-17.D,2.615,201606,JTB-E02-200-06.D,2.615,22093,JTB-E02-200-07.D,2.623,14663,JTB-E02-200-08.D,2.623,33231,JTB-E02-200-11.D,2.615,968016,JTB-E02-200-12.D,2.615,1023846,JTB-E02-200-13.D,2.615,958880,JTB-E02-200-14.D,2.623,180535,JTB-E02-200-15.D,2.623,40898,JTB-E02-200-16.D,2.615,148084,JTB-E02-200-17.D,2.623,51857,JTB-E02-201-06.D,2.623,15719,JTB-E02-201-07.D,2.623,17126,JTB-E02-201-08.D,2.623,6637,JTB-E02-201-11.D,2.615,1030323,JTB-E02-201-12.D,2.623,1032459,JTB-E02-201-13.D,2.623,994683,JTB-E02-201-14.D,2.623,174313,JTB-E02-201-15.D,2.615,32035,JTB-E02-201-16.D,2.615,106642,JTB-E02-201-17.D,2.607,80409,JTB-E02-203-06.D,2.631,3836,JTB-E02-203-07.D,2.615,79276,JTB-E02-203-08.D,2.623,36000,JTB-E02-203-11.D,2.623,607886,JTB-E02-203-12.D,2.615,691847,JTB-E02-203-13.D,2.615,618025,JTB-E02-203-14.D,2.615,153956,JTB-E02-203-15.D,2.615,157942,JTB-E02-203-16.D,2.615,180605,JTB-E02-203-17.D,2.615,152088,JTB-E02-204-06.D,2.623,10744,JTB-E02-204-07.D,2.631,27689,JTB-E02-204-08.D,2.615,10455,JTB-E02-204-11.D,2.615,1018451,JTB-E02-204-12.D,2.615,1049180,JTB-E02-204-13.D,2.615,1105859,JTB-E02-204-14.D,2.615,738243,JTB-E02-204-15.D,2.615,760920,JTB-E02-204-16.D,2.615,648022,JTB-E02-204-17.D,2.615,946751,JTB-E02-205-06.D,2.623,30281,JTB-E02-205-11.D,2.615,1054570,JTB-E02-205-12.D,2.615,1176962,JTB-E02-205-13.D,2.615,1175180,JTB-E02-205-14.D,2.623,833465,JTB-E02-205-15.D,2.607,1256046,JTB-E02-205-16.D,2.615,883940,JTB-E02-205-17.D,2.623,1014386
Dimethyl sulfide,JTB-E02-199-06.D,2.802,308,JTB-E02-199-07.D,2.794,856,JTB-E02-199-08.D,2.810,251,JTB-E02-199-11.D,2.794,1682595,JTB-E02-199-12.D,2.810,124,JTB-E02-199-13.D,2.802,2062932,JTB-E02-199-14.D,2.778,1690275,JTB-E02-199-15.D,2.794,2691172,JTB-E02-199-16.D,2.786,2019156,JTB-E02-199-17.D,2.794,2190417,JTB-E02-200-06.D,2.794,3293,JTB-E02-200-07.D,2.802,4765,JTB-E02-200-08.D,2.802,3554,JTB-E02-200-11.D,2.794,816112,JTB-E02-200-12.D,2.786,961351,JTB-E02-200-13.D,2.794,556433,JTB-E02-200-14.D,2.794,501599,JTB-E02-200-15.D,2.794,930731,JTB-E02-200-16.D,2.794,806868,JTB-E02-200-17.D,2.794,710917,JTB-E02-201-06.D,2.802,4150,JTB-E02-201-07.D,2.794,3834,JTB-E02-201-08.D,2.810,652,JTB-E02-201-11.D,2.794,336476,JTB-E02-201-12.D,2.802,380022,JTB-E02-201-13.D,2.794,244012,JTB-E02-201-14.D,2.794,238899,JTB-E02-201-15.D,2.794,375734,JTB-E02-201-16.D,2.794,355262,JTB-E02-201-17.D,2.778,235126,JTB-E02-203-06.D,2.810,130,JTB-E02-203-07.D,2.818,320,JTB-E02-203-08.D,2.802,1990,JTB-E02-203-11.D,2.794,1901890,JTB-E02-203-12.D,2.794,2100713,JTB-E02-203-13.D,2.794,1949533,JTB-E02-203-14.D,2.786,2008836,JTB-E02-203-15.D,2.794,1762072,JTB-E02-203-16.D,2.786,1870992,JTB-E02-203-17.D,2.794,1605081,JTB-E02-204-06.D,2.802,3983,JTB-E02-204-07.D,,,JTB-E02-204-08.D,2.810,4091,JTB-E02-204-11.D,2.794,642370,JTB-E02-204-12.D,2.794,783952,JTB-E02-204-13.D,2.794,826847,JTB-E02-204-14.D,2.794,760117,JTB-E02-204-15.D,2.794,611257,JTB-E02-204-16.D,2.794,746137,JTB-E02-204-17.D,2.786,688725,JTB-E02-205-06.D,2.802,2547,JTB-E02-205-11.D,2.794,277813,JTB-E02-205-12.D,2.786,343762,JTB-E02-205-13.D,2.794,358628,JTB-E02-205-14.D,2.794,330424,JTB-E02-205-15.D,2.778,312974,JTB-E02-205-16.D,2.794,368025,JTB-E02-205-17.D,2.794,296748
"Sulfurous acid, cyclohexylmethyl nonyl ester",JTB-E02-199-06.D,5.215,1046,JTB-E02-199-07.D,5.190,176,JTB-E02-199-08.D,5.207,268,JTB-E02-199-11.D,5.223,154747,JTB-E02-199-12.D,5.182,831,JTB-E02-199-13.D,5.231,144548,JTB-E02-199-14.D,5.223,196422,JTB-E02-199-15.D,5.223,229951,JTB-E02-199-16.D,5.215,230848,JTB-E02-199-17.D,5.223,185802,JTB-E02-200-06.D,5.231,1006,JTB-E02-200-07.D,,,JTB-E02-200-08.D,5.206,435,JTB-E02-200-11.D,5.231,103683,JTB-E02-200-12.D,5.223,115331,JTB-E02-200-13.D,5.231,107103,JTB-E02-200-14.D,5.223,67147,JTB-E02-200-15.D,5.223,134907,JTB-E02-200-16.D,5.223,109249,JTB-E02-200-17.D,5.223,122319,JTB-E02-201-06.D,5.198,944,JTB-E02-201-07.D,5.190,789,JTB-E02-201-08.D,5.206,411,JTB-E02-201-11.D,5.231,64299,JTB-E02-201-12.D,5.231,24738,JTB-E02-201-13.D,5.231,44895,JTB-E02-201-14.D,5.223,58583,JTB-E02-201-15.D,5.223,64009,JTB-E02-201-16.D,5.223,82301,JTB-E02-201-17.D,5.214,89303,JTB-E02-203-06.D,5.223,348,JTB-E02-203-07.D,5.214,337,JTB-E02-203-08.D,5.223,833,JTB-E02-203-11.D,5.223,188462,JTB-E02-203-12.D,5.223,207774,JTB-E02-203-13.D,5.214,220387,JTB-E02-203-14.D,5.215,246156,JTB-E02-203-15.D,5.214,210785,JTB-E02-203-16.D,5.215,216475,JTB-E02-203-17.D,5.223,187368,JTB-E02-204-06.D,5.214,654,JTB-E02-204-07.D,5.190,456,JTB-E02-204-08.D,5.223,458,JTB-E02-204-11.D,5.231,104779,JTB-E02-204-12.D,5.223,115899,JTB-E02-204-13.D,5.223,116295,JTB-E02-204-14.D,5.223,110678,JTB-E02-204-15.D,5.223,103975,JTB-E02-204-16.D,5.223,110979,JTB-E02-204-17.D,5.215,104848,JTB-E02-205-06.D,5.239,904,JTB-E02-205-11.D,5.215,50947,JTB-E02-205-12.D,5.215,67456,JTB-E02-205-13.D,5.223,71207,JTB-E02-205-14.D,5.223,64754,JTB-E02-205-15.D,5.214,76201,JTB-E02-205-16.D,5.215,77040,JTB-E02-205-17.D,5.223,58023
Acetone,JTB-E02-199-06.D,3.119,92268,JTB-E02-199-07.D,3.119,105221,JTB-E02-199-08.D,3.119,1191,JTB-E02-199-11.D,3.119,5693340,JTB-E02-199-12.D,3.143,1852,JTB-E02-199-13.D,3.127,6358567,JTB-E02-199-14.D,3.111,4790925,JTB-E02-199-15.D,3.119,6592300,JTB-E02-199-16.D,3.111,5677543,JTB-E02-199-17.D,3.119,6422850,JTB-E02-200-06.D,3.111,20505,JTB-E02-200-07.D,3.119,48775,JTB-E02-200-08.D,3.119,26734,JTB-E02-200-11.D,3.119,8497533,JTB-E02-200-12.D,3.111,7715847,JTB-E02-200-13.D,3.119,7910559,JTB-E02-200-14.D,3.119,7714885,JTB-E02-200-15.D,3.119,6994941,JTB-E02-200-16.D,3.119,7297014,JTB-E02-200-17.D,3.119,7621361,JTB-E02-201-06.D,3.119,22288,JTB-E02-201-07.D,3.119,39413,JTB-E02-201-08.D,3.119,3018,JTB-E02-201-11.D,3.119,8667775,JTB-E02-201-12.D,3.127,8565014,JTB-E02-201-13.D,3.119,8989245,JTB-E02-201-14.D,3.119,7930285,JTB-E02-201-15.D,3.119,7660158,JTB-E02-201-16.D,3.119,9214362,JTB-E02-201-17.D,3.102,7554658,JTB-E02-203-06.D,3.135,6349,JTB-E02-203-07.D,3.111,49187,JTB-E02-203-08.D,3.119,155039,JTB-E02-203-11.D,3.119,7040968,JTB-E02-203-12.D,3.119,7183935,JTB-E02-203-13.D,3.111,6424290,JTB-E02-203-14.D,3.111,6895839,JTB-E02-203-15.D,3.111,6599428,JTB-E02-203-16.D,3.111,6259018,JTB-E02-203-17.D,3.119,6699334,JTB-E02-204-06.D,3.119,46900,JTB-E02-204-07.D,3.127,55333,JTB-E02-204-08.D,3.119,51067,JTB-E02-204-11.D,3.119,8634778,JTB-E02-204-12.D,3.111,8934716,JTB-E02-204-13.D,3.111,8880803,JTB-E02-204-14.D,3.111,7676652,JTB-E02-204-15.D,3.119,6980168,JTB-E02-204-16.D,3.119,7507681,JTB-E02-204-17.D,3.111,7550760,JTB-E02-205-06.D,3.119,46616,JTB-E02-205-11.D,3.119,8563162,JTB-E02-205-12.D,3.111,9057056,JTB-E02-205-13.D,3.119,9851102,JTB-E02-205-14.D,3.119,7457542,JTB-E02-205-15.D,3.102,6529199,JTB-E02-205-16.D,3.111,8432558,JTB-E02-205-17.D,3.119,7577073
"Acetic acid, methyl ester",JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,3.192,589,JTB-E02-199-11.D,3.200,1074820,JTB-E02-199-12.D,3.233,59244,JTB-E02-199-13.D,3.208,797883,JTB-E02-199-14.D,3.192,1257198,JTB-E02-199-15.D,3.200,1492757,JTB-E02-199-16.D,3.192,1511188,JTB-E02-199-17.D,3.200,1176010,JTB-E02-200-06.D,,,JTB-E02-200-07.D,3.216,1247,JTB-E02-200-08.D,3.208,2251,JTB-E02-200-11.D,3.208,897669,JTB-E02-200-12.D,3.200,1187097,JTB-E02-200-13.D,3.208,901129,JTB-E02-200-14.D,3.200,1118434,JTB-E02-200-15.D,3.200,1158270,JTB-E02-200-16.D,3.200,1171401,JTB-E02-200-17.D,3.200,1206224,JTB-E02-201-06.D,3.208,5898,JTB-E02-201-07.D,,,JTB-E02-201-08.D,3.232,1206,JTB-E02-201-11.D,3.200,948851,JTB-E02-201-12.D,3.208,749606,JTB-E02-201-13.D,3.208,808683,JTB-E02-201-14.D,3.200,1031965,JTB-E02-201-15.D,3.200,1114122,JTB-E02-201-16.D,3.200,1219627,JTB-E02-201-17.D,3.184,1368039,JTB-E02-203-06.D,,,JTB-E02-203-07.D,3.200,4578,JTB-E02-203-08.D,,,JTB-E02-203-11.D,3.200,1186085,JTB-E02-203-12.D,3.200,1257368,JTB-E02-203-13.D,3.200,1259625,JTB-E02-203-14.D,3.200,1353324,JTB-E02-203-15.D,3.200,1325577,JTB-E02-203-16.D,3.200,1345741,JTB-E02-203-17.D,3.200,1191060,JTB-E02-204-06.D,3.208,336,JTB-E02-204-07.D,,,JTB-E02-204-08.D,3.208,777,JTB-E02-204-11.D,3.208,880850,JTB-E02-204-12.D,3.200,1229822,JTB-E02-204-13.D,3.200,1269823,JTB-E02-204-14.D,3.200,1092357,JTB-E02-204-15.D,3.200,994292,JTB-E02-204-16.D,3.200,1076951,JTB-E02-204-17.D,3.200,1128790,JTB-E02-205-06.D,,,JTB-E02-205-11.D,3.200,1041764,JTB-E02-205-12.D,3.192,1206289,JTB-E02-205-13.D,3.200,1102268,JTB-E02-205-14.D,3.200,781666,JTB-E02-205-15.D,3.192,1123141,JTB-E02-205-16.D,3.200,1041279,JTB-E02-205-17.D,3.200,776432
"4-(4-Chlorophenyl)-2,6-diphenylpyridine",JTB-E02-199-06.D,14.231,593321,JTB-E02-199-07.D,14.239,434279,JTB-E02-199-08.D,14.231,5195,JTB-E02-199-11.D,14.239,171667,JTB-E02-199-12.D,14.223,77411,JTB-E02-199-13.D,14.248,103792,JTB-E02-199-14.D,14.247,98005,JTB-E02-199-15.D,14.239,113847,JTB-E02-199-16.D,14.240,91521,JTB-E02-199-17.D,14.231,118697,JTB-E02-200-06.D,14.239,191756,JTB-E02-200-07.D,14.247,200416,JTB-E02-200-08.D,14.248,115576,JTB-E02-200-11.D,14.247,120261,JTB-E02-200-12.D,14.248,81917,JTB-E02-200-13.D,14.248,190285,JTB-E02-200-14.D,14.231,56374,JTB-E02-200-15.D,14.239,87298,JTB-E02-200-16.D,14.231,81147,JTB-E02-200-17.D,14.239,123742,JTB-E02-201-06.D,14.239,229538,JTB-E02-201-07.D,14.239,190081,JTB-E02-201-08.D,14.247,68150,JTB-E02-201-11.D,14.239,95038,JTB-E02-201-12.D,14.247,153218,JTB-E02-201-13.D,14.248,145790,JTB-E02-201-14.D,14.239,85782,JTB-E02-201-15.D,14.231,143199,JTB-E02-201-16.D,14.239,132766,JTB-E02-201-17.D,14.239,75590,JTB-E02-203-06.D,14.239,26540,JTB-E02-203-07.D,14.247,106370,JTB-E02-203-08.D,14.231,470264,JTB-E02-203-11.D,14.231,226712,JTB-E02-203-12.D,14.231,82865,JTB-E02-203-13.D,14.247,101488,JTB-E02-203-14.D,14.231,134142,JTB-E02-203-15.D,14.239,85031,JTB-E02-203-16.D,14.239,72986,JTB-E02-203-17.D,14.239,116155,JTB-E02-204-06.D,14.231,64456,JTB-E02-204-07.D,14.239,58404,JTB-E02-204-08.D,14.239,47357,JTB-E02-204-11.D,14.239,40072,JTB-E02-204-12.D,14.239,61002,JTB-E02-204-13.D,14.239,118196,JTB-E02-204-14.D,14.247,85918,JTB-E02-204-15.D,14.239,97734,JTB-E02-204-16.D,14.239,64396,JTB-E02-204-17.D,14.239,117745,JTB-E02-205-06.D,14.223,137729,JTB-E02-205-11.D,14.239,55955,JTB-E02-205-12.D,14.239,104155,JTB-E02-205-13.D,14.231,45464,JTB-E02-205-14.D,14.231,48342,JTB-E02-205-15.D,14.239,102509,JTB-E02-205-16.D,14.231,45211,JTB-E02-205-17.D,14.239,71168
Ethyl acetate,JTB-E02-199-06.D,3.696,6683,JTB-E02-199-07.D,3.695,10141,JTB-E02-199-08.D,3.679,876,JTB-E02-199-11.D,3.688,18201009,JTB-E02-199-12.D,3.696,5354657,JTB-E02-199-13.D,3.704,16632720,JTB-E02-199-14.D,3.679,19194227,JTB-E02-199-15.D,3.696,22655064,JTB-E02-199-16.D,3.688,19178244,JTB-E02-199-17.D,3.696,21065225,JTB-E02-200-06.D,3.687,23060,JTB-E02-200-07.D,3.704,6205,JTB-E02-200-08.D,3.704,12627,JTB-E02-200-11.D,3.696,15625528,JTB-E02-200-12.D,3.687,17170824,JTB-E02-200-13.D,3.696,14835117,JTB-E02-200-14.D,3.687,16777552,JTB-E02-200-15.D,3.687,18740921,JTB-E02-200-16.D,3.688,17395083,JTB-E02-200-17.D,3.687,17927884,JTB-E02-201-06.D,3.696,8614,JTB-E02-201-07.D,3.695,2537,JTB-E02-201-08.D,3.712,2450,JTB-E02-201-11.D,3.696,11815125,JTB-E02-201-12.D,3.704,11344316,JTB-E02-201-13.D,3.696,11782458,JTB-E02-201-14.D,3.687,11874425,JTB-E02-201-15.D,3.688,14065588,JTB-E02-201-16.D,3.687,15649411,JTB-E02-201-17.D,3.671,10207613,JTB-E02-203-06.D,3.695,2045,JTB-E02-203-07.D,3.679,4148,JTB-E02-203-08.D,3.688,10911,JTB-E02-203-11.D,3.687,19337361,JTB-E02-203-12.D,3.687,21413573,JTB-E02-203-13.D,3.687,20376462,JTB-E02-203-14.D,3.687,20060437,JTB-E02-203-15.D,3.687,20071086,JTB-E02-203-16.D,3.687,20470673,JTB-E02-203-17.D,3.687,18819787,JTB-E02-204-06.D,3.695,14060,JTB-E02-204-07.D,3.704,2642,JTB-E02-204-08.D,3.704,3765,JTB-E02-204-11.D,3.696,14041075,JTB-E02-204-12.D,3.687,18073100,JTB-E02-204-13.D,3.687,17414432,JTB-E02-204-14.D,3.687,13092797,JTB-E02-204-15.D,3.687,12321128,JTB-E02-204-16.D,3.687,16183652,JTB-E02-204-17.D,3.679,11502695,JTB-E02-205-06.D,3.704,16241,JTB-E02-205-11.D,3.687,11847850,JTB-E02-205-12.D,3.679,13237110,JTB-E02-205-13.D,3.687,13777259,JTB-E02-205-14.D,3.687,7787251,JTB-E02-205-15.D,3.679,6501318,JTB-E02-205-16.D,3.687,11732555,JTB-E02-205-17.D,3.687,7073024
