[contents]
count=25
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_FFaeni_50BB_BLANK_PRO_REP\JTB-E02-189-05.D
1=,INT TIC: JTB-E02-189-05.D\data.ms
2=,INT TIC: JTB-E02-189-18.D\data.ms
3=,INT TIC: JTB-E02-189-19.D\data.ms
4=,INT TIC: JTB-E02-189-20.D\data.ms
5=,INT TIC: JTB-E02-189-21.D\data.ms
6=,INT TIC: JTB-E02-189-22.D\data.ms
7=,INT TIC: JTB-E02-189-23.D\data.ms
8=,INT TIC: JTB-E02-189-24.D\data.ms
9=,INT TIC: JTB-E02-190-05.D\data.ms
10=,INT TIC: JTB-E02-190-08.D\data.ms
11=,INT TIC: JTB-E02-190-09.D\data.ms
12=,INT TIC: JTB-E02-190-10.D\data.ms
13=,INT TIC: JTB-E02-190-11.D\data.ms
14=,INT TIC: JTB-E02-190-12.D\data.ms
15=,INT TIC: JTB-E02-190-13.D\data.ms
16=,INT TIC: JTB-E02-190-14.D\data.ms
17=,INT TIC: JTB-E02-191-06.D\data.ms
18=,INT TIC: JTB-E02-191-09.D\data.ms
19=,INT TIC: JTB-E02-191-10.D\data.ms
20=,INT TIC: JTB-E02-191-11.D\data.ms
21=,INT TIC: JTB-E02-191-12.D\data.ms
22=,INT TIC: JTB-E02-191-13.D\data.ms
23=,INT TIC: JTB-E02-191-14.D\data.ms
24=,INT TIC: JTB-E02-191-15.D\data.ms
25=,PBM Apex
[INT TIC: JTB-E02-189-05.D\data.ms]
Time=,Fri Jul 12 16:01:37 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.157,    3,   9,  21,"BV 2",  55000,  2535851,  0.62,  0.099
2=,  2,  2.290,   21,  25,  38,"PV  ",2381936, 52893826, 13.00,  2.056
3=,  3,  2.435,   38,  43,  57,"VV  ", 413714, 14892333,  3.66,  0.579
4=,  4,  2.573,   57,  60,  64,"VV 2", 133553,  3306333,  0.81,  0.129
5=,  5,  2.628,   64,  67,  84,"VV  ",  84629,  4354092,  1.07,  0.169
6=,  6,  3.127,  124, 128, 136,"VV 2",  37979,  1145533,  0.28,  0.045
7=,  7,  3.328,  143, 153, 197,"PV  ",11926343,406945223,100.00, 15.819
8=,  8,  3.707,  197, 199, 226,"VV 10", 273119, 29721932,  7.30,  1.155
9=,  9,  3.941,  226, 228, 231,"VV 3", 149910,  3082316,  0.76,  0.120
10=, 10,  3.978,  231, 233, 247,"VV 3", 137725,  9683913,  2.38,  0.376
11=, 11,  4.170,  250, 256, 262,"VV 5", 138076,  6230986,  1.53,  0.242
12=, 12,  4.253,  262, 267, 275,"VV 2", 190324,  7578136,  1.86,  0.295
13=, 13,  4.985,  349, 357, 386,"VV  ",5172942,187574227, 46.09,  7.292
14=, 14,  5.258,  386, 390, 406,"VV  ", 490405, 21274988,  5.23,  0.827
15=, 15,  5.396,  406, 407, 415,"VB 8", 117491,  4262879,  1.05,  0.166
16=, 16,  5.714,  441, 446, 457,"VV  ", 107826,  3420892,  0.84,  0.133
17=, 17,  6.197,  496, 506, 509,"PV 7",  32929,  1114299,  0.27,  0.043
18=, 18,  6.305,  509, 519, 521,"VV 10",  68612,  2650322,  0.65,  0.103
19=, 19,  6.387,  521, 529, 542,"VV 10",  97788,  4954521,  1.22,  0.193
20=, 20,  8.830,  817, 830, 869,"PV 2",1453655, 70236950, 17.26,  2.730
21=, 21,  9.160,  869, 871, 875,"VV 5", 111848,  3306691,  0.81,  0.129
22=, 22,  9.209,  875, 877, 889,"VV 7", 110706,  6654104,  1.64,  0.259
23=, 23,  9.319,  889, 890, 893,"VV 2",  80692,  1333155,  0.33,  0.052
24=, 24, 10.063,  972, 982, 990,"VV 4", 117494,  5349723,  1.31,  0.208
25=, 25, 10.138,  990, 991,1002,"VV 9",  48963,  2243018,  0.55,  0.087
26=, 26, 10.262, 1002,1006,1010,"VV 5",  64717,  2023011,  0.50,  0.079
27=, 27, 10.343, 1010,1016,1033,"VV 4", 161348, 11165715,  2.74,  0.434
28=, 28, 10.492, 1033,1035,1037,"VV  ",  68680,  1144182,  0.28,  0.044
29=, 29, 11.232, 1118,1126,1133,"VV  ", 104653,  3624512,  0.89,  0.141
30=, 30, 12.219, 1237,1247,1256,"PV 9",  41938,  2434562,  0.60,  0.095
31=, 31, 12.301, 1256,1257,1268,"VB 9",  33787,  1624689,  0.40,  0.063
32=, 32, 12.779, 1306,1316,1327,"VV 9",  40731,  1617820,  0.40,  0.063
33=, 33, 13.229, 1364,1372,1381,"PV 4",  40751,  1314206,  0.32,  0.051
34=, 34, 13.969, 1456,1463,1467,"VV 6",  27876,   747855,  0.18,  0.029
35=, 35, 14.244, 1488,1497,1520,"PV 2", 527004, 24399828,  6.00,  0.949
36=, 36, 14.877, 1560,1574,1627,"BV 2", 616058, 65126478, 16.00,  2.532
37=, 37, 15.827, 1676,1691,1704,"PV 5",  66116,  3982875,  0.98,  0.155
38=, 38, 16.061, 1711,1720,1729,"VV 4", 101985,  4101802,  1.01,  0.159
39=, 39, 16.530, 1767,1778,1807,"VV 3", 161615, 12700021,  3.12,  0.494
40=, 40, 17.405, 1870,1886,1901,"PV 6",  97810,  6692226,  1.64,  0.260
41=, 41, 17.544, 1901,1903,1906,"VV 4",  46722,  1178985,  0.29,  0.046
42=, 42, 17.644, 1910,1915,1918,"VV 6",  57938,  1841285,  0.45,  0.072
43=, 43, 18.139, 1960,1976,2007,"VV  ",1127503, 84417915, 20.74,  3.282
44=, 44, 18.400, 2007,2008,2010,"VV 2",  40873,   599065,  0.15,  0.023
45=, 45, 18.512, 2016,2022,2033,"VV 9",  49189,  2490068,  0.61,  0.097
46=, 46, 19.139, 2092,2099,2105,"PV 9",  31499,  1156088,  0.28,  0.045
47=, 47, 19.325, 2115,2122,2128,"VV 4", 108902,  3631914,  0.89,  0.141
48=, 48, 19.418, 2128,2134,2140,"VV 2",  78632,  3387915,  0.83,  0.132
49=, 49, 19.479, 2140,2141,2143,"VV 2",  45063,   758647,  0.19,  0.029
50=, 50, 19.548, 2143,2150,2159,"VV 3", 323693, 10269644,  2.52,  0.399
51=, 51, 19.700, 2159,2168,2190,"VV  ",1276363, 45443251, 11.17,  1.767
52=, 52, 19.944, 2190,2198,2220,"VV 2", 241201, 18399454,  4.52,  0.715
53=, 53, 20.314, 2234,2244,2257,"VV  ",1189349, 40647372,  9.99,  1.580
54=, 54, 20.476, 2257,2264,2285,"VV  ", 328624, 14353242,  3.53,  0.558
55=, 55, 20.732, 2285,2295,2301,"VV 9",  47262,  2653770,  0.65,  0.103
56=, 56, 20.863, 2301,2311,2322,"VV 10", 114342,  7078059,  1.74,  0.275
57=, 57, 21.205, 2344,2353,2377,"VV 10",  91850,  7821137,  1.92,  0.304
58=, 58, 21.450, 2377,2384,2398,"VV 6",  86432,  5111496,  1.26,  0.199
59=, 59, 21.679, 2402,2412,2429,"VV  ", 513714, 20349806,  5.00,  0.791
60=, 60, 21.876, 2429,2436,2448,"VV 2", 399825, 13848882,  3.40,  0.538
61=, 61, 22.266, 2478,2484,2494,"VV 4",  93678,  3829387,  0.94,  0.149
62=, 62, 22.471, 2501,2509,2516,"VV 4",  61618,  3042099,  0.75,  0.118
63=, 63, 22.762, 2532,2545,2550,"VV 4",  65586,  2847375,  0.70,  0.111
64=, 64, 22.859, 2550,2557,2565,"VV 5", 120900,  6210143,  1.53,  0.241
65=, 65, 22.966, 2565,2570,2586,"VV 7", 113046,  5425082,  1.33,  0.211
66=, 66, 23.616, 2645,2650,2657,"VV 9",  25780,   982507,  0.24,  0.038
67=, 67, 23.815, 2666,2675,2712,"VV  ",5642577,213717522, 52.52,  8.308
68=, 68, 24.183, 2712,2720,2725,"VV 3", 184157,  7916614,  1.95,  0.308
69=, 69, 24.259, 2725,2729,2745,"VV 4", 211534, 10361008,  2.55,  0.403
70=, 70, 24.444, 2745,2752,2759,"VV 2", 229640,  8181935,  2.01,  0.318
71=, 71, 24.559, 2759,2766,2779,"VV 4", 236334, 12341711,  3.03,  0.480
72=, 72, 24.693, 2779,2783,2795,"VV 4",  88510,  4418070,  1.09,  0.172
73=, 73, 24.923, 2795,2811,2824,"VV 3", 139780,  8396996,  2.06,  0.326
74=, 74, 25.181, 2828,2843,2857,"VV 2",1941301, 67508777, 16.59,  2.624
75=, 75, 25.317, 2857,2860,2861,"VV 2",  59350,  1103683,  0.27,  0.043
76=, 76, 25.344, 2861,2863,2874,"VV 5",  61109,  2223231,  0.55,  0.086
77=, 77, 25.524, 2874,2885,2906,"VV 6",  88590,  5294189,  1.30,  0.206
78=, 78, 26.173, 2951,2965,2974,"VV 6",  57185,  3566994,  0.88,  0.139
79=, 79, 26.433, 2987,2997,3017,"VV 3", 230882,  9905533,  2.43,  0.385
80=, 80, 26.909, 3038,3056,3060,"VV 3",  31160,  1681984,  0.41,  0.065
81=, 81, 27.034, 3060,3071,3093,"VV  ",9844800,377997242, 92.89, 14.694
82=, 82, 27.218, 3093,3094,3114,"VV 5", 328492, 21672461,  5.33,  0.842
83=, 83, 27.388, 3114,3115,3122,"VV 4", 138362,  4777963,  1.17,  0.186
84=, 84, 27.657, 3142,3148,3163,"VV 4", 114070,  8795054,  2.16,  0.342
85=, 85, 28.086, 3195,3201,3215,"VV 4",  83813,  4856896,  1.19,  0.189
86=, 86, 28.259, 3215,3222,3226,"VV 9", 102880,  3341762,  0.82,  0.130
87=, 87, 28.386, 3226,3238,3268,"VV  ",3111279,194817018, 47.87,  7.573
88=, 88, 28.686, 3268,3274,3283,"VV 3", 161964,  9709205,  2.39,  0.377
89=, 89, 28.819, 3283,3291,3297,"VV 6", 182518,  8381003,  2.06,  0.326
90=, 90, 28.937, 3297,3305,3320,"VV 6", 101267,  9015411,  2.22,  0.350
91=, 91, 29.248, 3334,3344,3355,"VV 5",  93473,  6400193,  1.57,  0.249
92=, 92, 29.534, 3373,3379,3390,"VV 8",  66447,  3098149,  0.76,  0.120
93=, 93, 30.054, 3417,3443,3481,"PV 2",1353065,112834819, 27.73,  4.386
94=, 94, 30.375, 3481,3482,3486,"VV 4",  36608,   715440,  0.18,  0.028
95=, 95, 30.411, 3486,3487,3492,"VV 5",  22396,   413064,  0.10,  0.016
96=, 96, 30.838, 3528,3539,3553,"PV 2", 114295,  3810114,  0.94,  0.148
97=, 97, 31.134, 3570,3576,3582,"VV 7",  62929,  2100829,  0.52,  0.082
98=, 98, 31.250, 3582,3590,3613,"VV 2",  94262,  4463367,  1.10,  0.174
99=, 99, 32.004, 3668,3683,3722,"VV 3", 762765, 59623182, 14.65,  2.318
100=,100, 32.333, 3722,3723,3725,"VV 2",  27107,   432376,  0.11,  0.017
101=,101, 32.367, 3725,3728,3736,"VV 8",  31762,  1351068,  0.33,  0.053
102=,102, 32.716, 3763,3771,3786,"VV 8",  84690,  3744336,  0.92,  0.146
103=,103, 33.033, 3803,3810,3816,"VV 8",  63594,  2247383,  0.55,  0.087
104=,104, 33.140, 3816,3823,3832,"VV 2",  68791,  2732773,  0.67,  0.106
105=,105, 33.262, 3832,3838,3850,"VV 2",  38629,  1686896,  0.41,  0.066
106=,106, 33.560, 3863,3875,3876,"VV 10",  30659,   947784,  0.23,  0.037
107=,107, 34.600, 3988,4003,4041,"PV 2", 599680, 35041374,  8.61,  1.362
108=,108, 34.935, 4041,4044,4045,"VV 3",  33527,   645141,  0.16,  0.025
109=,109, 34.997, 4045,4051,4053,"VV 5",  44999,  1338775,  0.33,  0.052
110=,110, 35.020, 4053,4054,4059,"VV 4",  42046,   911067,  0.22,  0.035
111=,111, 35.192, 4067,4075,4082,"VV 4",  58203,  2655678,  0.65,  0.103
112=,112, 35.739, 4133,4143,4147,"VV 4",  48872,  1909017,  0.47,  0.074
113=,113, 35.799, 4147,4150,4156,"VV 4",  60091,  1715607,  0.42,  0.067
114=,114, 36.368, 4210,4220,4226,"PV 4",  73947,  2886377,  0.71,  0.112
115=,115, 36.426, 4226,4227,4235,"VV 8",  57529,  1386356,  0.34,  0.054
116=,116, 36.993, 4290,4297,4305,"PV 8",  26067,   968201,  0.24,  0.038
117=,117, 37.093, 4305,4309,4311,"VV 4",  21690,   374526,  0.09,  0.015
118=,118, 37.120, 4311,4313,4318,"VV 6",  25622,   565107,  0.14,  0.022
119=,119, 37.287, 4331,4333,4338,"VV 5",  25688,   418553,  0.10,  0.016
120=,120, 37.408, 4338,4348,4353,"PBA5", 256699,  7836710,  1.93,  0.305
[INT TIC: JTB-E02-189-18.D\data.ms]
Time=,Fri Jul 12 16:01:38 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.292,   20,  25,  41,"PV  ",1217055, 24433683,  1.20,  0.171
2=,  2,  2.439,   41,  43,  47,"VV  ",  97507,  2300676,  0.11,  0.016
3=,  3,  2.509,   47,  52,  57,"VV 3",  84635,  3714162,  0.18,  0.026
4=,  4,  2.569,   57,  59,  63,"VV 3",  86601,  2072991,  0.10,  0.014
5=,  5,  2.628,   63,  67,  83,"VV  ", 286199,  9104527,  0.45,  0.064
6=,  6,  2.801,   83,  88, 112,"VV  ",7440364,156018130,  7.64,  1.090
7=,  7,  3.017,  112, 114, 121,"VV 8", 138785,  5352708,  0.26,  0.037
8=,  8,  3.126,  121, 128, 133,"VV 5",3731092, 76680168,  3.75,  0.536
9=,  9,  3.211,  133, 138, 148,"VV 4",8002909,194965360,  9.54,  1.362
10=, 10,  3.327,  148, 153, 166,"VV  ",4303377,134798492,  6.60,  0.941
11=, 11,  3.488,  166, 173, 178,"VV  ", 824577, 32868131,  1.61,  0.230
12=, 12,  3.555,  178, 181, 189,"VV 9", 472675, 18164809,  0.89,  0.127
13=, 13,  3.698,  189, 198, 213,"VV 3",57564964,1776100298, 86.94, 12.404
14=, 14,  3.829,  213, 214, 225,"VV 4",5494405,230346969, 11.27,  1.609
15=, 15,  3.945,  225, 229, 237,"VV 4",3632162,143029063,  7.00,  0.999
16=, 16,  4.026,  237, 239, 254,"VV 5",1656750,102585795,  5.02,  0.716
17=, 17,  4.269,  260, 269, 280,"VV 4",35234542,1157693170, 56.67,  8.085
18=, 18,  4.385,  280, 283, 301,"VV 3",2694139,133029669,  6.51,  0.929
19=, 19,  4.564,  301, 305, 311,"VV 4", 818979, 33287770,  1.63,  0.232
20=, 20,  4.660,  311, 317, 332,"VV 10",3498924,126782126,  6.21,  0.885
21=, 21,  4.822,  332, 337, 339,"VV 4", 831753, 22740762,  1.11,  0.159
22=, 22,  4.867,  339, 342, 351,"VV 5", 874244, 33110401,  1.62,  0.231
23=, 23,  4.983,  351, 357, 361,"VV  ",1401798, 47706000,  2.34,  0.333
24=, 24,  5.059,  361, 366, 377,"VV 5",2463616, 95938205,  4.70,  0.670
25=, 25,  5.185,  377, 381, 384,"VV 6",1686134, 44456289,  2.18,  0.310
26=, 26,  5.226,  384, 386, 399,"VV 3",1552713, 60710665,  2.97,  0.424
27=, 27,  5.358,  399, 403, 406,"VV 5", 442982, 13420899,  0.66,  0.094
28=, 28,  5.418,  406, 410, 413,"VV 5", 654205, 19065144,  0.93,  0.133
29=, 29,  5.475,  413, 417, 424,"VV 5", 753800, 25927369,  1.27,  0.181
30=, 30,  5.592,  424, 431, 442,"VV 4",3103280, 92111996,  4.51,  0.643
31=, 31,  5.717,  442, 447, 467,"VV  ", 524000, 37622371,  1.84,  0.263
32=, 32,  5.938,  467, 474, 476,"VV 2", 413011, 13531270,  0.66,  0.095
33=, 33,  6.007,  476, 483, 496,"VV 8",1139315, 48190903,  2.36,  0.337
34=, 34,  6.163,  496, 502, 511,"VV 8",2508870, 74744884,  3.66,  0.522
35=, 35,  6.279,  511, 516, 528,"VV 10", 718350, 33362500,  1.63,  0.233
36=, 36,  6.396,  528, 530, 536,"VV 7", 294253, 10763230,  0.53,  0.075
37=, 37,  6.473,  536, 540, 545,"VV 8", 313853, 12244855,  0.60,  0.086
38=, 38,  6.599,  545, 555, 578,"VV 8",3066582,101451707,  4.97,  0.709
39=, 39,  6.887,  585, 591, 599,"VV 6", 170212,  8610293,  0.42,  0.060
40=, 40,  6.999,  599, 605, 611,"VV 10", 157838,  7052985,  0.35,  0.049
41=, 41,  7.103,  611, 617, 623,"VV 9", 776584, 23630009,  1.16,  0.165
42=, 42,  7.224,  623, 632, 641,"VV 9",10577780,246102405, 12.05,  1.719
43=, 43,  7.371,  641, 651, 660,"VV 9", 380071, 19062673,  0.93,  0.133
44=, 44,  7.492,  660, 665, 668,"VV 6", 125273,  4038584,  0.20,  0.028
45=, 45,  7.597,  668, 678, 692,"VV 6",15342581,480316959, 23.51,  3.355
46=, 46,  7.757,  692, 698, 704,"VV 10", 558672, 21745449,  1.06,  0.152
47=, 47,  7.832,  704, 707, 711,"VV 6", 445129, 13115401,  0.64,  0.092
