"Path","File","Date Acquired","Sample","Misc"
"X:\data\JTB-E02\BACandBLUE\","JTB-E02-189-23.D","10 Dec 2018  18:40    ","2H_BAC-01 REP4","P10:E5"
"PBM Apex"
"Wed Jan 30 15:09:23 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2917, 0.1567,"C 2.7 D 4.1    Acetaldehyde (CAS) $$ Ethanal $$ Acetaldeyde $$ Ethyl aldehyde $$ Acetic aldehyde $$ CH3CHO $$ Acetaldehyd $$ Aldehyde acetique $$ Aldeide acetica $$ NCI-C56326 $$ Octowy aldehyd $$ Acetylaldehyde $$ Rcra waste number U001 $$ UN 1089	
  2,  2.4328, 0.0214,"Amphetamine", 15918,"000300-62-9",45
  3,  2.5089, 0.0141,"Amphetamine", 15918,"000300-62-9",50
  4,  2.6284, 0.0474,"1,3-Propanediamine, N-methyl-",  2004,"006291-84-5",50
  5,  2.8016, 1.2704,"Dimethyl sulfide",   339,"000075-18-3",91
  6,  3.0139, 0.0439,"Dimethyl sulfide",   340,"000075-18-3",58
  7,  3.1255, 0.4762,"Acetone",   217,"000067-64-1",72
  8,  3.2110, 1.2823,"Acetic acid, methyl ester",   828,"000079-20-9",78
  9,  3.3263, 1.3069,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",83
 10,  3.4500, 0.0654,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",50
 11,  3.4885, 0.1759,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",38
 12,  3.5553, 0.1154,"1H-Indole, 5-methyl-2-phenyl-", 71661,"013228-36-9",64
 13,  3.6982,12.0995,"Ethyl Acetate",  2038,"000141-78-6",59
 14,  3.8292, 1.6343,"Ethyl Acetate",  2038,"000141-78-6",64
 15,  3.9446, 1.0271,"Ethyl Acetate",  2040,"000141-78-6",43
 16,  4.0261, 0.9000,"Ethyl Acetate",  2041,"000141-78-6",64
 17,  4.2667, 7.4965,"Formic acid (CAS) $$ Bilorin $$ Myrmicyl $$ Formisoton $$ Aminic acid $$ Collo-Didax $$ Formylic acid $$ Methanoic acid $$ Collo-Bueglatt $$ Hydrogen carboxylic acid $$ Formira $$ Add-F $$ HCOOH $$ Acide formique $$ Acido formico $$ Ameisensaeure $$ Formi",   249,"000064-18-6",38
 18,  4.3848, 0.9577,"2-Butyne, 1,4-bis[(tetrahydropyran-2-yl)oxy]-",114995,"092372-45-7",35
 19,  4.5652, 0.2346,"2-Heptanol, 5-ethyl-", 21701,"019780-40-6",40
 20,  4.6602, 0.9112,"Furan, 2-butyltetrahydro-", 12870,"001004-29-1",72
 21,  4.8221, 0.1593,"sec-Butyl nitrite",  4621,"000924-43-6",53
 22,  4.8659, 0.2251,"Propane, 2-(ethenyloxy)-",  1815,"000926-65-8",38
 23,  4.9833, 0.3485,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",91
 24,  5.0593, 0.6056,"Carbonic acid, dimethyl ester",  2294,"000616-38-6",49
 25,  5.1854, 0.2999,"1H-Pyrazole, 3-ethyl-4,5-dihydro-",  3105,"005920-29-6",49
 26,  5.2262, 0.4211,"2-Thiopheneacetic acid, decyl ester",141794,"1000278-91-5",59
