[contents]
count=9
Name=,X:\data\JTB-E02\BACandBLUE\JTB-E02-189-23.D
1=,INT TIC: JTB-E02-189-23.D\data.ms
2=,INT TIC: JTB-E02-189-05.D\data.ms
3=,INT TIC: JTB-E02-189-18.D\data.ms
4=,INT TIC: JTB-E02-189-19.D\data.ms
5=,INT TIC: JTB-E02-189-20.D\data.ms
6=,INT TIC: JTB-E02-189-21.D\data.ms
7=,INT TIC: JTB-E02-189-22.D\data.ms
8=,INT TIC: JTB-E02-189-24.D\data.ms
9=,PBM Apex
[INT TIC: JTB-E02-189-23.D\data.ms]
Time=,Wed Jan 30 15:06:27 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.292,   20,  25,  41,"PV  ",1104405, 24694847,  1.15,  0.157
2=,  2,  2.433,   41,  43,  50,"VV 2",  83862,  3368099,  0.16,  0.021
3=,  3,  2.509,   50,  52,  56,"VV 4",  84193,  2228508,  0.10,  0.014
4=,  4,  2.628,   63,  67,  80,"VV  ", 228620,  7470956,  0.35,  0.047
5=,  5,  2.802,   83,  88, 111,"VV  ",9078380,200200502,  9.33,  1.270
6=,  6,  3.014,  111, 114, 121,"VV 4", 165721,  6925205,  0.32,  0.044
7=,  7,  3.126,  121, 128, 133,"VV  ",3502740, 75036430,  3.50,  0.476
8=,  8,  3.211,  133, 138, 148,"VV  ",8010436,202077478,  9.42,  1.282
9=,  9,  3.326,  148, 153, 166,"VV  ",7197087,205950067,  9.60,  1.307
10=, 10,  3.450,  166, 168, 169,"VV  ", 616453, 10312850,  0.48,  0.065
11=, 11,  3.489,  169, 173, 178,"VV 2",1010533, 27718173,  1.29,  0.176
12=, 12,  3.555,  178, 181, 189,"VV  ", 501540, 18184335,  0.85,  0.115
13=, 13,  3.698,  189, 198, 213,"VV 2",59243886,1906758006, 88.89, 12.100
14=, 14,  3.829,  213, 214, 225,"VV  ",6094050,257542697, 12.01,  1.634
15=, 15,  3.945,  225, 229, 237,"VV 2",3995580,161860334,  7.55,  1.027
16=, 16,  4.026,  237, 239, 260,"VV 4",1844911,141836714,  6.61,  0.900
17=, 17,  4.267,  260, 268, 280,"VV 2",35584490,1181372158, 55.07,  7.497
18=, 18,  4.385,  280, 283, 301,"VV 2",3024091,150917098,  7.04,  0.958
19=, 19,  4.565,  301, 305, 311,"VV 5", 909045, 36973795,  1.72,  0.235
20=, 20,  4.660,  311, 317, 332,"VV  ",3908236,143593352,  6.69,  0.911
21=, 21,  4.822,  332, 337, 339,"VV 2", 931139, 25107307,  1.17,  0.159
22=, 22,  4.866,  339, 342, 350,"VV 2", 940366, 35477376,  1.65,  0.225
23=, 23,  4.983,  350, 357, 361,"VV 2",1609508, 54912029,  2.56,  0.348
24=, 24,  5.059,  361, 366, 377,"VV  ",2401972, 95437170,  4.45,  0.606
25=, 25,  5.185,  377, 381, 384,"VV  ",1808971, 47254320,  2.20,  0.300
26=, 26,  5.226,  384, 386, 399,"VV 2",1733185, 66365719,  3.09,  0.421
27=, 27,  5.357,  399, 403, 406,"VV 2", 474062, 14597652,  0.68,  0.093
28=, 28,  5.419,  406, 410, 414,"VV 2", 722495, 21063722,  0.98,  0.134
