[contents]
count=9
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-190-11.D
1=,INT TIC: JTB-E02-190-11.D\data.ms
2=,INT TIC: JTB-E02-190-05.D\data.ms
3=,INT TIC: JTB-E02-190-08.D\data.ms
4=,INT TIC: JTB-E02-190-09.D\data.ms
5=,INT TIC: JTB-E02-190-10.D\data.ms
6=,INT TIC: JTB-E02-190-12.D\data.ms
7=,INT TIC: JTB-E02-190-13.D\data.ms
8=,INT TIC: JTB-E02-190-14.D\data.ms
9=,PBM Apex
[INT TIC: JTB-E02-190-11.D\data.ms]
Time=,Thu Dec 13 10:38:58 2018
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.293,   21,  25,  40,"PV  ",1093029, 23569732,  1.28,  0.180
2=,  2,  2.437,   40,  43,  49,"VV  ",  79261,  3211450,  0.17,  0.025
3=,  3,  2.504,   49,  51,  57,"VV  ",  64744,  2173539,  0.12,  0.017
4=,  4,  2.574,   57,  60,  63,"VV  ",  81954,  2036235,  0.11,  0.016
5=,  5,  2.628,   63,  67,  77,"VV  ", 333958,  8388384,  0.46,  0.064
6=,  6,  2.802,   81,  88, 108,"VV  ",2482901, 58219515,  3.16,  0.444
7=,  7,  2.977,  108, 110, 112,"VV 2",  96355,  1937553,  0.11,  0.015
8=,  8,  3.126,  120, 128, 134,"VV  ",4814451,105052489,  5.70,  0.802
9=,  9,  3.212,  134, 138, 147,"VV  ",5939466,148823820,  8.08,  1.136
10=, 10,  3.327,  147, 153, 170,"VV  ",16760267,442954426, 24.05,  3.381
11=, 11,  3.489,  170, 173, 178,"VV 2", 944059, 27298031,  1.48,  0.208
12=, 12,  3.556,  178, 181, 191,"VV 4", 498417, 22360395,  1.21,  0.171
13=, 13,  3.699,  191, 198, 213,"VV 2",47225017,1461680412, 79.35, 11.155
14=, 14,  3.831,  213, 215, 226,"VV  ",5157329,224265971, 12.17,  1.712
15=, 15,  3.946,  226, 229, 236,"VV 2",3184849,132867680,  7.21,  1.014
16=, 16,  4.031,  236, 239, 261,"VV 3",2491964,154153385,  8.37,  1.176
17=, 17,  4.268,  261, 269, 302,"VV 2",35773985,1316866953, 71.49, 10.050
18=, 18,  4.567,  302, 305, 312,"VV 5", 803585, 32277274,  1.75,  0.246
19=, 19,  4.662,  312, 317, 333,"VV  ",2511848,103264499,  5.61,  0.788
20=, 20,  4.825,  333, 337, 340,"VV  ", 853258, 23006577,  1.25,  0.176
21=, 21,  4.869,  340, 342, 350,"VV  ", 837713, 31337402,  1.70,  0.239
22=, 22,  4.984,  350, 357, 363,"VV  ",8562914,234884722, 12.75,  1.793
23=, 23,  5.061,  363, 366, 377,"VV  ",2539143,104353326,  5.66,  0.796
24=, 24,  5.187,  377, 382, 384,"VV 2",1402399, 39547938,  2.15,  0.302
25=, 25,  5.227,  384, 387, 399,"VV 3",1189424, 52942343,  2.87,  0.404
26=, 26,  5.362,  399, 403, 407,"VV 5", 439976, 15255553,  0.83,  0.116
27=, 27,  5.422,  407, 411, 414,"VV  ", 479071, 14474538,  0.79,  0.110
28=, 28,  5.478,  414, 417, 426,"VV  ", 523190, 22959404,  1.25,  0.175
29=, 29,  5.595,  426, 432, 442,"VV  ",1458542, 52099507,  2.83,  0.398
30=, 30,  5.717,  442, 447, 464,"VV 3", 473379, 31828799,  1.73,  0.243
31=, 31,  6.010,  468, 483, 496,"VV 2",1080425, 55529258,  3.01,  0.424
32=, 32,  6.167,  496, 502, 513,"VV  ",2106862, 68716160,  3.73,  0.524
33=, 33,  6.282,  513, 516, 523,"VV 2", 448110, 18248232,  0.99,  0.139
34=, 34,  6.354,  523, 525, 537,"VV 3", 318488, 18240582,  0.99,  0.139
35=, 35,  6.482,  537, 541, 545,"VV 6", 257168, 10438481,  0.57,  0.080
36=, 36,  6.603,  545, 556, 565,"VV  ",1308457, 47065637,  2.56,  0.359
37=, 37,  6.895,  585, 592, 600,"VV 6", 176936,  8614272,  0.47,  0.066
38=, 38,  7.004,  600, 605, 612,"VV 4", 120863,  5705007,  0.31,  0.044
