"Path","File","Date Acquired","Sample","Misc"
"Z:\data\JTB-E02\BACandBLUE\","JTB-E02-191-09.D","12 Dec 2018  11:00    ","48H_BAC-01 CONTROL","P10:E5"
"PBM Apex"
"Thu Dec 13 12:29:04 2018"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2898, 0.2863,"Carbon dioxide (CAS) $$ Dry ice $$ R 744 $$ Carbonic acid gas $$ Carbonic anhydride $$ Carbon oxide (CO2) $$ Carbonic acid, gas $$ CO2 $$ Anhydride carbonique $$ Carbonice $$ Kohlendioxyd $$ Kohlensaure $$ UN 1013 $$ UN 1845 $$ UN 2187",   179,"000124-38-9", 4
  2,  2.4321, 0.0391,"1-Propanamine, N,2-dimethyl- (CAS) $$ METHYL-ISO-BUTYLAMINE $$ Isobutylmethylamine $$ N-Methylisobutylamine $$ N,2-Dimethylpropylamine $$ Propylamine, N,2-dimethyl- $$ 2-Methyl-1-(methylamino)propane $$ N-Isobutylmethylamine $$ Methylisobutylamine $$ N-Is",  3700,"000625-43-4",64
  3,  2.5030, 0.0254,"2-Butanamine, 3-methyl- (CAS) $$ 2-Amino-3-methylbutane $$ 3-Methyl-2-aminobutane $$ 1,2-Dimethylpropylamine $$ Propylamine, 1,2-dimethyl- $$ iso-Amylamine $$ 1,2-Dimethylpropanamine",  3690,"000598-74-3",59
  4,  2.5668, 0.0206,"2-Aminononadecane",164511,"031604-55-4",47
  5,  2.6244, 0.1347,"Acetaldehyde (CAS) $$ Ethanal $$ Acetaldeyde $$ Ethyl aldehyde $$ Acetic aldehyde $$ CH3CHO $$ Acetaldehyd $$ Aldehyde acetique $$ Aldeide acetica $$ NCI-C56326 $$ Octowy aldehyd $$ Acetylaldehyde $$ Rcra waste number U001 $$ UN 1089",   194,"000075-07-0",72
  6,  2.7985, 0.3673,"Methane, thiobis- (CAS) $$ 2-Thiapropane $$ DMS $$ Methylthiomethane $$ Methyl sulfide $$ Dimethyl sulfide $$ Methyl monosulfide $$ Dimethyl thioether $$ Dimethyl monosulfide $$ 2-THIAPROPANE(DIMETHYL SULFIDE) $$ DIMETHYLSULFIDE $$ (METHYLTHIO)METHANE $$",   823,"000075-18-3",91
  7,  2.9762, 0.0456,"Pentanal (CAS) $$ n-Pentanal $$ n-Valeraldehyde $$ Valeral $$ Valeraldehyde $$ Valeric aldehyde $$ Valerianic aldehyde $$ Valerylaldehyde yde $$ Valeric acid aldehyde $$ 1-pentanal $$ Valeryl aldehyde $$ n-C4H9CHO $$ Amyl aldehyde $$ Butyl formal $$ UN 20",  3286,"000110-62-3",43
  8,  3.1228, 1.4699,"2-Propanone (CAS) $$ Acetone $$ propan-2-one $$ Propanone $$ Methyl ketone $$ Dimethyl ketone $$ Pyroacetic ether $$ .beta.-Ketopropane $$ Dimethylformaldehyde $$ ACETONE (2-PROPANONE) $$ (CH3)2CO $$ Allylic alcohol $$ Dimethylketal $$ Ketone propane $$ K",   504,"000067-64-1",80
  9,  3.2077, 1.5827,"METHYL ACETATE",  1735,"000000-00-0",86
 10,  3.3245, 0.9964,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",106845,"000541-05-9",83
 11,  3.4404, 0.0768,"1-METHYLALLYL(CYCLOOCTATETRAENE)TITANIUM", 92376,"000000-00-0",80
 12,  3.4856, 0.1942,"6 METHYL-2 PHENYLINDOLE", 92604,"000000-00-0",56
 13,  3.5521, 0.1601,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-", 92199,"035373-06-9",86
 14,  3.6945,12.0063,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",  3828,"000141-78-6",53
 15,  3.8280, 1.6669,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",  3829,"000141-78-6",59
 16,  3.9428, 1.0471,"Furan, tetrahydro-3-methyl- (CAS) $$ 3-Methyltetrahydrofuran $$ Tetrahydro-3-methylfuran",  3476,"013423-15-9",38
 17,  4.0273, 1.0413,"Butanal, 3-methyl- (CAS) $$ 3-Methylbutanal $$ Isovaleraldehyde $$ Isovaleral $$ Isopentanal $$ 3-Methylbutan-1-al $$ Isovalerylaldehyde $$ Isovaleric aldehyde $$ .beta.-Methylbutanal $$ 3-Methylbutyraldehyde $$ Isoamylaldehyde $$ iso-Valeraldehyde $$ 3-M",  3302,"000590-86-3",70
 18,  4.1685, 0.2132,"ETHYL ACETATE $$ ACETIC ETHER",  3928,"000141-78-6",78
