"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandBLUE\","JTB-E18-008-08.D","15 May 2019  11:37    ","BAC-01    PRO-02"," "
"PBM Apex"
"Wed Jun 12 09:40:48 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2923, 0.6637,"Carbon dioxide",    81,"000124-38-9", 4
  2,  2.5067, 0.0640,"2-Octanamine", 13320,"000693-16-3",47
  3,  2.5771, 0.0710,"Methanethiol",   114,"000074-93-1",46
  4,  2.6272, 0.2554,"Acetaldehyde",    71,"000075-07-0",56
  5,  2.8021, 0.9099,"Dimethyl sulfide",   337,"000075-18-3",91
  6,  2.9769, 0.0398,"Ethyl allophanate", 14486,"000626-36-8",36
  7,  3.0126, 0.0600,"Oxamide, N-(methylthio)carbonyl-", 33594,"1000151-70-0",27
  8,  3.1219, 1.3073,"Acetone",   216,"000067-64-1",59
  9,  3.2102, 0.9281,"Butanoic acid, 3-hydroxy-, methyl ester",  8892,"001487-49-6",38
 10,  3.3280, 3.7155,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
 11,  3.5491, 0.2226,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",86
 12,  3.5912, 0.6052,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",72
 13,  3.6955, 8.6501,"CH3C(O)CH2CH2OH",  2045,"000590-90-9",59
 14,  3.8304, 2.0001,"Ethyl Acetate",  2042,"000141-78-6",35
 15,  3.9814, 1.9495,"Butanal, 2-methyl-",  1768,"000096-17-3",81
 16,  4.0297, 6.4039,"Butanal, 3-methyl-",  1762,"000590-86-3",90
 17,  4.2495, 7.4111,"Ethanol",    94,"000064-17-5",86
 18,  4.3785, 1.5109,"Pentane, 1-methoxy-",  4512,"000628-80-8",16
 19,  4.6575, 1.1829,"Tetrahydrofuran, 2-propyl-",  7710,"003208-22-8",50
 20,  4.8206, 0.3093,"1H-Indole, 5-methyl-2-phenyl-", 71661,"013228-36-9",39
