[contents]
count=24
Name=,C:\MassHunter\GCMS\1\data\JTB-E02\BACandBLUE\JTB-E18-009-08.D
1=,INT TIC: JTB-E18-009-08.D\data.ms
2=,INT TIC: JTB-E18-008-04.D\data.ms
3=,INT TIC: JTB-E18-008-07.D\data.ms
4=,INT TIC: JTB-E18-008-08.D\data.ms
5=,INT TIC: JTB-E18-008-09.D\data.ms
6=,INT TIC: JTB-E18-008-10.D\data.ms
7=,INT TIC: JTB-E18-008-11.D\data.ms
8=,INT TIC: JTB-E18-008-12.D\data.ms
9=,INT TIC: JTB-E18-008-13.D\data.ms
10=,INT TIC: JTB-E18-009-04.D\data.ms
11=,INT TIC: JTB-E18-009-07.D\data.ms
12=,INT TIC: JTB-E18-009-09.D\data.ms
13=,INT TIC: JTB-E18-009-10.D\data.ms
14=,INT TIC: JTB-E18-009-11.D\data.ms
15=,INT TIC: JTB-E18-009-12.D\data.ms
16=,INT TIC: JTB-E18-009-13.D\data.ms
17=,INT TIC: JTB-E18-010-04.D\data.ms
18=,INT TIC: JTB-E18-010-07.D\data.ms
19=,INT TIC: JTB-E18-010-08.D\data.ms
20=,INT TIC: JTB-E18-010-09.D\data.ms
21=,INT TIC: JTB-E18-010-10.D\data.ms
22=,INT TIC: JTB-E18-010-11.D\data.ms
23=,INT TIC: JTB-E18-010-12.D\data.ms
24=,INT TIC: JTB-E18-010-13.D\data.ms
[INT TIC: JTB-E18-009-08.D\data.ms]
Time=,Wed Jun 12 09:30:04 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.288,   15,  25,  41,"BV  ",1148675, 20104933,  3.23,  0.446
2=,  2,  2.449,   41,  45,  48,"VV 2",  52055,  1605937,  0.26,  0.036
3=,  3,  2.503,   48,  51,  56,"VV 2",  59933,  1833394,  0.29,  0.041
4=,  4,  2.572,   56,  60,  62,"VV 2", 131752,  2433537,  0.39,  0.054
5=,  5,  2.624,   62,  66,  84,"VV  ", 940679, 19498191,  3.13,  0.433
6=,  6,  2.799,   84,  88, 106,"VV 2",1080859, 24631398,  3.95,  0.547
7=,  7,  2.976,  106, 109, 119,"VV 4",  87043,  3641648,  0.58,  0.081
8=,  8,  3.117,  119, 127, 134,"VV 2",4588869,118910385, 19.08,  2.639
9=,  9,  3.207,  134, 138, 147,"VV  ",1990852, 55237189,  8.86,  1.226
10=, 10,  3.322,  147, 152, 177,"VV  ",5550989,159681444, 25.62,  3.543
11=, 11,  3.589,  177, 185, 192,"VV 3", 739510, 30148413,  4.84,  0.669
12=, 12,  3.693,  192, 198, 211,"VV  ",17736729,438844522, 70.41,  9.738
13=, 13,  3.828,  211, 214, 225,"VV  ",2711064,104667195, 16.79,  2.323
14=, 14,  3.979,  225, 233, 235,"VV  ",6857932,142133090, 22.80,  3.154
15=, 15,  4.027,  235, 239, 260,"VV  ",27392583,623271168,100.00, 13.831
16=, 16,  4.247,  260, 266, 280,"VV  ",16911827,447619650, 71.82,  9.933
17=, 17,  4.374,  280, 281, 302,"VV 2", 950883, 65775988, 10.55,  1.460
18=, 18,  4.655,  311, 316, 330,"VV  ", 920362, 43259834,  6.94,  0.960
