[contents]
count=2
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_GCerinus_10BB_BLANK_PRO_REP\JTB-E18-005-07.D
1=,INT TIC: JTB-E18-005-07.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E18-005-07.D\data.ms]
Time=,Wed Jun 05 11:07:38 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.291,   20,  25,  41,"PV  ",1463083, 32523192,  1.59,  0.301
2=,  2,  2.433,   41,  43,  49,"VV 5", 104548,  3608967,  0.18,  0.033
3=,  3,  2.505,   49,  51,  54,"VV  ",  82129,  1811781,  0.09,  0.017
4=,  4,  2.577,   54,  60,  63,"VV  ", 831038, 15672162,  0.77,  0.145
5=,  5,  2.627,   63,  66,  84,"VV  ",1742352, 45166972,  2.21,  0.418
6=,  6,  2.802,   84,  88, 107,"VV  ",2185277, 60896155,  2.98,  0.563
7=,  7,  2.978,  107, 110, 111,"VV  ", 186023,  3020023,  0.15,  0.028
8=,  8,  3.012,  111, 114, 120,"VV  ", 647851, 17507138,  0.86,  0.162
9=,  9,  3.122,  120, 127, 148,"VV 2",20712141,747305082, 36.53,  6.910
10=, 10,  3.328,  148, 153, 176,"VV  ",4258637,219589362, 10.73,  2.030
11=, 11,  3.543,  176, 179, 183,"VV  ", 861785, 24485716,  1.20,  0.226
12=, 12,  3.590,  183, 185, 193,"VV 2", 780696, 31057551,  1.52,  0.287
13=, 13,  3.695,  193, 198, 211,"VV  ",13888331,412041050, 20.14,  3.810
14=, 14,  3.830,  211, 215, 226,"VV  ",3107615,134530191,  6.58,  1.244
15=, 15,  3.984,  226, 233, 236,"VV  ",31872372,648904311, 31.72,  6.000
16=, 16,  4.034,  236, 240, 261,"VV 2",68103830,2045972717,100.00, 18.918
17=, 17,  4.248,  261, 266, 280,"VV  ",12456151,404626081, 19.78,  3.741
18=, 18,  4.379,  280, 282, 296,"VV 2",1367180, 78924582,  3.86,  0.730
19=, 19,  4.657,  311, 316, 331,"VV  ",1126699, 66718987,  3.26,  0.617
20=, 20,  4.821,  331, 337, 350,"VV  ",1101181, 62725569,  3.07,  0.580
21=, 21,  4.981,  350, 356, 377,"VV  ",2306192,143641175,  7.02,  1.328
22=, 22,  5.181,  377, 381, 383,"VV 4", 771796, 21127822,  1.03,  0.195
23=, 23,  5.223,  383, 386, 398,"VV 5", 774175, 43245370,  2.11,  0.400
24=, 24,  5.357,  398, 402, 405,"VV 3", 526293, 17152488,  0.84,  0.159
25=, 25,  5.411,  405, 409, 413,"VV 4", 572211, 20206251,  0.99,  0.187
26=, 26,  5.471,  413, 417, 424,"VV 4", 506706, 22836185,  1.12,  0.211
27=, 27,  5.590,  424, 431, 442,"VV 3",1075634, 50789269,  2.48,  0.470
28=, 28,  5.858,  458, 464, 474,"VV 5", 530515, 32629988,  1.59,  0.302
29=, 29,  6.037,  474, 486, 496,"VV 2", 693877, 43904713,  2.15,  0.406
30=, 30,  6.161,  496, 502, 511,"VV 3", 527989, 24497607,  1.20,  0.227
31=, 31,  6.275,  511, 516, 520,"VV 3", 322676, 12531879,  0.61,  0.116
32=, 32,  6.354,  520, 525, 544,"VV 2", 544367, 30776825,  1.50,  0.285
33=, 33,  6.595,  544, 555, 561,"VV  ", 775183, 27876605,  1.36,  0.258
34=, 34,  6.686,  561, 566, 580,"VV  ",1449344, 55474340,  2.71,  0.513
35=, 35,  6.845,  580, 586, 599,"VV 8", 408065, 25323706,  1.24,  0.234
36=, 36,  6.995,  599, 604, 610,"VV 6", 199318,  7556902,  0.37,  0.070
37=, 37,  7.091,  610, 616, 622,"VV 3", 277009, 10746329,  0.53,  0.099
38=, 38,  7.179,  622, 627, 628,"VV  ", 291573,  6847619,  0.33,  0.063
39=, 39,  7.232,  628, 633, 643,"VV  ",1731050, 46662185,  2.28,  0.431
40=, 40,  7.357,  643, 649, 667,"VV  ", 176581, 13772977,  0.67,  0.127
41=, 41,  7.583,  667, 677, 692,"VV  ",5126659,172047301,  8.41,  1.591
42=, 42,  7.813,  692, 705, 710,"VV  ", 224705, 16164041,  0.79,  0.149
43=, 43,  7.903,  710, 716, 720,"VV 4", 239404,  8718943,  0.43,  0.081
44=, 44,  7.967,  720, 724, 742,"VV 5", 183809, 11674739,  0.57,  0.108
45=, 45,  8.162,  742, 748, 758,"VV 4", 106113,  6008770,  0.29,  0.056
46=, 46,  8.347,  766, 771, 772,"VV 5",  80675,  2273368,  0.11,  0.021
47=, 47,  8.396,  772, 777, 784,"VV 5", 138857,  5221469,  0.26,  0.048
48=, 48,  8.554,  788, 796, 802,"VV  ",2415429, 59184222,  2.89,  0.547
49=, 49,  8.620,  802, 804, 819,"VV  ", 345652, 14753285,  0.72,  0.136
50=, 50,  8.804,  819, 827, 842,"VV  ",1186469, 47051744,  2.30,  0.435
51=, 51,  8.952,  842, 845, 848,"VV 3", 203265,  5523284,  0.27,  0.051
52=, 52,  8.996,  848, 851, 862,"VV 8", 187823,  9870646,  0.48,  0.091
53=, 53,  9.131,  862, 867, 875,"VV 2", 206380, 10076858,  0.49,  0.093
54=, 54,  9.456,  898, 907, 914,"VV 5", 392627, 15788583,  0.77,  0.146
55=, 55,  9.540,  914, 918, 923,"VV 4", 207835,  7650410,  0.37,  0.071
56=, 56,  9.603,  923, 925, 935,"VV 8", 142520,  5457454,  0.27,  0.050
57=, 57,  9.872,  952, 958, 964,"VV  ",  62857,  2062951,  0.10,  0.019
58=, 58,  9.975,  964, 971, 982,"VV 4", 247497, 10777153,  0.53,  0.100
59=, 59, 10.084,  982, 984, 997,"VV 4",  71838,  4069976,  0.20,  0.038
60=, 60, 10.343, 1001,1016,1028,"VV 4",10399962,470134373, 22.98,  4.347
61=, 61, 10.452, 1028,1030,1083,"VV 6",1194984, 91089432,  4.45,  0.842
62=, 62, 10.992, 1089,1096,1106,"VV 4", 177525,  9330402,  0.46,  0.086
63=, 63, 11.112, 1106,1111,1119,"VV 9", 107512,  5615352,  0.27,  0.052
64=, 64, 11.358, 1132,1141,1157,"VV  ",3093444,125156983,  6.12,  1.157
65=, 65, 11.515, 1157,1161,1171,"VV 7", 327785, 16452455,  0.80,  0.152
66=, 66, 11.624, 1171,1174,1180,"VV 4", 192927,  6699998,  0.33,  0.062
67=, 67, 11.942, 1207,1213,1216,"VV  ", 246586,  6901418,  0.34,  0.064
68=, 68, 12.024, 1216,1223,1234,"VV  ",4201054,159214827,  7.78,  1.472
69=, 69, 12.148, 1234,1239,1264,"VV 2",1362390,102654147,  5.02,  0.949
70=, 70, 12.418, 1264,1272,1286,"VV 4", 587835, 41402309,  2.02,  0.383
71=, 71, 12.573, 1286,1291,1296,"VV 3", 298033, 12157611,  0.59,  0.112
72=, 72, 12.994, 1334,1343,1367,"VV  ",1577314, 51324064,  2.51,  0.475
73=, 73, 13.793, 1432,1441,1459,"VV  ",2205532,114533887,  5.60,  1.059
74=, 74, 13.997, 1459,1466,1482,"VV  ",1497224, 77695260,  3.80,  0.718
75=, 75, 14.170, 1482,1488,1490,"VV  ", 655207, 21081345,  1.03,  0.195
76=, 76, 14.224, 1490,1494,1524,"VV 3", 824345, 57647710,  2.82,  0.533
77=, 77, 14.540, 1524,1533,1553,"VV 4", 156884, 10645618,  0.52,  0.098
78=, 78, 14.847, 1553,1571,1628,"VV  ",3574204,140023245,  6.84,  1.295
79=, 79, 15.526, 1640,1654,1682,"BV 4", 386835, 19498165,  0.95,  0.180
80=, 80, 15.807, 1682,1689,1705,"VV 2", 276427, 11352110,  0.55,  0.105
81=, 81, 15.997, 1705,1712,1730,"VV  ", 171981, 11783530,  0.58,  0.109
82=, 82, 16.174, 1730,1734,1746,"VV 10",  54224,  2676654,  0.13,  0.025
83=, 83, 16.397, 1755,1762,1768,"VV 2", 191405,  7022933,  0.34,  0.065
84=, 84, 16.502, 1768,1775,1797,"VV 2", 649743, 24369262,  1.19,  0.225
85=, 85, 17.161, 1847,1856,1864,"VV 9",  37694,  1690748,  0.08,  0.016
86=, 86, 17.357, 1864,1880,1902,"PV 6",  74798,  5809926,  0.28,  0.054
87=, 87, 17.692, 1902,1921,1967,"VV  ",19464166,1725445559, 84.33, 15.955
88=, 88, 18.111, 1967,1973,2011,"VV 2",2910834,300220578, 14.67,  2.776
89=, 89, 18.483, 2011,2018,2036,"VV 4", 682259, 65762331,  3.21,  0.608
90=, 90, 18.974, 2073,2079,2090,"VV 5", 363058, 23800229,  1.16,  0.220
91=, 91, 19.121, 2090,2097,2116,"VV 5", 493287, 36264105,  1.77,  0.335
92=, 92, 19.393, 2116,2130,2141,"VV 4", 313968, 28963989,  1.42,  0.268
93=, 93, 19.536, 2141,2148,2159,"VV 4", 376317, 20308630,  0.99,  0.188
94=, 94, 19.688, 2159,2167,2179,"VV 4", 512684, 27782275,  1.36,  0.257
95=, 95, 19.820, 2179,2183,2187,"VV 5", 209681,  7394574,  0.36,  0.068
96=, 96, 19.919, 2187,2195,2215,"VV  ",1827930,106625117,  5.21,  0.986
97=, 97, 20.106, 2215,2218,2223,"VV 3", 385896, 13722941,  0.67,  0.127
98=, 98, 20.214, 2223,2231,2237,"VV  ",2179048, 84961464,  4.15,  0.786
99=, 99, 20.294, 2237,2241,2257,"VV 2",1616060, 71574298,  3.50,  0.662
100=,100, 20.833, 2295,2308,2317,"VV 4", 378829, 15250531,  0.75,  0.141
101=,101, 20.951, 2317,2322,2330,"VV 4",  90209,  4629382,  0.23,  0.043
102=,102, 21.179, 2344,2350,2368,"VV 4", 114544,  6283466,  0.31,  0.058
103=,103, 21.432, 2375,2382,2391,"VV 7",  87308,  4564083,  0.22,  0.042
104=,104, 21.673, 2399,2411,2423,"VV 7",  86528,  6422608,  0.31,  0.059
105=,105, 21.842, 2423,2432,2449,"VV 7",  82759,  5538929,  0.27,  0.051
106=,106, 22.439, 2499,2505,2512,"PV 8",  76360,  2575205,  0.13,  0.024
107=,107, 22.543, 2512,2518,2525,"VV 8",  42214,  1862644,  0.09,  0.017
108=,108, 22.932, 2556,2566,2587,"VV 4", 129361,  7590358,  0.37,  0.070
109=,109, 23.275, 2595,2608,2614,"VV 4",  31772,  1598025,  0.08,  0.015
110=,110, 23.441, 2614,2629,2643,"VV 4", 154583, 14436830,  0.71,  0.133
111=,111, 23.621, 2643,2651,2665,"VV 5", 263622, 13508113,  0.66,  0.125
112=,112, 23.805, 2665,2674,2696,"VV  ",4462962,164724159,  8.05,  1.523
113=,113, 24.048, 2696,2703,2715,"VV  ",2063895, 63375209,  3.10,  0.586
114=,114, 24.175, 2715,2719,2724,"VV 2", 107089,  3941203,  0.19,  0.036
115=,115, 24.419, 2743,2749,2756,"VV 3", 140147,  5420209,  0.26,  0.050
116=,116, 24.525, 2756,2762,2764,"VV 7",  71160,  2572444,  0.13,  0.024
117=,117, 24.812, 2791,2798,2799,"VV 4",  58791,  1296050,  0.06,  0.012
118=,118, 24.906, 2799,2809,2828,"VV  ", 486492, 23388733,  1.14,  0.216
119=,119, 25.161, 2828,2841,2851,"VV  ",2129375, 71766573,  3.51,  0.664
120=,120, 25.284, 2851,2856,2875,"VV 3", 189724, 11139500,  0.54,  0.103
121=,121, 25.801, 2913,2919,2924,"VV 5", 117327,  3762039,  0.18,  0.035
122=,122, 25.863, 2924,2927,2944,"VV 8",  55181,  2524004,  0.12,  0.023
123=,123, 26.165, 2949,2964,2974,"VV 8",  63553,  4148884,  0.20,  0.038
124=,124, 26.266, 2974,2977,2985,"VV 9",  38625,  1438054,  0.07,  0.013
125=,125, 26.417, 2985,2995,3012,"VV  ", 251783, 10453827,  0.51,  0.097
126=,126, 27.034, 3060,3071,3104,"BV  ", 758342, 35128242,  1.72,  0.325
127=,127, 27.614, 3136,3143,3151,"VV 9",  32453,  1049566,  0.05,  0.010
128=,128, 28.070, 3185,3199,3211,"PV 9",  29496,  1563627,  0.08,  0.014
129=,129, 28.232, 3211,3219,3227,"VV 10",  58687,  2298056,  0.11,  0.021
130=,130, 28.411, 3227,3241,3248,"VV 3",  90718,  5892677,  0.29,  0.054
131=,131, 28.508, 3248,3253,3265,"VV 3",  65640,  4367303,  0.21,  0.040
132=,132, 28.799, 3281,3288,3298,"VV 3",  66188,  3056348,  0.15,  0.028
133=,133, 29.279, 3337,3347,3364,"VV  ", 307772, 12498374,  0.61,  0.116
134=,134, 29.916, 3420,3426,3431,"VV 7",  47029,  1534156,  0.07,  0.014
135=,135, 30.048, 3435,3442,3444,"VV 8",  45835,  1584827,  0.08,  0.015
136=,136, 30.076, 3444,3446,3449,"VV 4",  44747,  1034324,  0.05,  0.010
137=,137, 30.825, 3517,3538,3544,"PV 8",  36802,  1543220,  0.08,  0.014
138=,138, 31.121, 3563,3574,3580,"VV 10",  40478,  1766064,  0.09,  0.016
139=,139, 31.243, 3580,3589,3600,"VV 2", 104972,  4052971,  0.20,  0.037
