"Path","File","Date Acquired","Sample","Misc"
"D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_GCerinus_10BB_BLANK_PRO_REP\","JTB-E18-005-10.D","10 Apr 2019  14:17    ","REP-01  BAC-03"," "
"PBM Apex"
"Wed Jun 05 09:26:16 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2878, 0.5474,"Carbon dioxide",    81,"000124-38-9", 4
  2,  2.4333, 0.0602,"1-Butanamine, N,3-dimethyl-",  4230,"004104-44-3",59
  3,  2.5040, 0.0399,"L-Alanine, methyl ester",  4633,"010065-72-2",45
  4,  2.5753, 0.1917,"Methanethiol",   114,"000074-93-1",80
  5,  2.6211, 0.1617,"Ethyl oxamate",  8604,"000617-36-7",43
  6,  2.8008, 0.6843,"Dimethyl sulfide",   339,"000075-18-3",91
  7,  3.0119, 0.1804,"1H-Imidazole",   408,"000288-32-4", 9
  8,  3.0760, 0.0658,"cis-Aconitic anhydride", 29562,"006318-55-4",37
  9,  3.1238, 0.6553,"Acetone",   216,"000067-64-1",72
 10,  3.2080, 0.5495,"Acetic acid, methyl ester",   829,"000079-20-9", 9
 11,  3.3281, 2.0670,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
 12,  3.5419, 0.3729,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",52
 13,  3.6941, 5.4615,"Ethyl Acetate",  2042,"000141-78-6",78
 14,  3.9805, 0.8577,"Butanal, 2-methyl-",  1768,"000096-17-3",58
 15,  4.0275, 0.9214,"Butanal, 3-methyl-",  1762,"000590-86-3",93
 16,  4.1635, 1.4318,"Isopropyl Alcohol",   295,"000067-63-0",72
 17,  4.2496, 4.5518,"Ethanol",    94,"000064-17-5",86
 18,  4.3785, 0.4481,"Butane, 1-methoxy-3-methyl-",  4554,"000626-91-5",38
 19,  4.5030, 0.2570,"Propanamide, 2-hydroxy-",  2199,"002043-43-8",22
 20,  4.6581, 0.5520,"Oxirane, 3-hydroxypropyl-",  4366,"021915-56-0",59
 21,  4.9825, 1.3482,"Benzoic acid, 4-methyl-2-trimethylsilyloxy-, trimethylsilyl ester",155035,"000035-27-8",56
 22,  5.1837, 0.1915,"trans-4-(2-(5-Nitro-2-furyl)vinyl)-2-quinolinamine",140729,"000847-10-9",35
 23,  5.2235, 0.4792,"Silicic acid, diethyl bis(trimethylsilyl) ester",154747,"003555-45-1",43
 24,  5.4158, 0.1653,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",38
 25,  5.4727, 0.1886,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",220051,"1000364-61-2",38
 26,  5.5912, 0.3995,"Methyl isovalerate",  8239,"000556-24-1",76
 27,  5.7096, 0.4332,"2-Butanol",   839,"000078-92-2",59
 28,  5.8606, 0.2567,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",38
 29,  6.0023, 0.2897,"3-Buten-2-ol, 2-methyl-",  1814,"000115-18-4",38
 30,  6.1624, 0.2283,"Ethanol, 2-(2-methoxyethoxy)-",  9432,"000111-77-3",25
 31,  6.2775, 0.1682,"1-(3-Hydroxy-4-methylphenyl)-1,3,3,6-tetramethylindan-5-ol",155824,"107535-11-5",45
 32,  6.5968, 0.2336,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",81
 33,  6.6863, 0.5582,"Disulfide, dimethyl",  2561,"000624-92-0",96
 34,  6.8275, 0.1950,"Decane, 3,7-dimethyl-", 39995,"017312-54-8",46
 35,  6.9797, 0.0760,"Eicosane",142239,"000112-95-8",43
 36,  7.0780, 0.1119,"Methyl propyl methylphosphonate", 26365,"000683-25-0",50
 37,  7.1803, 0.0726,"2-Butenal, 2-methyl-",  1436,"001115-11-3",59
 38,  7.2530, 1.1879,"1-Propanol, 2-methyl-",   865,"000078-83-1",80
 39,  7.3446, 0.0829,"Cyclohexanone, 5-methyl-2-(1-methylethylidene)-", 26046,"015932-80-6",30
 40,  7.5722, 1.8205,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-", 27740,"007392-19-0",53
 41,  7.8185, 0.0638,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-", 27740,"007392-19-0",30
 42,  7.9006, 0.5573,"1-Butanol, 3-methyl-, acetate", 13793,"000123-92-2",86
 43,  8.0632, 0.0670,"1-Butanol, 3-methyl-, acetate", 13794,"000123-92-2",35
 44,  8.1637, 0.0613,"2-Octene, 4-ethyl-, (E)-", 18450,"074630-09-4",47
 45,  8.3286, 0.0472,"Pyrido[2,3-d]pyrimidine, 4-phenyl-", 71621,"028732-75-4",38
 46,  8.5668, 0.8578,"1-Butanol",   840,"000071-36-3",90
 47,  8.7292, 0.0247,"Neopentyl glycol",  4834,"000126-30-7",22
 48,  8.8033, 0.4525,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
 49,  8.9612, 0.1531,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",83
 50,  9.1336, 0.2053,"2-Butenoic acid, 3-methyl-, methyl ester",  7448,"000924-50-5",50
 51,  9.4545, 0.1791,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-", 27814,"000470-67-7",58
 52,  9.5492, 0.0739,"tert-Butyldimethylsilyl 3-methyl-4-((2,2,3,3,3-pentafluoropropanoyl)oxy)benzoate",243611,"1000385-89-9",27
 53,  9.8840, 0.0082,"Sulfurous acid, dimethyl ester",  5723,"000616-42-2",43
 54,  9.9752, 0.0896,"2-Butenal, 3-methyl-",  1432,"000107-86-8",46
 55, 10.0896, 0.0369,"2-(Acetoxymethyl)-3-(methoxycarbonyl)biphenylene",141906,"093103-70-9",27
 56, 10.3661,16.0447,"1-Butanol, 3-methyl-",  2148,"000123-51-3",86
 57, 10.4733, 1.0470,"(1H-Pyrrol-3-yl)acetic acid", 11004,"086688-96-2",53
 58, 10.9876, 0.1161,"9-Oxabicyclo[3.3.1]non-6-en-2-one", 17794,"1000190-61-5",59
 59, 11.1132, 0.0670,"Pyrrylmethyl(triethyl)stannane",146617,"1000298-95-6",53
