[contents]
count=2
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-206-16.D
1=,INT TIC: JTB-E02-206-16.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-206-16.D\data.ms]
Time=,Thu Apr 04 11:43:46 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.285,   20,  24,  39,"PV  ",2382247, 41580795,  3.56,  1.246
2=,  2,  2.426,   39,  42,  49,"VV 3", 140471,  5049005,  0.43,  0.151
3=,  3,  2.502,   49,  51,  55,"VV 2",  95775,  2451107,  0.21,  0.073
4=,  4,  2.570,   55,  59,  63,"VV  ",1228715, 18602725,  1.59,  0.557
5=,  5,  2.622,   63,  66,  85,"VV  ",1613084, 40181007,  3.44,  1.204
6=,  6,  2.844,   85,  93, 107,"VV 4", 155668, 10384264,  0.89,  0.311
7=,  7,  3.121,  119, 127, 147,"VV  ",4492291,131002277, 11.21,  3.925
8=,  8,  3.323,  147, 152, 170,"VV  ",4105316,124371631, 10.64,  3.726
9=,  9,  3.484,  170, 172, 187,"VV 6", 310450, 19578222,  1.67,  0.587
10=, 10,  3.647,  187, 192, 195,"VV 3", 237511,  7560113,  0.65,  0.227
11=, 11,  3.686,  195, 197, 205,"VV 4", 179989,  7053722,  0.60,  0.211
12=, 12,  3.828,  209, 214, 228,"VV  ",3338548, 96081882,  8.22,  2.879
13=, 13,  3.978,  228, 233, 235,"VV 2",2007701, 41250152,  3.53,  1.236
14=, 14,  4.026,  235, 239, 252,"VV  ",2920508, 77713252,  6.65,  2.328
15=, 15,  4.185,  252, 258, 260,"VV 3", 283267, 10627336,  0.91,  0.318
16=, 16,  4.245,  260, 266, 295,"VV  ",6668151,186765383, 15.98,  5.596
17=, 17,  4.855,  331, 341, 350,"VV 4", 153989,  9233710,  0.79,  0.277
18=, 18,  4.982,  350, 356, 379,"VV  ",1013074, 49692782,  4.25,  1.489
19=, 19,  5.181,  379, 381, 386,"VV 6", 166968,  5271295,  0.45,  0.158
20=, 20,  5.250,  386, 389, 397,"VV 4", 170272,  7862093,  0.67,  0.236
21=, 21,  5.354,  397, 402, 421,"VV 5", 214164, 15024062,  1.29,  0.450
22=, 22,  5.603,  429, 433, 441,"VV  ", 193593,  8088548,  0.69,  0.242
23=, 23,  5.706,  441, 445, 459,"VV  ", 188138, 10110319,  0.86,  0.303
24=, 24,  5.997,  473, 481, 495,"VV  ", 484911, 18118707,  1.55,  0.543
25=, 25,  6.175,  498, 503, 505,"VV 5",  88262,  2532922,  0.22,  0.076
26=, 26,  6.238,  505, 511, 517,"VV 5",  96410,  5128880,  0.44,  0.154
27=, 27,  6.478,  517, 541, 544,"VV 5", 136202, 14907849,  1.28,  0.447
28=, 28,  6.521,  544, 546, 547,"VV 2", 134054,  2179505,  0.19,  0.065
29=, 29,  6.550,  547, 549, 551,"VV 2", 140222,  2513614,  0.22,  0.075
30=, 30,  6.686,  551, 566, 600,"VV  ",12415173,377071715, 32.26, 11.298
31=, 31,  6.990,  600, 604, 607,"VV  ", 206228,  5913717,  0.51,  0.177
32=, 32,  7.044,  607, 610, 629,"VV  ", 212575, 18188462,  1.56,  0.545
33=, 33,  7.250,  629, 636, 649,"VV 2", 420644, 16389618,  1.40,  0.491
