[contents]
count=2
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_PAgglomerans_10BB_BLANK_PRO_REP\JTB-E02-203-14.D
1=,INT TIC: JTB-E02-203-14.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-203-14.D\data.ms]
Time=,Wed Sep 18 14:59:30 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.283,   19,  24,  40,"BV  ",1874804, 40583078,  3.62,  0.617
2=,  2,  2.425,   40,  42,  49,"VV  ", 135559,  4788746,  0.43,  0.073
3=,  3,  2.493,   49,  50,  52,"VV 2",  95277,  1468343,  0.13,  0.022
4=,  4,  2.519,   52,  53,  55,"VV 2",  89860,  1396805,  0.12,  0.021
5=,  5,  2.567,   55,  59,  63,"VV  ", 928877, 17440568,  1.55,  0.265
6=,  6,  2.617,   63,  65,  76,"VV 3", 454401, 16549933,  1.47,  0.252
7=,  7,  2.793,   80,  87, 111,"VV  ",3196907, 86779365,  7.73,  1.319
8=,  8,  3.009,  111, 113, 118,"VV 3", 170408,  5097110,  0.45,  0.077
9=,  9,  3.116,  118, 127, 134,"VV 2",5528059,143024945, 12.74,  2.174
10=, 10,  3.201,  134, 137, 146,"VV  ",2362012, 75341612,  6.71,  1.145
11=, 11,  3.319,  146, 152, 188,"VV  ",8004668,314520417, 28.02,  4.781
12=, 12,  3.688,  188, 197, 210,"VV  ",20141884,547473582, 48.77,  8.322
13=, 13,  3.823,  210, 214, 225,"VV  ",4904596,184447172, 16.43,  2.804
14=, 14,  3.974,  225, 232, 235,"VV 2",3853495,113662802, 10.13,  1.728
15=, 15,  4.022,  235, 238, 256,"VV  ",6468046,210631627, 18.76,  3.202
16=, 16,  4.245,  260, 266, 279,"VV  ",18019291,546650584, 48.70,  8.310
17=, 17,  4.368,  279, 281, 309,"VV 7",1328352, 98221607,  8.75,  1.493
18=, 18,  4.650,  309, 316, 331,"VV  ",1169705, 57797038,  5.15,  0.879
19=, 19,  4.816,  331, 336, 350,"VV  ",1027078, 49341878,  4.40,  0.750
20=, 20,  4.979,  350, 356, 362,"VV  ",2160123, 74988551,  6.68,  1.140
21=, 21,  5.047,  362, 364, 376,"VV 2",1049383, 48431494,  4.31,  0.736
22=, 22,  5.177,  376, 380, 383,"VV  ", 752609, 22162904,  1.97,  0.337
23=, 23,  5.218,  383, 385, 397,"VV 2", 721997, 35163448,  3.13,  0.535
24=, 24,  5.351,  397, 402, 405,"VV 4", 437063, 15403004,  1.37,  0.234
25=, 25,  5.409,  405, 409, 413,"VV 5", 436181, 14106313,  1.26,  0.214
26=, 26,  5.466,  413, 416, 421,"VV 3", 359193, 12254919,  1.09,  0.186
27=, 27,  5.588,  425, 431, 440,"VV 3",1223557, 44877199,  4.00,  0.682
28=, 28,  5.705,  440, 445, 461,"VV 3", 401086, 27266387,  2.43,  0.414
29=, 29,  5.995,  475, 481, 494,"VV 3", 880909, 34821948,  3.10,  0.529
30=, 30,  6.157,  494, 501, 511,"VV 2", 648411, 26934733,  2.40,  0.409
31=, 31,  6.272,  511, 515, 522,"VV 2", 294494, 12268302,  1.09,  0.186
32=, 32,  6.350,  522, 525, 535,"VV 5", 231178, 13487579,  1.20,  0.205
33=, 33,  6.593,  544, 555, 560,"VV  ", 933161, 31079274,  2.77,  0.472
34=, 34,  6.682,  560, 566, 599,"VV  ",10515446,315571265, 28.11,  4.797
