[contents]
count=10
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_PAgglomerans_10BB_BLANK_PRO_REP\JTB-E02-204-06.D
1=,INT TIC: JTB-E02-204-06.D\data.ms
2=,INT TIC: JTB-E02-204-07.D\data.ms
3=,INT TIC: JTB-E02-204-08.D\data.ms
4=,INT TIC: JTB-E02-204-11.D\data.ms
5=,INT TIC: JTB-E02-204-12.D\data.ms
6=,INT TIC: JTB-E02-204-13.D\data.ms
7=,INT TIC: JTB-E02-204-14.D\data.ms
8=,INT TIC: JTB-E02-204-15.D\data.ms
9=,INT TIC: JTB-E02-204-16.D\data.ms
10=,INT TIC: JTB-E02-204-17.D\data.ms
[INT TIC: JTB-E02-204-06.D\data.ms]
Time=,Mon Aug 26 13:04:08 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.287,   20,  25,  40,"PV  ",4100577, 72644124, 25.01,  6.775
2=,  2,  2.430,   40,  42,  52,"VV 3", 185403,  6607831,  2.27,  0.616
3=,  3,  2.522,   52,  54,  55,"VV  ",  56628,   909960,  0.31,  0.085
4=,  4,  2.558,   55,  58,  63,"VV 2",  62453,  1696043,  0.58,  0.158
5=,  5,  2.622,   63,  66,  72,"VV  ",  37250,   830833,  0.29,  0.077
6=,  6,  3.123,  122, 128, 146,"PV 2",  42210,  1258778,  0.43,  0.117
7=,  7,  3.328,  146, 153, 211,"PV  ",6406250,290501860,100.00, 27.093
8=,  8,  3.813,  211, 212, 225,"VV 6", 184399, 11416056,  3.93,  1.065
9=,  9,  3.926,  225, 226, 230,"VV 3", 146205,  3507964,  1.21,  0.327
10=, 10,  3.969,  230, 232, 236,"VV 4", 137444,  3681284,  1.27,  0.343
11=, 11,  4.033,  236, 240, 243,"VV 3", 132118,  4387304,  1.51,  0.409
12=, 12,  4.161,  248, 255, 261,"VV 3", 128974,  6957286,  2.39,  0.649
13=, 13,  4.252,  261, 266, 275,"VV 2", 126770,  7519421,  2.59,  0.701
14=, 14,  4.986,  347, 357, 387,"VV  ",2177815,109215732, 37.60, 10.186
15=, 15,  5.248,  387, 389, 399,"VV 4", 222334, 10633281,  3.66,  0.992
16=, 16,  5.342,  399, 401, 413,"VV 4", 166686,  9598954,  3.30,  0.895
17=, 17,  5.653,  432, 439, 442,"VV 6", 154815,  6059086,  2.09,  0.565
18=, 18,  5.705,  442, 445, 462,"VV 5", 153015, 10740724,  3.70,  1.002
19=, 19,  5.996,  475, 481, 496,"VV 3",  86410,  5718961,  1.97,  0.533
20=, 20,  6.520,  510, 546, 556,"VV 3", 114674, 17905613,  6.16,  1.670
21=, 21,  7.467,  655, 662, 668,"PV 8",  23527,   641457,  0.22,  0.060
22=, 22,  8.821,  821, 829, 870,"PV 2", 422704, 24378269,  8.39,  2.274
23=, 23,  9.187,  870, 874, 878,"VV 7",  14316,   469741,  0.16,  0.044
24=, 24, 10.344,  999,1016,1023,"PV 7",  30328,  1035950,  0.36,  0.097
25=, 25, 11.219, 1113,1124,1134,"PV 3",  26279,   926838,  0.32,  0.086
26=, 26, 14.240, 1485,1496,1521,"VV 4", 144773,  7754219,  2.67,  0.723
27=, 27, 14.863, 1566,1573,1575,"PV 7",  12595,   295622,  0.10,  0.028
28=, 28, 19.539, 2139,2148,2155,"VV 5",  72836,  2419541,  0.83,  0.226
29=, 29, 19.691, 2159,2167,2186,"VV  ", 328000, 12545672,  4.32,  1.170
30=, 30, 19.945, 2186,2198,2226,"VV 3", 296517, 28768615,  9.90,  2.683
31=, 31, 20.193, 2226,2229,2232,"VV 4",  63727,  1727743,  0.59,  0.161
32=, 32, 20.305, 2232,2243,2255,"VV 2", 376678, 17064371,  5.87,  1.591
33=, 33, 20.467, 2255,2263,2280,"VV 4", 110295,  6481292,  2.23,  0.604
34=, 34, 21.664, 2398,2410,2423,"VV 6",  80735,  3415176,  1.18,  0.319
35=, 35, 21.860, 2428,2434,2443,"VV 5",  64750,  2358448,  0.81,  0.220
36=, 36, 22.969, 2553,2571,2591,"PV 6",  61736,  4027212,  1.39,  0.376
37=, 37, 23.709, 2641,2662,2665,"PV 4",  39355,  1602381,  0.55,  0.149
38=, 38, 23.807, 2665,2674,2715,"VV  ",5064496,184602342, 63.55, 17.217
