[contents]
count=9
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_PAgglomerans_10BB_BLANK_PRO_REP\JTB-E02-205-06.D
1=,INT TIC: JTB-E02-205-06.D\data.ms
2=,INT TIC: JTB-E02-205-11.D\data.ms
3=,INT TIC: JTB-E02-205-12.D\data.ms
4=,INT TIC: JTB-E02-205-13.D\data.ms
5=,INT TIC: JTB-E02-205-14.D\data.ms
6=,INT TIC: JTB-E02-205-15.D\data.ms
7=,INT TIC: JTB-E02-205-16.D\data.ms
8=,INT TIC: JTB-E02-205-17.D\data.ms
9=,PBM Apex
[INT TIC: JTB-E02-205-06.D\data.ms]
Time=,Mon Aug 26 13:09:53 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.285,   18,  24,  40,"BV  ",3718201, 64219466, 22.85,  4.417
2=,  2,  2.428,   40,  42,  55,"VV 4", 177615,  7522322,  2.68,  0.517
3=,  3,  2.564,   55,  59,  63,"VV  ",  68435,  2203628,  0.78,  0.152
4=,  4,  2.623,   63,  66,  85,"VV  ",  66515,  2703090,  0.96,  0.186
5=,  5,  3.120,  118, 127, 141,"BV 2",  38416,  1095790,  0.39,  0.075
6=,  6,  3.323,  145, 152, 183,"PV  ",7415551,281048635,100.00, 19.329
7=,  7,  3.581,  183, 184, 216,"VV 9", 309118, 30550464, 10.87,  2.101
8=,  8,  3.852,  216, 217, 224,"VV 7", 116684,  4001751,  1.42,  0.275
9=,  9,  3.921,  224, 226, 235,"VV 3",  81889,  3675120,  1.31,  0.253
10=, 10,  4.245,  261, 266, 274,"VV 5",  46033,  1271444,  0.45,  0.087
11=, 11,  4.979,  346, 356, 385,"BV  ",2564348,111605527, 39.71,  7.676
12=, 12,  5.228,  385, 387, 424,"VV 5", 167668, 19131162,  6.81,  1.316
13=, 13,  5.702,  441, 445, 452,"VV  ", 109537,  4028708,  1.43,  0.277
14=, 14,  6.371,  508, 527, 529,"VV  ",  39027,  2235568,  0.80,  0.154
15=, 15,  6.469,  529, 539, 541,"VV 8",  57177,  2619602,  0.93,  0.180
16=, 16,  6.511,  541, 545, 561,"VV 8",  62909,  3492777,  1.24,  0.240
17=, 17,  8.714,  812, 816, 822,"PV  ", 624000,  9236765,  3.29,  0.635
