Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
Methanethiol,JTB-E02-199-06.D,2.558,1978,JTB-E02-199-07.D,2.566,1068,JTB-E02-199-08.D,2.542,667,JTB-E02-199-11.D,2.575,167476,JTB-E02-199-12.D,,,JTB-E02-199-13.D,2.575,320134,JTB-E02-199-14.D,2.558,112276,JTB-E02-199-15.D,2.566,179026,JTB-E02-199-16.D,2.558,397002,JTB-E02-199-17.D,2.567,228974,JTB-E02-200-06.D,2.566,458,JTB-E02-200-07.D,2.566,2608,JTB-E02-200-08.D,2.566,1471,JTB-E02-200-11.D,2.566,61078,JTB-E02-200-12.D,2.566,119351,JTB-E02-200-13.D,2.566,71520,JTB-E02-200-14.D,2.566,74178,JTB-E02-200-15.D,2.566,149215,JTB-E02-200-16.D,2.567,85839,JTB-E02-200-17.D,2.566,70616,JTB-E02-201-06.D,2.566,1330,JTB-E02-201-07.D,2.574,739,JTB-E02-201-08.D,2.566,83,JTB-E02-201-11.D,2.566,37920,JTB-E02-201-12.D,2.575,24292,JTB-E02-201-13.D,2.566,40427,JTB-E02-201-14.D,2.566,51738,JTB-E02-201-15.D,2.567,59083,JTB-E02-201-16.D,2.566,51996,JTB-E02-201-17.D,2.550,51239
Carbon dioxide,JTB-E02-199-06.D,2.282,5302940,JTB-E02-199-07.D,2.282,5363607,JTB-E02-199-08.D,2.274,2575301,JTB-E02-199-11.D,2.290,1892287,JTB-E02-199-12.D,,,JTB-E02-199-13.D,2.290,4548077,JTB-E02-199-14.D,2.274,1095788,JTB-E02-199-15.D,2.282,1756727,JTB-E02-199-16.D,2.274,3196963,JTB-E02-199-17.D,2.282,2511928,JTB-E02-200-06.D,2.274,4001800,JTB-E02-200-07.D,2.282,3336627,JTB-E02-200-08.D,2.282,4900740,JTB-E02-200-11.D,2.282,1735458,JTB-E02-200-12.D,2.274,2295723,JTB-E02-200-13.D,2.282,1985829,JTB-E02-200-14.D,2.282,1829345,JTB-E02-200-15.D,2.282,2466417,JTB-E02-200-16.D,2.282,2089751,JTB-E02-200-17.D,2.282,1791919,JTB-E02-201-06.D,2.282,4184440,JTB-E02-201-07.D,2.282,3961639,JTB-E02-201-08.D,2.282,3051267,JTB-E02-201-11.D,2.282,3533076,JTB-E02-201-12.D,2.282,1837682,JTB-E02-201-13.D,2.282,1930663,JTB-E02-201-14.D,2.282,2081449,JTB-E02-201-15.D,2.282,1947515,JTB-E02-201-16.D,2.282,1816489,JTB-E02-201-17.D,2.266,2034952
Acetaldehyde,JTB-E02-199-06.D,2.607,24433,JTB-E02-199-07.D,2.599,14948,JTB-E02-199-08.D,2.607,17794,JTB-E02-199-11.D,2.623,523582,JTB-E02-199-12.D,2.615,1389,JTB-E02-199-13.D,2.623,581774,JTB-E02-199-14.D,2.607,245633,JTB-E02-199-15.D,2.623,193022,JTB-E02-199-16.D,2.607,282003,JTB-E02-199-17.D,2.615,201606,JTB-E02-200-06.D,2.615,22093,JTB-E02-200-07.D,2.623,14663,JTB-E02-200-08.D,2.623,33231,JTB-E02-200-11.D,2.615,968016,JTB-E02-200-12.D,2.615,1023846,JTB-E02-200-13.D,2.615,958880,JTB-E02-200-14.D,2.623,180535,JTB-E02-200-15.D,2.623,40898,JTB-E02-200-16.D,2.615,148084,JTB-E02-200-17.D,2.623,51857,JTB-E02-201-06.D,2.623,15719,JTB-E02-201-07.D,2.623,17126,JTB-E02-201-08.D,2.623,6637,JTB-E02-201-11.D,2.615,1030323,JTB-E02-201-12.D,2.623,1032459,JTB-E02-201-13.D,2.623,994683,JTB-E02-201-14.D,2.623,174313,JTB-E02-201-15.D,2.615,32035,JTB-E02-201-16.D,2.615,106642,JTB-E02-201-17.D,2.607,80409
Dimethyl sulfide,JTB-E02-199-06.D,2.802,308,JTB-E02-199-07.D,2.794,856,JTB-E02-199-08.D,2.810,251,JTB-E02-199-11.D,2.794,1682595,JTB-E02-199-12.D,2.810,124,JTB-E02-199-13.D,2.802,2062932,JTB-E02-199-14.D,2.778,1690275,JTB-E02-199-15.D,2.794,2691172,JTB-E02-199-16.D,2.786,2019156,JTB-E02-199-17.D,2.794,2190417,JTB-E02-200-06.D,2.794,3293,JTB-E02-200-07.D,2.802,4765,JTB-E02-200-08.D,2.802,3554,JTB-E02-200-11.D,2.794,816112,JTB-E02-200-12.D,2.786,961351,JTB-E02-200-13.D,2.794,556433,JTB-E02-200-14.D,2.794,501599,JTB-E02-200-15.D,2.794,930731,JTB-E02-200-16.D,2.794,806868,JTB-E02-200-17.D,2.794,710917,JTB-E02-201-06.D,2.802,4150,JTB-E02-201-07.D,2.794,3834,JTB-E02-201-08.D,2.810,652,JTB-E02-201-11.D,2.794,336476,JTB-E02-201-12.D,2.802,380022,JTB-E02-201-13.D,2.794,244012,JTB-E02-201-14.D,2.794,238899,JTB-E02-201-15.D,2.794,375734,JTB-E02-201-16.D,2.794,355262,JTB-E02-201-17.D,2.778,235126
Octane,JTB-E02-199-06.D,3.013,2878,JTB-E02-199-07.D,3.013,2575,JTB-E02-199-08.D,3.038,488,JTB-E02-199-11.D,3.013,74278,JTB-E02-199-12.D,,,JTB-E02-199-13.D,3.021,61440,JTB-E02-199-14.D,3.005,61406,JTB-E02-199-15.D,3.021,48635,JTB-E02-199-16.D,3.005,35924,JTB-E02-199-17.D,3.013,45373,JTB-E02-200-06.D,3.013,3051,JTB-E02-200-07.D,3.013,1940,JTB-E02-200-08.D,3.013,1181,JTB-E02-200-11.D,3.013,17491,JTB-E02-200-12.D,3.013,21160,JTB-E02-200-13.D,3.021,101166,JTB-E02-200-14.D,3.013,31561,JTB-E02-200-15.D,3.021,38873,JTB-E02-200-16.D,3.013,73977,JTB-E02-200-17.D,3.013,71539,JTB-E02-201-06.D,3.013,3990,JTB-E02-201-07.D,3.013,2240,JTB-E02-201-08.D,2.997,533,JTB-E02-201-11.D,3.013,11129,JTB-E02-201-12.D,3.021,8011,JTB-E02-201-13.D,3.021,12046,JTB-E02-201-14.D,3.013,12145,JTB-E02-201-15.D,3.013,16447,JTB-E02-201-16.D,3.013,23353,JTB-E02-201-17.D,3.005,27198
Acetone,JTB-E02-199-06.D,3.119,92268,JTB-E02-199-07.D,3.119,105221,JTB-E02-199-08.D,3.119,1191,JTB-E02-199-11.D,3.119,5693340,JTB-E02-199-12.D,3.143,1852,JTB-E02-199-13.D,3.127,6358567,JTB-E02-199-14.D,3.111,4790925,JTB-E02-199-15.D,3.119,6592300,JTB-E02-199-16.D,3.111,5677543,JTB-E02-199-17.D,3.119,6422850,JTB-E02-200-06.D,3.111,20505,JTB-E02-200-07.D,3.119,48775,JTB-E02-200-08.D,3.119,26734,JTB-E02-200-11.D,3.119,8497533,JTB-E02-200-12.D,3.111,7715847,JTB-E02-200-13.D,3.119,7910559,JTB-E02-200-14.D,3.119,7714885,JTB-E02-200-15.D,3.119,6994941,JTB-E02-200-16.D,3.119,7297014,JTB-E02-200-17.D,3.119,7621361,JTB-E02-201-06.D,3.119,22288,JTB-E02-201-07.D,3.119,39413,JTB-E02-201-08.D,3.119,3018,JTB-E02-201-11.D,3.119,8667775,JTB-E02-201-12.D,3.127,8565014,JTB-E02-201-13.D,3.119,8989245,JTB-E02-201-14.D,3.119,7930285,JTB-E02-201-15.D,3.119,7660158,JTB-E02-201-16.D,3.119,9214362,JTB-E02-201-17.D,3.102,7554658
"Acetic acid, methyl ester",JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,3.192,589,JTB-E02-199-11.D,3.200,1074820,JTB-E02-199-12.D,3.233,59244,JTB-E02-199-13.D,3.208,797883,JTB-E02-199-14.D,3.192,1257198,JTB-E02-199-15.D,3.200,1492757,JTB-E02-199-16.D,3.192,1511188,JTB-E02-199-17.D,3.200,1176010,JTB-E02-200-06.D,,,JTB-E02-200-07.D,3.216,1247,JTB-E02-200-08.D,3.208,2251,JTB-E02-200-11.D,3.208,897669,JTB-E02-200-12.D,3.200,1187097,JTB-E02-200-13.D,3.208,901129,JTB-E02-200-14.D,3.200,1118434,JTB-E02-200-15.D,3.200,1158270,JTB-E02-200-16.D,3.200,1171401,JTB-E02-200-17.D,3.200,1206224,JTB-E02-201-06.D,3.208,5898,JTB-E02-201-07.D,,,JTB-E02-201-08.D,3.232,1206,JTB-E02-201-11.D,3.200,948851,JTB-E02-201-12.D,3.208,749606,JTB-E02-201-13.D,3.208,808683,JTB-E02-201-14.D,3.200,1031965,JTB-E02-201-15.D,3.200,1114122,JTB-E02-201-16.D,3.200,1219627,JTB-E02-201-17.D,3.184,1368039
"Cyclotrisiloxane, hexamethyl-",JTB-E02-199-06.D,3.330,28136081,JTB-E02-199-07.D,3.330,24273647,JTB-E02-199-08.D,3.314,104588,JTB-E02-199-11.D,3.322,13775012,JTB-E02-199-12.D,3.330,21578,JTB-E02-199-13.D,3.330,6849020,JTB-E02-199-14.D,3.306,8313397,JTB-E02-199-15.D,3.322,7894073,JTB-E02-199-16.D,3.314,8182877,JTB-E02-199-17.D,3.322,9698806,JTB-E02-200-06.D,3.314,12727396,JTB-E02-200-07.D,3.330,6407178,JTB-E02-200-08.D,3.322,5341698,JTB-E02-200-11.D,3.322,11607078,JTB-E02-200-12.D,3.314,10748116,JTB-E02-200-13.D,3.322,10290860,JTB-E02-200-14.D,3.322,8286173,JTB-E02-200-15.D,3.322,7510658,JTB-E02-200-16.D,3.322,8974507,JTB-E02-200-17.D,3.322,6845982,JTB-E02-201-06.D,3.322,8526185,JTB-E02-201-07.D,3.322,10298470,JTB-E02-201-08.D,3.330,508058,JTB-E02-201-11.D,3.322,12945037,JTB-E02-201-12.D,3.330,3067655,JTB-E02-201-13.D,3.330,6210797,JTB-E02-201-14.D,3.322,5674588,JTB-E02-201-15.D,3.322,6510833,JTB-E02-201-16.D,3.322,6625488,JTB-E02-201-17.D,3.306,4401428
Ethyl acetate,JTB-E02-199-06.D,3.696,6683,JTB-E02-199-07.D,3.695,10141,JTB-E02-199-08.D,3.679,876,JTB-E02-199-11.D,3.688,18201009,JTB-E02-199-12.D,3.696,5354657,JTB-E02-199-13.D,3.704,16632720,JTB-E02-199-14.D,3.679,19194227,JTB-E02-199-15.D,3.696,22655064,JTB-E02-199-16.D,3.688,19178244,JTB-E02-199-17.D,3.696,21065225,JTB-E02-200-06.D,3.687,23060,JTB-E02-200-07.D,3.704,6205,JTB-E02-200-08.D,3.704,12627,JTB-E02-200-11.D,3.696,15625528,JTB-E02-200-12.D,3.687,17170824,JTB-E02-200-13.D,3.696,14835117,JTB-E02-200-14.D,3.687,16777552,JTB-E02-200-15.D,3.687,18740921,JTB-E02-200-16.D,3.688,17395083,JTB-E02-200-17.D,3.687,17927884,JTB-E02-201-06.D,3.696,8614,JTB-E02-201-07.D,3.695,2537,JTB-E02-201-08.D,3.712,2450,JTB-E02-201-11.D,3.696,11815125,JTB-E02-201-12.D,3.704,11344316,JTB-E02-201-13.D,3.696,11782458,JTB-E02-201-14.D,3.687,11874425,JTB-E02-201-15.D,3.688,14065588,JTB-E02-201-16.D,3.687,15649411,JTB-E02-201-17.D,3.671,10207613
