filename,microbe,juice,hour,type,rep,SampleID,spme,Name
JTB-E02-199-06.D,FF,BB,2,CTRL01,C01,FFBB02C01,BAC01,FFBB02C01
JTB-E02-199-07.D,FF,BB,2,CTRL02,C02,FFBB02C02,BAC02,FFBB02C02
JTB-E02-199-08.D,FF,BB,2,CTRL03,C03,FFBB02C03,BAC03,FFBB02C03
JTB-E02-199-11.D,FF,BB,2,PRO01,P01,FFBB02P01,BAC01,FFBB02P01
JTB-E02-199-11.D,FF,BB,2,PRO02,P02,FFBB02P02,BAC02,FFBB02P02
JTB-E02-199-13.D,FF,BB,2,PRO03,P03,FFBB02P03,BAC03,FFBB02P03
JTB-E02-199-14.D,FF,BB,2,REP01,R01,FFBB02R01,BAC01,FFBB02R01
JTB-E02-199-15.D,FF,BB,2,REP02,R02,FFBB02R02,BAC02,FFBB02R02
JTB-E02-199-16.D,FF,BB,2,REP03,R03,FFBB02R03,BAC03,FFBB02R03
JTB-E02-199-17.D,FF,BB,2,REP04,R04,FFBB02R04,BAC01,FFBB02R04
JTB-E02-200-06.D,FF,BB,24,CTRL01,C01,FFBB24C01,BAC01,FFBB24C01
JTB-E02-200-07.D,FF,BB,24,CTRL02,C02,FFBB24C02,BAC02,FFBB24C02
JTB-E02-200-08.D,FF,BB,24,CTRL03,C03,FFBB24C03,BAC03,FFBB24C03
JTB-E02-200-11.D,FF,BB,24,PRO01,P01,FFBB24P01,BAC02,FFBB24P01
JTB-E02-200-12.D,FF,BB,24,PRO02,P02,FFBB24P02,BAC03,FFBB24P02
JTB-E02-200-13.D,FF,BB,24,PRO03,P03,FFBB24P03,BAC01,FFBB24P03
JTB-E02-200-14.D,FF,BB,24,REP01,R01,FFBB24R01,BAC02,FFBB24R01
JTB-E02-200-15.D,FF,BB,24,REP02,R02,FFBB24R02,BAC03,FFBB24R02
JTB-E02-200-16.D,FF,BB,24,REP03,R03,FFBB24R03,BAC01,FFBB24R03
JTB-E02-200-17.D,FF,BB,24,REP04,R04,FFBB24R04,BAC02,FFBB24R04
JTB-E02-201-06.D,FF,BB,48,CTRL01,C01,FFBB48C01,BAC01,FFBB48C01
JTB-E02-201-07.D,FF,BB,48,CTRL02,C02,FFBB48C02,BAC02,FFBB48C02
JTB-E02-201-08.D,FF,BB,48,CTRL03,C03,FFBB48C03,BAC03,FFBB48C03
JTB-E02-201-11.D,FF,BB,48,PRO01,P01,FFBB48P01,BAC03,FFBB48P01
JTB-E02-201-12.D,FF,BB,48,PRO02,P02,FFBB48P02,BAC01,FFBB48P02
JTB-E02-201-13.D,FF,BB,48,PRO03,P03,FFBB48P03,BAC02,FFBB48P03
JTB-E02-201-14.D,FF,BB,48,REP01,R01,FFBB48R01,BAC03,FFBB48R01
JTB-E02-201-15.D,FF,BB,48,REP02,R02,FFBB48R02,BAC01,FFBB48R02
JTB-E02-201-16.D,FF,BB,48,REP03,R03,FFBB48R03,BAC02,FFBB48R03
JTB-E02-201-17.D,FF,BB,48,REP04,R04,FFBB48R04,BAC03,FFBB48R04
