Peak_ID,Library\ID,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_001,Methanethiol,322,1068,326,171010,0,320231,129775,178621,405315,229894,266,2466,1243,61134,119870,45923,73571,149215,85839,70616,1330,1217,86,37931,39089,40427,53876,46965,53164,52516
peak_002,Carbon dioxide,5303303,5363607,2641687,1892287,0,3359312,1203668,1247498,3301983,2511928,4042030,3336627,4901922,1737802,2317766,1991227,1831478,2466509,2089751,1792180,4184440,3964421,3042680,3533776,1277572,1493361,2093516,1949437,1816555,2284830
peak_003,Acetaldehyde,31449,17928,29951,532950,1444,594825,247508,193022,282003,204639,20356,10744,23403,989062,1038603,979479,183145,36262,149934,53028,15048,20965,10707,1048658,1063644,1017030,176737,31960,109107,84098
peak_004,Dimethyl sulfide,308,856,178,1700280,124,2065357,2083391,2691172,2220028,2190417,3321,5008,3554,816526,984371,556433,502434,930731,808293,711391,4378,3878,652,336854,277650,245348,238899,377119,357944,317510
peak_005,Octane,3088,2575,539,74278,0,61440,47021,48635,35924,45373,2231,2102,1181,13894,21160,101166,31561,38873,73977,71539,3990,2240,217,11124,8011,12046,12145,16447,23353,23648
peak_006,Acetone,92268,105221,1191,5693340,1852,6358567,4790925,6592300,5677543,6422850,20505,48775,26734,8497533,7715847,7910559,7714885,6994941,7297014,7621361,22288,39413,3018,8667775,8565014,8989245,7930285,7660158,9214362,7554658
peak_007,"Acetic acid, methyl ester",0,0,1203,1074820,53632,797883,1257198,1492757,1511188,807513,0,1247,2251,897669,1187097,901129,1118434,1158270,1171401,1206224,390,664,1206,948851,749606,808683,1031965,1114122,1219627,1368039
peak_008,"Cyclotrisiloxane, hexamethyl-",28136081,24273647,104588,13775012,21578,6849020,8313397,7894073,8182877,9698806,12727396,6407178,5341698,11607078,10748116,10290860,8286173,7510658,8974507,6845982,8526185,10298470,508058,12945037,3067655,6210797,5674588,6510833,6625488,4401428
peak_009,Ethyl acetate,6323,10125,876,19013722,5402198,8931534,21515135,22655766,22469678,21148647,24564,28005,11309,6657549,17540195,14835117,16839807,18775053,17557270,17993489,8287,3659,2370,11815125,11344316,11782458,11976907,14200865,15760216,14096153
peak_010,2-Butanone,34559,82682,0,2510705,4432,1795448,2696591,3089642,3158300,2771034,9292,8261,5124,2322454,2312439,2787504,2852087,3028690,2934122,3248807,5510,13707,443,2666361,2317703,2633783,2879665,2982120,3465941,3291644
peak_011,"Butanal, 2-methyl-",588,122,396,2183354,1046,2458840,1566298,1768847,2130585,1692874,0,2262,2731,1911204,3600265,1686593,1233914,43135,1001000,1025258,492,652,143,3565851,3880850,2011714,1151915,105584,945691,690045
peak_012,"Butanal, 3-methyl-",5767,6044,1079,7981955,0,8764819,2623074,2894906,2446137,3008489,3373,7676,5951,13600439,13339336,12156945,825010,435102,1473787,1813274,8271,4337,2020,13094791,13457537,13201256,975200,506622,1292130,1187193
peak_013,Ethanol,24070,27828,1784,18261756,0,10026109,19932593,14507213,21987978,21496945,52200,62754,34137,19173729,20695496,19196899,21311378,21598447,21805595,21189381,49598,42938,8211,9156644,8099423,11234601,20588913,22037799,21899994,20715768
peak_014,"2H-Pyran, 2-(butylthio)tetrahydro-",271,70,0,226409,33412,181381,269761,354359,299953,317568,93,0,658,118955,134126,121942,103177,149486,124697,130845,420,0,865,60286,66758,65245,50768,71758,77044,61171
peak_015,"Furan, 2-butyltetrahydro-",939,2632,123,749347,947,779645,866637,1161168,956130,1051559,1533,618,122,545425,626851,552347,545995,699319,638728,655116,2079,1136,1200,354166,257286,380073,338075,433877,484177,344370
peak_016,"Cyclotetrasiloxane, octamethyl-",8242775,5958003,41334,2879022,20737,2145185,1839097,969317,1810296,1882382,4702060,3815935,1090729,1965965,1760177,3575746,2945600,2452600,3284957,2766094,3346932,2262614,792102,2987027,3312859,3294699,2935320,3387027,3655437,2361540
peak_017,"Carbonic acid, dimethyl ester",0,704,312,280950,3270,260620,324310,403663,381908,346985,0,551,1637,115357,161373,121906,315150,348154,296839,307124,1399,492,982,220504,199523,220335,252366,282700,312260,272082
