Peak_ID,Library\ID,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_001,Methanethiol,129775,178621,405315,229894,73571,149215,85839,70616,53876,46965,53164,52516
peak_002,Carbon dioxide,1203668,1247498,3301983,2511928,1831478,2466509,2089751,1792180,2093516,1949437,1816555,2284830
peak_003,Acetaldehyde,247508,193022,282003,204639,183145,36262,149934,53028,176737,31960,109107,84098
peak_004,Dimethyl sulfide,2083391,2691172,2220028,2190417,502434,930731,808293,711391,238899,377119,357944,317510
peak_005,Octane,47021,48635,35924,45373,31561,38873,73977,71539,12145,16447,23353,23648
peak_006,Acetone,4790925,6592300,5677543,6422850,7714885,6994941,7297014,7621361,7930285,7660158,9214362,7554658
peak_007,"Acetic acid, methyl ester",1257198,1492757,1511188,807513,1118434,1158270,1171401,1206224,1031965,1114122,1219627,1368039
peak_008,"Cyclotrisiloxane, hexamethyl-",8313397,7894073,8182877,9698806,8286173,7510658,8974507,6845982,5674588,6510833,6625488,4401428
peak_009,Ethyl acetate,21515135,22655766,22469678,21148647,16839807,18775053,17557270,17993489,11976907,14200865,15760216,14096153
peak_010,2-Butanone,2696591,3089642,3158300,2771034,2852087,3028690,2934122,3248807,2879665,2982120,3465941,3291644
peak_011,"Butanal, 2-methyl-",1566298,1768847,2130585,1692874,1233914,43135,1001000,1025258,1151915,105584,945691,690045
peak_012,"Butanal, 3-methyl-",2623074,2894906,2446137,3008489,825010,435102,1473787,1813274,975200,506622,1292130,1187193
peak_013,Ethanol,19932593,14507213,21987978,21496945,21311378,21598447,21805595,21189381,20588913,22037799,21899994,20715768
peak_014,"2H-Pyran, 2-(butylthio)tetrahydro-",269761,354359,299953,317568,103177,149486,124697,130845,50768,71758,77044,61171
peak_015,"Furan, 2-butyltetrahydro-",866637,1161168,956130,1051559,545995,699319,638728,655116,338075,433877,484177,344370
peak_016,"Cyclotetrasiloxane, octamethyl-",1839097,969317,1810296,1882382,2945600,2452600,3284957,2766094,2935320,3387027,3655437,2361540
peak_017,"Carbonic acid, dimethyl ester",324310,403663,381908,346985,315150,348154,296839,307124,252366,282700,312260,272082
peak_018,"3-Penten-2-one, 4-methyl-",119252,143224,128238,133956,74140,90023,83691,87301,42443,58313,63970,56637
peak_019,"Sulfurous acid, cyclohexylmethyl heptadecyl ester",214353,299842,279459,265264,67147,133259,131840,159290,72204,90320,81554,58843
peak_020,Methyl Isobutyl Ketone,61761,92141,74955,77895,49948,59492,62433,53820,38240,39608,51979,51196
peak_021,"Butanoic acid, 2-methyl-, methyl ester",68470,96955,78822,77484,20635,37363,29909,31550,11538,11270,19441,11062
peak_022,Isobutyl acetate,108199,141217,128203,116125,37272,51343,43569,43002,14022,19405,29224,20156
peak_023,Methyl isovalerate,652956,884108,633584,733440,235996,322155,269538,287348,86075,127857,139622,109642
peak_024,2-Butanol,145853,163267,168120,174059,174530,180638,179128,178582,165468,191419,211113,165535
peak_025,Toluene,1377390,1104717,865435,1062762,678679,437771,807317,1175897,197286,255868,421984,521910
peak_026,"Butanoic acid, 2-methyl-, ethyl ester",74436,96114,77719,77815,17532,24343,21247,22822,5540,7738,10758,6019
peak_027,"Butanoic acid, 3-methyl-, ethyl ester",449861,580906,442687,466458,104773,146574,122970,130488,37973,45176,50228,48312
peak_028,"Disulfide, dimethyl",10464584,11568039,6010642,9148104,1409189,1524261,2034757,2178296,246690,428130,752200,280878
peak_029,"Butanenitrile, 2-methyl-",172435,205970,182054,197397,138886,158796,145322,154800,101614,116395,129321,105532
peak_030,"Disulfide, dimethyl1",0,212877,10270,168847,0,1424,11196,5094,665,1228,5172,243
peak_031,"2-Butenal, 2-methyl-",178669,210070,179889,205789,150513,131894,167390,172310,132126,87762,164484,127858
peak_032,"1-Propanol, 2-methyl-",0,2028129,1880524,1912224,1827840,1836091,1929089,1854395,1731439,1636682,1895567,1801381
peak_033,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",0,3068869,2781425,2446985,477457,642716,503069,600265,186025,205603,268446,238341
peak_034,"1-Butanol, 3-methyl-, acetate",0,99897,112956,96389,0,31166,23739,3830,0,0,0,13384
peak_035,"Butanenitrile, 3-methyl-",678,1297,157,495,743,56,73,1958,0,50,284,53
peak_036,"2-Pentene, 4,4-dimethyl-",41124,53323,52683,47346,34010,44833,39524,39063,29022,37958,37756,33068
peak_037,o-Xylene,35863,61009,57627,58103,17308,32891,46200,32390,17134,14391,10761,15243
peak_038,1-Butanol,248677,616309,432386,500442,661869,805440,595606,561466,794917,925479,826856,673830
peak_039,"Cyclopentasiloxane, decamethyl-",201616,245393,142966,455036,218059,278643,377499,324783,186474,391150,420595,288701
peak_040,"2-Butenoic acid, ethyl ester, (E)-",56651,65113,58814,62493,25112,37472,32112,31051,15624,16111,16315,19093
peak_041,"2-Butenoic acid, 3-methyl-, methyl ester",134734,170414,166098,168799,54562,78984,71631,70891,27793,34443,35152,33910
peak_042,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",113505,145028,137263,111721,31376,39566,32305,39908,16126,19629,23078,19814
peak_043,p-Xylene,39767,53692,52785,49390,6824,17478,9261,14924,5266,4691,4734,6024
peak_044,D-Limonene,0,149006,135986,132170,11451,19495,13153,25858,6847,7444,8577,8221
peak_045,"1-Butanol, 3-methyl-",7531782,9892330,9171018,9183381,11428589,11396866,11187067,11154556,12073093,11844836,13837832,12089571
peak_046,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",0,92560,116908,68457,18861,15278,15962,26119,885,3635,4497,435
peak_047,1-(3-Hydroxyphenyl)urea,11394,20521,17128,11184,2603,3797,3383,4910,2244,2598,717,2009
peak_048,"2-Butenoic acid, 3-methyl-, ethyl ester",47859,55200,45619,41975,8918,14068,12744,10597,2674,4592,4401,5571
peak_049,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran1",1407237,1619083,1488385,1324457,224687,290073,243596,271473,88192,90212,114290,95421
peak_050,Thiazole,98058,115228,117867,116693,103262,127136,115748,113508,105728,104751,129102,98816
peak_051,1-Pentanol,50681,62819,63278,59388,56602,71914,55941,62731,62498,63951,66975,53482
peak_052,3-Aminopyridine,55552,70904,65353,62047,62230,71575,58340,64129,65318,56525,65552,64200
peak_053,o-Cymene,2114541,2756115,2490252,2221045,166802,209910,192635,199383,19583,34513,31590,40919
peak_054,"Benzene, 1-methyl-3-(1-methylethyl)-",0,85378,0,67994,2115,2765,4256,5373,0,4223,540,634
peak_055,"Pyrazine, 2,6-dimethyl-",173436,130682,207582,208754,172167,126591,172921,203266,169239,176474,214693,190370
peak_056,"Benzene, 1,2,4-trimethyl-",34074,46229,48053,37007,4932,8908,11789,11599,5808,3488,6688,5003
peak_057,1-Hexanol,3934504,4755361,4568675,4241593,3544222,4365198,3790506,3859451,3336109,3605700,4159736,3515029
peak_058,Dimethyl trisulfide,382728,496178,108579,277804,27028,21365,66439,100810,5420,6974,32602,13284
peak_059,"3-Hexen-1-ol, (E)-",185789,231547,218970,202565,266513,320407,250275,231770,363290,369374,371457,281688
peak_060,2-Nonanone,13718,19871,9729,13308,25496,40552,28882,29363,20634,25029,22031,30545
peak_061,"Pyrazine, 2-ethyl-6-methyl-",32176,34900,31227,33598,21066,36259,32030,26835,23886,23635,29747,24189
peak_062,Isophorone,36650,39689,42023,25253,12703,17222,14937,15378,1185,8211,6068,9002
peak_063,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",69444,53388,77595,47717,58720,72068,33350,46429,60650,64770,78494,62677
peak_064,"2-Hexen-1-ol, (E)-",737915,895312,894489,815374,699424,860870,747566,746098,679921,723441,842544,723485
peak_065,"Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-",191332,258475,276278,264435,16798,32605,40940,82346,6956,8266,41186,38692
peak_066,"Benzene, 1-methyl-4-(1-methylethenyl)-",17125,19576,22265,25043,15005,10999,5949,14628,5025,13047,5756,4451
peak_067,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,189294,166388,224764,213402,256427,225537,221520,246821,330253,388946,408970,282088
peak_068,"Pyrazine, 2-ethyl-3,5-dimethyl-",207556,227863,234541,230934,173543,182615,186223,193755,150038,164304,205002,177413
peak_069,"Pyrazine, 3-ethyl-2,5-dimethyl-",207556,227863,234541,230934,173543,182615,186223,193755,150038,164304,205002,177413
peak_070,1-Octen-3-ol,47294,38149,57492,49517,25242,38496,29525,24364,21168,23150,32235,25040
peak_071,Furfural,1469787,1685341,1744778,1624465,651210,307909,1028592,1174442,484464,237362,833174,890536
peak_072,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,66186,69748,73898,66012,93533,114538,73936,84129,81117,140539,126504,87894
peak_073,"4-[p-Fluorophenyl]-2H-1,3[3H]-oxazine-2,6-dione",6294,8266,10763,12766,752,1256,901,2923,393,233,2708,2026
peak_074,"Benzene, 1,2,3,4-tetramethyl-",36788,41208,39260,30732,1430,6222,2591,4437,1503,1867,1283,520
peak_075,2-Ethyl-1-hexanol,58849,72932,81313,70582,50023,62651,50723,56252,58028,55494,64340,55309
peak_076,"2,4,6-Trimethyl-1,3-phenylenediamine",17160,18507,15617,17220,10762,12081,10396,15951,6334,7893,8872,1578
peak_077,"Ethanone, 1-(2-furanyl)-",81552,72167,118873,104113,97810,106938,106669,102335,95540,97483,112288,108767
peak_078,Dill ether,59682,73821,138711,132005,32460,46606,41235,46207,26469,32289,31866,26685
peak_079,Benzaldehyde,22548613,22772905,24071372,23183028,8413963,4232075,12487835,14792294,4946515,2509114,7639216,8866696
peak_080,"Phenol, 2-(1-methyl-2-buthenyl)-4-methoxy-",1213881,1246342,1201057,1020073,47156,59704,52401,64188,26790,30322,16757,30599
peak_081,"1,4-Dimethoxy-2-methyl-5-(prop-1-en-2-yl)benzene",285312,465591,465879,413960,21924,35116,21986,11917,12129,12879,14528,15187
peak_082,Linalool,191208,225650,207026,191214,77839,108845,84193,85684,51162,63298,75581,65676
peak_083,2-Caren-4-ol,21320,25019,21687,13550,450,563,903,2069,85,72,90,619
peak_084,1-Octanol,67664,60235,82214,66239,39303,56308,42380,28151,18893,36752,36977,31498
peak_085,"2-Furancarboxaldehyde, 5-methyl-",18112,33754,40411,33843,14879,7273,21972,22712,9061,5647,16869,17197
peak_086,Benzonitrile,183585,205421,209569,216838,127536,150791,140261,154361,69692,110574,122636,116238
peak_087,Terpinen-4-ol,25698,34192,22462,22097,17057,23649,22787,25276,13110,10392,11908,11099
peak_088,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans-",16691,21657,20680,23565,1483,17852,12763,14610,13750,12071,14433,13606
peak_089,"Bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1S-exo)-",49951,124069,133224,83448,20053,36345,28562,48939,17315,8741,30965,18996
peak_090,"Bicyclo[2.2.1]hept-2-ene, 2,3-dimethyl-",23137,22590,26221,26962,14129,21215,14144,19197,16092,17131,23460,19649
peak_091,"Ethanone, 1-(2,5-dihydroxyphenyl)-",34125,39999,38228,33168,3594,6378,2636,6355,3209,2524,4990,5024
peak_092,"1,4-Benzenediol, 2,5-dimethyl-",34936,44493,23392,36847,17866,24082,12403,21429,12018,15213,15664,14939
peak_093,"1,3-Cyclohexadiene-1-carboxaldehyde, 2,6,6-trimethyl-",69543,70965,76036,72372,9850,10768,14501,15322,7403,7800,10489,8822
peak_094,Acetophenone,617693,653188,703645,568794,486916,552875,488697,516743,430470,400069,502118,463427
peak_095,"Silanediol, dimethyl-",5081396,2981702,7435444,11124904,5769517,5468223,7524702,5914594,4598385,6105252,5907253,4613223
peak_096,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-  1",52021,76338,56182,58941,29160,35039,33959,36098,14660,14267,24894,14562
peak_097,1-Nonanol,23989,32838,20153,29182,8947,14273,10357,11981,3748,9273,12273,9194
peak_098,"Benzoic acid, ethyl ester",41626,51415,53915,35924,10319,13613,16954,14249,5780,6183,5370,5577
peak_099,"3,4-Dihydroxyphenylglycol, 4TMS derivative",23841,31960,17949,59847,25980,18328,42554,30226,15769,36331,29280,18308
peak_100,"Benzaldehyde, 3-hydroxy-",131492,125502,103070,120759,37957,26457,50301,43939,19606,13062,25376,31544
peak_101,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",333492,370793,363577,303354,252197,318446,279912,306774,252434,287475,337994,228812
peak_102,Terpineol,965572,1280551,1126222,937421,791256,958465,850900,897817,651913,745557,923878,755574
peak_103,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",400947,459746,419275,377447,603165,749974,567898,557826,634675,780629,776249,643780
peak_104,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",695110,1091039,868150,715079,47162,76760,81113,88525,28089,21080,35144,24192
peak_105,"Oxime-, methoxy-phenyl-_",1470,240,845,2043,677,496,85,1611,12,668,999,212
peak_106,Methyl salicylate,65294,94852,85794,86549,55759,80717,60371,48826,49534,58703,55324,49474
peak_107,"Bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1S-exo)-   1",28337,34576,33040,31848,20077,16278,20152,24794,14406,20833,19376,18815
peak_108,(-)-Myrtenol,18649,25030,22494,19653,34893,42691,25389,29920,38400,44212,47122,38106
peak_109,2'-Ethoxyformanilide,16476,20463,18648,18007,2433,4505,5518,2362,420,2579,2078,2875
peak_110,"Cyclotrisiloxane, hexamethyl-    1",48335,38794,118043,285253,59157,63522,116891,83949,52013,111405,80891,51186
peak_111,"2-Buten-1-one, 1-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-",8158,8976,5503,9220,2252,3103,2968,4321,1038,1074,3023,1476
peak_112,Benzyl alcohol,167088,324384,255598,196417,487541,554356,427408,421641,598352,569325,607938,489833
peak_113,"Cyclotetrasiloxane, octamethyl-     1",7455,4717,15775,35985,20607,15557,42228,19336,11480,27587,18255,4741
peak_114,Phenylethyl Alcohol,45580,69702,63786,59135,184640,259369,192675,206694,365111,377955,417847,325540
peak_115,"Benzenecarbothioic acid, S-methyl ester",36657,39298,37684,46508,4361,6011,9295,13411,3164,4002,8007,6385
peak_116,Benzyl nitrile,117665,143222,159289,128008,109475,126681,115435,111645,109506,93399,110435,127666
peak_117,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",43393,84808,78234,59701,76586,72296,55982,83899,65635,69910,110532,40498
peak_118,"p-Mentha-1(7),8(10)-dien-9-ol",9000,14210,11452,11983,15408,21634,19212,18000,18890,23470,20324,17120
peak_119,Phenol,32121,46888,57436,48094,47426,59070,45187,46843,49500,46805,50601,58386
peak_120,p-Cresol,169168,220196,231692,218038,191427,237457,185209,199223,215318,201512,238541,231821
peak_121,3-Allyl-6-methoxyphenol,20054,30175,21530,22599,48571,69539,46931,41323,81903,92764,80875,58970
peak_122,,,,,,,,,,,,,
