Peak_ID,Compound Method,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_001,Methanethiol,1978,1068,667,167476,0,320134,112276,179026,397002,228974,458,2608,1471,61078,119351,71520,74178,149215,85839,70616,1330,739,83,37920,24292,40427,51738,59083,51996,51239
peak_002,Carbon dioxide,5302940,5363607,2575301,1892287,0,4548077,1095788,1756727,3196963,2511928,4001800,3336627,4900740,1735458,2295723,1985829,1829345,2466417,2089751,1791919,4184440,3961639,3051267,3533076,1837682,1930663,2081449,1947515,1816489,2034952
peak_003,Acetaldehyde,24433,14948,17794,523582,1389,581774,245633,193022,282003,201606,22093,14663,33231,968016,1023846,958880,180535,40898,148084,51857,15719,17126,6637,1030323,1032459,994683,174313,32035,106642,80409
peak_004,Dimethyl sulfide,308,856,251,1682595,124,2062932,1690275,2691172,2019156,2190417,3293,4765,3554,816112,961351,556433,501599,930731,806868,710917,4150,3834,652,336476,380022,244012,238899,375734,355262,235126
peak_005,Octane,2878,2575,488,74278,0,61440,61406,48635,35924,45373,3051,1940,1181,17491,21160,101166,31561,38873,73977,71539,3990,2240,533,11129,8011,12046,12145,16447,23353,27198
peak_006,Acetone,92268,105221,1191,5693340,1852,6358567,4790925,6592300,5677543,6422850,20505,48775,26734,8497533,7715847,7910559,7714885,6994941,7297014,7621361,22288,39413,3018,8667775,8565014,8989245,7930285,7660158,9214362,7554658
peak_007,"Acetic acid, methyl ester",0,0,589,1074820,59244,797883,1257198,1492757,1511188,1176010,0,1247,2251,897669,1187097,901129,1118434,1158270,1171401,1206224,5898,0,1206,948851,749606,808683,1031965,1114122,1219627,1368039
peak_008,"Cyclotrisiloxane, hexamethyl-",28136081,24273647,104588,13775012,21578,6849020,8313397,7894073,8182877,9698806,12727396,6407178,5341698,11607078,10748116,10290860,8286173,7510658,8974507,6845982,8526185,10298470,508058,12945037,3067655,6210797,5674588,6510833,6625488,4401428
peak_009,Ethyl acetate,6683,10141,876,18201009,5354657,16632720,19194227,22655064,19178244,21065225,23060,6205,12627,15625528,17170824,14835117,16777552,18740921,17395083,17927884,8614,2537,2450,11815125,11344316,11782458,11874425,14065588,15649411,10207613
peak_010,2-Butanone,23433,69071,0,2510705,4432,1768726,2696591,3089642,3158300,2771034,4972,8057,9944,2582177,2301917,2787504,2968513,3028690,2934122,3244318,5669,4688,416,2666361,2288176,2800167,2879665,2982120,3421762,2986428
peak_011,"Butanal, 2-methyl-",974,292,479,2183354,0,2458840,1566298,1768847,1481829,1692874,0,2262,2731,3754551,3600265,3265738,1233914,43135,1448802,1025258,548,652,296,3565851,3880850,3563254,1151915,105584,1372389,739735
peak_012,"Butanal, 3-methyl-",5342,2740,1079,7859794,0,8404684,2600090,2848369,2446137,2957384,7752,6367,7285,13286991,13078522,11843235,813434,427038,1447446,1787974,8271,5531,2381,12758112,12976811,12864993,957147,498518,1274087,1127345
peak_013,Methylene chloride,106126,141448,114,39206,100,46182,27974,5225,56251,108047,179627,266193,216658,11453,8544,19524,17362,26254,562046,58074,114842,109713,10021,74315,8696,16178,14351,13884,61721,14034
peak_014,Ethanol,23336,27828,1633,17927295,0,12516915,18793497,22597708,19372239,21868818,54139,67036,59874,19968871,20818785,20109736,21764747,22090296,22037736,21540849,51003,43316,4783,18685345,13194824,19708711,20769219,22141884,22168131,15987918
peak_015,"Furan, 2-butyltetrahydro-",116,2632,123,749347,947,779645,866637,1161168,956130,1051559,172,618,122,545425,626851,552347,545995,699319,638728,655116,2079,1136,1200,354166,257286,380073,338075,433877,484177,344370
