Peak_ID,Compound Method,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_001,Methanethiol,112276,179026,397002,228974,74178,149215,85839,70616,51738,59083,51996,51239
peak_002,Carbon dioxide,1095788,1756727,3196963,2511928,1829345,2466417,2089751,1791919,2081449,1947515,1816489,2034952
peak_003,Acetaldehyde,245633,193022,282003,201606,180535,40898,148084,51857,174313,32035,106642,80409
peak_004,Dimethyl sulfide,1690275,2691172,2019156,2190417,501599,930731,806868,710917,238899,375734,355262,235126
peak_005,"Sulfurous acid, cyclohexylmethyl nonyl ester",196422,229951,230848,185802,67147,134907,109249,122319,58583,64009,82301,89303
peak_006,Acetone,4790925,6592300,5677543,6422850,7714885,6994941,7297014,7621361,7930285,7660158,9214362,7554658
peak_007,"Acetic acid, methyl ester",1257198,1492757,1511188,1176010,1118434,1158270,1171401,1206224,1031965,1114122,1219627,1368039
peak_008,"4-(4-Chlorophenyl)-2,6-diphenylpyridine",98005,113847,91521,118697,56374,87298,81147,123742,85782,143199,132766,75590
peak_009,Ethyl acetate,19194227,22655064,19178244,21065225,16777552,18740921,17395083,17927884,11874425,14065588,15649411,10207613
peak_010,2-Butanone,2696591,3089642,3158300,2771034,2968513,3028690,2934122,3244318,2879665,2982120,3421762,2986428
peak_011,"Butanal, 2-methyl-",1566298,1768847,1481829,1692874,1233914,43135,1448802,1025258,1151915,105584,1372389,739735
peak_012,"Butanal, 3-methyl-",2600090,2848369,2446137,2957384,813434,427038,1447446,1787974,957147,498518,1274087,1127345
peak_013,"4-Trimethylsilyl-9,9-dimethyl-9-silafluorene",32072,35159,48697,80276,39150,48732,49061,29703,28831,38210,32965,33015
peak_014,Ethanol,18793497,22597708,19372239,21868818,21764747,22090296,22037736,21540849,20769219,22141884,22168131,15987918
peak_015,"Furan, 2-butyltetrahydro-",866637,1161168,956130,1051559,545995,699319,638728,655116,338075,433877,484177,344370
peak_016,"Cyclotetrasiloxane, octamethyl-",1839097,969317,1810296,1882382,2945600,2452600,3284957,2766094,2935320,3387027,3655437,2361540
peak_017,"Carbonic acid, dimethyl ester",306160,382875,366460,329342,298156,331356,283686,292373,240988,269820,295619,263322
peak_018,"3-Penten-2-one, 4-methyl-",112546,146739,110623,129864,73124,90145,85380,88238,43185,58348,64652,44570
peak_019,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-",2086,6186,4962,2644,8672,12046,8407,9718,10124,6553,8265,10716
peak_020,Methyl Isobutyl Ketone,60309,92141,65504,77895,49948,59492,62433,52220,35865,38968,48916,43894
peak_021,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-      1",616,202,223,115,192,606,194,625,84,197,360,72
peak_022,Methyl isovalerate,652956,884108,633584,733440,235996,322155,269538,287348,86075,127857,139622,109642
peak_023,2-Butanol,149696,163338,148866,173441,178262,184438,171677,180693,154028,189087,193075,137747
peak_024,Toluene,1188596,1032287,604133,989876,632086,405634,735835,1085003,187696,230059,390381,429437
peak_025,"Butanoic acid, 3-methyl-, ethyl ester",449861,580906,442687,466458,104773,146574,122970,130488,37973,45176,50228,48312
peak_026,"Disulfide, dimethyl",10464584,11568039,6010642,9148104,1409189,1524261,2034757,2178296,246690,428130,752200,280878
peak_027,"Butanenitrile, 2-methyl-",172435,205970,182054,197397,138886,158796,145322,154800,101614,116395,129321,105532
peak_028,"3-Hexen-1-ol, (E)-    1",0,0,0,0,0,0,0,28881,0,0,38496,4570
peak_029,"2-Butenal, 2-methyl-",178669,210070,179889,205789,150513,131894,167390,172310,132126,87762,164484,127858
peak_030,"1-Propanol, 2-methyl-",0,2028129,1880524,1912224,1827840,1836091,1929089,1854395,1731439,1636682,1895567,1801381
