[contents]
count=29
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_PAgglomerans_50BB_BLANK_PRO_REP\JTB-E02-192-06.D
1=,INT TIC: JTB-E02-192-06.D\data.ms
2=,INT TIC: JTB-E02-192-12.D\data.ms
3=,INT TIC: JTB-E02-192-13.D\data.ms
4=,INT TIC: JTB-E02-192-14.D\data.ms
5=,INT TIC: JTB-E02-192-15.D\data.ms
6=,INT TIC: JTB-E02-192-16.D\data.ms
7=,INT TIC: JTB-E02-192-17.D\data.ms
8=,INT TIC: JTB-E02-192-18.D\data.ms
9=,INT TIC: JTB-E02-193-06.D\data.ms
10=,INT TIC: JTB-E02-193-07.D\data.ms
11=,INT TIC: JTB-E02-193-08.D\data.ms
12=,INT TIC: JTB-E02-193-11.D\data.ms
13=,INT TIC: JTB-E02-193-12.D\data.ms
14=,INT TIC: JTB-E02-193-13.D\data.ms
15=,INT TIC: JTB-E02-193-14.D\data.ms
16=,INT TIC: JTB-E02-193-15.D\data.ms
17=,INT TIC: JTB-E02-193-16.D\data.ms
18=,INT TIC: JTB-E02-193-17.D\data.ms
19=,INT TIC: JTB-E02-194-06.D\data.ms
20=,INT TIC: JTB-E02-194-07.D\data.ms
21=,INT TIC: JTB-E02-194-08.D\data.ms
22=,INT TIC: JTB-E02-194-11.D\data.ms
23=,INT TIC: JTB-E02-194-12.D\data.ms
24=,INT TIC: JTB-E02-194-13.D\data.ms
25=,INT TIC: JTB-E02-194-14.D\data.ms
26=,INT TIC: JTB-E02-194-15.D\data.ms
27=,INT TIC: JTB-E02-194-16.D\data.ms
28=,INT TIC: JTB-E02-194-17.D\data.ms
29=,PBM Apex
[INT TIC: JTB-E02-192-06.D\data.ms]
Time=,Fri Jul 12 16:10:25 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.194,    3,  13,  20,"BV 2",  31481,  1689781,  0.09,  0.020
2=,  2,  2.287,   20,  25,  38,"VV  ",3795413, 83023124,  4.53,  0.995
3=,  3,  2.434,   38,  43,  55,"VV  ", 668275, 27633107,  1.51,  0.331
4=,  4,  2.571,   55,  60,  64,"VV 3", 305716,  8754292,  0.48,  0.105
5=,  5,  2.627,   64,  66,  85,"VV  ", 170623, 11135315,  0.61,  0.133
6=,  6,  3.125,  123, 128, 138,"VV  ", 128000,  5420444,  0.30,  0.065
7=,  7,  3.325,  146, 152, 213,"VV 2",34628298,1404294152, 76.60, 16.830
8=,  8,  3.827,  213, 214, 225,"VV 2", 658996, 33135975,  1.81,  0.397
9=,  9,  3.922,  225, 226, 237,"VV  ", 516898, 28452020,  1.55,  0.341
10=, 10,  4.021,  237, 238, 252,"VV 10", 433688, 29001228,  1.58,  0.348
11=, 11,  4.166,  252, 256, 261,"VV  ", 564026, 21051843,  1.15,  0.252
12=, 12,  4.243,  261, 265, 275,"VV 3", 448525, 25299363,  1.38,  0.303
13=, 13,  4.344,  275, 278, 290,"VV 3", 330177, 21704578,  1.18,  0.260
14=, 14,  4.983,  349, 356, 387,"VV  ",19206321,717581841, 39.14,  8.600
15=, 15,  5.248,  387, 389, 404,"VV 3", 851693, 57831036,  3.15,  0.693
16=, 16,  5.381,  404, 405, 419,"VV 2", 554268, 34678667,  1.89,  0.416
17=, 17,  5.499,  419, 420, 430,"VV 10", 425208, 21303924,  1.16,  0.255
18=, 18,  5.649,  434, 439, 442,"VV 4", 419067, 14295328,  0.78,  0.171
19=, 19,  5.706,  442, 445, 454,"VV  ", 485372, 24142779,  1.32,  0.289
20=, 20,  6.007,  477, 483, 484,"VV 2", 209494,  7246525,  0.40,  0.087
21=, 21,  6.032,  484, 486, 500,"VV 5", 203904, 12993774,  0.71,  0.156
22=, 22,  6.189,  500, 505, 511,"VV 4", 171740,  8077369,  0.44,  0.097
23=, 23,  6.288,  511, 517, 519,"VV 7", 177004,  6578987,  0.36,  0.079
24=, 24,  6.321,  519, 521, 525,"VV 3", 176976,  4807386,  0.26,  0.058
25=, 25,  6.383,  525, 529, 539,"VV 8", 179492, 10456235,  0.57,  0.125
26=, 26,  7.284,  632, 640, 646,"PV 3",  62230,  1658698,  0.09,  0.020
27=, 27,  8.826,  821, 830, 876,"PV  ",5586684,223117722, 12.17,  2.674
28=, 28,  9.219,  876, 878, 896,"VV 4", 166668, 12543146,  0.68,  0.150
29=, 29,  9.376,  896, 897, 906,"VV 9",  97623,  4139738,  0.23,  0.050
30=, 30, 10.060,  971, 982, 999,"VV 2", 208116, 11029218,  0.60,  0.132
31=, 31, 10.259,  999,1006,1010,"VV 3", 113153,  3878297,  0.21,  0.046
32=, 32, 10.337, 1010,1016,1039,"VV 7", 131091,  9124355,  0.50,  0.109
33=, 33, 11.230, 1118,1126,1134,"VV 3", 128584,  4419029,  0.24,  0.053
34=, 34, 11.787, 1188,1194,1203,"VV 6",  34216,  1546364,  0.08,  0.019
35=, 35, 12.768, 1306,1315,1324,"VV 6",  70415,  2578354,  0.14,  0.031
36=, 36, 13.237, 1364,1373,1385,"PV 4",  63216,  1921515,  0.10,  0.023
37=, 37, 13.968, 1456,1463,1467,"VV 4",  39478,  1212692,  0.07,  0.015
38=, 38, 14.105, 1474,1479,1485,"VV 6",  38216,  1155916,  0.06,  0.014
39=, 39, 14.239, 1485,1496,1523,"VV 2",1732350, 65873581,  3.59,  0.789
40=, 40, 14.871, 1564,1574,1586,"VV 2", 241421, 15718051,  0.86,  0.188
41=, 41, 14.985, 1586,1588,1594,"VV 3", 138726,  4768538,  0.26,  0.057
42=, 42, 15.046, 1594,1595,1617,"VV 7", 110131,  8284921,  0.45,  0.099
43=, 43, 15.814, 1675,1690,1703,"VV 7",  28609,  1673237,  0.09,  0.020
44=, 44, 16.058, 1710,1720,1735,"VV 2", 423708, 15026412,  0.82,  0.180
45=, 45, 16.525, 1768,1777,1791,"VV 7",  56337,  3686167,  0.20,  0.044
46=, 46, 17.403, 1862,1885,1900,"PV 7",  73582,  4658186,  0.25,  0.056
47=, 47, 17.873, 1935,1943,1951,"VV 7",  44146,  1733438,  0.09,  0.021
48=, 48, 18.132, 1957,1975,2013,"PV 2", 508405, 42042003,  2.29,  0.504
49=, 49, 18.638, 2032,2038,2042,"VV 2",  34850,  1095824,  0.06,  0.013
50=, 50, 19.130, 2091,2098,2108,"PV 3",  96623,  3486684,  0.19,  0.042
51=, 51, 19.324, 2113,2122,2140,"PV 4", 441958, 16302374,  0.89,  0.195
52=, 52, 19.545, 2140,2149,2159,"VV  ", 836816, 22139775,  1.21,  0.265
53=, 53, 19.695, 2159,2168,2181,"VV  ",3319489,100216177,  5.47,  1.201
54=, 54, 19.838, 2181,2185,2189,"VV 7",  97370,  3231412,  0.18,  0.039
55=, 55, 19.942, 2189,2198,2221,"VV 3", 217570, 20051550,  1.09,  0.240
56=, 56, 20.141, 2221,2223,2226,"VV 3",  54503,  1075060,  0.06,  0.013
57=, 57, 20.308, 2226,2243,2256,"VV  ",2913731, 94026907,  5.13,  1.127
58=, 58, 20.472, 2256,2263,2284,"VV  ", 910693, 33328564,  1.82,  0.399
59=, 59, 21.195, 2340,2352,2358,"BV  ",  32477,  1072729,  0.06,  0.013
60=, 60, 21.458, 2377,2385,2396,"VV 9",  35319,  1715937,  0.09,  0.021
61=, 61, 21.675, 2396,2411,2423,"PV  ", 965416, 30270485,  1.65,  0.363
62=, 62, 21.870, 2428,2435,2446,"VV 2", 758596, 23624354,  1.29,  0.283
63=, 63, 22.188, 2466,2475,2477,"VV 7",  36306,  1174460,  0.06,  0.014
64=, 64, 22.260, 2477,2483,2495,"VV 4", 176949,  6016915,  0.33,  0.072
65=, 65, 22.483, 2503,2511,2518,"VV 10",  51627,  1771545,  0.10,  0.021
66=, 66, 22.962, 2550,2570,2589,"VV 10",  96991,  6005230,  0.33,  0.072
67=, 67, 23.809, 2665,2674,2706,"VV  ",11038835,398921637, 21.76,  4.781
68=, 68, 24.077, 2706,2707,2713,"VV  ", 180390,  5147211,  0.28,  0.062
69=, 69, 24.178, 2713,2720,2724,"VV 4", 308158, 12177716,  0.66,  0.146
70=, 70, 24.257, 2724,2729,2740,"VV 2", 361208, 16832950,  0.92,  0.202
71=, 71, 24.439, 2740,2752,2759,"VV 3", 563622, 21032776,  1.15,  0.252
72=, 72, 24.553, 2759,2766,2778,"VV 2", 387976, 17541768,  0.96,  0.210
73=, 73, 24.689, 2778,2782,2792,"VV 3", 151947,  7207828,  0.39,  0.086
74=, 74, 24.925, 2803,2812,2822,"VV 8",  79529,  4934404,  0.27,  0.059
75=, 75, 25.070, 2822,2829,2835,"VV 10",  69739,  3020212,  0.16,  0.036
76=, 76, 25.178, 2835,2843,2859,"VV 3", 563791, 23483341,  1.28,  0.281
77=, 77, 25.339, 2859,2862,2875,"VV 7",  73945,  3303354,  0.18,  0.040
78=, 78, 25.518, 2875,2884,2900,"VV 5", 259183, 11671557,  0.64,  0.140
79=, 79, 26.177, 2949,2966,2975,"PV 5",  51768,  2672692,  0.15,  0.032
80=, 80, 26.305, 2975,2981,2987,"VV 10",  34621,   982935,  0.05,  0.012
81=, 81, 26.429, 2987,2997,3008,"VV 4",  86161,  3845657,  0.21,  0.046
82=, 82, 26.907, 3044,3056,3058,"VV 8",  62956,  2238658,  0.12,  0.027
83=, 83, 27.015, 3058,3069,3132,"VV 3",43998645,1833398742,100.00, 21.973
84=, 84, 27.574, 3132,3138,3144,"VV 6", 370575, 19230689,  1.05,  0.230
85=, 85, 27.648, 3144,3147,3162,"VV 5", 318745, 24344561,  1.33,  0.292
86=, 86, 27.802, 3162,3166,3186,"VV 6", 242723, 23647477,  1.29,  0.283
87=, 87, 28.256, 3213,3222,3223,"VV 4", 227160,  7814092,  0.43,  0.094
88=, 88, 28.356, 3223,3234,3283,"VV 2",19337691,1107364842, 60.40, 13.272
89=, 89, 28.814, 3283,3290,3298,"VV 4", 621733, 33129762,  1.81,  0.397
90=, 90, 28.888, 3298,3299,3302,"VV 2", 350603,  6252848,  0.34,  0.075
91=, 91, 28.937, 3302,3305,3318,"VV 9", 333011, 24602728,  1.34,  0.295
92=, 92, 29.419, 3362,3365,3373,"VV 3", 267738, 12531625,  0.68,  0.150
93=, 93, 29.533, 3373,3379,3389,"VV 4", 226916, 14082733,  0.77,  0.169
94=, 94, 30.035, 3421,3441,3491,"VV  ",8979173,658779717, 35.93,  7.895
95=, 95, 30.459, 3491,3493,3497,"VV 3", 205291,  5303506,  0.29,  0.064
96=, 96, 30.510, 3497,3499,3509,"VV 5", 199407, 11061532,  0.60,  0.133
97=, 97, 30.613, 3509,3512,3523,"VV 6", 170887,  9973211,  0.54,  0.120
98=, 98, 30.829, 3533,3538,3547,"VV 7", 170775,  9817481,  0.54,  0.118
99=, 99, 31.134, 3570,3576,3578,"VV 3", 170901,  6194959,  0.34,  0.074
100=,100, 31.245, 3578,3589,3611,"VV  ", 950266, 46137029,  2.52,  0.553
101=,101, 31.680, 3634,3643,3657,"VV  ",  90746,  7343023,  0.40,  0.088
102=,102, 31.997, 3668,3682,3723,"VV 2",4463244,295524210, 16.12,  3.542
103=,103, 32.340, 3723,3724,3746,"VV 2", 129804, 11616789,  0.63,  0.139
104=,104, 32.711, 3760,3770,3782,"VV 6", 199707, 11525024,  0.63,  0.138
105=,105, 33.140, 3814,3823,3832,"VV  ", 110946,  6274418,  0.34,  0.075
106=,106, 33.256, 3832,3837,3852,"VV 10",  81378,  5018108,  0.27,  0.060
107=,107, 34.595, 3986,4002,4042,"PV  ",2536874,125687347,  6.86,  1.506
108=,108, 34.933, 4042,4044,4045,"VV  ",  48163,   654060,  0.04,  0.008
109=,109, 34.960, 4045,4047,4048,"VV  ",  38388,   546625,  0.03,  0.007
110=,110, 35.005, 4048,4052,4059,"VV 6",  47595,  1654119,  0.09,  0.020
111=,111, 35.179, 4064,4074,4086,"VV 8", 188050,  6860662,  0.37,  0.082
112=,112, 35.726, 4135,4141,4155,"VV 8",  49934,  2224801,  0.12,  0.027
113=,113, 36.229, 4192,4203,4209,"VV 10",  43488,  2117459,  0.12,  0.025
114=,114, 36.408, 4209,4225,4238,"VV 9", 252478, 14037184,  0.77,  0.168
115=,115, 36.712, 4253,4262,4273,"PV 9",  30758,  1249300,  0.07,  0.015
116=,116, 37.287, 4322,4333,4338,"PV 9",  17374,   834207,  0.05,  0.010
