[contents]
count=6
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-192-06.D
1=,INT TIC: JTB-E02-192-06.D\data.ms
2=,INT TIC: JTB-E02-192-12.D\data.ms
3=,INT TIC: JTB-E02-192-13.D\data.ms
4=,INT TIC: JTB-E02-192-14.D\data.ms
5=,INT TIC: JTB-E02-192-15.D\data.ms
6=,INT TIC: JTB-E02-192-16.D\data.ms
[INT TIC: JTB-E02-192-06.D\data.ms]
Time=,Tue Dec 18 16:17:04 2018
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.287,   20,  25,  38,"VV  ",3789242, 82368626,  4.50,  1.042
2=,  2,  2.434,   38,  43,  55,"VV  ", 657300, 26617991,  1.45,  0.337
3=,  3,  2.571,   55,  60,  64,"VV 3", 290319,  8104959,  0.44,  0.103
4=,  4,  2.627,   64,  66,  85,"VV  ", 153391,  9126077,  0.50,  0.115
5=,  5,  3.125,  123, 128, 146,"VV  ",  94591,  3074668,  0.17,  0.039
6=,  6,  3.325,  146, 152, 213,"PV 2",34585377,1383935406, 75.62, 17.509
7=,  7,  3.827,  213, 214, 225,"VV 2", 572230, 28048040,  1.53,  0.355
8=,  8,  3.922,  225, 226, 237,"VV  ", 421847, 22583126,  1.23,  0.286
9=,  9,  4.021,  237, 238, 252,"VV 8", 329973, 21176744,  1.16,  0.268
10=, 10,  4.166,  252, 256, 261,"VV  ", 447692, 15593720,  0.85,  0.197
11=, 11,  4.243,  261, 265, 275,"VV 3", 325499, 16757232,  0.92,  0.212
12=, 12,  4.983,  349, 356, 387,"PV  ",19015774,679742383, 37.14,  8.600
13=, 13,  5.248,  387, 389, 419,"VV 3", 625746, 55295921,  3.02,  0.700
14=, 14,  5.499,  419, 420, 430,"VV 10", 165718,  6893735,  0.38,  0.087
15=, 15,  5.649,  434, 439, 442,"VV 4", 139516,  4145450,  0.23,  0.052
16=, 16,  5.706,  442, 445, 454,"VV  ", 198276,  6059342,  0.33,  0.077
17=, 17,  7.284,  632, 640, 646,"PV 3",  61798,  1629810,  0.09,  0.021
18=, 18,  8.826,  812, 830, 876,"BV  ",5586771,222782496, 12.17,  2.819
19=, 19,  9.219,  876, 878, 896,"VV 4", 162971, 12082889,  0.66,  0.153
20=, 20, 10.060,  971, 982, 999,"PV 2", 194553,  8998347,  0.49,  0.114
21=, 21, 10.259,  999,1006,1010,"VV 3",  93706,  2877423,  0.16,  0.036
22=, 22, 10.337, 1010,1016,1039,"VV 7", 109356,  5728950,  0.31,  0.072
23=, 23, 11.230, 1117,1126,1141,"BV 2", 122067,  4006797,  0.22,  0.051
24=, 24, 12.768, 1306,1315,1324,"PV 2",  66195,  2204758,  0.12,  0.028
25=, 25, 13.237, 1365,1373,1385,"BV 4",  63377,  1926943,  0.11,  0.024
26=, 26, 14.239, 1485,1496,1528,"VV 2",1730060, 65845579,  3.60,  0.833
27=, 27, 14.871, 1561,1574,1594,"VV 2", 235878, 19597143,  1.07,  0.248
28=, 28, 15.046, 1594,1595,1617,"VV 4", 103684,  7692799,  0.42,  0.097
29=, 29, 16.058, 1710,1720,1735,"PV 2", 408345, 12986569,  0.71,  0.164
30=, 30, 17.403, 1852,1885,1900,"VV 9",  70555,  4120062,  0.23,  0.052
31=, 31, 18.132, 1957,1975,2013,"PV 2", 502510, 39603577,  2.16,  0.501
32=, 32, 19.130, 2091,2098,2113,"PV 3",  96058,  3611352,  0.20,  0.046
33=, 33, 19.324, 2113,2122,2140,"PV 3", 441073, 16188133,  0.88,  0.205
34=, 34, 19.545, 2140,2149,2159,"VV  ", 836080, 22074471,  1.21,  0.279
35=, 35, 19.695, 2159,2168,2181,"VV  ",3318854,100147964,  5.47,  1.267
36=, 36, 19.838, 2181,2185,2189,"VV 7",  96831,  3211115,  0.18,  0.041
37=, 37, 19.942, 2189,2198,2221,"VV 3", 217102, 19983185,  1.09,  0.253
38=, 38, 20.308, 2226,2243,2256,"VV  ",2913508, 93993378,  5.14,  1.189
39=, 39, 20.472, 2256,2263,2284,"VV  ", 910582, 33318095,  1.82,  0.422
40=, 40, 21.675, 2396,2411,2423,"PV  ", 965416, 30270485,  1.65,  0.383
41=, 41, 21.870, 2428,2435,2446,"VV 2", 758596, 23624354,  1.29,  0.299
42=, 42, 22.260, 2477,2483,2495,"VV 4", 176949,  6016915,  0.33,  0.076
43=, 43, 22.962, 2550,2570,2589,"VV 4",  96991,  6005230,  0.33,  0.076
44=, 44, 23.809, 2665,2674,2706,"VV  ",11040172,399145836, 21.81,  5.050
45=, 45, 24.077, 2706,2707,2713,"VV  ", 181078,  5168338,  0.28,  0.065
46=, 46, 24.178, 2713,2720,2724,"VV 4", 308600, 12203072,  0.67,  0.154
47=, 47, 24.257, 2724,2729,2740,"VV 2", 361461, 16848977,  0.92,  0.213
48=, 48, 24.439, 2740,2752,2759,"VV 3", 563434, 21019649,  1.15,  0.266
49=, 49, 24.553, 2759,2766,2778,"VV 2", 387512, 17494259,  0.96,  0.221
50=, 50, 24.689, 2778,2782,2792,"VV 3", 151152,  7147491,  0.39,  0.090
51=, 51, 25.178, 2835,2843,2859,"VV 3", 561812, 23239021,  1.27,  0.294
52=, 52, 25.518, 2875,2884,2900,"VV 5", 256382, 11321030,  0.62,  0.143
53=, 53, 26.429, 2987,2997,3008,"VV 4",  81854,  3395877,  0.19,  0.043
54=, 54, 26.907, 3044,3056,3058,"PV 8",  56847,  1845012,  0.10,  0.023
55=, 55, 27.015, 3058,3069,3132,"VV 3",43991652,1830218204,100.00, 23.155
56=, 56, 27.574, 3132,3138,3144,"VV 6", 358988, 18562205,  1.01,  0.235
57=, 57, 27.648, 3144,3147,3162,"VV 5", 306545, 23221639,  1.27,  0.294
58=, 58, 27.802, 3162,3166,3186,"VV 6", 229260, 22064904,  1.21,  0.279
59=, 59, 28.256, 3213,3222,3223,"VV 4", 209962,  7012925,  0.38,  0.089
60=, 60, 28.356, 3223,3234,3283,"VV 2",19319672,1101665165, 60.19, 13.938
61=, 61, 28.814, 3283,3290,3298,"VV 4", 599946, 31569996,  1.72,  0.399
62=, 62, 28.888, 3298,3299,3304,"VV 3", 328209,  8548794,  0.47,  0.108
63=, 63, 28.937, 3304,3305,3318,"VV 6", 310211, 20050070,  1.10,  0.254
64=, 64, 30.035, 3415,3441,3491,"VV  ",8947349,649387466, 35.48,  8.216
65=, 65, 30.459, 3491,3493,3497,"VV 3", 169981,  4349022,  0.24,  0.055
66=, 66, 30.510, 3497,3499,3509,"VV 5", 163682,  8886176,  0.49,  0.112
67=, 67, 31.245, 3570,3589,3611,"VV  ", 908496, 43800127,  2.39,  0.554
68=, 68, 31.997, 3668,3682,3723,"PV 2",4414467,281967283, 15.41,  3.567
69=, 69, 32.340, 3723,3724,3746,"VV 2",  75761,  5312954,  0.29,  0.067
70=, 70, 32.711, 3760,3770,3782,"VV 6", 139979,  4903242,  0.27,  0.062
71=, 71, 33.140, 3814,3823,3832,"PV  ",  63338,  2044472,  0.11,  0.026
72=, 72, 34.595, 3986,4002,4042,"PV  ",2536190,125526244,  6.86,  1.588
73=, 73, 34.933, 4042,4044,4045,"VV  ",  47819,   648814,  0.04,  0.008
74=, 74, 35.005, 4045,4052,4059,"VV 8",  47324,  2182971,  0.12,  0.028
75=, 75, 35.179, 4064,4074,4086,"VV 8", 187954,  6851656,  0.37,  0.087
76=, 76, 36.408, 4209,4225,4238,"VV 9", 248827, 13526657,  0.74,  0.171
77=, 77, 37.400, 4338,4347,4353,"PBA2",1038971, 33095477,  1.81,  0.419
[INT TIC: JTB-E02-192-12.D\data.ms]
Time=,Tue Dec 18 16:17:06 2018
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.283,   17,  24,  48,"BV  ",1759844, 47636186,  1.72,  0.230
2=,  2,  2.500,   48,  51,  55,"VV 5", 111203,  3600186,  0.13,  0.017
3=,  3,  2.556,   55,  58,  61,"VV 3",  98434,  2737005,  0.10,  0.013
4=,  4,  2.618,   61,  65,  77,"VV 2", 313950,  9865619,  0.36,  0.048
5=,  5,  2.791,   80,  87, 111,"VV 3",12388096,318614927, 11.53,  1.537
6=,  6,  3.004,  111, 113, 120,"VV 8", 246094,  9123306,  0.33,  0.044
7=,  7,  3.116,  120, 127, 132,"VV  ",3549010, 88494308,  3.20,  0.427
8=,  8,  3.201,  132, 137, 147,"VV  ",8895523,257303195,  9.31,  1.241
9=,  9,  3.319,  147, 152, 165,"VV 2",7257179,257666502,  9.32,  1.243
10=, 10,  3.439,  165, 166, 168,"VV 2",1080820, 18646930,  0.67,  0.090
11=, 11,  3.476,  168, 171, 176,"VV 4",1238117, 37848872,  1.37,  0.183
12=, 12,  3.545,  176, 179, 188,"VV 4", 747309, 31822141,  1.15,  0.153
13=, 13,  3.689,  188, 197, 224,"VV 3",65425856,2763797322,100.00, 13.329
14=, 14,  3.935,  224, 228, 236,"VV 2",5493642,239954072,  8.68,  1.157
15=, 15,  4.018,  236, 238, 259,"VV 4",2954011,225427829,  8.16,  1.087
16=, 16,  4.261,  259, 268, 279,"VV 4",37302476,1398532606, 50.60,  6.745
17=, 17,  4.377,  279, 282, 301,"VV 9",4306092,216605325,  7.84,  1.045
18=, 18,  4.557,  301, 304, 309,"VV 7",1288216, 47841774,  1.73,  0.231
19=, 19,  4.651,  309, 316, 331,"VV 3",5242063,200828810,  7.27,  0.969
20=, 20,  4.813,  331, 336, 338,"VV 2",1165056, 32611585,  1.18,  0.157
21=, 21,  4.858,  338, 341, 350,"VV 5",1206786, 49031345,  1.77,  0.236
22=, 22,  4.978,  350, 356, 361,"VV  ",2300956, 80049823,  2.90,  0.386
23=, 23,  5.051,  361, 365, 375,"VV 7",3021443,129288060,  4.68,  0.624
24=, 24,  5.177,  375, 380, 383,"VV 5",2524988, 66154377,  2.39,  0.319
25=, 25,  5.218,  383, 385, 398,"VV 2",2557191, 97002429,  3.51,  0.468
26=, 26,  5.350,  398, 402, 405,"VV 6", 684188, 21360430,  0.77,  0.103
27=, 27,  5.410,  405, 409, 413,"VV 6",1141744, 32651784,  1.18,  0.157
28=, 28,  5.467,  413, 416, 424,"VV 9",1292552, 43115980,  1.56,  0.208
29=, 29,  5.584,  424, 431, 442,"VV 4",5731416,170154797,  6.16,  0.821
30=, 30,  5.714,  442, 447, 468,"VV  ", 754249, 55534820,  2.01,  0.268
31=, 31,  5.929,  468, 473, 476,"VV  ", 678527, 19761891,  0.72,  0.095
32=, 32,  6.003,  476, 482, 495,"VV 6",1271310, 57210569,  2.07,  0.276
33=, 33,  6.156,  495, 501, 510,"VV 6",3068794, 93040325,  3.37,  0.449
34=, 34,  6.271,  510, 515, 527,"VV 5",1175483, 48619955,  1.76,  0.234
35=, 35,  6.464,  535, 539, 544,"VV 8", 400441, 14039981,  0.51,  0.068
36=, 36,  6.592,  544, 555, 584,"VV 8",6046071,181776133,  6.58,  0.877
37=, 37,  6.882,  584, 590, 599,"VV 5", 235806, 10225558,  0.37,  0.049
38=, 38,  6.994,  599, 604, 609,"VV 9", 197201,  6947583,  0.25,  0.034
39=, 39,  7.091,  609, 616, 623,"VV 9",1627714, 53026221,  1.92,  0.256
40=, 40,  7.226,  623, 633, 640,"VV 9",11273177,269694921,  9.76,  1.301
41=, 41,  7.358,  640, 649, 659,"VV 9", 541040, 24882688,  0.90,  0.120
42=, 42,  7.588,  667, 677, 692,"VV 9",33391827,1041854608, 37.70,  5.025
43=, 43,  7.753,  692, 697, 703,"VV 10", 815714, 30977977,  1.12,  0.149
44=, 44,  7.825,  703, 706, 710,"VV 5", 641978, 18642000,  0.67,  0.090
45=, 45,  7.907,  710, 716, 734,"VV 5",1397818, 59519524,  2.15,  0.287
46=, 46,  8.167,  742, 748, 764,"VV 5", 538226, 19305089,  0.70,  0.093
47=, 47,  8.343,  764, 770, 780,"VV 5", 311158,  9327474,  0.34,  0.045
48=, 48,  8.549,  789, 796, 801,"VV 6", 240486,  5641906,  0.20,  0.027
49=, 49,  8.635,  801, 806, 820,"VV 6", 175182,  5336575,  0.19,  0.026
50=, 50,  8.812,  820, 828, 840,"PV  ", 543774, 21450212,  0.78,  0.103
51=, 51,  8.952,  840, 845, 848,"VV 7", 423399, 11190984,  0.40,  0.054
52=, 52,  9.002,  848, 851, 860,"VV  ", 551066, 17469145,  0.63,  0.084
53=, 53,  9.132,  860, 867, 878,"VV 2",1029049, 32657956,  1.18,  0.158
54=, 54,  9.258,  878, 883, 895,"VV 10", 148311,  7155185,  0.26,  0.035
55=, 55,  9.447,  895, 906, 913,"VV 4",2131154, 91288798,  3.30,  0.440
56=, 56,  9.545,  913, 918, 932,"VV 10", 625570, 20361475,  0.74,  0.098
