"Path","File","Date Acquired","Sample","Misc"
"Z:\data\JTB-E02\BACandBLUE\","JTB-E02-192-12.D","18 Dec 2018  11:34    ","2H_CTRL01","P10:E5 BAC-01"
"PBM Apex"
"Tue Dec 18 16:40:59 2018"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2834, 0.2297,"Carbon dioxide (CAS) $$ Dry ice $$ R 744 $$ Carbonic acid gas $$ Carbonic anhydride $$ Carbon oxide (CO2) $$ Carbonic acid, gas $$ CO2 $$ Anhydride carbonique $$ Carbonice $$ Kohlendioxyd $$ Kohlensaure $$ UN 1013 $$ UN 1845 $$ UN 2187",   179,"000124-38-9", 4
  2,  2.5005, 0.0174,"Cyclobutanol (CAS) $$ Cyclobutyl hydroxide",  1458,"002919-23-5",50
  3,  2.5557, 0.0132,"Pentanal (CAS) $$ n-Pentanal $$ n-Valeraldehyde $$ Valeral $$ Valeraldehyde $$ Valeric aldehyde $$ Valerianic aldehyde $$ Valerylaldehyde yde $$ Valeric acid aldehyde $$ 1-pentanal $$ Valeryl aldehyde $$ n-C4H9CHO $$ Amyl aldehyde $$ Butyl formal $$ UN 20",  3279,"000110-62-3",45
  4,  2.6185, 0.0476,"2-Propanamine (CAS) $$ Isopropylamine $$ 2-Propylamine $$ 2-Aminopropane $$ sec-Propylamine $$ 1-Methylethylamine $$ Monoisopropylamine $$ ISO-PROPYL AMINE $$ N-iso-propylamine $$ Iso-C3H7NH2 $$ MIPA $$ Propylamine mono $$ Isopropilamina $$ Propane, 2-ami",   610,"000075-31-0", 9
  5,  2.7914, 1.5366,"DMS $$ DIMETHYL SULFIDE $$ METHYL SULFIDE",   831,"000075-18-3",94
  6,  3.0036, 0.0440,"Methane, thiobis- (CAS) $$ 2-Thiapropane $$ DMS $$ Methylthiomethane $$ Methyl sulfide $$ Dimethyl sulfide $$ Methyl monosulfide $$ Dimethyl thioether $$ Dimethyl monosulfide $$ 2-THIAPROPANE(DIMETHYL SULFIDE) $$ DIMETHYLSULFIDE $$ (METHYLTHIO)METHANE $$",   827,"000075-18-3",70
  7,  3.1157, 0.4268,"2-Propanone (CAS) $$ Acetone $$ propan-2-one $$ Propanone $$ Methyl ketone $$ Dimethyl ketone $$ Pyroacetic ether $$ .beta.-Ketopropane $$ Dimethylformaldehyde $$ ACETONE (2-PROPANONE) $$ (CH3)2CO $$ Allylic alcohol $$ Dimethylketal $$ Ketone propane $$ K",   502,"000067-64-1",72
  8,  3.2013, 1.2409,"Acetic acid, methyl ester (CAS) $$ Methyl acetate $$ Devoton $$ Tereton $$ Acetic acid methyl ester $$ Methyl ester of acetic acid $$ methyl  acetate $$ CH3COOCH3 $$ Methyl ethanoate $$ Acetate de methyle $$ Methyl acetic ester $$ Methylacetaat $$ Methyla",  1691,"000079-20-9", 9
  9,  3.3186, 1.2427,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",106849,"000541-05-9",83
 10,  3.4394, 0.0899,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-", 92199,"035373-06-9",83
 11,  3.4758, 0.1825,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-", 92199,"035373-06-9",86
 12,  3.5445, 0.1535,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",106848,"000541-05-9",72
 13,  3.6890,13.3291,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",  3828,"000141-78-6",78
 14,  3.9354, 1.1572,"ETHYL ACETATE",  3931,"000141-78-6",43
 15,  4.0177, 1.0872,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",  3818,"000141-78-6",64
 16,  4.2607, 6.7448,"Formic acid (CAS) $$ Bilorin $$ Myrmicyl $$ Formisoton $$ Aminic acid $$ Collo-Didax $$ Formylic acid $$ Methanoic acid $$ Collo-Bueglatt $$ Hydrogen carboxylic acid $$ Formira $$ Add-F $$ HCOOH $$ Acide formique $$ Acido formico $$ Ameisensaeure $$ Formi",   249,"000064-18-6",38
 17,  4.3765, 1.0446,"THIOPHENE-D1",  2648,"000000-00-0",47
