[contents]
count=11
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-193-11.D
1=,INT TIC: JTB-E02-193-11.D\data.ms
2=,INT TIC: JTB-E02-193-06.D\data.ms
3=,INT TIC: JTB-E02-193-07.D\data.ms
4=,INT TIC: JTB-E02-193-08.D\data.ms
5=,INT TIC: JTB-E02-193-12.D\data.ms
6=,INT TIC: JTB-E02-193-13.D\data.ms
7=,INT TIC: JTB-E02-193-14.D\data.ms
8=,INT TIC: JTB-E02-193-15.D\data.ms
9=,INT TIC: JTB-E02-193-16.D\data.ms
10=,INT TIC: JTB-E02-193-17.D\data.ms
11=,PBM Apex
[INT TIC: JTB-E02-193-11.D\data.ms]
Time=,Tue Jan 29 15:06:40 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.292,   18,  25,  49,"BV  ",1535143, 41611292,  2.05,  0.340
2=,  2,  2.508,   49,  52,  56,"VV  ",  88705,  2779393,  0.14,  0.023
3=,  3,  2.564,   56,  59,  63,"VV 2",  88749,  2331264,  0.12,  0.019
4=,  4,  2.629,   63,  67,  83,"VV  ", 402464, 12406164,  0.61,  0.101
5=,  5,  2.802,   83,  88, 108,"VV  ",3555351, 83963821,  4.14,  0.687
6=,  6,  2.980,  108, 110, 113,"VV 2", 101864,  2246076,  0.11,  0.018
7=,  7,  3.019,  113, 115, 121,"VV 5",  86734,  2893304,  0.14,  0.024
8=,  8,  3.129,  121, 128, 134,"VV  ",5233393,122731752,  6.06,  1.004
9=,  9,  3.215,  134, 139, 149,"VV  ",7329092,201196627,  9.93,  1.646
10=, 10,  3.334,  149, 153, 167,"VV  ",6756993,217582825, 10.74,  1.780
11=, 11,  3.453,  167, 168, 170,"VV 2", 759680,  9997162,  0.49,  0.082
12=, 12,  3.491,  170, 173, 178,"VV  ", 958944, 28791481,  1.42,  0.235
13=, 13,  3.560,  178, 181, 189,"VV 4", 514378, 20007557,  0.99,  0.164
14=, 14,  3.705,  189, 199, 214,"VV 2",52750653,1754411205, 86.57, 14.350
15=, 15,  3.836,  214, 215, 226,"VV 2",6048832,245582508, 12.12,  2.009
16=, 16,  3.952,  226, 230, 237,"VV 3",3436460,144288365,  7.12,  1.180
17=, 17,  4.037,  237, 240, 255,"VV 2",2829753,132539297,  6.54,  1.084
18=, 18,  4.279,  261, 270, 282,"VV 3",37919465,1291845077, 63.75, 10.566
19=, 19,  4.392,  282, 284, 296,"VV  ",2442961, 94493161,  4.66,  0.773
20=, 20,  4.573,  296, 306, 312,"VV 6", 756669, 54060800,  2.67,  0.442
21=, 21,  4.670,  312, 318, 334,"VV  ",2900401,109751451,  5.42,  0.898
22=, 22,  4.835,  334, 338, 341,"VV  ", 754525, 20595900,  1.02,  0.168
23=, 23,  4.878,  341, 344, 352,"VV  ", 804340, 33543255,  1.66,  0.274
24=, 24,  4.999,  352, 359, 363,"VV  ",2532913, 78500019,  3.87,  0.642
25=, 25,  5.072,  363, 367, 378,"VV  ",2558662,106197204,  5.24,  0.869
26=, 26,  5.196,  378, 383, 386,"VV  ",1634192, 46339271,  2.29,  0.379
27=, 27,  5.237,  386, 388, 401,"VV 2",1406503, 60199004,  2.97,  0.492
28=, 28,  5.370,  401, 404, 408,"VV 4", 470429, 14133990,  0.70,  0.116
29=, 29,  5.431,  408, 412, 415,"VV  ", 551843, 16200768,  0.80,  0.133
30=, 30,  5.487,  415, 419, 426,"VV 2", 595726, 22544390,  1.11,  0.184
31=, 31,  5.605,  426, 433, 444,"VV  ",1839054, 64650288,  3.19,  0.529
32=, 32,  5.728,  444, 448, 463,"VV 2", 504725, 29825541,  1.47,  0.244
33=, 33,  6.022,  472, 484, 498,"VV 3",1242451, 57758903,  2.85,  0.472
34=, 34,  6.178,  498, 504, 514,"VV  ",2067166, 69396732,  3.42,  0.568
35=, 35,  6.292,  514, 518, 524,"VV 3", 472478, 18685046,  0.92,  0.153
36=, 36,  6.361,  524, 526, 530,"VV 3", 292521,  7900819,  0.39,  0.065
