"Path","File","Date Acquired","Sample","Misc"
"Z:\data\JTB-E02\BACandBLUE\","JTB-E02-193-17.D","19 Dec 2018  15:10    ","24H_REP04","P10:E5  BAC-02"
"PBM Apex"
"Tue Jan 29 15:16:30 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2881, 0.2826,"C 2.7 D 4.1    Acetaldehyde (CAS) $$ Ethanal $$ Acetaldeyde $$ Ethyl aldehyde $$ Acetic aldehyde $$ CH3CHO $$ Acetaldehyd $$ Aldehyde acetique $$ Aldeide acetica $$ NCI-C56326 $$ Octowy aldehyd $$ Acetylaldehyde $$ Rcra waste number U001 $$ UN 1089	
  2,  2.4249, 0.0365,"2-Hexanamine, 4-methyl-",  8037,"000105-41-9",64
  3,  2.5045, 0.0233,"Amphetamine", 15920,"000300-62-9",53
  4,  2.5643, 0.0259,"2-Formylhistamine", 18162,"1000132-95-8",50
  5,  2.6235, 0.1223,"Acetaldehyde",    71,"000075-07-0",56
  6,  2.7977, 0.5850,"Dimethyl sulfide",   339,"000075-18-3",91
  7,  2.9742, 0.0194,"Ethanethiol",   334,"000075-08-1",43
  8,  3.0159, 0.0277,"C 2.7 D 4.1    Acetaldehyde (CAS) $$ Ethanal $$ Acetaldeyde $$ Ethyl aldehyde $$ Acetic aldehyde $$ CH3CHO $$ Acetaldehyd $$ Aldehyde acetique $$ Aldeide acetica $$ NCI-C56326 $$ Octowy aldehyd $$ Acetylaldehyde $$ Rcra waste number U001 $$ UN 1089	
  9,  3.1214, 1.0643,"Acetone",   216,"000067-64-1",80
 10,  3.2069, 1.5329,"Acetic acid, methyl ester",   828,"000079-20-9",78
 11,  3.3245, 1.6614,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
 12,  3.4838, 0.2450,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",49
 13,  3.5515, 0.1764,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",58
 14,  3.6948,13.1321,"CH3C(O)CH2CH2OH",  2045,"000590-90-9",40
 15,  3.8275, 1.9302,"Ethyl Acetate",  2041,"000141-78-6",59
 16,  3.9423, 0.6872,"Ethyl Acetate",  2042,"000141-78-6",35
 17,  3.9777, 0.6129,"3-Furanol, tetrahydro-",  2065,"000453-20-3",43
 18,  4.0274, 1.2986,"Butanal, 3-methyl-",  1762,"000590-86-3",76
 19,  4.1589, 0.2577,"Ethyl Acetate",  2042,"000141-78-6",72
 20,  4.2673,10.1364,"C 19.6 D 43.6  Butanoic acid, 3-hydroxy-, ethyl ester (CAS) $$ Ethyl 3-hydroxybutyrate $$ ethyl 3-hydroxybutanoate $$ ethyl .beta.-hydroxybutyrate $$ ethyl -3-hydroxybutanoate $$ Butyric acid, 3-hydroxy-, ethyl ester $$ CH3CH(OH)CH2C(O)OC2H5",  1532,"005405-41-4", 4
 21,  4.3815, 1.0641,"Carbazic acid, 3-(1-propylbutylidene)-, ethyl ester", 64740,"014702-39-7",43
 22,  4.5621, 0.2406,"2-O-Mesyl arabinose", 91695,"1000130-06-0",43
 23,  4.6581, 0.9211,"2-Furanmethanamine, tetrahydro-",  4189,"004795-29-3",72
 24,  4.8216, 0.1946,"sec-Butyl nitrite",  4621,"000924-43-6",43
 25,  4.8645, 0.2747,"3-Pentanone",  1730,"000096-22-0",43
 26,  4.9833, 0.6471,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",91
 27,  5.0578, 0.8459,"Carbonic acid, dimethyl ester",  2294,"000616-38-6",43
 28,  5.1832, 0.3650,"1H-Pyrazole, 3-ethyl-4,5-dihydro-",  3105,"005920-29-6",43
 29,  5.2248, 0.4817,"Succinic acid, cyclohexylmethyl 2-fluorophenyl ester",166980,"1000390-31-0",38
 30,  5.3516, 0.1278,"6-Azaestra-1,3,5(10),6,8-pentaen-17-one, 3-methoxy- (CAS) $$ 3-METHOXY-6-AZA-1,3,5(10),6,8(9)-ESTRAPENTAEN-17-ONE",162651,"005144-20-7",43
 31,  5.4174, 0.1365,"Butanoic acid, 2-methyl-, methyl ester",  8371,"000868-57-5",42
 32,  5.4742, 0.1815,"A 13.2 B 6.1 Acetic acid, 2-methylpropyl ester (CAS) $$ Isobutyl acetate $$ 2-Methylpropyl acetate $$ Acetic acid isobutyl ester $$ Acetic acid, isobutyl ester $$ .beta.-Methylpropyl ethanoate $$ 2-Methyl-1-propyl acetate $$ Isobutyl acetate fcc $$ Acetat",   583,"000110-19-0",22
 33,  5.5906, 0.5146,"Methyl isovalerate",  8239,"000556-24-1",90
 34,  5.7130, 0.2476,"Carbonic acid, ethyl-, methyl ester",  4787,"000623-53-0",47
 35,  6.0062, 0.4980,"3-Buten-2-ol, 2-methyl-",  1805,"000115-18-4",76
 36,  6.1632, 0.5689,"Ethanol, 2-(2-methoxyethoxy)- (CAS) $$ Dowanol DM $$ 2-(2-Methoxyethoxy)ethanol $$ Diethylene glycol methyl ether $$ Methyl digol $$ Poly-Solv DM $$ Methyl Dioxitol $$ Methyl Carbitol $$ Diglycol monomethyl ether $$ Diethylene glycol monomethyl ether $$ E", 14735,"000111-77-3",32
 37,  6.2796, 0.1565,"Butanoic acid, 2-methyl-, ethyl ester", 13845,"007452-79-1",38
 38,  6.3552, 0.0734,"A 4.94 B  --   S(+)-2-Butanol (CAS) $$ sec-Butanol $$ CCS 301 $$ sec-Butyl alcohol $$ 2-Hydroxybutane $$ Methylethylcarbinol $$ 1-Methyl-1-propanol $$ Ethylmethylcarbinol $$ 1-Methylpropyl alcohol $$ s-Butanol $$ 1-Methyl propanol $$ s-Butyl alcohol",  2336,"000078-92-2", 9
 39,  6.4740, 0.0927,"Hydrazinecarboxylic acid, ethyl ester",  4728,"004114-31-2",32
 40,  6.5992, 0.5397,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",91
 41,  6.8883, 0.0721,"Hexanal",  3833,"000066-25-1",47
 42,  6.9994, 0.0557,"A 33.2 B 9.5  4-Heptanol (CAS) $$ Dipropylcarbinol $$ CH3(CH2)2CHOH(CH2)2CH3 $$ di-n-Propylcarbinol",   878,"000589-55-9", 4
 43,  7.0943, 0.0949,"Bicyclo[3.1.1]heptan-endo-6-ol, syn-7-bromo-", 56306,"1000142-77-8",59
 44,  7.2361, 2.1489,"1-Propanol, 2-methyl-",   864,"000078-83-1",86
 45,  7.3598, 0.1180,"Cyclohexanone, 5-methyl-2-(1-methylethylidene)-", 26046,"015932-80-6",64
 46,  7.5886, 1.8631,"4-Chlorobenzoic acid, dodec-9-ynyl ester",178703,"1000282-81-9",47
 47,  7.7612, 0.0524,"5-Fluorobenzo(4,5)-1,2,3-triazole", 16986,"018225-90-6",30
 48,  7.8327, 0.0636,"3-Butenoic acid, 3-methyl-, methyl ester",  7441,"025859-52-3",87
 49,  7.9130, 0.0969,"1-Butanol, 3-methyl-, acetate", 13794,"000123-92-2",64
 50,  7.9669, 0.0999,"8-Hydroxy-2-octanone", 21398,"025368-54-1",47
 51,  8.1719, 0.1153,"Furan, 2-methoxy-",  3133,"025414-22-6",80
 52,  8.3451, 0.0340,"o-Xylene",  5169,"000095-47-6",64
 53,  8.5579, 0.0556,"1-Butanol",   840,"000071-36-3",72
 54,  8.6392, 0.0478,"Cyclohexene, 1,5,5-trimethyl-3-methylene-", 16202,"016609-28-2",94
 55,  8.8167, 0.2037,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
 57,  9.0079, 0.0870,"2-Butenoic acid, ethyl ester, (Z)-",  7413,"006776-19-8",50
 58,  9.1379, 0.1553,"2-Butenoic acid, 3-methyl-, methyl ester",  7448,"000924-50-5",87
 59,  9.4597, 0.1915,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-", 27825,"000470-67-7",86
 60,  9.5472, 0.0724,"A 30.2  B 8.9  2-Heptanone (CAS) $$ Heptan-2-one $$ Butylacetone $$ Methyl amyl ketone $$ Amyl methyl ketone $$ Methyl n-amyl ketone $$ n-Amyl methyl ketone $$ Pentyl methyl ketone $$ Methyl pentyl ketone $$ n-Pentyl methyl ketone $$ Methyl n-pentyl keton",  2401,"000110-43-0",27
 61,  9.9813, 0.1599,"D-Limonene", 16046,"005989-27-5",97
 62, 10.0922, 0.0517,"D-Limonene", 16046,"005989-27-5",95
 63, 10.1583, 0.0269,"D-Limonene", 16046,"005989-27-5",96
 64, 10.3752,16.3287,"Cyclopropane, 1,2-dimethyl-, trans-",   590,"002402-06-4",80
 65, 10.4762, 0.2975,"trans,trans-2,8-Decadiene", 17304,"019398-85-7",49
 66, 10.5609, 0.2677,"2-Nonenal, (Z)-", 19134,"060784-31-8",58
 67, 10.7299, 0.1152,"Cyclopropane, 1,2-dimethyl-, trans-",   588,"002402-06-4",38
 68, 10.8321, 0.0906,"2-Butenoic acid, 3-methyl-, ethyl ester", 12575,"000638-10-8",81
 69, 11.0319, 0.0491,"1-Undecene (CAS) $$ n-1-Undecene $$ .alpha.-Undecene $$ Undecene-1", 40844,"000821-95-4",30
 70, 11.1120, 0.0663,"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1.alpha.,2.beta.,5.alpha.)-", 27871,"015537-55-0",60
 71, 11.3660, 1.4045,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran", 26137,"054750-69-5",96
 72, 11.5316, 0.1997,"Pentylidenecyclohexane", 26200,"039546-79-7",64
 73, 11.6379, 0.2756,"Cyclopropane, 1,1-dimethyl-",   585,"001630-94-0",72
 74, 12.1573, 0.5993,"o-Cymene", 15146,"000527-84-4",94
 75, 12.4486, 0.1472,"Benzenebutanoic acid, .gamma.-oxo-, methyl ester", 57393,"025333-24-8",43
 76, 12.5791, 0.1514,"Acetoin",  2029,"000513-86-0",47
 78, 13.2549, 0.0283,"3-Cyclohexene-1-acetaldehyde, .alpha.,4-dimethyl-", 26078,"029548-14-9",38
 79, 13.6387, 0.0367,"2-Nonanol", 21659,"000628-99-9",53
 80, 13.8573, 0.5451,"3-Methyl-4-cyclohexene-1,2-dicarboxylic anhydride", 37233,"005333-84-6",37
 81, 14.0306, 0.0139,"(S)-(+)-3-Methyl-1-pentanol",  4555,"042072-39-9",50
 82, 14.2713, 0.1546,"6-METHYL-5-HEPTEN-2-ONE", 18102,"000110-93-0",92
 83, 14.4462, 0.0942,"Butane, 1-methoxy-",  2134,"000628-28-4",59
 84, 14.8663, 6.7182,"Formic acid, hexyl ester", 13742,"000629-33-4",83
 85, 15.1674, 0.1630,"3-Hexen-1-ol, (E)-",  3869,"000928-97-2",53
 86, 15.4096, 0.0160,"Oxetane, 2,2,4-trimethyl-",  3965,"023120-44-7",30
 87, 15.5266, 0.2350,"3-Nonyne", 10815,"020184-89-8",46
 88, 15.8123, 0.5563,"3-Hexen-1-ol, (E)-",  3891,"000928-97-2",94
 89, 16.0467, 0.0483,"Oxime-, methoxy-phenyl-_", 25568,"1000222-86-6",35
 90, 16.1736, 0.0369,"Toluene",  2481,"000108-88-3",64
 91, 16.3297, 0.0412,"1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-", 17901,"106251-09-6",83
 92, 16.5074, 1.5719,"2-Hexen-1-ol, (E)-",  3881,"000928-95-0",91
 93, 16.7887, 0.0421,"2-Hexen-1-ol, (Z)-",  3871,"000928-94-9",76
