[contents]
count=9
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-193-17.D
1=,INT TIC: JTB-E02-193-17.D\data.ms
2=,INT TIC: JTB-E02-193-07.D\data.ms
3=,INT TIC: JTB-E02-193-11.D\data.ms
4=,INT TIC: JTB-E02-193-12.D\data.ms
5=,INT TIC: JTB-E02-193-13.D\data.ms
6=,INT TIC: JTB-E02-193-14.D\data.ms
7=,INT TIC: JTB-E02-193-15.D\data.ms
8=,INT TIC: JTB-E02-193-16.D\data.ms
9=,PBM Apex
[INT TIC: JTB-E02-193-17.D\data.ms]
Time=,Tue Jan 29 15:16:02 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.288,   21,  25,  40,"PV  ",1623284, 34825190,  1.73,  0.283
2=,  2,  2.425,   40,  42,  49,"VV  ", 130473,  4495959,  0.22,  0.036
3=,  3,  2.505,   49,  51,  55,"VV 3",  99805,  2876816,  0.14,  0.023
4=,  4,  2.564,   55,  59,  62,"VV 5", 110955,  3193143,  0.16,  0.026
5=,  5,  2.623,   62,  66,  83,"VV  ", 557665, 15072916,  0.75,  0.122
6=,  6,  2.798,   83,  87, 107,"VV  ",3337129, 72091989,  3.58,  0.585
7=,  7,  2.974,  107, 109, 112,"VV 3", 105864,  2396070,  0.12,  0.019
8=,  8,  3.016,  112, 114, 120,"VV 4",  96792,  3419377,  0.17,  0.028
9=,  9,  3.121,  120, 127, 134,"VV 2",5793601,131152090,  6.52,  1.064
10=, 10,  3.207,  134, 138, 148,"VV  ",7382598,188907305,  9.39,  1.533
11=, 11,  3.325,  148, 152, 169,"VV  ",5920743,204735232, 10.17,  1.661
12=, 12,  3.484,  169, 172, 178,"VV 2",1070020, 30188645,  1.50,  0.245
13=, 13,  3.551,  178, 180, 188,"VV  ", 565033, 21741910,  1.08,  0.176
14=, 14,  3.695,  188, 198, 212,"VV 2",52912874,1618327801, 80.42, 13.132
15=, 15,  3.828,  212, 214, 225,"VV  ",5592134,237865067, 11.82,  1.930
16=, 16,  3.942,  225, 228, 231,"VV  ",3562271, 84685713,  4.21,  0.687
17=, 17,  3.978,  231, 233, 236,"VV 2",3548003, 75530234,  3.75,  0.613
18=, 18,  4.027,  236, 239, 253,"VV  ",4256761,160032297,  7.95,  1.299
19=, 19,  4.159,  253, 255, 260,"VV 3", 970290, 31751537,  1.58,  0.258
20=, 20,  4.267,  260, 268, 280,"VV 2",37262333,1249153416, 62.08, 10.136
21=, 21,  4.381,  280, 282, 302,"VV 4",2414171,131130193,  6.52,  1.064
22=, 22,  4.562,  302, 305, 311,"VV 2", 786485, 29650635,  1.47,  0.241
23=, 23,  4.658,  311, 316, 332,"VV  ",3008520,113515195,  5.64,  0.921
24=, 24,  4.822,  332, 337, 339,"VV  ", 905661, 23983616,  1.19,  0.195
25=, 25,  4.865,  339, 342, 350,"VV 3", 892114, 33850097,  1.68,  0.275
26=, 26,  4.983,  350, 357, 362,"VV  ",2545089, 79741935,  3.96,  0.647
27=, 27,  5.058,  362, 366, 376,"VV  ",2534969,104240503,  5.18,  0.846
28=, 28,  5.183,  376, 381, 384,"VV 2",1649929, 44982599,  2.24,  0.365
29=, 29,  5.225,  384, 386, 399,"VV 2",1407490, 59359758,  2.95,  0.482
30=, 30,  5.352,  399, 402, 406,"VV 4", 486535, 15747160,  0.78,  0.128
31=, 31,  5.417,  406, 410, 413,"VV  ", 548875, 16825924,  0.84,  0.137
32=, 32,  5.474,  413, 417, 424,"VV 2", 606600, 22366021,  1.11,  0.181
