"Path","File","Date Acquired","Sample","Misc"
"D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_GCdata_mix_FFaeni_and_Pagglomerans_10BB_BLANK_PRO_REP\","JTB-E18-008-10.D","15 May 2019  13:53    ","BAC-03    REP-01"," "
"PBM Apex"
"Wed Oct 23 13:48:27 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2742, 0.4730,"Carbon dioxide",    81,"000124-38-9", 4
  2,  2.4177, 0.0497,"n-Hexylmethylamine",  8030,"035161-70-7",59
  3,  2.4884, 0.0595,"2-Hexanamine",  4201,"005329-79-3",43
  4,  2.5567, 0.0753,"Methanethiol",   114,"000074-93-1",58
  5,  2.6112, 0.1358,"Cyclobutanol",   663,"002919-23-5",53
  6,  2.7851, 0.9329,"Dimethyl sulfide",   339,"000075-18-3",91
  7,  2.9952, 0.0639,"Ethanethiol",   334,"000075-08-1",35
  8,  3.1059, 1.3986,"Acetone",   217,"000067-64-1",50
  9,  3.1941, 1.0569,"Acetic acid, methyl ester",   828,"000079-20-9",40
 10,  3.3084, 3.3666,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
 11,  3.5355, 0.3687,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",83
 12,  3.6805, 9.5875,"Ethyl Acetate",  2042,"000141-78-6",64
 13,  3.8158, 2.1083,"Ethyl Acetate",  2042,"000141-78-6",35
 14,  3.9297, 0.5242,"Acetic acid, butyl ester",  8270,"000123-86-4",27
 15,  3.9665, 0.9253,"Butanal, 2-methyl-",  1768,"000096-17-3",58
 16,  4.0151, 2.0554,"Butanal, 3-methyl-",  1762,"000590-86-3",90
 17,  4.2358, 8.5877,"Ethanol",    94,"000064-17-5",86
 18,  4.3640, 1.4523,"Formaldehyde oxime trimer", 15730,"1000234-87-0",38
 19,  4.6440, 1.0544,"Oxirane, 3-hydroxypropyl-",  4366,"021915-56-0",59
 20,  4.8092, 0.8194,"2,3-Butanedione",  1677,"000431-03-8",37
 21,  4.9662, 1.5591,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",87
 22,  5.0434, 0.8393,"Carbonic acid, dimethyl ester",  2294,"000616-38-6",49
 23,  5.1723, 0.4013,"2,5-Dihydroxyacetophenone, 2TMS derivative",155021,"1000352-83-7",14
 24,  5.2114, 0.6313,"Thiophen-2-methylamine, N-(2-fluorophenyl)-", 71285,"1000310-35-2",47
 25,  5.3455, 0.2475,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",46
 26,  5.4043, 0.2827,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",38
 27,  5.4621, 0.3505,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",35
 28,  5.5790, 0.7787,"Methyl isovalerate",  8237,"000556-24-1",70
 29,  5.6999, 0.3426,"2,4,6-Cycloheptatrien-1-one, 3,5-bis-trimethylsilyl-",111265,"1000161-21-8",43
 30,  5.9916, 0.5284,"Toluene",  2478,"000108-88-3",38
 31,  6.1511, 0.5554,"2-Propanol, 1-(1-methylethoxy)-",  9029,"003944-36-3",23
 32,  6.2672, 0.1829,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",30
 33,  6.3457, 0.3455,"3-Hexanone",  3843,"000589-38-8",27
 34,  6.5879, 0.5419,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",90
 35,  6.6773, 1.0475,"Disulfide, dimethyl",  2561,"000624-92-0",95
 36,  6.9829, 0.0834,"Furazanamine, 4,4'-azoxybis-", 76664,"078644-89-0",12
 37,  7.0725, 0.1903,"(R)-3-Methylene-6-((S)-1,2,2-trimethylcyclopentyl)cyclohex-1-ene", 68725,"098093-94-8",30
 38,  7.1702, 0.1067,"2-Butenal, 2-methyl-",  1433,"001115-11-3",64
 39,  7.2393, 1.4207,"1-Propanol, 2-methyl-",   864,"000078-83-1",90
 40,  7.5661, 2.7948,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-", 27740,"007392-19-0",38
 41,  7.8143, 0.1521,"2-Butenoic acid, 2-methyl-, methyl ester, (Z)-",  7456,"005953-76-4",38
 42,  7.8891, 0.1205,"1-Butanol, 3-methyl-, acetate", 13795,"000123-92-2",43
 43,  7.9549, 0.1199,"2-Nitrophenol, 3-methylbutyl ether", 73333,"1000395-15-3",38
 44,  8.1581, 0.1027,"3-Penten-2-one, 4-methyl-",  3289,"000141-79-7",52
 45,  8.3283, 0.0439,"o-Xylene",  5169,"000095-47-6",64
 46,  8.5569, 0.4031,"1-Butanol",   846,"000071-36-3",86
 47,  8.7972, 0.6465,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
 48,  8.9881, 0.2496,"Cyclopentasiloxane, decamethyl-",220037,"000541-02-6",46
 49,  9.1251, 0.2573,"2-Butenoic acid, 3-methyl-, methyl ester",  7447,"000924-50-5",62
 50,  9.4463, 0.2523,"cis-1-Hydroxybicyclo[4.4.0]decane", 27637,"003574-58-1",46
 51,  9.5379, 0.1213,"2-Heptanone",  7567,"000110-43-0",42
 52,  9.9654, 0.3410,"D-Limonene", 16046,"005989-27-5",96
