Compound Method,BLANK: BAC-01  BAC-02  BAC-03,BLANK: BAC-01  BAC-02  BAC-03,,BAC-03    PRO-01,BAC-03    PRO-01,,BAC-03    PRO-01,BAC-03    PRO-01,,BAC-01    PRO-02,BAC-01    PRO-02,,BAC-02    PRO-03,BAC-02    PRO-03,,BAC-03    REP-01,BAC-03    REP-01,,BAC-01    REP-02,BAC-01    REP-02,,BAC-02     REP-03,BAC-02     REP-03,,BAC-03     REP-04,BAC-03     REP-04,,BAC-01    BAC-02     BAC-03,BAC-01    BAC-02     BAC-03,,BAC-01       PRO-01,BAC-01       PRO-01,,BAC-02       PRO-02,BAC-02       PRO-02,,BAC-03       PRO-03,BAC-03       PRO-03,,BAC-01       REP-01,BAC-01       REP-01,,BAC-02       REP-02,BAC-02       REP-02,,BAC-03       REP-03,BAC-03       REP-03,,BAC-01       REP-04,BAC-01       REP-04,,BAC-01     BAC-02     BAC-03,BAC-01     BAC-02     BAC-03,,BAC-02     PRO-01,BAC-02     PRO-01,,BAC-03     PRO-02,BAC-03     PRO-02,,BAC-01     PRO-03,BAC-01     PRO-03,,BAC-02     REP-01,BAC-02     REP-01,,BAC-03     REP-02,BAC-03     REP-02,,BAC-01     REP-03,BAC-01     REP-03,,BAC-02     REP-04,BAC-02     REP-04,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
1-Butanol,JTB-E18-008-04.D,8.537,82315,JTB-E18-008-07.D,8.545,207585,JTB-E18-008-07.D,8.545,207585,JTB-E18-008-08.D,8.561,237826,JTB-E18-008-09.D,8.561,234991,JTB-E18-008-10.D,8.553,588402,JTB-E18-008-11.D,8.553,479616,JTB-E18-008-12.D,8.553,455071,JTB-E18-008-13.D,8.553,457421,JTB-E18-009-04.D,8.529,8474,JTB-E18-009-07.D,8.569,13448,JTB-E18-009-08.D,8.553,239673,JTB-E18-009-09.D,8.561,125471,JTB-E18-009-10.D,8.561,1006847,JTB-E18-009-11.D,8.553,929857,JTB-E18-009-12.D,8.553,836224,JTB-E18-009-13.D,8.553,859230,JTB-E18-010-04.D,8.545,7263,JTB-E18-010-07.D,8.561,85797,JTB-E18-010-08.D,8.553,222761,JTB-E18-010-09.D,8.561,223898,JTB-E18-010-10.D,8.561,1153967,JTB-E18-010-11.D,8.553,1058651,JTB-E18-010-12.D,8.553,922976,JTB-E18-010-13.D,8.553,1050345
Heptanal,JTB-E18-008-04.D,9.617,15031,JTB-E18-008-07.D,9.601,11220,JTB-E18-008-07.D,9.601,11220,JTB-E18-008-08.D,9.593,16334,JTB-E18-008-09.D,9.601,17601,JTB-E18-008-10.D,9.601,2808,JTB-E18-008-11.D,9.593,3589,JTB-E18-008-12.D,9.609,2214,JTB-E18-008-13.D,9.609,2190,JTB-E18-009-04.D,9.617,2381,JTB-E18-009-07.D,9.617,11694,JTB-E18-009-08.D,9.601,15716,JTB-E18-009-09.D,9.601,13733,JTB-E18-009-10.D,9.601,14183,JTB-E18-009-11.D,9.601,8296,JTB-E18-009-12.D,9.601,12921,JTB-E18-009-13.D,9.609,10213,JTB-E18-010-04.D,9.609,1096,JTB-E18-010-07.D,9.617,10902,JTB-E18-010-08.D,9.601,15539,JTB-E18-010-09.D,9.601,13239,JTB-E18-010-10.D,9.593,22841,JTB-E18-010-11.D,9.609,12985,JTB-E18-010-12.D,9.601,41891,JTB-E18-010-13.D,9.609,19903
"1-Butanol, 3-methyl-",JTB-E18-008-04.D,10.332,23683,JTB-E18-008-07.D,10.332,6627838,JTB-E18-008-07.D,10.332,6627838,JTB-E18-008-08.D,10.348,7704604,JTB-E18-008-09.D,10.340,8025650,JTB-E18-008-10.D,10.348,15325987,JTB-E18-008-11.D,10.348,13235199,JTB-E18-008-12.D,10.348,12195867,JTB-E18-008-13.D,10.340,12915556,JTB-E18-009-04.D,10.332,12445,JTB-E18-009-07.D,10.356,6587968,JTB-E18-009-08.D,10.340,7083374,JTB-E18-009-09.D,10.348,6705998,JTB-E18-009-10.D,10.348,17194618,JTB-E18-009-11.D,10.348,16530888,JTB-E18-009-12.D,10.348,13595503,JTB-E18-009-13.D,10.348,14534264,JTB-E18-010-04.D,10.332,16780,JTB-E18-010-07.D,10.348,6177791,JTB-E18-010-08.D,10.340,6506907,JTB-E18-010-09.D,10.340,6774718,JTB-E18-010-10.D,10.356,18228969,JTB-E18-010-11.D,10.348,17347850,JTB-E18-010-12.D,10.348,13109782,JTB-E18-010-13.D,10.349,15796508
Acetoin,JTB-E18-008-04.D,12.566,6309,JTB-E18-008-07.D,12.566,26187,JTB-E18-008-07.D,12.566,26187,JTB-E18-008-08.D,12.566,25193,JTB-E18-008-09.D,12.574,36124,JTB-E18-008-10.D,12.566,73255,JTB-E18-008-11.D,12.574,149360,JTB-E18-008-12.D,12.574,48037,JTB-E18-008-13.D,12.574,122819,JTB-E18-009-04.D,12.590,804,JTB-E18-009-07.D,12.590,17520,JTB-E18-009-08.D,12.574,35957,JTB-E18-009-09.D,12.574,24219,JTB-E18-009-10.D,12.574,385464,JTB-E18-009-11.D,12.574,566013,JTB-E18-009-12.D,12.574,68605,JTB-E18-009-13.D,12.574,540414,JTB-E18-010-04.D,12.550,142,JTB-E18-010-07.D,12.582,33352,JTB-E18-010-08.D,12.574,35379,JTB-E18-010-09.D,12.574,34972,JTB-E18-010-10.D,12.574,517491,JTB-E18-010-11.D,12.574,693435,JTB-E18-010-12.D,12.574,78399,JTB-E18-010-13.D,12.574,1036610
2-Nonanone,JTB-E18-008-04.D,15.905,2285,JTB-E18-008-07.D,15.896,2649,JTB-E18-008-07.D,15.896,2649,JTB-E18-008-08.D,15.897,1652,JTB-E18-008-09.D,15.905,2898,JTB-E18-008-10.D,15.905,8372,JTB-E18-008-11.D,15.905,7576,JTB-E18-008-12.D,15.913,5483,JTB-E18-008-13.D,15.905,6546,JTB-E18-009-04.D,15.888,87,JTB-E18-009-07.D,15.888,96,JTB-E18-009-08.D,15.905,512,JTB-E18-009-09.D,15.905,112,JTB-E18-009-10.D,15.913,16622,JTB-E18-009-11.D,15.905,19744,JTB-E18-009-12.D,15.913,12312,JTB-E18-009-13.D,15.913,24075,JTB-E18-010-04.D,15.929,271,JTB-E18-010-07.D,15.872,866,JTB-E18-010-08.D,,,JTB-E18-010-09.D,15.913,846,JTB-E18-010-10.D,15.905,24406,JTB-E18-010-11.D,15.904,30681,JTB-E18-010-12.D,15.905,9271,JTB-E18-010-13.D,15.905,26232
endo-Borneol,JTB-E18-008-04.D,25.287,6135,JTB-E18-008-07.D,25.279,84872,JTB-E18-008-07.D,25.279,84872,JTB-E18-008-08.D,25.279,94819,JTB-E18-008-09.D,25.287,104866,JTB-E18-008-10.D,25.287,134683,JTB-E18-008-11.D,25.287,163116,JTB-E18-008-12.D,25.295,189086,JTB-E18-008-13.D,25.287,239998,JTB-E18-009-04.D,25.271,45,JTB-E18-009-07.D,25.287,71857,JTB-E18-009-08.D,25.279,85512,JTB-E18-009-09.D,25.279,64325,JTB-E18-009-10.D,25.287,452909,JTB-E18-009-11.D,25.287,463761,JTB-E18-009-12.D,25.287,295197,JTB-E18-009-13.D,25.279,483220,JTB-E18-010-04.D,25.287,608,JTB-E18-010-07.D,25.287,51344,JTB-E18-010-08.D,25.287,54675,JTB-E18-010-09.D,25.287,62915,JTB-E18-010-10.D,25.287,612908,JTB-E18-010-11.D,25.287,609307,JTB-E18-010-12.D,25.287,327264,JTB-E18-010-13.D,25.279,389356
"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",JTB-E18-008-04.D,26.416,5653,JTB-E18-008-07.D,26.408,543579,JTB-E18-008-07.D,26.408,543579,JTB-E18-008-08.D,26.408,586632,JTB-E18-008-09.D,26.408,825668,JTB-E18-008-10.D,26.408,484779,JTB-E18-008-11.D,26.416,484847,JTB-E18-008-12.D,26.416,615686,JTB-E18-008-13.D,26.416,619629,JTB-E18-009-04.D,26.424,35696,JTB-E18-009-07.D,26.408,22337,JTB-E18-009-08.D,26.400,40565,JTB-E18-009-09.D,26.416,40042,JTB-E18-009-10.D,26.408,116517,JTB-E18-009-11.D,26.400,30384,JTB-E18-009-12.D,26.408,53487,JTB-E18-009-13.D,26.416,68458,JTB-E18-010-04.D,26.424,8655,JTB-E18-010-07.D,26.408,10020,JTB-E18-010-08.D,26.408,22307,JTB-E18-010-09.D,26.408,23264,JTB-E18-010-10.D,26.408,30045,JTB-E18-010-11.D,26.408,17260,JTB-E18-010-12.D,26.408,22342,JTB-E18-010-13.D,26.408,19790
(-)-Myrtenol,JTB-E18-008-04.D,,,JTB-E18-008-07.D,27.797,4056,JTB-E18-008-07.D,27.797,4056,JTB-E18-008-08.D,27.805,3170,JTB-E18-008-09.D,27.781,3728,JTB-E18-008-10.D,27.789,4977,JTB-E18-008-11.D,27.797,6407,JTB-E18-008-12.D,27.789,8964,JTB-E18-008-13.D,27.805,11178,JTB-E18-009-04.D,27.797,150,JTB-E18-009-07.D,27.805,1703,JTB-E18-009-08.D,27.805,2689,JTB-E18-009-09.D,27.797,2282,JTB-E18-009-10.D,27.797,20886,JTB-E18-009-11.D,27.797,25226,JTB-E18-009-12.D,27.797,14110,JTB-E18-009-13.D,27.797,23918,JTB-E18-010-04.D,,,JTB-E18-010-07.D,27.797,3247,JTB-E18-010-08.D,27.797,2450,JTB-E18-010-09.D,27.797,2081,JTB-E18-010-10.D,27.805,29255,JTB-E18-010-11.D,27.797,32014,JTB-E18-010-12.D,27.797,18148,JTB-E18-010-13.D,27.797,30496
"Phenol, 2-methoxy-",JTB-E18-008-04.D,29.446,1790,JTB-E18-008-07.D,29.430,2318,JTB-E18-008-07.D,29.430,2318,JTB-E18-008-08.D,29.430,2878,JTB-E18-008-09.D,29.438,1714,JTB-E18-008-10.D,29.430,2854,JTB-E18-008-11.D,29.438,5447,JTB-E18-008-12.D,29.430,4589,JTB-E18-008-13.D,29.446,5370,JTB-E18-009-04.D,29.462,884,JTB-E18-009-07.D,29.421,3145,JTB-E18-009-08.D,29.430,1713,JTB-E18-009-09.D,29.438,1564,JTB-E18-009-10.D,29.438,10115,JTB-E18-009-11.D,29.422,6661,JTB-E18-009-12.D,29.446,5492,JTB-E18-009-13.D,29.438,9162,JTB-E18-010-04.D,29.454,1512,JTB-E18-010-07.D,29.429,1292,JTB-E18-010-08.D,29.446,2316,JTB-E18-010-09.D,29.446,2196,JTB-E18-010-10.D,29.446,57303,JTB-E18-010-11.D,29.438,81002,JTB-E18-010-12.D,29.462,3210,JTB-E18-010-13.D,29.438,57429
