[contents]
count=31
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_SUBSET_FFvsPA_10BB_PROvsREP\JTB-E02-199-14.D
1=,PBM Apex
2=,INT TIC: JTB-E02-199-14.D\data.ms
3=,INT TIC: JTB-E02-199-06.D\data.ms
4=,INT TIC: JTB-E02-199-07.D\data.ms
5=,INT TIC: JTB-E02-199-08.D\data.ms
6=,INT TIC: JTB-E02-199-11.D\data.ms
7=,INT TIC: JTB-E02-199-12.D\data.ms
8=,INT TIC: JTB-E02-199-13.D\data.ms
9=,INT TIC: JTB-E02-199-15.D\data.ms
10=,INT TIC: JTB-E02-199-16.D\data.ms
11=,INT TIC: JTB-E02-199-17.D\data.ms
12=,INT TIC: JTB-E02-200-06.D\data.ms
13=,INT TIC: JTB-E02-200-07.D\data.ms
14=,INT TIC: JTB-E02-200-08.D\data.ms
15=,INT TIC: JTB-E02-200-11.D\data.ms
16=,INT TIC: JTB-E02-200-12.D\data.ms
17=,INT TIC: JTB-E02-200-13.D\data.ms
18=,INT TIC: JTB-E02-200-14.D\data.ms
19=,INT TIC: JTB-E02-200-15.D\data.ms
20=,INT TIC: JTB-E02-200-16.D\data.ms
21=,INT TIC: JTB-E02-200-17.D\data.ms
22=,INT TIC: JTB-E02-201-06.D\data.ms
23=,INT TIC: JTB-E02-201-07.D\data.ms
24=,INT TIC: JTB-E02-201-08.D\data.ms
25=,INT TIC: JTB-E02-201-11.D\data.ms
26=,INT TIC: JTB-E02-201-12.D\data.ms
27=,INT TIC: JTB-E02-201-13.D\data.ms
28=,INT TIC: JTB-E02-201-14.D\data.ms
29=,INT TIC: JTB-E02-201-15.D\data.ms
30=,INT TIC: JTB-E02-201-16.D\data.ms
31=,INT TIC: JTB-E02-201-17.D\data.ms
[PBM Apex]
Time=,Wed Aug 07 15:06:00 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.2752, 0.2645,"Carbon dioxide",    81,"000124-38-9", 4
2=,  2,  2.4911, 0.0182,"1-Propanamine, N,2-dimethyl-",  1957,"000625-43-4",59
3=,  3,  2.5589, 0.0588,"Methanethiol",   113,"000074-93-1",58
4=,  4,  2.6107, 0.1578,"1-Pentanol, 4-amino-",  4674,"000927-55-9",39
5=,  5,  2.7856, 1.2316,"Dimethyl sulfide",   339,"000075-18-3",91
6=,  6,  3.0068, 0.0930,"Dimethyl sulfide",   337,"000075-18-3",35
7=,  7,  3.1101, 1.8856,"Acetone",   216,"000067-64-1",64
8=,  8,  3.1963, 1.0108,"Acetic acid, methyl ester",   828,"000079-20-9", 9
9=,  9,  3.3132, 4.0584,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",90
10=, 10,  3.6851, 8.3729,"Ethyl Acetate",  2042,"000141-78-6",72
11=, 11,  3.8210, 2.8662,"2-Butanone",   658,"000078-93-3",40
12=, 12,  3.9713, 1.6949,"Butanal, 2-methyl-",  1768,"000096-17-3",74
13=, 13,  4.0193, 3.6781,"Butanal, 3-methyl-",  1762,"000590-86-3",91
14=, 14,  4.1631, 0.4172,"Ethyl Acetate",  2038,"000141-78-6",25
15=, 15,  4.2433, 6.7323,"Ethanol",    95,"000064-17-5",78
16=, 16,  4.3675, 1.1640,"2-Isopropoxyethylamine",  4678,"081731-43-3",43
17=, 17,  4.6497, 0.7891,"Sulfurous acid, 2-pentyl pentyl ester", 84795,"1000309-15-4",59
18=, 18,  4.8178, 0.5464,"Acetamide, N-(aminoiminomethyl)-",  4080,"005699-40-1",40
19=, 19,  4.9798, 0.8446,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",91
20=, 20,  5.0517, 0.5472,"Carbonic acid, dimethyl ester",  2294,"000616-38-6",43
21=, 21,  5.1789, 0.2482,"Furan, 2,3-dihydro-2,5-dimethyl-",  3319,"017108-52-0",25
22=, 22,  5.2178, 0.4437,"Sulfurous acid, cyclohexylmethyl ethyl ester", 71084,"1000309-21-2",35
23=, 23,  5.3525, 0.1663,"1,3-Dimethylcyclopentanol",  7694,"019550-46-0",22
24=, 24,  5.4091, 0.1991,"Butanoic acid, 2-methyl-, methyl ester",  8370,"000868-57-5",30
25=, 25,  5.4695, 0.1709,"Isobutylamine",   757,"000078-81-9", 9
26=, 26,  5.5879, 0.5704,"Methyl isovalerate",  8237,"000556-24-1",64
27=, 27,  5.7114, 0.2898,"Carbonic acid, ethyl-, methyl ester",  4787,"000623-53-0",47
28=, 28,  5.8515, 0.0823,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",43
29=, 29,  5.9312, 0.0696,"3-Mercaptohexyl butanoate", 67865,"136954-21-7",43
30=, 30,  5.9977, 0.7702,"Toluene",  2482,"000108-88-3",81
31=, 31,  6.1600, 0.3496,"Propanoic acid, 2-hydroxy-, methyl ester, (.+/-.)-",  4797,"002155-30-8",35
32=, 32,  6.2753, 0.1840,"3-Hydroxybutanamide, N-phenylmethoxy-", 73341,"1000196-74-1",27
33=, 33,  6.3551, 0.1198,"Oxirane, 2,3-dimethyl-, trans-",   713,"021490-63-1",27
34=, 34,  6.5981, 0.4400,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",91
35=, 35,  6.6906, 4.7007,"Disulfide, dimethyl",  2561,"000624-92-0",95
36=, 36,  6.9965, 0.3559,"Disulfide, dimethyl",  2561,"000624-92-0",94
37=, 37,  7.1031, 0.2449,"Disulfide, dimethyl",  2561,"000624-92-0",91
38=, 38,  7.2205, 1.1585,"1-Propanol, 2-methyl-",   864,"000078-83-1",80
39=, 39,  7.5982, 2.5826,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-", 27740,"007392-19-0",64
40=, 40,  7.7567, 0.3388,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-", 27742,"007392-19-0",64
41=, 41,  7.9196, 0.1137,"1-Butanol, 3-methyl-, acetate", 13786,"000123-92-2",64
42=, 42,  7.9633, 0.2591,"Butanenitrile, 3-methyl-",  1311,"000625-28-5",37
43=, 43,  8.1725, 0.0636,"3-Penten-2-one, 4-methyl-",  3295,"000141-79-7",38
44=, 44,  8.3554, 0.0368,"Benzene, 1,3-dimethyl-",  5188,"000108-38-3",50
45=, 45,  8.5528, 0.1942,"1-Butanol",   846,"000071-36-3",80
46=, 46,  8.6323, 0.0291,"2-Oxepanone, 4-methyl-", 12466,"002549-60-2",30
47=, 47,  8.8223, 0.1883,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",90
48=, 48,  8.9601, 0.0477,"1,1,3,3,5,5,7,7,9,9-Decamethyl-9-(2-methylpropoxy)pentasiloxan-1-ol",254933,"1000364-61-3",43
49=, 49,  9.0077, 0.0599,"Oxazole, 2-ethyl-4,5-dihydro-",  3565,"010431-98-8",43
50=, 50,  9.1428, 0.1015,"2-Butenoic acid, 3-methyl-, methyl ester",  7447,"000924-50-5",68
51=, 51,  9.4655, 0.1613,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-", 27825,"000470-67-7",81
52=, 52,  9.5550, 0.0780,"Thioacetamide, (4-chlorophenyl)-N-(2-dimethylaminoethyl)-N-methyl-",130041,"156483-23-7",38
53=, 53,  9.9943, 0.1520,"D-Limonene", 16046,"005989-27-5",96
54=, 54, 10.0806, 0.0582,"D-Limonene", 16046,"005989-27-5",95
55=, 55, 10.3507,10.2889,"1-Butanol, 3-methyl-",  2148,"000123-51-3",86
56=, 56, 10.7301, 0.1149,"5-Octen-1-ol, (Z)-", 12734,"064275-73-6",50
57=, 57, 10.8341, 0.1028,"2-Butenoic acid, 3-methyl-, ethyl ester", 12577,"000638-10-8",74
58=, 58, 11.0369, 0.0470,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, cis-", 27761,"007299-41-4",47
59=, 59, 11.1263, 0.0850,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, cis-", 27761,"007299-41-4",38
60=, 60, 11.3728, 2.0402,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran", 26137,"054750-69-5",96
61=, 61, 11.5151, 0.1998,"Thiazole",  1553,"000288-47-1",35
62=, 62, 11.6355, 0.1360,"Aziridine, 1,2,3-trimethyl-, trans-",  1609,"000693-88-9",49
63=, 63, 12.0384, 0.0273,"4-Aminopyridine",  2585,"000504-24-5",62
64=, 64, 12.1657, 1.1140,"o-Cymene", 15146,"000527-84-4",94
65=, 65, 12.4478, 0.1207,"Benzene, 1,2-diethyl-", 15178,"000135-01-3",58
66=, 66, 12.5846, 0.1122,"p-Cymene", 15141,"000099-87-6",80
67=, 67, 13.6351, 0.0222,"2-Propenoic acid",   638,"000079-10-7",35
68=, 68, 13.8660, 0.3895,"Geijerene", 33427,"006902-73-4",35
69=, 69, 14.0052, 0.0915,"Pyrazine, 2,6-dimethyl-",  5417,"000108-50-9",56
70=, 70, 14.2497, 0.1538,"Silane, methylvinyl(2,4-dimethylpent-3-yloxy)(methylvinyldodecyloxysilyloxy)-",258298,"1000417-01-0",50
71=, 71, 14.8591, 2.5251,"Hexyl chloroformate", 35348,"006092-54-2",78
72=, 72, 15.1655, 0.0596,"3-Hexen-1-ol, (E)-",  3869,"000928-97-2",46
73=, 73, 15.5459, 0.4882,"Bis-(methylthio)-phosphine", 11164,"105414-86-6",38
74=, 74, 15.8157, 0.1662,"3-Hexen-1-ol, (E)-",  3891,"000928-97-2",94
75=, 75, 15.9184, 0.0206,"2-Decanone", 29138,"000693-54-9",27
76=, 76, 16.0019, 0.0314,"Pyrazine, 2-ethyl-5-methyl-", 10020,"013360-64-0",64
77=, 77, 16.4019, 0.0274,"Pyrazine, 2,5-dimethyl-3-propyl-", 25304,"018433-97-1",64
78=, 78, 16.5089, 0.4192,"2-Hexen-1-ol, (E)-",  3882,"000928-95-0",90
79=, 79, 16.6314, 0.0399,"Silane, dimethylphenyl-", 16654,"000766-77-8",38
80=, 80, 17.1514, 0.1002,"Benzene, 1,3-bis(1,1-dimethylethyl)-", 56147,"001014-60-4",90
81=, 81, 17.3864, 0.0160,"(E)-1-Phenyl-1-butene", 14366,"001005-64-7",91
82=, 82, 17.4522, 0.0268,"N-(2-Carbomethoxyvinyl)methylamine",  7904,"098071-13-7",35
83=, 83, 17.6352, 0.4640,"Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate",103910,"1000373-80-3",91
84=, 84, 17.8850, 0.0556,"1-Octen-3-ol", 12717,"003391-86-4",27
85=, 85, 18.1224, 0.7815,"3,5-Dimethylpyrazole",  2780,"000067-51-6",86
86=, 86, 18.5056, 0.1622,"trans-Linalool oxide (furanoid)", 39629,"034995-77-2",64
87=, 87, 18.6606, 0.0397,"Cyclohexane, 2,4-diethenyl-1-methyl-", 24663,"061142-71-0",49
88=, 88, 18.9139, 0.0087,"Benzene, 1-ethyl-2,3-dimethyl-", 15210,"000933-98-2",94
89=, 89, 19.1362, 0.0284,"1-Hexanol, 2-ethyl-", 13975,"000104-76-7",64
90=, 90, 19.2122, 0.0148,"Pyrazine, 3,5-diethyl-2-methyl-", 25291,"018138-05-1",53
91=, 91, 19.4074, 0.0852,"Ethanone, 1-(2-furanyl)-",  5873,"001192-62-7",46
92=, 92, 19.5468, 0.1576,"Hydrazine, 1,2-dimethyl-",   279,"000540-73-8",38
93=, 93, 19.7026, 0.3150,"Acridine, 9-methyl-", 58761,"000611-64-3",46
94=, 94, 19.8255, 0.1058,"Dill ether", 25815,"074410-10-9",90
95=, 95, 19.9288,15.9971,"Benzaldehyde",  5151,"000100-52-7",94
96=, 96, 20.2214, 1.5890,"1,3-Butanedione, 1-(4-methoxyphenyl)-", 57354,"004023-80-7",58
97=, 97, 20.3020, 1.2945,"1,2,5,5,6,7-Hexamethylbicyclo[4.1.0]hept-2-en-4-one", 57796,"1000110-52-5",50
98=, 98, 20.8453, 0.2759,"Linalool", 27451,"000078-70-6",68
99=, 99, 20.9644, 0.1225,"trans-Verbenol", 25837,"001820-09-3",56
100=,100, 21.1900, 0.1477,"Octyl heptafluorobutyrate",183441,"001650-36-8",80
101=,101, 21.4489, 0.0669,"Dimethyl Sulfoxide",  1007,"000067-68-5",47
102=,102, 21.6795, 0.0635,"2-Chloro-4-(4-methoxyphenyl)-6-(4-nitrophenyl)pyrimidine",197930,"063673-76-7",25
103=,103, 21.8798, 0.0392,"3-(4-Chlorophenyl)-2-(methoxymethyl)-7H,8H,9H-pyrazolo[1,5-a]quinazolin-6-one",198002,"1000388-85-8",43
104=,104, 22.3609, 0.0650,"Benzonitrile",  4707,"000100-47-0",87
105=,105, 22.4467, 0.0665,"Terpinen-4-ol", 27506,"000562-74-3",81
106=,106, 22.5423, 0.0469,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans-", 26108,"005948-04-9",80
107=,107, 22.7426, 0.0765,".beta.-Santalol", 83502,"000077-42-9",78
108=,108, 22.8394, 0.0704,"1,2,3,6-Tetrahydrobenzylalcohol, methyl ether", 11727,"1000365-07-7",53
109=,109, 22.9239, 0.1522,"1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-", 26068,"000432-25-7",83
110=,110, 23.2881, 0.0219,"D-p-Chlorophenylalanine, N-dimethylaminomethylene-, ethyl ester",141503,"1000375-82-3",27
111=,111, 23.3903, 0.0568,"1,4-Benzenediol, 2,6-dimethyl-", 17784,"000654-42-2",46
112=,112, 23.5247, 0.0369,"1H-Cyclopenta[c]furan-3(3aH)-one, 6,6a-dihydro-1-(1,3-dioxolan-2-yl)-, (3aR,1-trans,6a-cis)-", 61240,"1000141-74-4",32
113=,113, 23.6284, 0.1395,"1,3-Cyclohexadiene-1-carboxaldehyde, 2,6,6-trimethyl-", 24591,"000116-26-7",90
114=,114, 23.6930, 0.3584,"Acetophenone",  9542,"000098-86-2",90
115=,115, 23.8202, 1.5220,"Silanediol, dimethyl-",  2426,"001066-42-8",49
116=,116, 24.0625, 0.1359,"Trimethylsilyl fluoride",  2454,"000420-56-4",38
117=,117, 24.1807, 0.1654,"Carbonic acid, methyl nonyl ester", 66475,"1000314-62-1",43
118=,118, 24.4290, 0.0412,"Pyrazolo[3,4-b]pyridin-3(2H)-one, 4-trifluoromethyl-2,6-diphenyl-",209415,"309740-17-8",38
119=,119, 24.5801, 0.2241,"Benzaldehyde, 2-hydroxy-", 10079,"000090-02-8",76
120=,120, 24.9170, 0.2739,"Santalol, trans-.beta.-", 83548,"098718-53-7",64
121=,121, 25.1724, 1.4207,".alpha.-Terpineol", 27528,"000098-55-5",95
122=,122, 25.2997, 0.4129,"endo-Borneol", 27485,"000507-70-0",91
123=,123, 25.4246, 0.1184,"Butanoic acid",  2039,"000107-92-6",70
124=,124, 26.2320, 0.1213,"Pentanoic acid, 3-methyl-",  8285,"000105-43-1",47
125=,125, 26.2961, 0.0482,"Pentanoic acid, 3-methyl-",  8277,"000105-43-1",47
126=,126, 26.4208, 0.7080,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene", 41664,"1000357-25-8",97
127=,127, 26.6108, 0.0487,"Butanoic acid, 3-methyl-",  4361,"000503-74-2",47
128=,128, 27.0475, 0.5429,"Oxime-, methoxy-phenyl-_", 25568,"1000222-86-6",78
129=,129, 27.2107, 0.1318,"Methyl salicylate", 26606,"000119-36-8",70
130=,130, 27.6258, 0.0355,"1,3,5-Hexatriene, 2-methyl-",  2649,"019264-50-7",30
131=,131, 27.8132, 0.0269,"Bicyclo[3.1.1]hept-2-ene-2-methanol, 6,6-dimethyl-", 26089,"000515-00-4",50
132=,132, 28.0710, 0.0322,"5-Amino-3-(2-thienyl)pyrazole", 35854,"096799-03-0",38
133=,133, 28.2467, 0.0187,"(E,E,E)-2,4,6-Octatriene",  5541,"015192-80-0",30
134=,134, 28.4144, 0.1056,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
135=,135, 29.2381, 0.0220,"Benzenemethanol, .alpha.,.alpha.,4-trimethyl-", 24553,"001197-01-9",60
136=,136, 29.2744, 0.0194,"Hydrazine, 1,2-bis(1-methylpropyl)-", 21633,"003711-38-4",38
137=,137, 29.9237, 0.1501,"Benzyl alcohol",  5466,"000100-51-6",93
138=,138, 30.0376, 0.0345,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",49
139=,139, 30.0995, 0.0268,"Pentasiloxane, dodecamethyl-",229154,"000141-63-9",59
140=,140, 30.8367, 0.0227,"Phenylethyl Alcohol", 10108,"000060-12-8",52
141=,141, 31.0642, 0.0152,"Benzamide, N-[6-(2-furyl)-2-oxo-2H-pyran-3-yl]-",140835,"187749-77-5",50
142=,142, 31.1322, 0.0632,"Benzyl nitrile",  8743,"000140-29-4",93
143=,143, 31.2387, 0.0230,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",123063,"014035-34-8",93
144=,144, 31.9453, 0.0013,"Benzaldehyde, 2-nitro-, diaminomethylidenhydrazone", 71767,"102632-31-5",35
145=,145, 33.0264, 0.0265,"p-Mentha-1(7),8(10)-dien-9-ol", 25921,"029548-13-8",46
146=,146, 33.1388, 0.0285,"Phenol",  2619,"000108-95-2",64
147=,147, 35.0013, 0.0858,"p-Cresol",  5464,"000106-44-5",95
148=,148, 36.9805, 0.0149,"Phenol, 2-methoxy-3-(2-propenyl)-", 34690,"001941-12-4",89
[INT TIC: JTB-E02-199-14.D\data.ms]
Time=,Thu Aug 08 10:12:23 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.275,   15,  23,  47,"BV  ", 554775, 17491893,  1.65,  0.264
2=,  2,  2.491,   47,  50,  54,"VV  ",  45114,  1204280,  0.11,  0.018
3=,  3,  2.559,   54,  58,  61,"VV  ", 184849,  3886229,  0.37,  0.059
4=,  4,  2.611,   61,  64,  81,"VV  ", 323358, 10435394,  0.99,  0.158
5=,  5,  2.786,   81,  86, 110,"VV  ",2696226, 81457098,  7.70,  1.232
6=,  6,  3.007,  110, 113, 117,"VV 2", 257530,  6152289,  0.58,  0.093
7=,  7,  3.110,  117, 126, 133,"VV 2",4197451,124708302, 11.79,  1.886
8=,  8,  3.196,  133, 137, 146,"VV  ",1913789, 66854590,  6.32,  1.011
9=,  9,  3.313,  146, 151, 187,"VV  ",7079527,268414988, 25.37,  4.058
10=, 10,  3.685,  187, 197, 209,"VV  ",17453789,553774354, 52.34,  8.373
11=, 11,  3.821,  209, 213, 224,"VV  ",4494084,189568100, 17.92,  2.866
12=, 12,  3.971,  224, 232, 234,"VV 2",3716868,112096420, 10.59,  1.695
13=, 13,  4.019,  234, 238, 253,"VV  ",7513154,243262800, 22.99,  3.678
14=, 14,  4.163,  253, 256, 260,"VV 4", 858958, 27594775,  2.61,  0.417
15=, 15,  4.243,  260, 265, 279,"VV  ",14037429,445266557, 42.08,  6.732
