"Path","File","Date Acquired","Sample","Misc"
"D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BACandBLUE_SUBSET_FFvsPA_10BB_PROvsREP\","JTB-E02-199-15.D","27 Feb 2019  15:25    ","REP02  BAC-02"," "
"PBM Apex"
"Thu Aug 08 10:19:34 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.2879, 0.3026,"Carbon dioxide",    81,"000124-38-9", 4
  2,  2.4199, 0.0432,"1-Propanamine, N,2-dimethyl-",  1957,"000625-43-4",59
  3,  2.5042, 0.0228,"1-Propanamine, N,2-dimethyl-",  1957,"000625-43-4",59
  4,  2.5712, 0.0833,"Methanethiol",   113,"000074-93-1",58
  5,  2.6249, 0.1518,"2-Propanamine, 1-methoxy-",  2234,"037143-54-7",45
  6,  2.7994, 1.3435,"Dimethyl sulfide",   339,"000075-18-3",91
  7,  3.0190, 0.0883,"Ethanethiol",   334,"000075-08-1",38
  8,  3.1223, 1.7931,"Acetone",   216,"000067-64-1",72
  9,  3.2074, 0.9682,"Acetic acid, methyl ester",   829,"000079-20-9",50
 10,  3.3241, 2.6393,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
 11,  3.4820, 0.4433,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",86
 12,  3.6940, 8.6843,"CH3C(O)CH2CH2OH",  2044,"000590-90-9",59
 13,  3.8299, 2.6504,"2-Hexanone, 3-methyl-",  7656,"002550-21-2",45
 14,  3.9796, 1.5520,"Butanal, 2-methyl-",  1768,"000096-17-3",81
 15,  4.0279, 2.9260,"Butanal, 3-methyl-",  1762,"000590-86-3",91
 16,  4.1840, 0.3458,"Ethyl Acetate",  2040,"000141-78-6",38
 17,  4.2506, 6.5323,"Ethanol",    95,"000064-17-5",78
 18,  4.3773, 0.9878,"Trifluoroacetic acid",  7175,"000076-05-1",35
 19,  4.5630, 0.2342,"Propanamide, 2-hydroxy-",  2198,"002043-43-8",52
 20,  4.6568, 0.7458,"Oxirane, 3-hydroxypropyl-",  4366,"021915-56-0",64
 21,  4.8213, 0.5116,"Acetamide, N-(aminoiminomethyl)-",  4080,"005699-40-1",42
 22,  4.9829, 0.6694,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",91
 23,  5.0553, 0.5634,"Carbonic acid, dimethyl ester",  2294,"000616-38-6",58
 24,  5.1839, 0.2615,"1H-Pyrazole, 3-ethyl-4,5-dihydro-",  3105,"005920-29-6",35
 25,  5.2242, 0.4271,"Thiophene, 2-propyl-", 11453,"001551-27-5",50
 26,  5.3562, 0.1590,"Acetylacetone",  3722,"000123-54-6",11
 27,  5.4133, 0.2094,"Butanoic acid, 2-ethyl-, 1,2,3-propanetriyl ester",230912,"056554-54-2",27
 28,  5.4713, 0.1885,"Isobutyl acetate",  8231,"000110-19-0",22
 29,  5.5908, 0.6552,"Methyl isovalerate",  8237,"000556-24-1",81
 30,  5.7132, 0.2616,"Carbonic acid, ethyl-, methyl ester",  4787,"000623-53-0",47
 31,  5.8519, 0.1350,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",50
 32,  5.9346, 0.0708,"Pentasiloxane, dodecamethyl-",229154,"000141-63-9",38
 33,  6.0006, 0.6085,"Toluene",  2481,"000108-88-3",60
 34,  6.1620, 0.3610,"2-Pentanol",  2117,"006032-29-7",27
 35,  6.2784, 0.1699,"Butanoic acid, 2-methyl-, ethyl ester", 13847,"007452-79-1",41
 36,  6.3557, 0.2096,"Oxirane, 2,3-dimethyl-, trans-",   713,"021490-63-1",27
 37,  6.4707, 0.1205,"3H-pyrazol-3-one, 2,4-dihydro-5-(3-nitrophenyl)-2-phenyl-",140733,"1000401-91-2",25
 38,  6.5983, 0.5059,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",91
 39,  6.6880, 4.5148,"Disulfide, dimethyl",  2561,"000624-92-0",96
 40,  6.9947, 0.1287,"(S)-(-)-1,2,4-Butanetriol, 4-trifluoroacetate", 66983,"1000374-86-8",23
 41,  7.0753, 0.2884,"Disulfide, dimethyl",  2561,"000624-92-0",46
 42,  7.1791, 0.1578,"2-Butenal, 2-methyl-",  1436,"001115-11-3",38
 43,  7.2629, 1.1036,"1-Propanol, 2-methyl-",   864,"000078-83-1",86
 44,  7.5664, 3.0394,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-", 27740,"007392-19-0",53
 45,  7.8199, 0.1040,"Piperazine, 1,4-dimethyl-",  7495,"000106-58-1",30
 46,  7.8977, 0.1289,"1-Butanol, 3-methyl-, acetate", 13786,"000123-92-2",72
 47,  7.9628, 0.2393,"Butanenitrile, 3-methyl-",  1311,"000625-28-5",37
 48,  8.1666, 0.0719,"Cyclopropane, 1,1,2,3-tetramethyl-",  3460,"074752-93-5",46
 49,  8.3299, 0.0475,"o-Xylene",  5160,"000095-47-6",60
 50,  8.5745, 0.2658,"1-Butanol",   840,"000071-36-3",80
 51,  8.8079, 0.1663,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
 52,  8.8829, 0.0559,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",47
 53,  8.9779, 0.1313,"1,1,3,3,5,5,7,7,9,9-Decamethyl-9-(2-methylpropoxy)pentasiloxan-1-ol",254933,"1000364-61-3",32
 54,  9.1319, 0.1333,"2-Butenoic acid, 3-methyl-, methyl ester",  7448,"000924-50-5",70
 55,  9.2569, 0.0749,"Cyclopentasiloxane, decamethyl-",220036,"000541-02-6",50
 56,  9.4486, 0.2308,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-", 27825,"000470-67-7",86
 57,  9.5401, 0.0878,"Benzene, 1,3-dimethyl-",  5186,"000108-38-3",47
