[contents]
count=2
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-204-13.D
1=,INT TIC: JTB-E02-204-13.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-204-13.D\data.ms]
Time=,Thu Mar 28 12:06:56 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.284,   19,  24,  40,"PV  ",1592106, 33208696,  2.79,  0.522
2=,  2,  2.424,   40,  41,  48,"VV 7", 103232,  3709253,  0.31,  0.058
3=,  3,  2.494,   48,  50,  55,"VV 2",  75419,  2300614,  0.19,  0.036
4=,  4,  2.569,   55,  59,  62,"VV  ", 270881,  5343094,  0.45,  0.084
5=,  5,  2.619,   62,  65,  83,"VV  ",1355622, 32359097,  2.72,  0.508
6=,  6,  2.794,   83,  87, 106,"VV  ",1325203, 35421116,  2.98,  0.556
7=,  7,  2.973,  106, 109, 119,"VV 2", 130276,  5854574,  0.49,  0.092
8=,  8,  3.115,  119, 127, 134,"VV 2",7110242,197016384, 16.56,  3.095
9=,  9,  3.202,  134, 137, 146,"VV  ",2187722, 70955497,  5.97,  1.115
10=, 10,  3.320,  146, 152, 181,"VV  ",8016157,290770114, 24.45,  4.567
11=, 11,  3.584,  181, 184, 192,"VV  ", 809712, 29389986,  2.47,  0.462
12=, 12,  3.689,  192, 197, 210,"VV  ",16471020,443136292, 37.26,  6.960
13=, 13,  3.825,  210, 214, 225,"VV  ",4385612,161732178, 13.60,  2.540
14=, 14,  3.976,  225, 232, 235,"VV  ",7918822,171088104, 14.38,  2.687
15=, 15,  4.024,  235, 238, 260,"VV  ",34076140,878482416, 73.86, 13.798
16=, 16,  4.246,  260, 266, 311,"VV  ",17571799,642983801, 54.06, 10.099
17=, 17,  4.652,  311, 316, 332,"VV  ", 860620, 48008555,  4.04,  0.754
18=, 18,  4.817,  332, 336, 339,"VV  ", 512217, 15403563,  1.30,  0.242
19=, 19,  4.858,  339, 341, 349,"VV 4", 444551, 17177679,  1.44,  0.270
20=, 20,  4.979,  349, 356, 363,"VV  ",2865735, 91741594,  7.71,  1.441
21=, 21,  5.049,  363, 365, 376,"VV  ", 949129, 43022810,  3.62,  0.676
22=, 22,  5.177,  376, 380, 383,"VV 4", 597219, 18124953,  1.52,  0.285
23=, 23,  5.220,  383, 386, 397,"VV 3", 546196, 27822628,  2.34,  0.437
24=, 24,  5.351,  397, 402, 406,"VV 3", 359323, 12987010,  1.09,  0.204
25=, 25,  5.407,  406, 409, 413,"VV 5", 316626, 10658068,  0.90,  0.167
26=, 26,  5.465,  413, 416, 422,"VV 5", 289485, 10687509,  0.90,  0.168
27=, 27,  5.590,  422, 431, 441,"VV 3", 602736, 31402372,  2.64,  0.493
28=, 28,  5.706,  441, 446, 458,"VV 2", 343546, 18666744,  1.57,  0.293
29=, 29,  6.001,  475, 482, 496,"VV 2", 381123, 20735458,  1.74,  0.326
30=, 30,  6.159,  496, 501, 512,"VV  ", 502334, 20086109,  1.69,  0.315
31=, 31,  6.270,  512, 515, 521,"VV 7", 175755,  7240139,  0.61,  0.114
32=, 32,  6.351,  521, 525, 534,"VV 8", 161771,  9112383,  0.77,  0.143
33=, 33,  6.594,  548, 555, 560,"VV 2", 368250, 13736315,  1.15,  0.216
34=, 34,  6.683,  560, 566, 584,"VV  ",2001193, 63324162,  5.32,  0.995
35=, 35,  6.876,  584, 590, 599,"VV 4", 208544,  9349276,  0.79,  0.147
36=, 36,  6.992,  599, 604, 609,"VV  ", 156412,  5444880,  0.46,  0.086
37=, 37,  7.177,  621, 627, 630,"VV 2", 207148,  5645750,  0.47,  0.089
38=, 38,  7.249,  630, 635, 646,"VV  ",2473712, 62935188,  5.29,  0.989
39=, 39,  7.570,  667, 675, 692,"VV  ",1025495, 36335247,  3.05,  0.571
40=, 40,  7.820,  697, 706, 711,"VV 8",  87064,  4150652,  0.35,  0.065
41=, 41,  7.960,  711, 723, 739,"VV  ", 370313, 14666699,  1.23,  0.230
42=, 42,  8.168,  743, 749, 764,"VV 3",  73978,  3634912,  0.31,  0.057
43=, 43,  8.565,  791, 797, 814,"VV  ", 434359, 13261533,  1.11,  0.208
44=, 44,  8.809,  821, 827, 842,"VV  ", 482609, 19915848,  1.67,  0.313
45=, 45,  8.964,  842, 847, 860,"VV 2", 151490,  8874470,  0.75,  0.139
46=, 46,  9.132,  860, 867, 880,"VV 5", 118808,  6664804,  0.56,  0.105
47=, 47,  9.447,  899, 906, 913,"VV 3", 106205,  4239125,  0.36,  0.067
48=, 48,  9.545,  913, 918, 922,"VV 6",  69771,  2210114,  0.19,  0.035
49=, 49,  9.971,  964, 971, 978,"VV 7",  83369,  2931303,  0.25,  0.046
50=, 50, 10.044,  978, 979, 983,"VV 3",  35847,   591604,  0.05,  0.009
51=, 51, 10.350, 1001,1017,1055,"PV 2",12739613,414716872, 34.87,  6.514
52=, 52, 10.678, 1055,1058,1060,"VV 3",  18257,   333948,  0.03,  0.005
53=, 53, 10.711, 1060,1062,1067,"VV 5",  14501,   231108,  0.02,  0.004
54=, 54, 11.357, 1133,1141,1155,"PV 2", 632408, 21506761,  1.81,  0.338
55=, 55, 11.517, 1155,1161,1171,"VV  ", 151924,  6553403,  0.55,  0.103
56=, 56, 11.638, 1171,1176,1184,"VV 2", 129148,  4402026,  0.37,  0.069
57=, 57, 11.876, 1198,1205,1212,"VV 7",  39973,  1436529,  0.12,  0.023
58=, 58, 12.025, 1218,1223,1230,"PV  ",  42015,   965934,  0.08,  0.015
59=, 59, 12.148, 1230,1239,1245,"VV  ",  91318,  2632785,  0.22,  0.041
60=, 60, 12.445, 1266,1275,1286,"BV  ",  80651,  2670962,  0.22,  0.042
61=, 61, 12.581, 1286,1292,1308,"VV 2",  42924,  1359732,  0.11,  0.021
62=, 62, 13.849, 1433,1448,1459,"PV 5", 221884, 12836199,  1.08,  0.202
63=, 63, 14.001, 1459,1467,1483,"VV  ", 132662,  5780345,  0.49,  0.091
64=, 64, 14.243, 1489,1496,1516,"VV 6", 162305,  9703922,  0.82,  0.152
65=, 65, 14.851, 1550,1571,1602,"PV  ",4282469,134757381, 11.33,  2.117
66=, 66, 15.156, 1602,1609,1622,"VV 7",  63601,  3185892,  0.27,  0.050
67=, 67, 15.522, 1640,1654,1675,"PV 9",  77479,  3955721,  0.33,  0.062
68=, 68, 15.808, 1680,1689,1705,"PV  ", 263024,  8769265,  0.74,  0.138
69=, 69, 16.042, 1705,1718,1728,"VV 7",  51401,  3214411,  0.27,  0.050
70=, 70, 16.393, 1754,1761,1767,"VV 2",  48779,  1817288,  0.15,  0.029
71=, 71, 16.501, 1767,1774,1801,"VV  ", 878969, 27889975,  2.34,  0.438
72=, 72, 17.626, 1903,1913,1918,"PV 3", 468062, 15099949,  1.27,  0.237
73=, 73, 17.685, 1918,1920,1932,"VV  ", 244664,  8345256,  0.70,  0.131
74=, 74, 17.853, 1932,1941,1952,"VV 4",  99618,  5132012,  0.43,  0.081
75=, 75, 18.114, 1959,1973,2009,"VV  ",1717666, 67353416,  5.66,  1.058
76=, 76, 18.501, 2009,2021,2033,"VV 6", 149187,  6154444,  0.52,  0.097
77=, 77, 18.954, 2054,2076,2081,"PV 4", 176733, 13493068,  1.13,  0.212
78=, 78, 19.003, 2081,2082,2089,"VV 7", 173195,  6599136,  0.55,  0.104
