"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\","JTB-E02-208-22.D","14 Mar 2019  10:43    ","CTRL01   E-2"," "
"PBM Apex"
"Thu May 09 15:57:25 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.3920, 2.6369,"Carbon dioxide",    81,"000124-38-9", 4
  2,  2.6884, 0.1265,"2-Pentanamine",  1930,"063493-28-7",50
  3,  2.7527, 0.3399,"1-Butanamine, N-methyl-",  1937,"000110-68-9",72
  4,  2.9315, 0.0708,"sec-Butylamine",   763,"013952-84-6", 7
  5,  2.9766, 0.2599,"sec-Butylamine",   763,"013952-84-6",47
  6,  3.1600, 0.0686,"dl-3-Aminoisobutyric acid, N-methyl-, methyl ester", 14233,"1000332-87-9",50
  7,  3.2180, 0.0515,"2-Hexanamine, 4-methyl-",  8032,"000105-41-9",40
  8,  3.2763, 2.7024,"Acetone",   216,"000067-64-1",80
  9,  3.3621, 9.0082,"Acetic acid, methyl ester",   828,"000079-20-9",78
 10,  3.4701, 6.2767,"Arsenous acid, tris(trimethylsilyl) ester",199618,"055429-29-3",72
 11,  3.8168, 0.2796,"O-Methylisourea",   782,"002440-60-0",22
 12,  3.8692, 6.2944,"Ethyl Acetate",  2041,"000141-78-6",83
 13,  3.9877,13.7819,"Isopropyl acetate",  4325,"000108-21-4",83
 14,  4.3814, 2.4661,"Isopropyl Alcohol",   295,"000067-63-0",78
 15,  4.4681, 1.0147,"Propanamide, 2-hydroxy-",  2200,"002043-43-8",39
 16,  4.7153, 0.1231,"1-Propanamine, N,2-dimethyl-",  1956,"000625-43-4",38
 17,  4.7742, 0.1461,"Propanoic acid, ethyl ester",  4378,"000105-37-3",38
 18,  4.8388, 0.2039,"Propanoic acid, 1-methylethyl ester",  8352,"000637-78-5",47
 19,  5.0384, 0.0900,"n-Propyl acetate",  4319,"000109-60-4",43
 20,  5.0840, 0.0286,"Butanal, 3-methyl-",  1766,"000590-86-3",32
 21,  5.1669, 0.4814,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",90
 22,  5.2216,12.5750,"Butanoic acid, methyl ester",  4382,"000623-42-7",91
 23,  5.4244, 1.0954,"Butanoic acid, methyl ester",  4380,"000623-42-7",72
 24,  5.6004, 0.2449,"Butanoic acid, methyl ester",  4380,"000623-42-7",52
 25,  5.6566, 1.0726,"Butanoic acid, 2-methyl-, methyl ester",  8371,"000868-57-5",94
 26,  5.7148, 0.4868,"Butanoic acid, methyl ester",  4380,"000623-42-7",43
 27,  5.8337, 1.2560,"Methyl isovalerate",  8239,"000556-24-1",90
 28,  5.9800, 0.2236,"Butanoic acid, 3-hydroxy-, methyl ester, (S)-",  8903,"053562-86-0",47
 29,  6.1918, 3.7698,"Butanoic acid, ethyl ester",  8294,"000105-54-4",95
 30,  6.2821, 6.8264,"Isopropyl butyrate", 13727,"000638-11-9",83
 31,  6.5450, 0.7627,"Butanoic acid, 2-methyl-, ethyl ester", 13847,"007452-79-1",64
 32,  6.8769, 0.4450,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",74
 33,  6.9850, 0.9383,"Butanoic acid, 3-methyl-, 1-methylethyl ester", 21590,"032665-23-9",78
 34,  7.2781, 0.0771,"5-Methylamino-1,3,4-thiadiazole-2-one", 14098,"1000288-74-0",43
 35,  7.5696, 0.0294,"2-Oxoacetic acid, ethyl ester, oxime",  8617,"1000196-27-4",35
 36,  7.6178, 0.0214,"Guanidine, N,N,N',N'-tetramethyl-",  7866,"000080-70-6",47
 37,  7.7307, 0.0230,"Butanoic acid, ethyl ester",  8296,"000105-54-4",41
 38,  7.7881, 0.0850,"2-Butenoic acid, methyl ester, (E)-",  3809,"000623-43-8",53
 39,  7.9402, 0.0524,"Hexanamide",  7931,"000628-02-4",50
 40,  8.1995, 0.8075,"1-Butanol, 3-methyl-, acetate", 13786,"000123-92-2",86
 41,  8.4229, 0.0423,"1-Butanol, 2,2-dimethyl-",  4543,"001185-33-7",43
 42,  8.5417, 0.0423,"Ethanedial, dioxime",  1967,"000557-30-2",38
 43,  8.7817, 0.0758,"Pentanoic acid, 4-methyl-, methyl ester", 13856,"002412-80-8",81
