[contents]
count=2
Name=,C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\JTB-E02-208-23.D
1=,INT TIC: JTB-E02-208-23.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-208-23.D\data.ms]
Time=,Thu May 09 15:57:39 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.419,   36,  41,  67,"PV  ",7305755,162444401,  4.60,  0.373
2=,  2,  2.648,   67,  69,  74,"VV  ", 276096,  8096927,  0.23,  0.019
3=,  3,  2.717,   74,  78,  81,"VV 2", 249124,  7935792,  0.22,  0.018
4=,  4,  2.774,   81,  85, 103,"VV  ",2429092, 53671524,  1.52,  0.123
5=,  5,  2.958,  103, 107, 127,"VV  ", 665241, 16282938,  0.46,  0.037
6=,  6,  3.300,  137, 149, 156,"BV  ",29590977,757627769, 21.47,  1.739
7=,  7,  3.386,  156, 160, 217,"VV 3",47774409,2854550239, 80.90,  6.552
8=,  8,  3.895,  217, 223, 233,"VV 2",78468765,2722296529, 77.15,  6.249
9=,  9,  4.012,  233, 237, 246,"VV 2",52030496,1579249008, 44.76,  3.625
10=, 10,  4.105,  246, 248, 272,"VV  ",15247962,946662739, 26.83,  2.173
11=, 11,  4.314,  272, 274, 281,"VV 2",4450389,170609646,  4.84,  0.392
12=, 12,  4.401,  281, 285, 291,"VV  ",6667881,208734065,  5.92,  0.479
13=, 13,  4.490,  291, 296, 328,"VV  ",17633341,724280611, 20.53,  1.663
14=, 14,  4.795,  328, 333, 338,"VV  ",7435646,174938065,  4.96,  0.402
15=, 15,  4.860,  338, 341, 346,"VV  ",4660084,119427535,  3.38,  0.274
16=, 16,  4.926,  346, 350, 361,"VV  ",2635821,118556861,  3.36,  0.272
17=, 17,  5.059,  361, 366, 368,"VV  ",4474330, 96911684,  2.75,  0.222
18=, 18,  5.107,  368, 372, 378,"VV  ",8714432,214338411,  6.07,  0.492
19=, 19,  5.179,  378, 381, 383,"VV  ",2486260, 55881267,  1.58,  0.128
20=, 20,  5.246,  383, 389, 432,"VV 3",82657140,3528492063,100.00,  8.099
21=, 21,  5.621,  432, 435, 437,"VV  ",3755829, 85069287,  2.41,  0.195
22=, 22,  5.679,  437, 442, 445,"VV  ",32895517,743903682, 21.08,  1.708
23=, 23,  5.745,  445, 450, 460,"VV 4",82453132,2716679858, 76.99,  6.236
24=, 24,  5.853,  460, 464, 501,"VV  ",23646270,1062112113, 30.10,  2.438
25=, 25,  6.221,  501, 509, 514,"VV 2",101778529,2825493356, 80.08,  6.486
26=, 26,  6.309,  514, 520, 545,"VV 3",87373420,3148887140, 89.24,  7.228
27=, 27,  6.564,  545, 551, 585,"VV  ",24203061,943018397, 26.73,  2.165
28=, 28,  6.893,  585, 592, 597,"VV  ",20024404,459393037, 13.02,  1.054
29=, 29,  6.983,  597, 603, 613,"VV 2",23165181,768486202, 21.78,  1.764
30=, 30,  7.083,  613, 615, 620,"VV 4",2618954, 75182105,  2.13,  0.173
31=, 31,  7.161,  620, 625, 636,"VV  ",4415459,203790771,  5.78,  0.468
32=, 32,  7.294,  636, 641, 650,"VV 2",2183180,111336433,  3.16,  0.256
33=, 33,  7.410,  650, 655, 670,"VV  ",1826185,124415998,  3.53,  0.286
34=, 34,  7.581,  670, 676, 689,"VV  ",6835029,203501411,  5.77,  0.467
35=, 35,  7.803,  694, 704, 716,"VV  ",2787889,132867198,  3.77,  0.305
36=, 36,  7.941,  716, 721, 743,"VV 7", 822452, 57585669,  1.63,  0.132
37=, 37,  8.221,  743, 755, 769,"VV 4",44204717,1702264955, 48.24,  3.907
38=, 38,  8.374,  769, 774, 778,"VV 2",1451197, 57494894,  1.63,  0.132
39=, 39,  8.440,  778, 782, 792,"VV 2",1516243, 71272887,  2.02,  0.164
40=, 40,  8.562,  792, 797, 807,"VV 5", 994032, 51508865,  1.46,  0.118
41=, 41,  8.682,  807, 812, 814,"VV 2", 629791, 18324824,  0.52,  0.042
42=, 42,  8.721,  814, 817, 821,"VV  ", 666514, 18975319,  0.54,  0.044
43=, 43,  8.794,  821, 826, 834,"VV  ",1109343, 35745357,  1.01,  0.082
44=, 44,  8.930,  834, 842, 851,"VV  ",1799535, 53571389,  1.52,  0.123
45=, 45,  9.045,  851, 857, 861,"VV  ",1015275, 29640572,  0.84,  0.068
46=, 46,  9.117,  861, 865, 872,"VV 3", 666819, 21924045,  0.62,  0.050
47=, 47,  9.239,  872, 880, 889,"VV 2",37971368,1023292960, 29.00,  2.349
48=, 48,  9.348,  889, 894, 913,"VV 2",6555212,254282981,  7.21,  0.584
49=, 49,  9.554,  913, 919, 925,"VV 3",2254717, 72343382,  2.05,  0.166
50=, 50,  9.636,  925, 929, 935,"VV  ",1638026, 49494499,  1.40,  0.114
51=, 51,  9.730,  935, 941, 950,"VV  ",5009357,144629888,  4.10,  0.332
52=, 52,  9.838,  950, 954, 956,"VV 4", 416986, 10563657,  0.30,  0.024
53=, 53,  9.898,  956, 962, 969,"VV  ",1451770, 46906895,  1.33,  0.108
54=, 54, 10.041,  969, 979, 985,"VV 2",68747683,1934234917, 54.82,  4.440
55=, 55, 10.157,  985, 993,1002,"VV 5",10660132,517823270, 14.68,  1.189
56=, 56, 10.261, 1002,1006,1053,"VV 6",2683151,331254567,  9.39,  0.760
57=, 57, 10.738, 1053,1065,1072,"VV 2",7472833,288263857,  8.17,  0.662
58=, 58, 10.839, 1072,1077,1087,"VV  ",1355145, 65305309,  1.85,  0.150
59=, 59, 10.978, 1087,1094,1101,"VV  ",7337470,197437037,  5.60,  0.453
60=, 60, 11.052, 1101,1104,1111,"VV 2", 389363, 14420214,  0.41,  0.033
61=, 61, 11.142, 1111,1115,1130,"VV 6", 282948, 16007198,  0.45,  0.037
62=, 62, 11.324, 1130,1137,1141,"VV 2", 710931, 20272281,  0.57,  0.047
63=, 63, 11.452, 1141,1153,1196,"VV 3",76581217,3062578158, 86.80,  7.030
64=, 64, 11.848, 1196,1202,1205,"VV 5",1710220, 57605647,  1.63,  0.132
65=, 65, 11.920, 1205,1210,1221,"VV 2",2745081,111213992,  3.15,  0.255
66=, 66, 12.101, 1221,1233,1259,"VV  ",7140894,277559388,  7.87,  0.637
67=, 67, 12.369, 1259,1266,1268,"VV  ",1048945, 31213955,  0.88,  0.072
68=, 68, 12.442, 1268,1275,1292,"VV  ",11929727,361647404, 10.25,  0.830
69=, 69, 12.660, 1292,1302,1318,"VV 2",57660915,1807757851, 51.23,  4.150
70=, 70, 12.816, 1318,1321,1339,"VV 3",2043113,136517606,  3.87,  0.313
71=, 71, 13.017, 1339,1345,1357,"VV  ",5592273,176908128,  5.01,  0.406
72=, 72, 13.189, 1357,1367,1382,"VV 4",1748391, 80903167,  2.29,  0.186
73=, 73, 13.367, 1382,1389,1411,"VV 2", 917016, 41801301,  1.18,  0.096
74=, 74, 13.766, 1433,1438,1448,"VV 4",  98593,  3250285,  0.09,  0.007
75=, 75, 14.040, 1457,1471,1477,"PV  ",2154229, 57299899,  1.62,  0.132
76=, 76, 14.115, 1477,1481,1488,"VV 2", 494512, 14657727,  0.42,  0.034
77=, 77, 14.232, 1488,1495,1503,"VV 2", 650559, 20502293,  0.58,  0.047
78=, 78, 14.332, 1503,1507,1519,"VV  ", 177903,  5896284,  0.17,  0.014
79=, 79, 14.505, 1519,1529,1531,"VV 3", 157254,  4422208,  0.13,  0.010
80=, 80, 14.575, 1531,1537,1546,"VV  ",1008711, 29841504,  0.85,  0.068
81=, 81, 14.673, 1546,1549,1554,"VV 3", 111346,  3052824,  0.09,  0.007
82=, 82, 14.762, 1554,1560,1576,"VV 2", 505929, 18788608,  0.53,  0.043
83=, 83, 14.940, 1576,1582,1588,"VV  ", 725802, 19691042,  0.56,  0.045
84=, 84, 15.024, 1588,1593,1602,"VV 2", 321569, 10305940,  0.29,  0.024
85=, 85, 15.195, 1602,1614,1618,"VV  ",3266431, 92233930,  2.61,  0.212
86=, 86, 15.282, 1618,1624,1649,"VV  ",15214910,443260183, 12.56,  1.017
87=, 87, 15.782, 1675,1686,1690,"VV 7",  63108,  2378714,  0.07,  0.005
88=, 88, 15.852, 1690,1695,1702,"VV 2",  96426,  2934692,  0.08,  0.007
89=, 89, 16.054, 1709,1719,1727,"VV  ", 228794,  6652342,  0.19,  0.015
90=, 90, 16.185, 1730,1735,1737,"PV 4",  26492,   360175,  0.01,  0.001
91=, 91, 16.246, 1737,1743,1749,"VV  ", 495340, 13103485,  0.37,  0.030
92=, 92, 16.353, 1749,1756,1764,"VV 4", 821043, 27787897,  0.79,  0.064
93=, 93, 16.447, 1764,1768,1779,"VV 6", 110420,  4491925,  0.13,  0.010
94=, 94, 16.682, 1791,1797,1803,"VV 2", 183921,  6115536,  0.17,  0.014
95=, 95, 16.766, 1803,1807,1812,"VV 2", 106951,  4107345,  0.12,  0.009
96=, 96, 16.824, 1812,1814,1818,"VV 4",  83787,  2021152,  0.06,  0.005
97=, 97, 16.867, 1818,1819,1824,"VV 4",  73608,  1820769,  0.05,  0.004
98=, 98, 16.939, 1824,1828,1842,"VV 5",  85125,  3090820,  0.09,  0.007
99=, 99, 17.107, 1842,1849,1852,"VV  ", 607096, 16142446,  0.46,  0.037
100=,100, 17.191, 1852,1859,1895,"VV  ",8539736,267389278,  7.58,  0.614
101=,101, 17.551, 1895,1904,1912,"VV 2", 338811, 11538821,  0.33,  0.026
102=,102, 17.679, 1912,1919,1927,"VV 9", 130556,  5201108,  0.15,  0.012
103=,103, 17.786, 1927,1933,1948,"VV 2", 306585, 11329874,  0.32,  0.026
104=,104, 18.103, 1962,1972,1988,"PV 2", 963108, 31170091,  0.88,  0.072
105=,105, 18.539, 2015,2025,2030,"VV  ", 894030, 28301079,  0.80,  0.065
106=,106, 18.595, 2030,2032,2044,"VV 5", 456825, 22808231,  0.65,  0.052
107=,107, 18.703, 2044,2046,2071,"VV 4", 267228, 17914449,  0.51,  0.041
108=,108, 19.046, 2079,2088,2106,"VV  ",3322751,101357993,  2.87,  0.233
109=,109, 19.223, 2106,2110,2117,"VV 4",  83799,  2972127,  0.08,  0.007
110=,110, 19.581, 2145,2154,2168,"VV 5",  83718,  4581901,  0.13,  0.011
111=,111, 19.737, 2168,2173,2176,"VV 7",  34606,  1180381,  0.03,  0.003
