"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\","JTB-E02-208-24.D","14 Mar 2019  12:40    ","CTRL02   E-2"," "
"PBM Apex"
"Thu May 09 15:59:45 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.4140, 1.2207,"Ethyne, fluoro-",    76,"002713-09-9", 3
  2,  2.7124, 0.0492,"Ethylene oxide",    75,"000075-21-8", 4
  3,  2.7682, 0.6132,"Acetaldehyde",    71,"000075-07-0",64
  4,  2.9529, 0.2431,"Ethanethiol",   333,"000075-08-1",43
  5,  3.1825, 0.0508,"sec-Butylamine",   761,"013952-84-6", 9
  6,  3.2949, 0.9567,"Acetone",   216,"000067-64-1",72
  7,  3.3811, 5.4613,"Acetic acid, methyl ester",   828,"000079-20-9", 9
  8,  3.8998,14.2688,"N-Hydroxymethylacetamide",  2201,"000625-51-4",40
  9,  4.0085,12.8806,"Ethyl Acetate",  2038,"000141-78-6",47
 10,  4.3967, 1.0382,"Ethyl Acetate",  2040,"000141-78-6",47
 11,  4.4916, 5.4322,"Formic acid",   101,"000064-18-6",38
 12,  4.7915, 0.8252,"Propanoic acid, ethyl ester",  4381,"000105-37-3",58
 13,  4.8536, 0.3112,"Ethyl Acetate",  2038,"000141-78-6",52
 14,  4.9254, 1.1006,"Propanoic acid, 2-methyl-, ethyl ester",  8367,"000097-62-1",81
 15,  5.0544, 0.8544,"n-Propyl acetate",  4321,"000109-60-4",78
 16,  5.0993, 0.3820,"Ethyl Acetate",  2040,"000141-78-6",47
 17,  5.1768, 0.2968,"Ethyl Acetate",  2042,"000141-78-6",10
 18,  5.2373, 2.7348,"Butanoic acid, methyl ester",  4375,"000623-42-7",86
 19,  5.6188, 0.1698,"1,3-Propanediol, diacetate", 32218,"000628-66-0",35
 20,  5.6720, 0.4361,"Butanoic acid, 2-methyl-, methyl ester",  8371,"000868-57-5",95
 21,  5.7296, 1.0912,"Isobutyl acetate",  8230,"000110-19-0",83
 22,  5.8476, 0.5807,"Methyl isovalerate",  8239,"000556-24-1",70
 23,  5.9945, 0.3297,"Ethyl Acetate",  2038,"000141-78-6",43
 24,  6.2170, 8.7818,"Propanoic acid, 2-methyl-, octyl ester", 65063,"000109-15-9",38
 25,  6.2963, 3.3535,"Butanoic acid, butyl ester", 21448,"000109-21-7",53
 26,  6.5655, 5.4981,"Butanoic acid, 2-methyl-, ethyl ester", 13848,"007452-79-1",64
 27,  6.8907, 1.7616,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",90
 28,  6.9759, 1.2436,"Acetic acid, butyl ester",  8271,"000123-86-4",72
 29,  7.0798, 0.5478,"Butanoic acid, ethyl ester",  8294,"000105-54-4",62
 30,  7.2548, 0.1035,"Butanoic acid, ethyl ester",  8300,"000105-54-4",91
 31,  7.3055, 0.2844,"Butanoic acid, ethyl ester",  8300,"000105-54-4",68
 32,  7.4945, 0.1425,"Butanoic acid, ethyl ester",  8300,"000105-54-4",81
 33,  7.5757, 0.2690,"Morpholine, 4-methyl-",  4148,"000109-02-4",38
 34,  7.7998, 0.2836,"Succinic acid, 3-methylbut-2-yl cis-pent-2-en-1-yl ester",117048,"1000391-25-7",38
 35,  7.9534, 0.1830,"Butanoic acid, ethyl ester",  8294,"000105-54-4",64
 36,  8.2155, 2.9702,"1-Butanol, 3-methyl-, acetate", 13786,"000123-92-2",90
 37,  8.3734, 0.1397,"1-Butanol, 3-methyl-, acetate", 13793,"000123-92-2",78
 38,  8.4357, 0.1454,"Propanoic acid, 2-methyl-, 3-methylbutyl ester", 31398,"002050-01-3",50
 39,  8.5567, 0.1071,"Pentanoic acid, ethyl ester", 13776,"000539-82-2",47
 40,  8.6774, 0.1175,"Isovaleric acid, decyl ester",104303,"1000340-25-8",59
 41,  8.7874, 0.0463,"1-(1-Hydroxyethyl),1-(hydroxymethyl)cyclopropane",  8378,"073959-42-9",38
 42,  8.9275, 0.1246,"1-Butanol",   846,"000071-36-3",72
 43,  9.0444, 0.0905,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",94
 44,  9.1149, 0.0601,"Butanoic acid, 3-methyl-, propyl ester", 21546,"000557-00-6",92
 45,  9.2328, 0.1214,"Butanoic acid, 2-methylpropyl ester", 21520,"000539-90-2",83
 46,  9.3450, 1.2119,"2-Butenoic acid, ethyl ester, (E)-",  7414,"000623-70-1",72
 47,  9.4361, 0.1744,"2-Butenoic acid, ethyl ester, (Z)-",  7413,"006776-19-8",53
 48,  9.5511, 0.1288,"5-Nonanol", 21663,"000623-93-8",53
 49,  9.6342, 0.0987,"2-Butenoic acid, ethyl ester, (Z)-",  7413,"006776-19-8",47
 50,  9.7269, 0.1371,"Butanoic acid, 2-methyl-, 2-methylpropyl ester", 31392,"002445-67-2",43
 51,  9.8927, 0.0721,"8-Nonen-2-one", 19124,"005009-32-5",38
 52, 10.0296, 1.4153,"Hexanoic acid, methyl ester", 13784,"000106-70-7",91
 53, 10.1384, 0.3913,"Hexanoic acid, methyl ester", 13772,"000106-70-7",49
 54, 10.2620, 0.3814,"Hexanoic acid, methyl ester", 13772,"000106-70-7",68
 55, 10.7349, 0.4734,"1-Butanol, 3-methyl-",  2139,"000123-51-3",78
 56, 10.8715, 0.0780,"4-Propoxy-2-butanone", 13731,"089975-71-3",50
 57, 10.9738, 0.0881,"Butanoic acid, butyl ester", 21448,"000109-21-7",64
 58, 11.1285, 0.0107,"2-Hexene, 1-methoxy-, (E)-",  7721,"056052-83-6",25
 59, 11.1905, 0.0193,"2-Butenoic acid, 3-methyl-, ethyl ester", 12577,"000638-10-8",49
 60, 11.3217, 0.0363,"Acetic acid, hexyl ester", 21423,"000142-92-7",50
 61, 11.4659, 9.5310,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",83
 62, 11.5353, 2.1832,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",97
 63, 11.8459, 0.3134,"Hexanoic acid, ethyl ester", 21454,"000123-66-0",95
 64, 11.9457, 0.3387,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",97
 65, 12.0411, 0.0969,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",98
 66, 12.0989, 0.5176,"Styrene",  4954,"000100-42-5",94
 67, 12.3657, 0.0302,"Styrene",  4955,"000100-42-5",50
 68, 12.4390, 0.1751,"Butanoic acid, pentyl ester", 31291,"000540-18-1",78
 69, 12.6489, 1.0333,"Acetic acid, hexyl ester", 21425,"000142-92-7",90
 70, 12.8225, 0.2288,"Acetic acid, nonyl ester", 52746,"000143-13-5",43
 71, 13.0149, 0.1872,"2-Nonanol", 21659,"000628-99-9",53
