Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
Timolol,JTB-E02-199-06.D,4.873,9052,JTB-E02-199-07.D,4.881,12525,JTB-E02-199-08.D,4.565,976,JTB-E02-199-11.D,4.817,344992,JTB-E02-199-12.D,4.898,137488,JTB-E02-199-13.D,4.833,345998,JTB-E02-199-14.D,4.817,678126,JTB-E02-199-15.D,4.817,728405,JTB-E02-199-16.D,4.809,537150,JTB-E02-199-17.D,4.817,495725,JTB-E02-200-06.D,4.695,2383,JTB-E02-200-07.D,4.751,780,JTB-E02-200-08.D,4.841,18794,JTB-E02-200-11.D,4.825,350009,JTB-E02-200-12.D,4.817,382713,JTB-E02-200-13.D,4.825,376528,JTB-E02-200-14.D,4.817,2380532,JTB-E02-200-15.D,4.816,1885400,JTB-E02-200-16.D,4.817,1616577,JTB-E02-200-17.D,4.816,1752318,JTB-E02-201-06.D,4.549,605,JTB-E02-201-07.D,4.646,5241,JTB-E02-201-08.D,4.971,1378,JTB-E02-201-11.D,4.825,352869,JTB-E02-201-12.D,4.833,274611,JTB-E02-201-13.D,4.825,416625,JTB-E02-201-14.D,4.816,2320305,JTB-E02-201-15.D,4.817,1915570,JTB-E02-201-16.D,4.816,2236142,JTB-E02-201-17.D,4.808,1894930
"Carbonic acid, dimethyl ester",JTB-E02-199-06.D,4.971,24651,JTB-E02-199-07.D,4.979,19288,JTB-E02-199-08.D,4.638,1245,JTB-E02-199-11.D,5.052,375009,JTB-E02-199-12.D,4.776,421701,JTB-E02-199-13.D,5.068,441969,JTB-E02-199-14.D,5.052,464790,JTB-E02-199-15.D,5.052,379677,JTB-E02-199-16.D,5.044,497760,JTB-E02-199-17.D,5.052,477366,JTB-E02-200-06.D,4.979,8445,JTB-E02-200-07.D,4.987,12129,JTB-E02-200-08.D,5.133,1498,JTB-E02-200-11.D,5.06,332153,JTB-E02-200-12.D,5.052,435887,JTB-E02-200-13.D,5.06,369630,JTB-E02-200-14.D,5.052,324366,JTB-E02-200-15.D,5.052,408525,JTB-E02-200-16.D,5.052,349923,JTB-E02-200-17.D,5.052,413202,JTB-E02-201-06.D,4.979,9157,JTB-E02-201-07.D,4.971,5767,JTB-E02-201-08.D,4.987,3073,JTB-E02-201-11.D,5.06,295756,JTB-E02-201-12.D,5.068,167234,JTB-E02-201-13.D,5.068,321516,JTB-E02-201-14.D,5.052,326550,JTB-E02-201-15.D,5.052,311850,JTB-E02-201-16.D,5.052,352172,JTB-E02-201-17.D,5.044,360391
1-Butanol,JTB-E02-199-06.D,8.537,46357,JTB-E02-199-07.D,8.545,53897,JTB-E02-199-08.D,8.529,3278,JTB-E02-199-11.D,8.561,289554,JTB-E02-199-12.D,8.415,291783,JTB-E02-199-13.D,8.561,334620,JTB-E02-199-14.D,8.553,470709,JTB-E02-199-15.D,8.569,678942,JTB-E02-199-16.D,8.553,532686,JTB-E02-199-17.D,8.57,530372,JTB-E02-200-06.D,8.529,6905,JTB-E02-200-07.D,8.553,11174,JTB-E02-200-08.D,8.545,25505,JTB-E02-200-11.D,8.569,324336,JTB-E02-200-12.D,8.561,326114,JTB-E02-200-13.D,8.586,325730,JTB-E02-200-14.D,8.561,779518,JTB-E02-200-15.D,8.569,901451,JTB-E02-200-16.D,8.57,661817,JTB-E02-200-17.D,8.561,680585,JTB-E02-201-06.D,8.537,8392,JTB-E02-201-07.D,8.537,9141,JTB-E02-201-08.D,8.553,2564,JTB-E02-201-11.D,8.569,326647,JTB-E02-201-12.D,8.586,330657,JTB-E02-201-13.D,8.578,343952,JTB-E02-201-14.D,8.553,971694,JTB-E02-201-15.D,8.561,1094536,JTB-E02-201-16.D,8.569,935998,JTB-E02-201-17.D,8.553,786831
"1-Butanol, 3-methyl-",JTB-E02-199-06.D,10.357,4015,JTB-E02-199-07.D,10.324,4760,JTB-E02-199-08.D,10.503,2371,JTB-E02-199-11.D,10.348,7574332,JTB-E02-199-12.D,10.251,8356965,JTB-E02-199-13.D,10.357,8101878,JTB-E02-199-14.D,10.348,11356268,JTB-E02-199-15.D,10.357,12878037,JTB-E02-199-16.D,10.349,12411051,JTB-E02-199-17.D,10.357,11882920,JTB-E02-200-06.D,10.34,19096,JTB-E02-200-07.D,10.356,14682,JTB-E02-200-08.D,10.348,20289,JTB-E02-200-11.D,10.357,7297211,JTB-E02-200-12.D,10.357,7970760,JTB-E02-200-13.D,10.365,7387088,JTB-E02-200-14.D,10.348,13344217,JTB-E02-200-15.D,10.356,13807912,JTB-E02-200-16.D,10.357,13445956,JTB-E02-200-17.D,10.348,13098228,JTB-E02-201-06.D,10.348,16356,JTB-E02-201-07.D,10.34,17611,JTB-E02-201-08.D,10.47,1966,JTB-E02-201-11.D,10.357,6718494,JTB-E02-201-12.D,10.365,7467550,JTB-E02-201-13.D,10.365,7018318,JTB-E02-201-14.D,10.348,14121788,JTB-E02-201-15.D,10.348,13778283,JTB-E02-201-16.D,10.356,16219410,JTB-E02-201-17.D,10.348,13982354
2-Nonanone,JTB-E02-199-06.D,16.059,5281,JTB-E02-199-07.D,16.034,2791,JTB-E02-199-08.D,16.262,3771,JTB-E02-199-11.D,15.913,10835,JTB-E02-199-12.D,15.888,9697,JTB-E02-199-13.D,15.921,11250,JTB-E02-199-14.D,15.929,15003,JTB-E02-199-15.D,15.905,23283,JTB-E02-199-16.D,15.905,19596,JTB-E02-199-17.D,15.905,20939,JTB-E02-200-06.D,15.961,3123,JTB-E02-200-07.D,16.051,1260,JTB-E02-200-08.D,15.807,4023,JTB-E02-200-11.D,15.815,2494,JTB-E02-200-12.D,15.937,2138,JTB-E02-200-13.D,15.929,2309,JTB-E02-200-14.D,15.913,31663,JTB-E02-200-15.D,15.913,52752,JTB-E02-200-16.D,15.913,42327,JTB-E02-200-17.D,15.904,51667,JTB-E02-201-06.D,15.88,258,JTB-E02-201-07.D,15.937,1098,JTB-E02-201-08.D,15.913,955,JTB-E02-201-11.D,15.832,1821,JTB-E02-201-12.D,15.815,2616,JTB-E02-201-13.D,15.815,2156,JTB-E02-201-14.D,15.913,26378,JTB-E02-201-15.D,15.913,34143,JTB-E02-201-16.D,15.913,35462,JTB-E02-201-17.D,15.905,42550
"Benzene, 1,3-bis(1,1-dimethylethyl)-",JTB-E02-199-06.D,17.562,1141,JTB-E02-199-07.D,17.529,643,JTB-E02-199-08.D,17.375,174,JTB-E02-199-11.D,17.123,16305,JTB-E02-199-12.D,17.123,14344,JTB-E02-199-13.D,17.148,14007,JTB-E02-199-14.D,17.147,290951,JTB-E02-199-15.D,17.131,495146,JTB-E02-199-16.D,17.139,454559,JTB-E02-199-17.D,17.123,482462,JTB-E02-200-06.D,17.18,2462,JTB-E02-200-07.D,17.188,2815,JTB-E02-200-08.D,17.212,3596,JTB-E02-200-11.D,17.18,2216,JTB-E02-200-12.D,17.156,3671,JTB-E02-200-13.D,17.148,2129,JTB-E02-200-14.D,17.123,64007,JTB-E02-200-15.D,17.123,113160,JTB-E02-200-16.D,17.123,144316,JTB-E02-200-17.D,17.131,150491,JTB-E02-201-06.D,17.204,1267,JTB-E02-201-07.D,17.253,301,JTB-E02-201-08.D,17.383,210,JTB-E02-201-11.D,17.164,2981,JTB-E02-201-12.D,17.139,365,JTB-E02-201-13.D,17.131,835,JTB-E02-201-14.D,17.115,23037,JTB-E02-201-15.D,17.123,42321,JTB-E02-201-16.D,17.139,71876,JTB-E02-201-17.D,17.123,69521
"Pyrazine, 3-ethyl-2,5-dimethyl-",JTB-E02-199-06.D,17.765,7687,JTB-E02-199-07.D,17.7,12158,JTB-E02-199-08.D,17.562,291,JTB-E02-199-11.D,17.684,225684,JTB-E02-199-12.D,17.667,252832,JTB-E02-199-13.D,17.692,262141,JTB-E02-199-14.D,17.692,282510,JTB-E02-199-15.D,17.684,333229,JTB-E02-199-16.D,17.684,301770,JTB-E02-199-17.D,17.684,323637,JTB-E02-200-06.D,17.708,13605,JTB-E02-200-07.D,17.732,17271,JTB-E02-200-08.D,17.757,15630,JTB-E02-200-11.D,17.7,230104,JTB-E02-200-12.D,17.692,257635,JTB-E02-200-13.D,17.7,253359,JTB-E02-200-14.D,17.684,253478,JTB-E02-200-15.D,17.683,259254,JTB-E02-200-16.D,17.684,267988,JTB-E02-200-17.D,17.683,295929,JTB-E02-201-06.D,17.814,12995,JTB-E02-201-07.D,17.716,17160,JTB-E02-201-08.D,17.716,7506,JTB-E02-201-11.D,17.692,227297,JTB-E02-201-12.D,17.692,214917,JTB-E02-201-13.D,17.692,222627,JTB-E02-201-14.D,17.683,227740,JTB-E02-201-15.D,17.692,245801,JTB-E02-201-16.D,17.683,292990,JTB-E02-201-17.D,17.683,248201
"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",JTB-E02-199-06.D,25.514,9236,JTB-E02-199-07.D,25.279,1172,JTB-E02-199-08.D,25.734,319,JTB-E02-199-11.D,25.295,75516,JTB-E02-199-12.D,25.287,99652,JTB-E02-199-13.D,25.295,97450,JTB-E02-199-14.D,25.295,521514,JTB-E02-199-15.D,25.295,673884,JTB-E02-199-16.D,25.295,599520,JTB-E02-199-17.D,25.295,526018,JTB-E02-200-06.D,25.165,8479,JTB-E02-200-07.D,25.181,7104,JTB-E02-200-08.D,25.173,9671,JTB-E02-200-11.D,25.303,77658,JTB-E02-200-12.D,25.303,86165,JTB-E02-200-13.D,25.295,81651,JTB-E02-200-14.D,25.287,863526,JTB-E02-200-15.D,25.295,1065062,JTB-E02-200-16.D,25.295,841636,JTB-E02-200-17.D,25.287,812801,JTB-E02-201-06.D,25.157,12618,JTB-E02-201-07.D,25.173,6440,JTB-E02-201-08.D,25.181,3592,JTB-E02-201-11.D,25.295,65726,JTB-E02-201-12.D,25.295,70145,JTB-E02-201-13.D,25.287,67746,JTB-E02-201-14.D,25.295,902756,JTB-E02-201-15.D,25.295,1089192,JTB-E02-201-16.D,25.295,1130607,JTB-E02-201-17.D,25.295,922871
"1-Propanol, 3-(methylthio)-",JTB-E02-199-06.D,26.14,1127,JTB-E02-199-07.D,25.327,2510,JTB-E02-199-08.D,25.352,630,JTB-E02-199-11.D,25.279,1840,JTB-E02-199-12.D,,,JTB-E02-199-13.D,25.782,1913,JTB-E02-199-14.D,25.669,4512,JTB-E02-199-15.D,25.661,6033,JTB-E02-199-16.D,25.669,4264,JTB-E02-199-17.D,25.652,4092,JTB-E02-200-06.D,25.384,213,JTB-E02-200-07.D,25.335,2015,JTB-E02-200-08.D,25.368,2695,JTB-E02-200-11.D,,,JTB-E02-200-12.D,,,JTB-E02-200-13.D,,,JTB-E02-200-14.D,25.677,13459,JTB-E02-200-15.D,25.668,10995,JTB-E02-200-16.D,25.669,12900,JTB-E02-200-17.D,25.66,12711,JTB-E02-201-06.D,25.344,2699,JTB-E02-201-07.D,25.327,1646,JTB-E02-201-08.D,25.352,1758,JTB-E02-201-11.D,25.23,238,JTB-E02-201-12.D,,,JTB-E02-201-13.D,,,JTB-E02-201-14.D,25.652,13666,JTB-E02-201-15.D,25.669,12149,JTB-E02-201-16.D,25.66,20670,JTB-E02-201-17.D,25.669,13140
