Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,,BLANK BAC-01,BLANK BAC-01,,BLANK BAC-02,BLANK BAC-02,,BLANK BAC-03,BLANK BAC-03,,PRO01 BAC-01,PRO01 BAC-01,,PRO02 BAC-02,PRO02 BAC-02,,PRO03 BAC-03,PRO03 BAC-03,,REP01 BAC-01,REP01 BAC-01,,REP02 BAC-02,REP02 BAC-02,,REP03 BAC-03,REP03 BAC-03,,REP04 BAC-01,REP04 BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01   BAC-02,PRO01   BAC-02,,PRO02   BAC-03,PRO02   BAC-03,,PRO03   BAC-01,PRO03   BAC-01,,REP01   BAC-02,REP01   BAC-02,,REP02   BAC-03,REP02   BAC-03,,REP03   BAC-01,REP03   BAC-01,,REP01   BAC-01,REP01   BAC-01,,BLANK   BAC-01,BLANK   BAC-01,,PRO01   BAC-03,PRO01   BAC-03,,PRO02   BAC-01,PRO02   BAC-01,,PRO03   BAC-02,PRO03   BAC-02,,REP01   BAC-03,REP01   BAC-03,,REP02   BAC-01,REP02   BAC-01,,REP03   BAC-02,REP03   BAC-02,,REP04   BAC-03,REP04   BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
"Disulfide, dimethyl",JTB-E02-199-06.D,6.766,593,JTB-E02-199-07.D,6.693,3584,JTB-E02-199-08.D,6.352,1953,JTB-E02-199-11.D,6.685,9723544,JTB-E02-199-12.D,6.774,1057560,JTB-E02-199-13.D,6.701,6234069,JTB-E02-199-14.D,6.685,12517959,JTB-E02-199-15.D,6.685,13537271,JTB-E02-199-16.D,6.677,7381042,JTB-E02-199-17.D,6.685,10048542,JTB-E02-200-06.D,6.693,2096,JTB-E02-200-07.D,6.725,11037,JTB-E02-200-08.D,,,JTB-E02-200-11.D,6.693,2745039,JTB-E02-200-12.D,6.685,1456289,JTB-E02-200-13.D,6.693,1649226,JTB-E02-200-14.D,6.685,1586150,JTB-E02-200-15.D,6.685,1634734,JTB-E02-200-16.D,6.685,2233466,JTB-E02-200-17.D,6.685,2462567,JTB-E02-201-06.D,6.709,1027,JTB-E02-201-07.D,6.530,2361,JTB-E02-201-08.D,6.506,310,JTB-E02-201-11.D,6.693,192375,JTB-E02-201-12.D,6.701,343307,JTB-E02-201-13.D,6.701,374385,JTB-E02-201-14.D,6.685,256941,JTB-E02-201-15.D,6.677,482626,JTB-E02-201-16.D,6.685,842540,JTB-E02-201-17.D,6.669,340014,JTB-E02-203-06.D,,,JTB-E02-203-07.D,6.360,1607,JTB-E02-203-08.D,6.433,7694,JTB-E02-203-11.D,6.677,10059866,JTB-E02-203-12.D,6.677,9601623,JTB-E02-203-13.D,6.677,12405893,JTB-E02-203-14.D,6.677,12266977,JTB-E02-203-15.D,6.677,10632055,JTB-E02-203-16.D,6.677,14587695,JTB-E02-203-17.D,6.685,10746609,JTB-E02-204-06.D,6.693,2679,JTB-E02-204-07.D,,,JTB-E02-204-08.D,6.717,1130,JTB-E02-204-11.D,6.693,1489597,JTB-E02-204-12.D,6.677,2023249,JTB-E02-204-13.D,6.677,2060962,JTB-E02-204-14.D,6.685,2380548,JTB-E02-204-15.D,6.685,2142491,JTB-E02-204-16.D,6.677,2731278,JTB-E02-204-17.D,6.677,2993519,JTB-E02-205-06.D,6.693,3352,JTB-E02-205-11.D,6.677,300842,JTB-E02-205-12.D,6.677,308314,JTB-E02-205-13.D,6.685,245915,JTB-E02-205-14.D,6.685,416687,JTB-E02-205-15.D,6.677,315197,JTB-E02-205-16.D,6.677,433257,JTB-E02-205-17.D,6.685,621247
"1-Butanol, 3-methyl-, acetate",JTB-E02-199-06.D,,,JTB-E02-199-07.D,7.789,472,JTB-E02-199-08.D,,,JTB-E02-199-11.D,7.895,105891,JTB-E02-199-12.D,7.749,126956,JTB-E02-199-13.D,7.928,128387,JTB-E02-199-14.D,7.911,136327,JTB-E02-199-15.D,7.895,174743,JTB-E02-199-16.D,7.895,151782,JTB-E02-199-17.D,7.895,148148,JTB-E02-200-06.D,7.830,904,JTB-E02-200-07.D,7.911,434,JTB-E02-200-08.D,8.017,398,JTB-E02-200-11.D,7.920,37421,JTB-E02-200-12.D,7.911,45228,JTB-E02-200-13.D,7.903,40808,JTB-E02-200-14.D,7.895,34504,JTB-E02-200-15.D,7.895,46495,JTB-E02-200-16.D,7.895,43800,JTB-E02-200-17.D,7.903,42639,JTB-E02-201-06.D,7.855,845,JTB-E02-201-07.D,7.627,260,JTB-E02-201-08.D,7.716,654,JTB-E02-201-11.D,7.903,14701,JTB-E02-201-12.D,7.911,20609,JTB-E02-201-13.D,7.920,18078,JTB-E02-201-14.D,7.903,16120,JTB-E02-201-15.D,7.887,20651,JTB-E02-201-16.D,7.895,24659,JTB-E02-201-17.D,7.895,23062,JTB-E02-203-06.D,8.001,478,JTB-E02-203-07.D,7.619,1406,JTB-E02-203-08.D,8.009,708,JTB-E02-203-11.D,7.895,101415,JTB-E02-203-12.D,7.895,128893,JTB-E02-203-13.D,7.895,135892,JTB-E02-203-14.D,7.895,82924,JTB-E02-203-15.D,7.895,82973,JTB-E02-203-16.D,7.903,102423,JTB-E02-203-17.D,7.887,64820,JTB-E02-204-06.D,7.814,184,JTB-E02-204-07.D,7.733,941,JTB-E02-204-08.D,8.383,40,JTB-E02-204-11.D,7.895,32616,JTB-E02-204-12.D,7.903,37853,JTB-E02-204-13.D,7.903,39515,JTB-E02-204-14.D,7.863,65260,JTB-E02-204-15.D,7.879,73678,JTB-E02-204-16.D,7.895,51901,JTB-E02-204-17.D,7.895,62381,JTB-E02-205-06.D,7.968,944,JTB-E02-205-11.D,7.879,13551,JTB-E02-205-12.D,7.895,15294,JTB-E02-205-13.D,7.903,16786,JTB-E02-205-14.D,7.887,62997,JTB-E02-205-15.D,7.895,66765,JTB-E02-205-16.D,7.903,46832,JTB-E02-205-17.D,7.903,61913
Heptanal,JTB-E02-199-06.D,9.617,32349,JTB-E02-199-07.D,9.617,14896,JTB-E02-199-08.D,,,JTB-E02-199-11.D,9.601,7389,JTB-E02-199-12.D,9.495,8436,JTB-E02-199-13.D,9.626,11246,JTB-E02-199-14.D,9.593,1991,JTB-E02-199-15.D,9.447,6346,JTB-E02-199-16.D,9.601,2072,JTB-E02-199-17.D,9.617,2981,JTB-E02-200-06.D,9.910,730,JTB-E02-200-07.D,9.625,3853,JTB-E02-200-08.D,9.715,1846,JTB-E02-200-11.D,9.634,7329,JTB-E02-200-12.D,9.625,9545,JTB-E02-200-13.D,9.609,9274,JTB-E02-200-14.D,,,JTB-E02-200-15.D,9.601,2036,JTB-E02-200-16.D,9.609,1236,JTB-E02-200-17.D,9.601,1377,JTB-E02-201-06.D,9.609,924,JTB-E02-201-07.D,9.633,2058,JTB-E02-201-08.D,10.048,426,JTB-E02-201-11.D,9.625,13971,JTB-E02-201-12.D,9.617,8769,JTB-E02-201-13.D,9.617,9732,JTB-E02-201-14.D,9.601,1633,JTB-E02-201-15.D,9.520,867,JTB-E02-201-16.D,9.593,1327,JTB-E02-201-17.D,9.544,624,JTB-E02-203-06.D,9.642,3164,JTB-E02-203-07.D,9.642,3128,JTB-E02-203-08.D,9.626,9790,JTB-E02-203-11.D,9.601,12404,JTB-E02-203-12.D,9.601,13740,JTB-E02-203-13.D,9.593,18055,JTB-E02-203-14.D,9.430,3895,JTB-E02-203-15.D,9.609,5451,JTB-E02-203-16.D,9.593,6122,JTB-E02-203-17.D,9.593,5103,JTB-E02-204-06.D,9.609,1401,JTB-E02-204-07.D,9.650,891,JTB-E02-204-08.D,9.634,1095,JTB-E02-204-11.D,9.601,10346,JTB-E02-204-12.D,9.609,12995,JTB-E02-204-13.D,9.593,14993,JTB-E02-204-14.D,9.577,25436,JTB-E02-204-15.D,9.593,19648,JTB-E02-204-16.D,9.609,27264,JTB-E02-204-17.D,9.601,18679,JTB-E02-205-06.D,9.601,2736,JTB-E02-205-11.D,9.601,9803,JTB-E02-205-12.D,9.609,10641,JTB-E02-205-13.D,9.609,12442,JTB-E02-205-14.D,9.601,56585,JTB-E02-205-15.D,9.601,33426,JTB-E02-205-16.D,9.601,46041,JTB-E02-205-17.D,9.601,38986
"2-Hexenal, (E)-",JTB-E02-199-06.D,10.357,4015,JTB-E02-199-07.D,10.324,4760,JTB-E02-199-08.D,10.503,2371,JTB-E02-199-11.D,10.348,7574332,JTB-E02-199-12.D,10.251,8356965,JTB-E02-199-13.D,10.357,8101878,JTB-E02-199-14.D,10.348,11356268,JTB-E02-199-15.D,10.357,12878037,JTB-E02-199-16.D,10.349,12411051,JTB-E02-199-17.D,10.357,11882920,JTB-E02-200-06.D,10.340,19096,JTB-E02-200-07.D,10.356,14682,JTB-E02-200-08.D,10.348,20289,JTB-E02-200-11.D,10.357,7297211,JTB-E02-200-12.D,10.357,7970760,JTB-E02-200-13.D,10.365,7387088,JTB-E02-200-14.D,10.348,13344217,JTB-E02-200-15.D,10.356,13807912,JTB-E02-200-16.D,10.357,13445956,JTB-E02-200-17.D,10.348,13098228,JTB-E02-201-06.D,10.348,16356,JTB-E02-201-07.D,10.340,17611,JTB-E02-201-08.D,10.470,1966,JTB-E02-201-11.D,10.357,6718494,JTB-E02-201-12.D,10.365,7467187,JTB-E02-201-13.D,10.365,7018318,JTB-E02-201-14.D,10.348,14121788,JTB-E02-201-15.D,10.348,13778283,JTB-E02-201-16.D,10.356,16219410,JTB-E02-201-17.D,10.348,13982354,JTB-E02-203-06.D,10.389,477,JTB-E02-203-07.D,10.397,1025,JTB-E02-203-08.D,10.340,30978,JTB-E02-203-11.D,10.348,8132241,JTB-E02-203-12.D,10.348,9273344,JTB-E02-203-13.D,10.348,8804624,JTB-E02-203-14.D,10.356,21756327,JTB-E02-203-15.D,10.356,22183209,JTB-E02-203-16.D,10.348,19332327,JTB-E02-203-17.D,10.357,18763285,JTB-E02-204-06.D,10.340,29895,JTB-E02-204-07.D,10.340,27236,JTB-E02-204-08.D,10.348,19902,JTB-E02-204-11.D,10.365,7189167,JTB-E02-204-12.D,10.348,8486316,JTB-E02-204-13.D,10.348,8050708,JTB-E02-204-14.D,10.381,20355464,JTB-E02-204-15.D,10.364,22687168,JTB-E02-204-16.D,10.356,19086383,JTB-E02-204-17.D,10.348,19384856,JTB-E02-205-06.D,10.332,40667,JTB-E02-205-11.D,10.340,6910396,JTB-E02-205-12.D,10.340,8082410,JTB-E02-205-13.D,10.348,7596814,JTB-E02-205-14.D,10.356,19512183,JTB-E02-205-15.D,10.356,22675693,JTB-E02-205-16.D,10.348,19273384,JTB-E02-205-17.D,10.348,18199341
Acetoin,JTB-E02-199-06.D,12.558,925,JTB-E02-199-07.D,12.761,2307,JTB-E02-199-08.D,12.769,265,JTB-E02-199-11.D,12.582,34275,JTB-E02-199-12.D,12.509,36845,JTB-E02-199-13.D,12.590,36410,JTB-E02-199-14.D,12.582,43436,JTB-E02-199-15.D,12.590,52682,JTB-E02-199-16.D,12.574,54860,JTB-E02-199-17.D,12.590,48613,JTB-E02-200-06.D,12.582,3184,JTB-E02-200-07.D,12.509,838,JTB-E02-200-08.D,12.517,220,JTB-E02-200-11.D,12.590,38876,JTB-E02-200-12.D,12.582,39501,JTB-E02-200-13.D,12.590,38983,JTB-E02-200-14.D,12.582,83617,JTB-E02-200-15.D,12.582,109207,JTB-E02-200-16.D,12.590,68013,JTB-E02-200-17.D,12.582,72079,JTB-E02-201-06.D,12.704,312,JTB-E02-201-07.D,12.379,278,JTB-E02-201-08.D,12.550,143,JTB-E02-201-11.D,12.590,39440,JTB-E02-201-12.D,12.598,38244,JTB-E02-201-13.D,12.590,37786,JTB-E02-201-14.D,12.582,103656,JTB-E02-201-15.D,12.582,126450,JTB-E02-201-16.D,12.582,94046,JTB-E02-201-17.D,12.574,81570,JTB-E02-203-06.D,12.866,932,JTB-E02-203-07.D,12.541,430,JTB-E02-203-08.D,12.566,1313,JTB-E02-203-11.D,12.582,34879,JTB-E02-203-12.D,12.574,39048,JTB-E02-203-13.D,12.574,41029,JTB-E02-203-14.D,12.574,257843,JTB-E02-203-15.D,12.574,353039,JTB-E02-203-16.D,12.574,196543,JTB-E02-203-17.D,12.582,169195,JTB-E02-204-06.D,12.728,203,JTB-E02-204-07.D,12.436,554,JTB-E02-204-08.D,12.379,155,JTB-E02-204-11.D,12.599,36638,JTB-E02-204-12.D,12.574,42223,JTB-E02-204-13.D,12.574,39698,JTB-E02-204-14.D,12.607,260842,JTB-E02-204-15.D,12.590,397830,JTB-E02-204-16.D,12.582,503803,JTB-E02-204-17.D,12.582,324535,JTB-E02-205-06.D,12.501,706,JTB-E02-205-11.D,12.574,36100,JTB-E02-205-12.D,12.582,36487,JTB-E02-205-13.D,12.582,40518,JTB-E02-205-14.D,12.582,312236,JTB-E02-205-15.D,12.574,706326,JTB-E02-205-16.D,12.574,884505,JTB-E02-205-17.D,12.582,579790
1-Heptanol,JTB-E02-199-06.D,18.041,526,JTB-E02-199-07.D,17.757,874,JTB-E02-199-08.D,,,JTB-E02-199-11.D,18.057,29915,JTB-E02-199-12.D,18.033,38803,JTB-E02-199-13.D,18.065,36443,JTB-E02-199-14.D,18.073,46983,JTB-E02-199-15.D,18.065,64770,JTB-E02-199-16.D,18.057,64798,JTB-E02-199-17.D,18.065,58018,JTB-E02-200-06.D,18.082,2490,JTB-E02-200-07.D,18.285,631,JTB-E02-200-08.D,18.082,3551,JTB-E02-200-11.D,18.065,28912,JTB-E02-200-12.D,18.065,32692,JTB-E02-200-13.D,18.065,30979,JTB-E02-200-14.D,18.049,42660,JTB-E02-200-15.D,18.057,51783,JTB-E02-200-16.D,18.057,39853,JTB-E02-200-17.D,18.065,42311,JTB-E02-201-06.D,18.057,2962,JTB-E02-201-07.D,18.130,1320,JTB-E02-201-08.D,18.106,1065,JTB-E02-201-11.D,18.065,24190,JTB-E02-201-12.D,18.065,24023,JTB-E02-201-13.D,18.065,20357,JTB-E02-201-14.D,18.057,35906,JTB-E02-201-15.D,18.057,41675,JTB-E02-201-16.D,18.057,48447,JTB-E02-201-17.D,18.049,40186,JTB-E02-203-06.D,,,JTB-E02-203-07.D,18.301,198,JTB-E02-203-08.D,18.082,2049,JTB-E02-203-11.D,18.049,36604,JTB-E02-203-12.D,18.057,45268,JTB-E02-203-13.D,18.049,52366,JTB-E02-203-14.D,18.049,43749,JTB-E02-203-15.D,18.057,49517,JTB-E02-203-16.D,18.049,50522,JTB-E02-203-17.D,18.057,44519,JTB-E02-204-06.D,17.992,536,JTB-E02-204-07.D,,,JTB-E02-204-08.D,17.960,318,JTB-E02-204-11.D,18.057,23544,JTB-E02-204-12.D,18.057,36787,JTB-E02-204-13.D,18.057,26232,JTB-E02-204-14.D,18.057,32608,JTB-E02-204-15.D,18.049,29854,JTB-E02-204-16.D,18.049,33946,JTB-E02-204-17.D,18.057,27870,JTB-E02-205-06.D,18.065,1462,JTB-E02-205-11.D,18.049,22335,JTB-E02-205-12.D,18.065,21202,JTB-E02-205-13.D,18.049,24678,JTB-E02-205-14.D,18.057,23532,JTB-E02-205-15.D,18.057,21869,JTB-E02-205-16.D,18.049,27766,JTB-E02-205-17.D,18.049,23552
"1-Hexanol, 2-ethyl-",JTB-E02-199-06.D,19.113,20856,JTB-E02-199-07.D,19.137,27053,JTB-E02-199-08.D,19.146,5625,JTB-E02-199-11.D,19.130,54171,JTB-E02-199-12.D,19.113,58083,JTB-E02-199-13.D,19.130,87217,JTB-E02-199-14.D,19.138,69803,JTB-E02-199-15.D,19.121,86624,JTB-E02-199-16.D,19.130,113484,JTB-E02-199-17.D,19.130,88991,JTB-E02-200-06.D,19.154,7510,JTB-E02-200-07.D,19.146,6640,JTB-E02-200-08.D,19.130,24887,JTB-E02-200-11.D,19.129,42596,JTB-E02-200-12.D,19.138,76312,JTB-E02-200-13.D,19.130,56923,JTB-E02-200-14.D,19.121,64237,JTB-E02-200-15.D,19.121,92774,JTB-E02-200-16.D,19.130,69184,JTB-E02-200-17.D,19.121,76502,JTB-E02-201-06.D,19.121,6999,JTB-E02-201-07.D,19.170,4284,JTB-E02-201-08.D,19.178,1886,JTB-E02-201-11.D,19.138,86022,JTB-E02-201-12.D,19.121,54256,JTB-E02-201-13.D,19.130,48522,JTB-E02-201-14.D,19.129,75461,JTB-E02-201-15.D,19.121,74375,JTB-E02-201-16.D,19.121,77175,JTB-E02-201-17.D,19.121,78530,JTB-E02-203-06.D,19.138,3652,JTB-E02-203-07.D,19.129,65205,JTB-E02-203-08.D,19.121,68332,JTB-E02-203-11.D,19.121,128051,JTB-E02-203-12.D,19.121,103651,JTB-E02-203-13.D,19.121,72282,JTB-E02-203-14.D,19.121,147871,JTB-E02-203-15.D,19.121,98882,JTB-E02-203-16.D,19.121,82336,JTB-E02-203-17.D,19.121,134581,JTB-E02-204-06.D,19.146,31157,JTB-E02-204-07.D,19.146,42960,JTB-E02-204-08.D,19.154,18094,JTB-E02-204-11.D,19.130,115153,JTB-E02-204-12.D,19.121,95858,JTB-E02-204-13.D,19.121,93438,JTB-E02-204-14.D,19.129,97167,JTB-E02-204-15.D,19.121,69854,JTB-E02-204-16.D,19.121,66945,JTB-E02-204-17.D,19.113,99000,JTB-E02-205-06.D,19.146,33877,JTB-E02-205-11.D,19.113,57292,JTB-E02-205-12.D,19.121,72429,JTB-E02-205-13.D,19.121,80758,JTB-E02-205-14.D,19.121,68289,JTB-E02-205-15.D,19.121,72425,JTB-E02-205-16.D,19.146,551968,JTB-E02-205-17.D,19.121,460955
Benzonitrile,JTB-E02-199-06.D,22.387,16166,JTB-E02-199-07.D,22.370,21201,JTB-E02-199-08.D,22.338,1790,JTB-E02-199-11.D,22.354,234748,JTB-E02-199-12.D,22.346,239574,JTB-E02-199-13.D,22.363,236620,JTB-E02-199-14.D,22.354,248390,JTB-E02-199-15.D,22.354,321734,JTB-E02-199-16.D,22.355,310046,JTB-E02-199-17.D,22.354,304962,JTB-E02-200-06.D,22.379,30992,JTB-E02-200-07.D,22.387,41496,JTB-E02-200-08.D,22.379,30026,JTB-E02-200-11.D,22.362,190367,JTB-E02-200-12.D,22.354,217599,JTB-E02-200-13.D,22.354,218777,JTB-E02-200-14.D,22.354,200046,JTB-E02-200-15.D,22.354,225772,JTB-E02-200-16.D,22.354,214360,JTB-E02-200-17.D,22.362,230590,JTB-E02-201-06.D,22.387,33061,JTB-E02-201-07.D,22.387,37462,JTB-E02-201-08.D,22.395,19667,JTB-E02-201-11.D,22.363,171417,JTB-E02-201-12.D,22.362,147026,JTB-E02-201-13.D,22.363,165627,JTB-E02-201-14.D,22.346,160356,JTB-E02-201-15.D,22.354,160450,JTB-E02-201-16.D,22.354,183607,JTB-E02-201-17.D,22.346,184532,JTB-E02-203-06.D,22.094,448,JTB-E02-203-07.D,22.354,3324,JTB-E02-203-08.D,22.387,30218,JTB-E02-203-11.D,22.346,232743,JTB-E02-203-12.D,22.346,258378,JTB-E02-203-13.D,22.354,300068,JTB-E02-203-14.D,22.354,429653,JTB-E02-203-15.D,22.354,414947,JTB-E02-203-16.D,22.354,515191,JTB-E02-203-17.D,22.354,379390,JTB-E02-204-06.D,22.379,49362,JTB-E02-204-07.D,22.387,38438,JTB-E02-204-08.D,22.379,49944,JTB-E02-204-11.D,22.363,195321,JTB-E02-204-12.D,22.346,227992,JTB-E02-204-13.D,22.354,211433,JTB-E02-204-14.D,22.354,357436,JTB-E02-204-15.D,22.354,371027,JTB-E02-204-16.D,22.354,446037,JTB-E02-204-17.D,22.354,303457,JTB-E02-205-06.D,22.371,42732,JTB-E02-205-11.D,22.346,176242,JTB-E02-205-12.D,22.354,150220,JTB-E02-205-13.D,22.354,168599,JTB-E02-205-14.D,22.354,279327,JTB-E02-205-15.D,22.354,251803,JTB-E02-205-16.D,22.354,319203,JTB-E02-205-17.D,22.354,252409
2-Furanmethanol,JTB-E02-199-06.D,,,JTB-E02-199-07.D,24.434,796,JTB-E02-199-08.D,23.833,338,JTB-E02-199-11.D,24.060,12951,JTB-E02-199-12.D,24.052,16845,JTB-E02-199-13.D,24.060,18401,JTB-E02-199-14.D,24.052,44994,JTB-E02-199-15.D,24.052,80558,JTB-E02-199-16.D,24.044,65466,JTB-E02-199-17.D,24.060,42505,JTB-E02-200-06.D,24.044,1862,JTB-E02-200-07.D,24.076,1887,JTB-E02-200-08.D,24.093,2408,JTB-E02-200-11.D,24.060,15713,JTB-E02-200-12.D,24.060,18964,JTB-E02-200-13.D,24.052,17524,JTB-E02-200-14.D,24.052,129120,JTB-E02-200-15.D,24.052,141698,JTB-E02-200-16.D,24.052,108737,JTB-E02-200-17.D,24.052,92453,JTB-E02-201-06.D,24.060,2373,JTB-E02-201-07.D,24.060,2283,JTB-E02-201-08.D,24.076,1218,JTB-E02-201-11.D,24.060,21919,JTB-E02-201-12.D,24.060,17864,JTB-E02-201-13.D,24.052,16454,JTB-E02-201-14.D,24.052,167525,JTB-E02-201-15.D,24.052,141144,JTB-E02-201-16.D,24.060,152753,JTB-E02-201-17.D,24.052,133014,JTB-E02-203-06.D,24.052,280,JTB-E02-203-07.D,24.474,172,JTB-E02-203-08.D,24.052,3893,JTB-E02-203-11.D,24.044,17153,JTB-E02-203-12.D,24.044,22243,JTB-E02-203-13.D,24.044,22484,JTB-E02-203-14.D,24.052,153962,JTB-E02-203-15.D,24.052,171731,JTB-E02-203-16.D,24.052,182712,JTB-E02-203-17.D,24.052,162515,JTB-E02-204-06.D,24.036,4054,JTB-E02-204-07.D,24.052,3937,JTB-E02-204-08.D,24.060,3298,JTB-E02-204-11.D,24.060,20611,JTB-E02-204-12.D,24.052,22446,JTB-E02-204-13.D,24.052,20358,JTB-E02-204-14.D,24.052,188235,JTB-E02-204-15.D,24.052,198115,JTB-E02-204-16.D,24.052,207319,JTB-E02-204-17.D,24.044,160571,JTB-E02-205-06.D,24.044,5840,JTB-E02-205-11.D,24.052,24076,JTB-E02-205-12.D,24.044,18628,JTB-E02-205-13.D,24.052,21926,JTB-E02-205-14.D,24.052,200850,JTB-E02-205-15.D,24.044,187825,JTB-E02-205-16.D,24.044,223196,JTB-E02-205-17.D,24.052,201398
