[contents]
count=2
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-204-14.D
1=,INT TIC: JTB-E02-204-14.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-204-14.D\data.ms]
Time=,Thu Apr 04 11:46:43 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.284,   16,  24,  43,"PV  ",1472469, 29715440,  3.02,  0.592
2=,  2,  2.455,   43,  45,  49,"VV  ",  70958,  1575167,  0.16,  0.031
3=,  3,  2.497,   49,  50,  56,"VV 5",  66953,  1966604,  0.20,  0.039
4=,  4,  2.569,   56,  59,  62,"VV  ", 287293,  5124679,  0.52,  0.102
5=,  5,  2.618,   62,  65,  83,"VV  ", 962124, 22292374,  2.27,  0.444
6=,  6,  2.795,   83,  87, 107,"VV  ",1231978, 31907493,  3.24,  0.636
7=,  7,  3.117,  119, 127, 134,"VV 2",6118792,156921437, 15.95,  3.126
8=,  8,  3.203,  134, 137, 147,"VV  ",1807485, 55452349,  5.64,  1.105
9=,  9,  3.320,  147, 152, 169,"VV  ",6346362,188234324, 19.14,  3.750
10=, 10,  3.476,  169, 171, 178,"VV 3", 451655, 15853501,  1.61,  0.316
11=, 11,  3.690,  192, 197, 210,"VV  ",12462832,328792132, 33.43,  6.550
12=, 12,  3.826,  210, 214, 225,"VV  ",3895568,135136108, 13.74,  2.692
13=, 13,  3.976,  225, 233, 235,"VV  ",4416668,105625369, 10.74,  2.104
14=, 14,  4.024,  235, 238, 253,"VV  ",13681718,331514135, 33.71,  6.604
15=, 15,  4.246,  260, 266, 311,"VV  ",17134888,523209242, 53.20, 10.423
16=, 16,  4.653,  311, 316, 331,"VV  ", 697854, 33155210,  3.37,  0.660
17=, 17,  4.818,  331, 336, 350,"VV  ",2194279, 75029778,  7.63,  1.495
18=, 18,  4.978,  350, 356, 362,"VV  ",2401245, 74928539,  7.62,  1.493
19=, 19,  5.050,  362, 365, 376,"VV 3", 806565, 39157673,  3.98,  0.780
20=, 20,  5.177,  376, 380, 383,"VV 3", 538074, 15943491,  1.62,  0.318
