datafile,microbe,juice,hour,type,rep,SampleID,spme
JTB-E02-199-06.D,FF,10BB,2,BLANK,B01,FF10BB02B01,BAC-01
JTB-E02-199-07.D,FF,10BB,2,BLANK,B02,FF10BB02B02,BAC-02
JTB-E02-199-08.D,FF,10BB,2,BLANK,B03,FF10BB02B03,BAC-03
JTB-E02-199-11.D,FF,10BB,2,PRO01,P01,FF10BB02P01,BAC-01
JTB-E02-199-12.D,FF,10BB,2,PRO02,P02,FF10BB02P02,BAC-02
JTB-E02-199-13.D,FF,10BB,2,PRO03,P03,FF10BB02P03,BAC-03
JTB-E02-199-14.D,FF,10BB,2,REP01,R01,FF10BB02R01,BAC-01
JTB-E02-199-15.D,FF,10BB,2,REP02,R02,FF10BB02R02,BAC-02
JTB-E02-199-16.D,FF,10BB,2,REP03,R03,FF10BB02R03,BAC-03
JTB-E02-199-17.D,FF,10BB,2,REP04,R04,FF10BB02R04,BAC-01
JTB-E02-200-06.D,FF,10BB,24,BLANK,B01,FF10BB24B01,BAC-01
JTB-E02-200-07.D,FF,10BB,24,BLANK,B02,FF10BB24B02,BAC-02
JTB-E02-200-08.D,FF,10BB,24,BLANK,B03,FF10BB24B03,BAC-03
JTB-E02-200-11.D,FF,10BB,24,PRO01,P01,FF10BB24P01,BAC-02
JTB-E02-200-12.D,FF,10BB,24,PRO02,P02,FF10BB24P02,BAC-03
JTB-E02-200-13.D,FF,10BB,24,PRO03,P03,FF10BB24P03,BAC-01
JTB-E02-200-14.D,FF,10BB,24,REP01,R01,FF10BB24R01,BAC-02
JTB-E02-200-15.D,FF,10BB,24,REP02,R02,FF10BB24R02,BAC-03
JTB-E02-200-16.D,FF,10BB,24,REP03,R03,FF10BB24R03,BAC-01
JTB-E02-200-17.D,FF,10BB,24,REP04,R04,FF10BB24R04,BAC-02
JTB-E02-201-06.D,FF,10BB,48,BLANK,B01,FF10BB48B01,BAC01
JTB-E02-201-07.D,FF,10BB,48,BLANK,B02,FF10BB48B02,BAC02
JTB-E02-201-08.D,FF,10BB,48,BLANK,B03,FF10BB48B03,BAC03
JTB-E02-201-11.D,FF,10BB,48,PRO01,P01,FF10BB48P01,BAC-03
JTB-E02-201-12.D,FF,10BB,48,PRO02,P02,FF10BB48P02,BAC-01
JTB-E02-201-13.D,FF,10BB,48,PRO03,P03,FF10BB48P03,BAC-02
JTB-E02-201-14.D,FF,10BB,48,REP01,R01,FF10BB48R01,BAC-03
JTB-E02-201-15.D,FF,10BB,48,REP02,R02,FF10BB48R02,BAC-01
JTB-E02-201-16.D,FF,10BB,48,REP03,R03,FF10BB48R03,BAC-02
JTB-E02-201-17.D,FF,10BB,48,REP04,R04,FF10BB48R04,BAC-03
JTB-E02-203-06.D,PA,10BB,2,BLANK,B01,PA10BB02B01,BAC-01
JTB-E02-203-07.D,PA,10BB,2,BLANK,B02,PA10BB02B02,BAC-02
JTB-E02-203-08.D,PA,10BB,2,BLANK,B03,PA10BB02B03,BAC-03
JTB-E02-203-11.D,PA,10BB,2,PRO01,P01,PA10BB02P01,BAC-01
JTB-E02-203-12.D,PA,10BB,2,PRO02,P02,PA10BB02P02,BAC-02
JTB-E02-203-13.D,PA,10BB,2,PRO03,P03,PA10BB02P03,BAC-03
JTB-E02-203-14.D,PA,10BB,2,REP01,R01,PA10BB02R01,BAC-01
JTB-E02-203-15.D,PA,10BB,2,REP02,R02,PA10BB02R02,BAC-02
JTB-E02-203-16.D,PA,10BB,2,REP03,R03,PA10BB02R03,BAC-03
JTB-E02-203-17.D,PA,10BB,2,REP04,R04,PA10BB02R04,BAC-01
JTB-E02-204-06.D,PA,10BB,24,BLANK,B01,PA10BB24B01,BAC-01
JTB-E02-204-07.D,PA,10BB,24,BLANK,B02,PA10BB24B02,BAC-02
JTB-E02-204-08.D,PA,10BB,24,BLANK,B03,PA10BB24B03,BAC-03
JTB-E02-204-11.D,PA,10BB,24,PRO01,P01,PA10BB24P01,BAC-02
JTB-E02-204-12.D,PA,10BB,24,PRO02,P02,PA10BB24P02,BAC-03
JTB-E02-204-13.D,PA,10BB,24,PRO03,P03,PA10BB24P03,BAC-01
JTB-E02-204-14.D,PA,10BB,24,REP01,R01,PA10BB24R01,BAC-02
JTB-E02-204-15.D,PA,10BB,24,REP02,R02,PA10BB24R02,BAC-03
JTB-E02-204-16.D,PA,10BB,24,REP03,R03,PA10BB24R03,BAC-01
JTB-E02-204-17.D,PA,10BB,24,REP01,R04,PA10BB24R04,BAC-01
JTB-E02-205-06.D,PA,10BB,48,BLANK,B01,PA10BB48B01,BAC-01
JTB-E02-205-11.D,PA,10BB,48,PRO01,P01,PA10BB48P01,BAC-03
JTB-E02-205-12.D,PA,10BB,48,PRO02,P02,PA10BB48P02,BAC-01
JTB-E02-205-13.D,PA,10BB,48,PRO03,P03,PA10BB48P03,BAC-02
JTB-E02-205-14.D,PA,10BB,48,REP01,R01,PA10BB48R01,BAC-03
JTB-E02-205-15.D,PA,10BB,48,REP02,R02,PA10BB48R02,BAC-01
JTB-E02-205-16.D,PA,10BB,48,REP03,R03,PA10BB48R03,BAC-02
JTB-E02-205-17.D,PA,10BB,48,REP04,R04,PA10BB48R04,BAC-03
