Peak_ID,Library\ID,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
Peak_001,Carbon dioxide Results,1358801,1894334,3444347,2657113,1956425,2610206,2214181,1918478,2221830,2078955,1930359,2404241,3262191,3059854,2056338,2870064,2384202,2347295,1745740,2644337,2010864,2170806,2281974,1794738
Peak_002,Methanethiol Results,1356478,1677932,1849195,1512838,382189,735094,578703,485425,207412,285761,270621,264428,2023442,1730606,1637339,1600356,674723,534678,627986,675554,57328,63654,50047,65424
Peak_003,Acetaldehyde Results,1036047,1136478,1397556,1252284,977077,981988,1002139,837490,992768,828267,855960,849420,1373367,1212470,1106868,1250659,1622365,1655169,1425572,1923959,1669229,2170387,1794629,1827019
Peak_004,Dimethyl sulfide Results,2609251,3334669,2758075,2753114,625763,1192165,1013223,877905,302505,468403,438405,391699,2564697,2205867,2343271,2080689,952015,780074,929813,879734,419182,434098,465272,376725
Peak_005,Octane Results,141703,105985,100127,96345,65149,84711,143342,140555,26565,35471,51958,60437,22539,17068,30070,30162,15206,16517,17295,19928,14523,16446,18340,17861
Peak_006,Propanol Results,1014294,980253,1011794,955663,900383,325633,932041,626760,812009,318034,816953,579238,1026445,850697,1430536,936731,1289171,1094373,1703938,1014236,1411837,1437990,1831363,1152471
Peak_007,Acetone Results,10744571,11799129,11441231,11324422,12209269,11725669,12041255,12303205,12024426,12058841,14047524,12308886,12330501,11354268,11351814,11753357,11970115,10902671,11820325,12432355,11000192,12655700,12892253,11069728
Peak_008,"Acetic acid, methyl ester Results",5540715,6201465,5539108,5836175,5589910,5891929,5801930,5846877,5148502,5610601,6009847,4801673,6265998,5490641,5382413,6085363,5066235,4851323,5112187,5672146,4539036,4999045,5171438,4462557
Peak_009,"Cyclotrisiloxane, hexamethyl- Results",11842259,10317744,11919153,13920369,10898876,10027643,12376787,9406146,7743942,9480427,9150275,7205593,14440638,10305677,9394212,11561849,10352699,9987884,8181543,11657165,8048831,9187026,7889230,6000805
Peak_010,Butanal Results,1023120,761521,1276330,886238,752912,764145,854560,817782,734679,804818,935141,1379111,1005831,860369,928340,851853,802716,681871,756881,922925,583897,1077395,762594,630224
Peak_011,Ethyl acetate Results,37414830,40344375,37923166,36682102,29420222,32127925,30201960,31582033,21425448,24960566,28419245,24509172,35379665,34707500,35277269,32977276,23568748,21731914,26892705,22083239,14958278,15581754,21479947,14011862
Peak_012,2-Butanone Results,17067779,18072128,16377588,16795314,12551303,12813703,13299049,14133321,9974568,10837037,13121578,10930231,15965021,14552418,15867996,15126238,13820029,11633637,14811290,12360266,12241007,11786397,14814791,10526541
Peak_013,"Butanal, 2-methyl- Results",4823345,4619581,4580786,4704104,2200988,846362,3056632,2950828,2238810,881673,2658668,2447982,3988558,3206013,6264516,3877418,7163191,5111028,9031189,4380056,9182110,7298910,10149631,6612135
Peak_014,"Butanal, 3-methyl- Results",4122978,4109565,3899875,4178221,1905755,1023654,2656074,2731837,1965722,1074913,2308974,2113661,3439684,2760863,5207926,3440330,6410585,4612061,7970906,4005651,8470015,6288524,9044644,6076187
Peak_015,Ethanol Results,7736932,8195339,7595291,7861009,6924954,7121752,7437704,7016380,6104710,7213588,7214516,6318633,8747329,7157800,7405811,8533120,6623355,6208321,6860990,7592756,5883017,7042922,6879493,5680598
Peak_016,2-(bromomethyl)tetrahydro-Pyran Results,373719,448925,400458,394102,138354,200453,189955,184528,74560,98566,107952,98367,342511,323993,367095,299213,152039,143480,162392,143807,83765,77050,100379,82236
Peak_017,"Furan, 2-butyltetrahydro Results",1193945,1424282,1321273,1301561,685922,893697,827382,834223,454776,578143,625275,555175,1224720,1185154,1288723,1119617,751382,729436,821166,728961,519089,515708,598169,499178
Peak_018,"2,3-Butanedione Results",2091650,2033995,1667672,1718768,3503571,2912614,2740113,2731756,3107503,2959795,3215071,2817747,2685541,2168846,3517074,2413862,4765531,4629619,7903937,8384591,4288167,4617145,7415251,8154378
Peak_019,"Cyclotetrasiloxane, octamethyl- Results",2834614,2714680,3074438,4998855,4144303,3526885,4782657,3995126,3962622,4877164,5006498,3901507,4086058,2857017,2517026,3348256,3905917,3890900,2955156,4347776,4250514,4398151,4072680,3164851
Peak_020,dimethyl ester carbonic acid Results,888278,980899,870255,892101,763664,785963,793658,781807,602975,730255,790045,648388,944209,809405,861523,890515,726317,679544,756050,772225,602223,679813,715983,585904
Peak_021,Mesityl oxide Results,1161428,1149269,992163,1059212,852248,880852,981613,894345,641079,799051,811440,680482,1182250,837999,1050728,1103994,826813,813472,1104404,1360333,681267,874879,997024,919863
Peak_022,Methyl Isobutyl Ketone Results,1129401,1156941,1013187,1070755,727566,773479,847896,776576,526105,667449,670948,575821,1091668,787991,987443,1002769,639217,626050,848318,1032858,508127,685292,710427,665642
Peak_023,"Butanoic acid, 2-methyl-, methyl ester Results",141900,160691,140858,136315,62653,74114,74066,69090,34446,46202,47080,43285,133267,109012,123968,116341,57177,51893,64036,64192,30980,37512,39738,31762
Peak_024,Isobutyl acetate Results,1028902,1062809,892029,966021,621777,656784,718429,661298,433602,573350,563225,477838,963610,683119,851318,877800,519589,509266,686573,853057,408945,567987,558644,528868
Peak_025,Trichloromethane Results,161191,194916,146161,150042,27280,50498,55372,44431,15784,19569,19585,19611,435273,286114,187796,242540,120538,126934,91429,144516,69674,57689,83421,60618
Peak_026,Methyl isovalerate Results,838727,1029436,884034,876475,283968,389969,340632,349017,114391,160011,171233,152422,772451,727658,808512,667530,305470,283109,330573,288199,131568,116725,157032,127606
Peak_027,2-Butanol Results,403516,412724,384035,415988,368855,378353,398464,389562,342310,404342,412789,351366,411952,334078,352516,417600,321507,294177,327090,374165,289738,346782,329439,302966
Peak_028,Toluene Results,1957056,1548309,1209382,1418076,941550,597580,1087637,1600696,288931,354168,594609,764640,866712,713249,835725,740967,167490,156424,174694,170924,120071,120431,132973,123678
Peak_029,2-Pentanol Results,596330,742193,727178,677440,503939,611017,539318,540713,397154,437335,482333,461343,657039,665447,710349,616460,534348,522009,580328,486275,410000,394117,465905,401919
