Peak_ID,Library/ID,FF10BB02P01,FF10BB02P02,FF10BB02P03,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24P01,FF10BB24P02,FF10BB24P03,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48P01,FF10BB48P02,FF10BB48P03,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02P01,PA10BB02P02,PA10BB02P03,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24P01,PA10BB24P02,PA10BB24P03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48P01,PA10BB48P02,PA10BB48P03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
Peak_01,Timolol,344992,137488,345998,678126,728405,537150,495725,350009,382713,376528,2380532,1885400,1616577,1752318,352869,274611,416625,2320305,1915570,2236142,1894930,367927,412771,401091,1241657,1287229,2371683,1024415,362049,396097,385151,3683806,3638670,6297019,6482676,328581,373319,379108,3452230,3511901,6122413,7002604
Peak_02,"Carbonic acid, dimethyl ester",375009,421701,441969,464790,379677,497760,477366,332153,435887,369630,324366,408525,349923,413202,295756,167234,321516,326550,311850,352172,360391,429807,485347,472464,525461,487310,524416,364098,400299,416493,412659,378610,405032,423117,384219,328355,247564,373764,332367,329948,388365,314518
Peak_03,1-Butanol,289554,291783,334620,470709,678942,532686,530372,324336,326114,325730,779518,901451,661817,680585,326647,330657,343952,971694,1094536,935998,786831,375130,366849,370223,829158,790983,668190,795502,383829,378035,399377,1560392,1505297,1356697,1517385,351154,382071,384392,1486087,1532640,1524521,1456332
Peak_04,"1-Butanol, 3-methyl-",7574332,8356965,8101878,11356268,12878037,12411051,11882920,7297211,7970760,7387088,13344217,13807912,13445956,13098228,6718494,7467187,7018318,14121788,13778283,16219410,13982354,8132241,9273344,8804624,21756327,22183209,19332327,18763285,7189167,8486316,8050708,20355464,22687168,19086383,19384856,6910396,8082410,7596814,19512183,22675693,19273384,18199341
Peak_05,2-Nonanone,10652,9729,10919,15126,23502,19869,20939,2480,2012,2062,31656,52569,42191,51724,1831,2683,2142,26458,33593,30706,43176,11957,11838,15475,15184,16461,18979,13034,2554,1754,689,3685,1682,3067,2412,1538,424,979,2613,1903,2631,2302
Peak_06,"Benzene, 1,3-bis(1,1-dimethylethyl)-",16305,14318,14007,290951,495146,454559,482462,2216,3671,2129,64007,113160,144093,150491,2981,365,835,23037,42408,71876,69521,9985,10366,25313,30084,36854,36657,31451,601,623,1210,15173,15975,14828,18810,188,396,610,5779,8023,6726,9946
Peak_07,"Pyrazine, 3-ethyl-2,5-dimethyl-",225684,252832,262141,283963,333229,325931,323637,230137,257635,253359,253478,280319,267988,295929,227297,226452,222704,228217,245850,293153,265177,248428,295984,320484,319181,318208,333754,322570,251221,297280,262462,276987,287417,291375,247112,248488,224914,229170,252025,239709,257294,257559
Peak_08,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",75516,99652,97450,521514,673884,599520,526018,77658,86053,81651,863526,1065062,841636,812801,65726,70145,67746,902756,1089192,1130607,922871,102441,118822,113654,119057,114060,121695,114118,71285,91250,87600,85368,83325,92928,84631,63588,70492,70796,70204,67906,76010,66483
Peak_09,"1-Propanol, 3-(methylthio)-",1840,3032,1913,4733,6033,4264,4092,8711,0,0,13235,10995,12900,12711,0,0,0,13666,12149,21257,13140,1041,478,2590,8684,8287,6510,3871,596,0,0,14123,17227,14064,8142,0,0,0,17987,17120,16661,12512
Peak_10,(-)-Myrtenol,1780,2992,1912,22244,30281,30045,24430,2230,2167,2918,44822,54697,41130,40426,2184,1459,6581,44265,56482,60063,47317,2566,3993,1824,3189,2247,5282,3367,2568,2016,2771,2820,2815,9291,2630,1770,2133,7999,2180,2394,2388,2502
Peak_11,Benzyl alcohol,48217,60920,54852,211642,379742,314141,244922,62579,68346,64119,560516,643188,525893,500017,87916,64715,70022,692790,641231,719753,611755,48764,55381,76873,586234,589232,625569,569619,65266,64804,66159,730957,810469,755320,643270,80421,71663,69984,797813,696167,776611,768590
Peak_12,Phenylethyl Alcohol,32495,34470,34213,55003,84667,79124,72238,39569,45946,42711,238559,329246,271162,266441,56447,49353,45207,464404,502670,532672,467125,32660,37368,61319,89550,114362,99184,87268,39635,45893,36623,128603,237174,161725,113986,57395,45002,45622,168554,242111,206185,176591
Peak_13,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-  a",395,604,0,5096,9185,12665,12381,441,0,567,11626,15995,23761,11523,0,199,831,13363,17929,15786,12171,1263,143,1422,885,0,0,229,404,301,0,1401,4088,2098,0,138,869,0,885,268,1702,637
Peak_14,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-   b",0,995,0,5099,8645,12536,12158,448,0,1198,13187,16069,23455,11100,0,0,814,13251,15737,16607,12537,1493,498,747,894,0,0,1315,0,530,342,1846,4953,0,0,842,863,0,858,293,0,774
Peak_15,"p-Mentha-1(7),8(10)-dien-9-ol",3898,3493,3354,12943,20048,14871,16542,4922,5331,5430,26829,29627,24290,24887,4375,4281,4718,26412,30660,37622,29195,2257,5950,7135,4102,4956,5506,3443,4077,5068,4194,3567,4740,4731,2744,4625,4104,4980,4143,2406,5285,3421
Peak_16,Eugenol,11600,12025,11711,25169,41932,34149,32588,11388,14326,13127,68073,92951,62496,54957,13779,13000,10341,112952,126240,106608,86550,11118,14315,19190,15596,16807,20864,15869,13091,15960,12891,16752,16295,17782,13556,13051,12677,13463,14644,13675,14806,15998
