Peak_ID,Library/ID,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
Peak_01,"Disulfide, dimethyl",12517959,13537271,7381042,10048542,1586150,1634734,2233466,2462567,256941,482626,842540,340014,12266977,10632055,14587695,10746609,2380548,2142491,2731278,2993519,416687,315197,433257,621247
Peak_02,"1-Butanol, 3-methyl-, acetate",136327,174743,151782,148148,34504,46495,43800,42639,16120,20651,24659,23062,82924,82973,102423,64820,65260,73678,51901,62381,62997,66765,46832,61913
Peak_03,Heptanal,1991,6346,2072,2981,0,2036,1236,1377,1633,867,1327,624,3895,5451,6122,5103,25436,19648,27264,18679,56585,33426,46041,38986
Peak_04,"2-Hexenal, (E)-",11356268,12878037,12411051,11882920,13344217,13807912,13445956,13098228,14121788,13778283,16219410,13982354,21756327,22183209,19332327,18763285,20355464,22687168,19086383,19384856,19512183,22675693,19273384,18199341
Peak_05,Acetoin,43436,52682,54860,48613,83617,109207,68013,72079,103656,126450,94046,81570,257843,353039,196543,169195,260842,397830,503803,324535,312236,706326,884505,579790
Peak_06,1-Heptanol,46983,64770,64798,58018,42660,51783,39853,42311,35906,41675,48447,40186,43749,49517,50522,44519,32608,29854,33946,27870,23532,21869,27766,23552
Peak_07,"1-Hexanol, 2-ethyl-",69803,86624,113484,88991,64237,92774,69184,76502,75461,74375,77175,78530,147871,98882,82336,134581,97167,69854,66945,99000,68289,72425,551968,460955
Peak_08,Benzonitrile,248390,321734,310046,304962,200046,225772,214360,230590,160356,160450,183607,184532,429653,414947,515191,379390,357436,371027,446037,303457,279327,251803,319203,252409
Peak_09,2-Furanmethanol,44994,80558,65466,42505,129120,141698,108737,92453,167525,141144,152753,133014,153962,171731,182712,162515,188235,198115,207319,160571,200850,187825,223196,201398
Peak_10,Mequinol,1897,3519,3960,2690,2291,3676,3094,3102,3483,2995,2373,2948,7212,8297,20741,6224,8958,11116,25544,8363,11065,17974,28939,12956
Peak_11,"2H-Pyran-2-carboxaldehyde, 5,6-dihydro-",1463,638,277,987,978,374,181,137,1088,522,643,265,875,684,645,247,7433,1067,7071,144,2204,2926,50949,1048
Peak_12,Phenol,42886,64838,76716,70503,62704,75829,65035,62869,68773,60347,69848,75288,77915,81761,102909,74036,82165,92179,113710,67797,83245,84311,126429,69499
Peak_13,"Carbonic acid, dimethyl ester",464790,379677,497760,477366,324366,408525,349923,413202,326550,311850,352172,360391,525461,487310,524416,364098,378610,405032,423117,384219,332367,329948,388365,314518
Peak_14,2-Nonanone,15003,23283,19596,20939,31663,52752,42327,51667,26378,34143,35462,42550,15109,15651,19143,14152,3687,2462,3038,2211,2556,2482,2680,2267
Peak_15,"Benzene, 1,3-bis(1,1-dimethylethyl)-",290951,495146,454559,482462,64007,113160,144093,150491,23037,42408,71876,69521,30084,36854,36657,31451,15173,15975,14828,18810,5779,8023,6726,9946
Peak_16,"Pyrazine, 3-ethyl-2,5-dimethyl-",282510,333229,301770,323637,253478,259254,267988,295929,227740,245801,292990,264980,319181,299388,334246,322570,277242,287445,291375,247112,251424,239663,243445,257559
Peak_17,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",521514,673884,599520,526018,863526,1065062,841636,812801,902756,1089192,1130607,922871,119057,114060,121695,114118,85368,83325,92928,84631,70204,67906,76010,66483
Peak_18,"1-Propanol, 3-(methylthio)-",4512,6033,4264,4092,13309,10995,12900,12711,13666,12149,20670,13140,8684,8448,6510,6589,14113,14746,14064,7980,17987,16750,16661,12647
Peak_19,(-)-Myrtenol,22239,29586,30223,24351,44808,54750,41374,40361,44255,56308,60253,47378,14375,2087,5253,3501,2790,2887,9312,2598,2183,1884,2416,2614
Peak_20,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-    a",5099,8645,12536,12158,13187,16069,23455,11100,13251,15737,16607,12537,894,0,0,1315,1846,4953,0,0,858,293,0,774
Peak_21,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-    b",5099,8645,12536,12158,13187,16069,23455,11100,13251,15737,16607,12537,894,0,0,1315,1846,4953,0,0,858,293,0,774
Peak_22,"p-Mentha-1(7),8(10)-dien-9-ol",12879,19678,14871,16542,26822,29627,24290,24929,26412,30660,37605,29201,4110,4762,5506,3443,3578,4740,4526,2751,3975,2406,5181,3421
Peak_23,Eugenol,25169,41932,34149,32588,68073,92951,62496,54957,112952,126240,106608,86550,15596,16807,20864,15869,16752,16295,17782,13556,14644,13675,14806,15998
