Peak_ID,Library/ID,FF10BB02P01,FF10BB02P02,FF10BB02P03,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24P01,FF10BB24P02,FF10BB24P03,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48P01,FF10BB48P02,FF10BB48P03,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02P01,PA10BB02P02,PA10BB02P03,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24P01,PA10BB24P02,PA10BB24P03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48P01,PA10BB48P02,PA10BB48P03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
Peak_01,"Disulfide, dimethyl",9697751,1009399,6234066,12501377,13537308,7381118,10048542,2743812,1456289,1649524,1587115,1634734,2234105,2462567,192375,342846,374385,256941,475838,842540,339469,10059866,9608230,12352475,12317330,10638066,14588493,10746609,1489798,2022653,2060737,2380548,2142491,2731278,2993532,300704,308312,245915,416680,315197,433238,621590
Peak_02,"1-Butanol, 3-methyl-, acetate",106126,126956,128321,136371,175199,152839,148187,37418,45663,40817,34504,47453,43800,42639,14826,19748,18078,16086,20069,21378,23062,101868,128893,136129,82380,82996,104189,64782,32227,37848,39568,65641,73660,51899,62381,13599,14854,16762,62757,66790,46832,62074
Peak_03,1-Butanol,289554,291783,334620,470709,678942,532686,530372,324336,326114,325730,779518,901451,661817,680585,326647,330657,343952,971694,1094536,935998,786831,375130,366849,370223,829158,790983,668190,795502,383829,378035,399377,1560392,1505297,1356697,1517385,351154,382071,384392,1486087,1532640,1524521,1456332
Peak_04,Heptanal,7324,9185,11246,1908,6346,1961,3000,7316,9485,9162,,2189,1236,1337,13896,8696,9805,1730,867,1327,624,12391,13717,18040,6054,5446,6204,5103,10683,14351,14980,25462,19639,28644,18679,9889,11194,12442,56535,33426,46041,39032
Peak_05,"1-Butanol, 3-methyl-",7574332,8356965,8101878,11356268,12878037,12411051,11882920,7297211,7970760,7387088,13344217,13807912,13445956,13098228,6718494,7467187,7018318,14121788,13778283,16219410,13982354,8132241,9273344,8804624,21756327,22183209,19332327,18763285,7189167,8486316,8050708,20355464,22687168,19086383,19384856,6910396,8082410,7596814,19512183,22675693,19273384,18199341
Peak_06,"2-Hexenal, (E)-",7574332,8356965,8101878,11356268,12878037,12411051,11882920,7297211,7970760,7387088,13344217,13807912,13445956,13098228,6718494,7467187,7018318,14121788,13778283,16219410,13982354,8132241,9273344,8804624,21756327,22183209,19332327,18763285,7189167,8486316,8050708,20355464,22687168,19086383,19384856,6910396,8082410,7596814,19512183,22675693,19273384,18199341
Peak_07,Acetoin,34203,36565,36410,43349,52371,55134,48613,38752,39501,38951,83687,108751,68013,72525,40231,37416,37847,103656,126217,94043,81333,34879,39063,40965,258838,353039,195716,168659,36638,42148,39583,260082,397830,504651,324535,36094,36487,40899,312274,706326,884701,579790
Peak_08,1-Heptanol,29341,36767,36943,47171,64770,65237,57794,29500,32604,30979,43279,51783,40271,42445,24570,23853,20357,35906,41940,48509,42352,36438,45454,51449,43749,49664,53903,44179,23544,36787,26238,32608,29982,33946,27870,20210,21314,24678,26461,21869,27920,23882
Peak_09,"1-Hexanol, 2-ethyl-",53530,58083,87231,69455,85792,113583,88777,42596,76989,58021,64235,92774,69182,76580,86060,54256,48612,75534,74187,77136,78438,127413,103867,71902,147799,98882,81928,134581,115275,96005,94040,97141,69851,67028,99000,56844,72152,80758,68237,71509,552159,450842
Peak_10,Benzonitrile,234748,239574,236620,248390,321734,310046,304962,190367,217599,218777,200046,225772,214360,230590,171417,147026,165627,160356,160450,183607,184532,232743,258378,300068,429653,414947,515191,379390,195321,227992,211433,357436,371027,446037,303457,176242,150220,168599,279327,251803,319203,252409
Peak_11,2-Furanmethanol,12956,16845,18401,44994,80712,65492,42505,15699,18924,17524,129248,141686,108722,92453,21943,17889,16454,167525,141144,152639,133014,17168,22343,22484,153962,171882,182837,162515,20674,22436,20358,188190,198115,207460,160571,24110,18628,21805,200993,185209,223160,201440
Peak_12,Mequinol,1678,2256,2011,1897,3519,3960,2690,2597,2413,3263,2291,3676,3094,3102,2584,1684,2333,3483,2995,2373,2948,2607,2737,4083,7212,8297,20741,6224,2362,2795,2713,8958,11116,25544,8363,3880,2824,2835,11065,17974,28939,12956
Peak_13,Benzyl alcohol,48217,60920,54852,211642,379742,314141,244922,62579,68346,64119,560516,643188,525893,500017,87916,64715,70022,692790,641231,719753,611755,48764,55381,76873,586234,589232,625569,569619,65266,64804,66159,730957,810469,755320,643270,80421,71663,69984,797813,696167,776611,768590
Peak_14,Phenylethyl Alcohol,32495,34470,34213,55003,84667,79124,72238,39569,45946,42711,238559,329246,271162,266441,56447,49353,45207,464404,502670,532672,467125,32660,37368,61319,89550,114362,99184,87268,39635,45893,36623,128603,237174,161725,113986,57395,45002,45622,168554,242111,206185,176591
Peak_15,"2H-Pyran-2-carboxaldehyde, 5,6-dihydro-",2193,2196,1543,1706,1138,,1745,1043,853,527,1338,9,888,,,,1628,2039,61,2209,,1251,,1229,1009,1754,2583,,1936,2682,5546,8001,2261,8038,3008,611,,2479,2156,2835,52194,305
Peak_16,Phenol,48426,53649,67379,42886,64838,76716,70503,51222,66370,62607,62704,75829,65035,62869,72802,52717,57334,68773,60347,69848,75288,68182,70851,70537,77915,81761,102909,74036,61058,64518,61877,82165,92179,113710,67797,56853,56658,60474,83245,84311,126429,69499
