Peak_ID,Library\ID,FF10BB02B01,FF10BB02B02,FF10BB02B03,FF10BB02P01,FF10BB02P02,FF10BB02P03,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24B01,FF10BB24B02,FF10BB24B03,FF10BB24P01,FF10BB24P02,FF10BB24P03,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48B01,FF10BB48B02,FF10BB48B03,FF10BB48P01,FF10BB48P02,FF10BB48P03,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02B01,PA10BB02B02,PA10BB02B03,PA10BB02P01,PA10BB02P02,PA10BB02P03,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24B01,PA10BB24B02,PA10BB24B03,PA10BB24P01,PA10BB24P02,PA10BB24P03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48B01,PA10BB48P01,PA10BB48P02,PA10BB48P03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
peak_001,Methanethiol,1978,1068,667,167476,0,320134,112276,179026,397002,228974,458,2608,1471,61078,119351,71520,74178,149215,85839,70616,1330,739,83,37920,24292,40427,51738,59083,51996,51239,0,62,467,534950,394418,375832,602957,495427,393940,484934,2549,1592,2349,113121,141160,144507,167944,130668,138628,197429,1140,56088,67481,44378,48064,45419,50678,61523
peak_002,Carbon dioxide,5302940,5363607,2575301,1892287,0,4548077,1095788,1756727,3196963,2511928,4001800,3336627,4900740,1735458,2295723,1985829,1829345,2466417,2089751,1791919,4184440,3961639,3051267,3533076,1837682,1930663,2081449,1947515,1816489,2034952,1597982,7050084,6016313,3459811,3558787,2323899,3099309,2904503,1936312,2723880,5868871,5006522,3481395,2624880,2013141,2567120,2252919,2219563,1635325,2514750,5252831,1642335,2622436,2495687,1892396,1997313,2151373,1680533
peak_003,Acetaldehyde,24433,14948,17794,523582,1389,581774,245633,193022,282003,201606,22093,14663,33231,968016,1023846,958880,180535,40898,148084,51857,15719,17126,6637,1030323,1032459,994683,174313,32035,106642,80409,3836,79276,36000,607886,691847,618025,153956,157942,180605,152088,10744,27689,10455,1018451,1049180,1105859,738243,760920,648022,946751,30281,1054570,1176962,1175180,833465,1256046,883940,1014386
peak_004,Dimethyl sulfide,308,856,251,1682595,124,2062932,1690275,2691172,2019156,2190417,3293,4765,3554,816112,961351,556433,501599,930731,806868,710917,4150,3834,652,336476,380022,244012,238899,375734,355262,235126,130,320,1990,1901890,2100713,1949533,2008836,1762072,1870992,1605081,3983,0,4091,642370,783952,826847,760117,611257,746137,688725,2547,277813,343762,358628,330424,312974,368025,296748
peak_005,Acetone,92268,105221,1191,5693340,1852,6358567,4790925,6592300,5677543,6422850,20505,48775,26734,8497533,7715847,7910559,7714885,6994941,7297014,7621361,22288,39413,3018,8667775,8565014,8989245,7930285,7660158,9214362,7554658,6349,49187,155039,7040968,7183935,6424290,6895839,6599428,6259018,6699334,46900,55333,51067,8634778,8934716,8880803,7676652,6980168,7507681,7550760,46616,8563162,9057056,9851102,7457542,6529199,8432558,7577073
peak_006,"Acetic acid, methyl ester",0,0,589,1074820,59244,797883,1257198,1492757,1511188,1176010,0,1247,2251,897669,1187097,901129,1118434,1158270,1171401,1206224,5898,0,1206,948851,749606,808683,1031965,1114122,1219627,1368039,0,4578,0,1186085,1257368,1259625,1353324,1325577,1345741,1191060,336,0,777,880850,1229822,1269823,1092357,994292,1076951,1128790,0,1041764,1206289,1102268,781666,1123141,1041279,776432
peak_007,Ethyl acetate,6683,10141,876,18201009,5354657,16632720,19194227,22655064,19178244,21065225,23060,6205,12627,15625528,17170824,14835117,16777552,18740921,17395083,17927884,8614,2537,2450,11815125,11344316,11782458,11874425,14065588,15649411,10207613,2045,4148,10911,19337361,21413573,20376462,20060437,20071086,20470673,18819787,14060,2642,3765,14041075,18073100,17414432,13092797,12321128,16183652,11502695,16241,11847850,13237110,13777259,7787251,6501318,11732555,7073024
peak_008,2-Butanone,23433,69071,0,2510705,4432,1768726,2696591,3089642,3158300,2771034,4972,8057,9944,2582177,2301917,2787504,2968513,3028690,2934122,3244318,5669,4688,416,2666361,2288176,2800167,2879665,2982120,3421762,2986428,2221,11750,31071,2539614,2711709,2829966,2829473,2619471,2663739,2795521,8424,11958,10005,1759718,2352322,2619942,2671571,2643330,2467406,2942844,12785,2379120,2651575,2751722,2785879,2318601,2540008,3001555
peak_009,"Butanal, 2-methyl-",974,292,479,2183354,0,2458840,1566298,1768847,1481829,1692874,0,2262,2731,3754551,3600265,3265738,1233914,43135,1448802,1025258,548,652,296,3565851,3880850,3563254,1151915,105584,1372389,739735,391,575,1556,2607942,2663767,2898937,1549938,1409024,2415791,1551960,433,137,1581,3588601,3832823,4001724,2082422,1729148,3052086,1228868,0,3619723,3946524,3938292,2568415,1895311,2928507,1938833
peak_010,"Butanal, 3-methyl-",5342,2740,1079,7859794,0,8404684,2600090,2848369,2446137,2957384,7752,6367,7285,13286991,13078522,11843235,813434,427038,1447446,1787974,8271,5531,2381,12758112,12976811,12864993,957147,498518,1274087,1127345,0,2263,18200,8561504,8799509,9027724,2167805,1686241,3700466,2228642,0,1774,2626,12295849,12870483,13414066,5129119,3449444,6396234,2871973,10143,12659168,13138489,13807639,7012143,4219714,7399319,4914518
peak_011,Ethanol,23336,27828,1633,17927295,0,12516915,18793497,22597708,19372239,21868818,54139,67036,59874,19968871,20818785,20109736,21764747,22090296,22037736,21540849,51003,43316,4783,18685345,13194824,19708711,20769219,22141884,22168131,15987918,5094,19081,56222,21994832,22191540,20416274,23299559,21790918,21193047,23676899,59101,61470,28494,20548958,22022250,22842930,21521501,20667528,21794043,22506260,62891,19349322,22549801,21378664,20423843,19018822,22264764,20363840
peak_012,"Furan, 2-butyltetrahydro-",116,2632,123,749347,947,779645,866637,1161168,956130,1051559,172,618,122,545425,626851,552347,545995,699319,638728,655116,2079,1136,1200,354166,257286,380073,338075,433877,484177,344370,266,385,2448,838551,963032,954719,953914,937810,991918,882150,392,1274,146,499302,642333,584669,583044,570412,646132,534739,1958,341428,380036,402442,384038,325173,444283,373959
peak_013,"Cyclotetrasiloxane, octamethyl-",8242775,5958003,41334,2879022,20737,2145185,1839097,969317,1810296,1882382,4702060,3815935,1090729,1965965,1760177,3575746,2945600,2452600,3284957,2766094,3346932,2262614,792102,2987027,3312859,3294699,2935320,3387027,3655437,2361540,675228,2013295,8923883,2041441,2680782,2005676,2499685,1810360,1599916,2005490,1497401,650877,1948215,1541994,2636424,3317629,2617332,2673905,2174470,2841210,3394971,2752071,3392609,3064767,3197395,2776168,3020557,2338045
peak_014,"Carbonic acid, dimethyl ester",0,430,500,266684,3270,234972,306160,382875,366460,329342,989,283,1637,104779,290598,104478,298156,331356,283686,292373,0,0,982,204613,180828,200796,240988,269820,295619,263322,1601,0,620,306992,369907,348301,219136,342814,374934,327583,906,162,0,241185,339623,307809,293813,293162,321946,283381,1695,243636,269632,269992,243978,248359,280699,243255
peak_015,"2-Pentene, 2,4-dimethyl-",200,680,328,88357,0,61690,112546,146739,110623,129864,493,170,539,73013,81654,76136,73124,90145,85380,88238,147,219,500,49325,49832,49657,43185,58348,64652,44570,101,667,290,110270,120793,124792,119902,114875,123288,111990,756,1245,92,44393,85092,77407,77529,78001,84542,73177,154,40566,49783,50333,49367,38909,54823,49419
peak_016,Methyl Isobutyl Ketone,2201,1116,549,57668,122456,72262,60309,92141,65504,77895,2115,0,2400,60372,66068,45145,49948,59492,62433,52220,1191,187,387,40581,41335,33034,35865,38968,48916,43894,737,766,2858,78994,78758,85389,77944,78052,89347,70224,3155,481,0,54473,59528,53657,62423,64470,69989,83648,256,35134,42988,42046,48789,56611,49809,42785
peak_017,Methyl isovalerate,1162,59,108,518743,0,627738,652956,884108,633584,733440,162,228,183,263265,306430,260245,235996,322155,269538,287348,0,0,547,111032,130346,119437,86075,127857,139622,109642,169,718,161,547915,654451,655509,605713,574112,623627,546406,531,973,227,221692,268259,248918,241710,229975,276999,215427,807,97405,102088,113632,107410,81161,123592,96364
peak_018,2-Butanol,19018,23585,1392,128084,302,131651,149696,163338,148866,173441,7911,9401,16165,143288,146412,143743,178262,184438,171677,180693,9652,8848,2225,93099,142149,106303,154028,189087,193075,137747,4635,16908,34149,134013,138259,119709,150079,140301,137729,170237,8038,13990,11154,126650,134552,137573,147334,124563,139751,153961,9412,123937,123783,141292,141833,116581,144499,140048
