[contents]
count=1
Name=,C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\JTB-E02-207-13.D
1=,PBM Apex
[PBM Apex]
Time=,Thu May 09 16:06:18 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.4184, 3.3242,"Carbon dioxide",    81,"000124-38-9", 4
2=,  2,  2.5695, 0.3992,"Propanamide",   735,"000079-05-0",78
3=,  3,  2.6433, 0.3883,"L-Alanine, methyl ester",  4633,"010065-72-2",50
4=,  4,  2.7734, 0.3965,"O-Diethylboryl(aminoethanol)", 13201,"1000159-57-4",39
5=,  5,  3.3017, 1.5487,"Acetone",   216,"000067-64-1",72
6=,  6,  3.3877, 3.3263,"Acetic acid, methyl ester",   829,"000079-20-9", 9
7=,  7,  3.4935,11.9399,"Arsenous acid, tris(trimethylsilyl) ester",199618,"055429-29-3",78
8=,  8,  3.8948, 1.1491,"Ethyl Acetate",  2041,"000141-78-6",47
9=,  9,  4.0112, 1.8231,"Isopropyl acetate",  4325,"000108-21-4",72
10=, 10,  4.1053, 0.5157,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",43
11=, 11,  4.4027, 0.6445,"Isopropyl Alcohol",   295,"000067-63-0",64
12=, 12,  4.4890, 0.5620,"Propanamide, 2-hydroxy-",  2199,"002043-43-8", 9
13=, 13,  5.1831, 1.5551,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",91
14=, 14,  5.2406,11.8953,"Butanoic acid, methyl ester",  4382,"000623-42-7",90
15=, 15,  5.5236, 0.8888,"Butanoic acid, methyl ester",  4375,"000623-42-7",53
16=, 16,  5.6737, 1.1175,"Pentanoic acid, 2-methyl-, methyl ester", 13866,"002177-77-7",55
17=, 17,  5.8525, 1.0322,"Methyl isovalerate",  8239,"000556-24-1",35
18=, 18,  5.9894, 0.5145,"3-Methylbenzamide oxime, O-(tert.-butyldimethylsilyl)-",124518,"1000395-65-7",37
19=, 19,  6.2073, 2.2566,"Butanoic acid, ethyl ester",  8300,"000105-54-4",94
20=, 20,  6.2958, 2.4104,"Isopropyl butyrate", 13727,"000638-11-9",83
21=, 21,  6.5577, 0.3303,"Succinamic acid",  8606,"000638-32-4",30
22=, 22,  6.7257, 0.3069,"Azetidin-2-one 3,3-dimethyl-4-(1-aminoethyl)-", 20065,"1000161-94-5",43
23=, 23,  6.7903, 0.2476,"2-Methylaminomethyl-1,3-dioxolane",  8669,"057366-77-5",47
24=, 24,  6.8273, 0.1670,"Urea, N,N-dimethyl-",  1980,"000598-94-7",43
25=, 25,  6.8897, 0.5584,"Methyldiethanolamine",  9242,"000105-59-9",43
26=, 26,  6.9768, 1.1354,"Acetic acid, butyl ester",  8263,"000123-86-4",43
27=, 27,  7.2949, 0.1525,"Methyl-2-O-methyl.alpha.d-glucopyranoside", 72945,"015064-82-1",59
28=, 28,  7.9420, 0.0504,"Methyl 2,5-dioxo-1H,6H,7H-cyclopenta[b]pyridine-3-carboxylate", 71266,"1000388-01-3",50
29=, 29,  8.2166, 0.5623,"1-Butanol, 3-methyl-, acetate", 13792,"000123-92-2",78
30=, 30,  8.7965, 0.1213,"Pentanoic acid, 4-methyl-, methyl ester", 13862,"002412-80-8",47
31=, 31,  8.9226, 0.0730,"1-Butanol",   840,"000071-36-3",43
32=, 32,  9.0491, 0.9628,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",95
33=, 33,  9.2277, 0.1627,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",68
34=, 34,  9.3095, 0.2504,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",90
35=, 35,  9.6377, 0.1227,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",35
36=, 36, 10.0305, 7.7640,"Hexanoic acid, methyl ester", 13784,"000106-70-7",90
37=, 37, 10.1096, 0.9156,"Hexanoic acid, methyl ester", 13772,"000106-70-7",93
38=, 38, 10.2080, 0.9950,"Hexanoic acid, methyl ester", 13783,"000106-70-7",90
39=, 39, 10.5830, 0.2026,"Hexanoic acid, methyl ester", 13772,"000106-70-7",46
40=, 40, 10.7284, 0.3400,"Cyclopropane, 1,2-dimethyl-, trans-",   590,"002402-06-4",38
41=, 41, 10.9727, 0.1836,"Butanoic acid, butyl ester", 21448,"000109-21-7",72
42=, 42, 11.3253, 0.0343,"l-Gala-l-ido-octose",102727,"1000130-12-1",35
43=, 43, 11.4458, 2.3387,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",97
44=, 44, 11.6514, 0.0819,"Hexanoic acid, ethyl ester", 21454,"000123-66-0",50
45=, 45, 11.8461, 0.0797,"(E)-1-Propene-1,2,3-tricarboxylic acid", 43175,"004023-65-8",43
46=, 46, 12.4389, 0.0927,"Butanoic acid, 3-methylbutyl ester", 31339,"000106-27-4",64
