"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\","JTB-E02-208-23.D","14 Mar 2019  11:49    ","REP01   E-2"," "
"PBM Apex"
"Wed May 08 14:30:22 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\","JTB-E02-208-23.D","14 Mar 2019  11:49    ","REP01   E-2"," "
"PBM Apex"
"Thu May 09 15:57:46 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
  1,  2.4188, 0.3729,"Carbon dioxide",    81,"000124-38-9", 4
  2,  2.6481, 0.0186,"2-Butanamine, 3-methyl-",  1936,"000598-74-3", 9
  3,  2.7168, 0.0182,"1,2-Ethanediamine, N-(2-aminoethyl)-",  4602,"000111-40-0", 7
  4,  2.7737, 0.1232,"Acetaldehyde",    71,"000075-07-0",64
  5,  2.9583, 0.0374,"Dimethyl sulfide",   338,"000075-18-3",87
  6,  3.3004, 1.7391,"Acetone",   216,"000067-64-1",50
  7,  3.3865, 6.5523,"Acetaldoxime",   245,"000107-29-9",12
  8,  3.8954, 6.2488,"Ethyl Acetate",  2038,"000141-78-6",49
  9,  4.0117, 3.6250,"Isopropyl acetate",  4322,"000108-21-4",45
 10,  4.1052, 2.1730,"Methyl propionate",  2047,"000554-12-1",46
 11,  4.3135, 0.3916,"Ethyl Acetate",  2042,"000141-78-6",72
 12,  4.4013, 0.4791,"Propane, 2-ethoxy-",  2135,"000625-54-7",64
 13,  4.4903, 1.6625,"Ethanol",    96,"000064-17-5",64
 14,  4.7951, 0.4016,"Propanoic acid, ethyl ester",  4381,"000105-37-3",90
 15,  4.8604, 0.2741,"Propanoic acid, 1-methylethyl ester",  8353,"000637-78-5",64
 16,  4.9263, 0.2721,"Propanoic acid, 2-methyl-, ethyl ester",  8367,"000097-62-1",49
 17,  5.0587, 0.2225,"n-Propyl acetate",  4319,"000109-60-4",64
 18,  5.1067, 0.4920,"2-Pentanone",  1729,"000107-87-9",80
 19,  5.1792, 0.1283,"trisiloxane, 1,1,1,5,5,5-hexamethyl-3-[(trimethylsilyl)oxy]-",155972,"1000402-10-5",59
 20,  5.2457, 8.0993,"Butanoic acid, methyl ester",  4382,"000623-42-7",35
