[contents]
count=23
Name=,C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\JTB-E02-208-24.D
1=,INT TIC: JTB-E02-208-24.D\data.ms
2=,INT TIC: JTB-E02-207-06.D\data.ms
3=,INT TIC: JTB-E02-207-07.D\data.ms
4=,INT TIC: JTB-E02-207-11.D\data.ms
5=,INT TIC: JTB-E02-207-12.D\data.ms
6=,INT TIC: JTB-E02-207-13.D\data.ms
7=,INT TIC: JTB-E02-207-16.D\data.ms
8=,INT TIC: JTB-E02-207-17.D\data.ms
9=,INT TIC: JTB-E02-207-18.D\data.ms
10=,INT TIC: JTB-E02-208-19.D\data.ms
11=,INT TIC: JTB-E02-208-22.D\data.ms
12=,INT TIC: JTB-E02-208-23.D\data.ms
13=,INT TIC: JTB-E02-208-25.D\data.ms
14=,INT TIC: JTB-E02-208-26.D\data.ms
15=,INT TIC: JTB-E02-208-27.D\data.ms
16=,INT TIC: JTB-E12-002-05.D\data.ms
17=,INT TIC: JTB-E12-002-08.D\data.ms
18=,INT TIC: JTB-E12-002-09.D\data.ms
19=,INT TIC: JTB-E12-002-10.D\data.ms
20=,INT TIC: JTB-E12-002-11.D\data.ms
21=,INT TIC: JTB-E12-002-12.D\data.ms
22=,INT TIC: JTB-E12-002-13.D\data.ms
23=,PBM Apex
[INT TIC: JTB-E02-208-24.D\data.ms]
Time=,Thu May 09 15:58:58 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.414,   35,  40,  74,"PV  ",14085228,418482957,  8.55,  1.221
2=,  2,  2.712,   74,  77,  80,"VV  ", 647078, 16877161,  0.35,  0.049
3=,  3,  2.768,   80,  84, 103,"VV  ",9301994,210236473,  4.30,  0.613
4=,  4,  2.953,  103, 107, 132,"VV  ",1280378, 83352618,  1.70,  0.243
5=,  5,  3.183,  132, 135, 140,"VV  ", 491061, 17408798,  0.36,  0.051
6=,  6,  3.295,  140, 149, 155,"VV  ",15018020,328001050,  6.71,  0.957
7=,  7,  3.381,  155, 159, 216,"VV 2",38238662,1872304646, 38.27,  5.461
8=,  8,  3.900,  216, 223, 233,"VV 4",112503945,4891830257,100.00, 14.269
9=,  9,  4.009,  233, 237, 281,"VV 2",57486173,4415885751, 90.27, 12.881
10=, 10,  4.397,  281, 284, 290,"VV  ",9577431,355944308,  7.28,  1.038
11=, 11,  4.492,  290, 296, 328,"VV 2",37448553,1862330099, 38.07,  5.432
12=, 12,  4.791,  328, 333, 339,"VV  ",9513575,282920741,  5.78,  0.825
13=, 13,  4.854,  339, 341, 345,"VV  ",3930671,106677643,  2.18,  0.311
14=, 14,  4.925,  345, 349, 361,"VV  ",10567724,377326499,  7.71,  1.101
15=, 15,  5.054,  361, 365, 369,"VV  ",11937630,292914393,  5.99,  0.854
16=, 16,  5.099,  369, 371, 376,"VV 3",4724670,130948068,  2.68,  0.382
17=, 17,  5.177,  376, 380, 383,"VV 4",3470143,101743187,  2.08,  0.297
18=, 18,  5.237,  383, 388, 427,"VV  ",21035637,937576326, 19.17,  2.735
19=, 19,  5.619,  430, 435, 437,"VV 3",1990989, 58200529,  1.19,  0.170
20=, 20,  5.672,  437, 441, 444,"VV  ",6252075,149504584,  3.06,  0.436
21=, 21,  5.730,  444, 448, 458,"VV  ",13703654,374083876,  7.65,  1.091
22=, 22,  5.848,  458, 463, 479,"VV  ",4180773,199080684,  4.07,  0.581
23=, 23,  5.994,  479, 481, 500,"VV 4",1334708,113026389,  2.31,  0.330
24=, 24,  6.217,  500, 508, 515,"VV 3",106275421,3010688226, 61.55,  8.782
25=, 25,  6.296,  515, 518, 545,"VV  ",22185526,1149680402, 23.50,  3.353
26=, 26,  6.565,  545, 551, 585,"VV  ",63495564,1884917098, 38.53,  5.498
