Peak_ID,Library\ID,SWDSB24C01,SWDSB24R01,SWDSB24C02,SWDSB24R02,SWDSB24C03,SWDSB24R03,SWDSB48C01,SWDSB48R01,SWDSB48C02,SWDSB48R02,SWDSB48C03,SWDSB48R03
Peak_001,Ethyl Acetate,16389721,38036972,40586079,37469156,6417484,28217874,13047193,39700320,39792629,40109067,21370067,41615206
Peak_002,Isopropyl acetate,9219718,25259854,35782939,24197455,10581643,16496418,13290006,44163900,45281428,42186903,19281106,43808254
Peak_003,Methyl propionate,6569767,39439384,49061974,39313881,14437628,22091295,12858664,49053585,49061974,49053585,25414371,49053585
Peak_004,"Propane, 2-ethoxy-",7559160,6175193,6629008,7388458,7441168,9085389,6867814,6777371,6792927,6620291,7730067,6705445
Peak_005,Ethanol,1480952,20980704,34327156,16690563,1719429,8641412,1747887,36334428,36704694,36276996,2658305,36486004
Peak_006,"Propanoic acid, 1-methylethyl ester",164228,3464585,1299226,1201906,662768,1277891,458777,5774846,2864167,4443610,1008286,4213163
Peak_007,2-Pentanone,312716,11934520,8703917,5556066,863721,3341672,453986,20516233,14252758,16289662,2428089,13242092
Peak_008,Isopropyl butyrate,6974777,34743817,14837620,11738186,15750116,27031506,7349189,34372140,16273088,14845743,11179120,22380019
Peak_009,"Pentanoic acid, 1-methylethyl ester",197300,4852647,15328445,4849786,657838,1592415,615640,36637573,22664019,32855459,1992346,28817942
Peak_010,"Propanoic acid, 2-methylpropyl ester",34471,2993505,427098,889551,107761,518076,57525,3441242,1011092,1874932,197224,2487502
Peak_011,Methyl valerate,180468,971020,183971,424048,419165,606724,359257,469751,185857,365911,293061,314948
Peak_012,"1-Propanol, 2-methyl-",137851,5416527,1696515,3241968,357542,1999528,167649,6514740,3485885,3934020,513024,4423639
Peak_013,"Butanoic acid, 1-methylpropyl ester",48186,726874,393443,333738,272526,528398,102966,601788,371756,406733,274796,787024
Peak_014,"Nonanoic acid, ethyl ester",13161,257231,204745,84024,26941,73843,13758,1913545,599157,686273,40134,811760
Peak_015,2-Butoxyethyl acetate,24153,490040,196666,243026,48955,174825,28987,989890,347163,1867325,67422,661254
Peak_016,"Pentanoic acid, 4-methyl-, methyl ester",80239,456796,65196,240640,181771,300436,136647,179943,68305,158603,135038,173955
Peak_017,1-Butanol,49855,1145362,772062,305907,58884,411137,32484,1630117,796483,992178,59828,650924
Peak_018,"Butanoic acid, butyl ester",90106,28738094,1142215,6806093,430145,9278647,81222,13937221,2740834,2898688,364885,8871458
Peak_019,"2-Butenoic acid, 1-methylethyl ester",2410,3214,2326,2861,2917,3374,1384,3632,3425,2879,2039,3180
Peak_020,"Acetic acid, heptyl ester",45476,1041415,342162,451435,127068,426081,71923,979149,639066,573969,173075,981239
Peak_021,Isobutyl isovalerate,26427,3792994,186038,2256563,105856,1593275,28523,3544796,523190,1596690,140694,3015107
Peak_022,"1-Butanol, 2-methyl-, (S)-",413405,4430181,1483868,2090340,1719503,2761006,708010,1418053,870201,739319,695186,905842
Peak_023,"Acetic acid, butyl ester",242015,1386970,413764,504374,605911,1143867,200234,947232,512825,493432,268869,715994
Peak_024,"Butanoic acid, butyl ester (1)",56289,4252583,496330,364124,235805,1874711,52828,1108793,346717,261327,97804,378559
Peak_025,"Hexanoic acid, 1-methylethyl ester",617719,22915823,28367675,4720837,2344537,7175775,380527,40390753,35639107,24762958,1072407,29216872
Peak_026,"2-Penten-1-ol, acetate, (Z)-",32250,345475,405418,499218,73585,128836,52972,387180,277597,262259,122815,797046
Peak_027,"Butanoic acid, 3-methyl-, butyl ester",10508,712112,145494,179791,75005,541372,14078,712977,192202,280715,74392,459789
Peak_028,"2-Heptanol, acetate",23344,484526,138706,142886,79585,211812,35507,760432,178302,163322,92533,338290
Peak_029,"Butanoic acid, 3-methylbutyl ester",73042,8307881,918681,1391426,834785,4528712,146902,7156048,2017706,2265645,594961,5298330
Peak_030,"Acetic acid, nonyl ester",30599,2564793,972558,499543,246252,695934,120481,4309501,1741642,1486596,362964,2093061
Peak_031,n-Butyl methacrylate,16732,5011260,1230649,1050138,49102,1974338,22308,7929347,1637003,4489926,68718,2996875
Peak_032,"2-Hexenoic acid, methyl ester",20639,429041,147419,207127,83695,184512,51986,451864,227536,255115,103526,262022
Peak_033,"Hexanoic acid, propyl ester",4512,202224,155146,94424,24041,83241,3478,127593,117866,150720,10310,78093
Peak_034,2-Heptanol,17241,445327,87589,69208,41175,145092,15265,732114,138632,116115,30535,266196
Peak_035,"5-Hexene-1-ol, acetate",15091,150802,77552,54638,31789,61051,17080,185570,113200,99600,44636,286217
Peak_036,"Silane, diethyl(trans-4-methylcyclohexyloxy)undecyloxy-",142893,149227,135999,122024,114259,121872,115988,179567,140991,131440,106499,144458
Peak_037,"Propanoic acid, hexyl ester",3907,296577,26550,14069,9406,55509,5150,202144,44865,38781,8039,65723
Peak_038,"Propionic acid, 3-hydroxy-2-isopropylidene-",11126,279167,201029,101746,36668,108209,13010,1859213,576931,1025497,83419,1156238
Peak_039,1-Hexanol,18744,11728665,1424467,322083,66802,1460800,24398,8194620,3050812,2023745,107321,3590106
Peak_040,"Propanoic acid, 2-methyl-, hexyl ester",2402,16760,5614,5527,3790,8581,2075,16139,8490,7242,4591,10002
Peak_041,"Acetic acid, heptyl ester (1)",11258,60682,28219,24302,15325,25246,12722,101662,51756,41494,16150,66115
Peak_042,CH3C(O)OCH(CH3)C(O)CH3,11351,321113,73513,151868,18579,111799,12206,214525,43104,89516,21562,191982
Peak_043,"Butanoic acid, 1-methylhexyl ester",3123,156520,11658,11803,12811,63744,3970,76272,13768,12946,7594,33144
Peak_044,"Hexanoic acid, 3-pentyl ester",2696,101426,33044,22618,23720,64827,2661,77781,42468,25556,10436,45083
Peak_045,Methyl 2-(methylthio)acetate,829,35816,4631,11212,4242,21957,2454,36684,5767,18545,16567,47266
Peak_046,Cyclohexanol,9741,77351,44034,26049,11689,47519,8112,60969,247791,93155,16292,320397
Peak_047,"Butanoic acid, 3-methyl-, hexyl ester",3194,462862,33240,32617,14561,264432,4642,377884,47993,49360,10629,189200
