[contents]
count=1
Name=,C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\JTB-E02-207-12.D
1=,PBM Apex
[PBM Apex]
Time=,Thu May 09 16:06:06 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.4166, 2.0095,"1,2-Ethanediamine, N-(2-aminoethyl)-",  4602,"000111-40-0", 7
2=,  2,  2.5058, 0.9980,"Alanylglycine, TMS derivative", 81934,"1000333-70-1",56
3=,  3,  2.7036, 0.1235,"1,3-Dioxolane-4-methanol",  4769,"005464-28-8",64
4=,  4,  2.7706, 0.2643,"1-Propanamine, N,2-dimethyl-",  1954,"000625-43-4",53
5=,  5,  3.1446, 0.1145,"9-Azabicyclo[6.1.0]non-4-en-9-amine, (1.alpha.,4Z,8.alpha.)-", 17902,"066387-78-8",50
6=,  6,  3.2978, 0.5081,"Acetone",   217,"000067-64-1",42
7=,  7,  3.3821, 1.1652,"Acetic acid, methyl ester",   829,"000079-20-9", 9
8=,  8,  3.4916, 4.6232,"Arsenous acid, tris(trimethylsilyl) ester",199618,"055429-29-3",78
9=,  9,  3.6965, 0.2780,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",64
10=, 10,  3.7229, 0.2064,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",80
11=, 11,  3.7799, 0.2042,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",58
12=, 12,  3.8904, 0.8571,"Ethyl Acetate",  2041,"000141-78-6",59
13=, 13,  4.0088, 1.0946,"Isopropyl acetate",  4322,"000108-21-4",59
14=, 14,  4.1028, 0.1499,"Butanoic acid, 3-amino-",  4634,"000541-48-0",38
15=, 15,  4.3998, 0.2169,"Propane, 2-ethoxy-",  2127,"000625-54-7",38
16=, 16,  4.4854, 0.0970,"Propanamide, 2-hydroxy-",  2200,"002043-43-8",32
17=, 17,  5.1783, 1.2912,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",90
18=, 18,  5.2382,11.9926,"Butanoic acid, methyl ester",  4382,"000623-42-7",91
19=, 19,  5.6706, 0.3010,"Butanoic acid, 2-methyl-, methyl ester",  8368,"000868-57-5",50
20=, 20,  5.8492, 0.6124,"Methyl isovalerate",  8237,"000556-24-1",58
21=, 21,  5.9924, 0.3233,"4-Phenyl-2-butanol, TBDMS derivative",124827,"1000373-40-0",47
22=, 22,  6.2047, 2.9444,"Butanoic acid, ethyl ester",  8294,"000105-54-4",95
23=, 23,  6.2933, 1.7932,"Isopropyl butyrate", 13723,"000638-11-9",94
24=, 24,  6.5593, 0.2403,"N,N-Dimethylacetoacetamide", 13140,"002044-64-6",47
25=, 25,  6.7902, 1.3520,"2-Formylhistamine", 18162,"1000132-95-8",46
26=, 26,  6.8910, 0.3722,"Ethanediamide",  1964,"000471-46-5",49
27=, 27,  6.9843, 0.7570,"Acetic acid, butyl ester",  8270,"000123-86-4",53
28=, 28,  7.1996, 0.0561,"8-[N-Aziridylethylamino]-2,6-dimethyloctene-2", 87672,"1000256-01-2",46
29=, 29,  7.3132, 0.0952,"Methyl valerate",  8223,"000624-24-8",50
30=, 30,  8.2367, 0.6095,"1-Butanol, 3-methyl-, acetate", 13793,"000123-92-2",70
31=, 31,  8.8191, 0.0951,"Ethyl aminomethylformimidate",  4280,"1000130-30-4",43
32=, 32,  9.0548, 0.9567,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
33=, 33,  9.2360, 0.0713,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",68
34=, 34, 10.0452,13.7667,"Hexanoic acid, methyl ester", 13784,"000106-70-7",86
35=, 35, 10.5801, 0.1039,"Phthalic acid, isobutyl 5-methoxy-3-methylpent-2-yl ester",193707,"1000315-38-3",27
36=, 36, 10.7085, 0.0913,"1,4-Butanediamine",  1992,"000110-60-1",47
37=, 37, 10.9948, 0.2406,"Butanoic acid, butyl ester", 21448,"000109-21-7",64
38=, 38, 11.4601, 3.7987,"Hexanoic acid, ethyl ester", 21454,"000123-66-0",98
39=, 39, 12.4589, 0.1479,"Propanoic acid, 2-methyl-, 3-methylbutyl ester", 31391,"002050-01-3",53
40=, 40, 12.6577, 1.2402,"Acetic acid, hexyl ester", 21425,"000142-92-7",86
41=, 41, 13.1898, 0.1462,"2-Hexenoic acid, methyl ester", 12516,"002396-77-2",46
42=, 42, 14.0436, 0.4303,"3-Hexen-1-ol, acetate, (Z)-", 20205,"003681-71-8",80
43=, 43, 14.4961, 0.2243,"4-(4-Chlorophenyl)-2,6-diphenylpyridine",198339,"001498-82-4",50
44=, 44, 14.5771, 0.3934,"2-Hexen-1-ol, acetate, (E)-", 20200,"002497-18-9",42
45=, 45, 14.6765, 0.1601,"5-Hepten-2-one, 6-methyl-", 11625,"000110-93-0",78
46=, 46, 15.2709, 0.0690,"N-(n-Propyl)-1,3-propanediamine",  8421,"023764-31-0",43
47=, 47, 16.2327, 0.0960,"3-Hexen-1-ol, (E)-",  3891,"000928-97-2",60
48=, 48, 16.3593, 0.1051,"Acetamide, 2-amino-",   785,"000598-41-4",47
49=, 49, 16.4589, 0.2264,"Nonanal", 20437,"000124-19-6",35
50=, 50, 17.1983, 0.0841,"Butanoic acid, hexyl ester", 41268,"002639-63-6",38
51=, 51, 18.7431, 0.1514,"Cyclohexan-1,4,5-triol-3-one-1-carboxylic acid", 56298,"1000128-45-5",72
52=, 52, 18.7671, 0.1319,"Silane, methyl-",   106,"000992-94-9",59
53=, 53, 19.0504, 0.1334,"3-Piperidinol",  4130,"006859-99-0",47
54=, 54, 19.7368, 0.1129,"4-Piperidinemethanol, 1-methyl-", 13272,"020691-89-8",46
55=, 55, 19.8156, 0.2122,"Morphinan, 7,8-didehydro-3-methoxy-17-methyl-6-methylene-, (-)-",141076,"001816-06-4",47
56=, 56, 20.0641, 0.5602,"Acridine, 9-methyl-", 58761,"000611-64-3",43
57=, 57, 20.6361, 0.4569,"4-(2-Acetylamino-1-(trimethylsilyloxy)ethyl)phenol, trimethylsilyl ether",195927,"1000373-43-5",53
58=, 58, 20.8006, 0.1327,"2-Hydrazino-4,6-dimethylpyrimidine, 2TMS derivative, peak 2",141310,"1000332-01-7",35
59=, 59, 21.2747, 1.2643,"Linalool", 27447,"000078-70-6",86
60=, 60, 21.9743, 0.1458,"2-Methylaminomethyl-1,3-dioxolane",  8669,"057366-77-5",35
61=, 61, 22.1709, 0.1229,"Benzazepin-1-one, 1,2,3,4-tetrahydro-N-methyl-6-bromo-7,8,9-trimethoxy-",199677,"112369-89-8",27
62=, 62, 22.5862, 0.1121,"1-Octanamine, n-octyl-",103343,"001120-48-5",59
63=, 63, 23.4724, 1.4509,"Ethanol, 2-(2-ethoxyethoxy)-", 15441,"000111-90-0",72
64=, 64, 24.2815,12.4042,"Silanediol, dimethyl-",  2426,"001066-42-8",49
65=, 65, 24.5282, 0.0939,"Silanediol, dimethyl-",  2426,"001066-42-8",50
66=, 66, 24.7202, 0.1698,"Acetamide, 2-fluoro-",   987,"000640-19-7",38
67=, 67, 25.9538, 0.1212,"Hexanal",  3832,"000066-25-1",59
68=, 68, 26.3675, 0.1553,".alpha.-Muurolene", 68581,"031983-22-9",92
69=, 69, 26.4465, 0.1235,"Acetic acid, phenylmethyl ester", 25187,"000140-11-4",78
70=, 70, 26.8680, 0.0898,"Ethylamine, 2-diethylboryloxy-", 13202,"149894-26-8",59
71=, 71, 26.9999, 0.0927,"Thiophene-3-ol, tetrahydro-, 1,1-dioxide", 16332,"013031-76-0",45
72=, 72, 27.4705, 2.8284,"Oxime-, methoxy-phenyl-_", 25568,"1000222-86-6",90
73=, 73, 27.6993, 0.0400,"2-Methylaminomethyl-1,3-dioxolane",  8669,"057366-77-5",38
74=, 74, 28.7838, 1.5066,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",90
75=, 75, 29.5009, 0.1176,"1,1,1-Trichloro-2-hydroxy-2-[2-acetamidoethylthio]ethane",125763,"021946-69-0",72
76=, 76, 30.1796, 0.1637,"Propanal, dimethylhydrazone",  3693,"007422-93-7",50
77=, 77, 30.3978, 0.5742,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",58
78=, 78, 30.4285, 0.6192,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",43
79=, 79, 31.6624,10.5691,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",123062,"014035-34-8",95
80=, 80, 32.1213, 0.1677,"Imidazole, 2-amino-5-[(2-carboxy)vinyl]-", 27126,"1000116-74-7",43
81=, 81, 32.1586, 0.0967,"Ethyl oxamate",  8603,"000617-36-7",47
82=, 82, 32.3092, 0.5366,"Propanamide",   736,"000079-05-0",18
83=, 83, 32.5600, 2.1469,"Diethylpropion", 69622,"000090-84-6",80
84=, 84, 32.9657, 0.1161,"2-Methylaminomethyl-1,3-dioxolane",  8669,"057366-77-5",49
85=, 85, 33.5697, 0.1325,"9-Azabicyclo[6.1.0]non-4-en-9-amine, (1.alpha.,4Z,8.alpha.)-", 17902,"066387-78-8",86
86=, 86, 33.5918, 0.0773,"9-Azabicyclo[6.1.0]non-4-en-9-amine, (1.alpha.,4Z,8.alpha.)-", 17902,"066387-78-8",60
87=, 87, 34.0398, 0.0845,"1,2-Ethanediamine, N,N'-dimethyl-",  2014,"000110-70-3",38
88=, 88, 34.2502, 0.1036,"N,N-Dimethylacetoacetamide", 13140,"002044-64-6",50
89=, 89, 34.5891, 0.5049,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, (E)-", 85758,"040716-66-3",60
90=, 90, 34.9050, 0.4324,"2-Chloroaniline-5-sulfonic acid", 71696,"000098-36-2",43
91=, 91, 35.6394, 0.3985,"N,N-Dimethylethanesulfonamide", 16970,"006338-68-7",22
92=, 92, 35.6632, 0.4231,"Acetic acid, [(aminocarbonyl)amino]oxo-", 14446,"000585-05-7",35
93=, 93, 36.5892, 0.0700,"Octaethylene glycol monododecyl ether",269972,"003055-98-9",53
